	en	ru	ru_tokens	en_tokens
0	The White Silence 	"Джек Лондон ""Белое безмолвие"" "	['Джек', 'Лондон', 'Белое', 'безмолвие']	['The', 'White', 'Silence']
1	'Carmen won't last more than a couple of days.' 	— Кармен и двух дней не протянет. 	['—', 'Кармен', 'и', 'двух', 'дней', 'не', 'протянет']	"[""'Carmen"", ""won't"", 'last', 'more', 'than', 'a', 'couple', 'of', ""days.'""]"
2	Mason spat out a chunk of ice and surveyed the poor animal ruefully, then put her foot in his mouth and proceeded to bite out the ice which clustered cruelly between the toes. 	Мэйсон выплюнул кусок льда и уныло посмотрел на несчастное животное, потом, поднеся лапу собаки ко рту, стал опять скусывать лед, намерзший большими шишками у нее между пальцев. 	['Мэйсон', 'выплюнул', 'кусок', 'льда', 'и', 'уныло', 'посмотрел', 'на', 'несчастное', 'животное', 'потом', 'поднеся', 'лапу', 'собаки', 'ко', 'рту', 'стал', 'опять', 'скусывать', 'лед', 'намерзший', 'большими', 'шишками', 'у', 'нее', 'между', 'пальцев']	['Mason', 'spat', 'out', 'a', 'chunk', 'of', 'ice', 'and', 'surveyed', 'the', 'poor', 'animal', 'ruefully', 'then', 'put', 'her', 'foot', 'in', 'his', 'mouth', 'and', 'proceeded', 'to', 'bite', 'out', 'the', 'ice', 'which', 'clustered', 'cruelly', 'between', 'the', 'toes']
3	'I never saw a dog with a highfalutin' name that ever was worth a rap,' he said, as he concluded his task and shoved her aside. 	— Сколько я ни встречал собак с затейливыми кличками, все они никуда не годились, — сказал он, покончив со своим делом, и оттолкнул собаку. 	['—', 'Сколько', 'я', 'ни', 'встречал', 'собак', 'с', 'затейливыми', 'кличками', 'все', 'они', 'никуда', 'не', 'годились', '—', 'сказал', 'он', 'покончив', 'со', 'своим', 'делом', 'и', 'оттолкнул', 'собаку']	"[""'I"", 'never', 'saw', 'a', 'dog', 'with', 'a', ""highfalutin'"", 'name', 'that', 'ever', 'was', 'worth', 'a', ""rap,'"", 'he', 'said', 'as', 'he', 'concluded', 'his', 'task', 'and', 'shoved', 'her', 'aside']"
4	'They just fade away and die under the responsibility. 	— Они слабеют и в конце концов издыхают. 	['—', 'Они', 'слабеют', 'и', 'в', 'конце', 'концов', 'издыхают']	"[""'They"", 'just', 'fade', 'away', 'and', 'die', 'under', 'the', 'responsibility']"
5	Did ye ever see one go wrong with a sensible name like Cassiar, Siwash, or Husky? 	Ты видел, чтобы с собакой, которую зовут попросту Касьяр, Сиваш или Хаски, приключилось что-нибудь неладное? 	['Ты', 'видел', 'чтобы', 'с', 'собакой', 'которую', 'зовут', 'попросту', 'Касьяр', 'Сиваш', 'или', 'Хаски', 'приключилось', 'что-нибудь', 'неладное']	['Did', 'ye', 'ever', 'see', 'one', 'go', 'wrong', 'with', 'a', 'sensible', 'name', 'like', 'Cassiar', 'Siwash', 'or', 'Husky']
6	No, sir! 	Никогда! 	['Никогда']	['No', 'sir']
7	Take a look at Shookum here, he's—' Snap! 	Посмотри на Шукума: он… Раз! 	['Посмотри', 'на', 'Шукума', 'он…', 'Раз']	"['Take', 'a', 'look', 'at', 'Shookum', 'here', ""he's—'"", 'Snap']"
8	The lean brute flashed up, the white teeth just missing Mason's throat. 	Отощавший пес взметнулся вверх, едва не вцепившись клыками Мэйсону в горло. 	['Отощавший', 'пес', 'взметнулся', 'вверх', 'едва', 'не', 'вцепившись', 'клыками', 'Мэйсону', 'в', 'горло']	"['The', 'lean', 'brute', 'flashed', 'up', 'the', 'white', 'teeth', 'just', 'missing', ""Mason's"", 'throat']"
9	'Ye will, will ye?' 	— Ты что это придумал? 	['—', 'Ты', 'что', 'это', 'придумал']	"[""'Ye"", 'will', 'will', ""ye?'""]"
