	en	ru	ru_tokens	en_tokens
0	WHITE FANG 	Джек Лондон. Белый Клык 	['Джек', 'Лондон', 'Белый', 'Клык']	['WHITE', 'FANG']
1	PART I 	* ЧАСТЬ ПЕРВАЯ * 	['ЧАСТЬ', 'ПЕРВАЯ']	['PART', 'I']
2	CHAPTER I—THE TRAIL OF THE MEAT 	ГЛАВА ПЕРВАЯ. ПОГОНЯ ЗА ДОБЫЧЕЙ 	['ГЛАВА', 'ПЕРВАЯ', 'ПОГОНЯ', 'ЗА', 'ДОБЫЧЕЙ']	['CHAPTER', 'I—THE', 'TRAIL', 'OF', 'THE', 'MEAT']
3	Dark spruce forest frowned on either side the frozen waterway. 	Темный еловый лес стоял, нахмурившись, по обоим берегам скованной льдом реки. 	['Темный', 'еловый', 'лес', 'стоял', 'нахмурившись', 'по', 'обоим', 'берегам', 'скованной', 'льдом', 'реки']	['Dark', 'spruce', 'forest', 'frowned', 'on', 'either', 'side', 'the', 'frozen', 'waterway']
4	The trees had been stripped by a recent wind of their white covering of frost, and they seemed to lean towards each other, black and ominous, in the fading light. 	Недавно пронесшийся ветер  сорвал с деревьев белый покров инея, и они, черные, зловещие, клонились друг  к другу в надвигающихся сумерках. 	['Недавно', 'пронесшийся', 'ветер', 'сорвал', 'с', 'деревьев', 'белый', 'покров', 'инея', 'и', 'они', 'черные', 'зловещие', 'клонились', 'друг', 'к', 'другу', 'в', 'надвигающихся', 'сумерках']	['The', 'trees', 'had', 'been', 'stripped', 'by', 'a', 'recent', 'wind', 'of', 'their', 'white', 'covering', 'of', 'frost', 'and', 'they', 'seemed', 'to', 'lean', 'towards', 'each', 'other', 'black', 'and', 'ominous', 'in', 'the', 'fading', 'light']
5	A vast silence reigned over the land. 	Глубокое безмолвие  царило  вокруг. 	['Глубокое', 'безмолвие', 'царило', 'вокруг']	['A', 'vast', 'silence', 'reigned', 'over', 'the', 'land']
6	The land itself was a desolation, lifeless, without movement, so lone and cold that the spirit of it was not even that of sadness. 	Весь этот край,  лишенный признаков жизни  с  ее движением, был так пустынен  и  холоден, что дух,  витающий над ним,  нельзя было назвать даже духом  скорби. 	['Весь', 'этот', 'край', 'лишенный', 'признаков', 'жизни', 'с', 'ее', 'движением', 'был', 'так', 'пустынен', 'и', 'холоден', 'что', 'дух', 'витающий', 'над', 'ним', 'нельзя', 'было', 'назвать', 'даже', 'духом', 'скорби']	['The', 'land', 'itself', 'was', 'a', 'desolation', 'lifeless', 'without', 'movement', 'so', 'lone', 'and', 'cold', 'that', 'the', 'spirit', 'of', 'it', 'was', 'not', 'even', 'that', 'of', 'sadness']
7	There was a hint in it of laughter, but of a laughter more terrible than any sadness—a laughter that was mirthless as the smile of the sphinx, a laughter cold as the frost and partaking of the grimness of infallibility. 	Смех,  но смех  страшнее  скорби,  слышался здесь  --  смех  безрадостный, точно улыбка  сфинкса, смех, леденящий  своим бездушием, как стужа. 	['Смех', 'но', 'смех', 'страшнее', 'скорби', 'слышался', 'здесь', 'смех', 'безрадостный', 'точно', 'улыбка', 'сфинкса', 'смех', 'леденящий', 'своим', 'бездушием', 'как', 'стужа']	['There', 'was', 'a', 'hint', 'in', 'it', 'of', 'laughter', 'but', 'of', 'a', 'laughter', 'more', 'terrible', 'than', 'any', 'sadness—a', 'laughter', 'that', 'was', 'mirthless', 'as', 'the', 'smile', 'of', 'the', 'sphinx', 'a', 'laughter', 'cold', 'as', 'the', 'frost', 'and', 'partaking', 'of', 'the', 'grimness', 'of', 'infallibility']
8	It was the masterful and incommunicable wisdom of eternity laughing at the futility of life and the effort of life. 	Это извечная  мудрость --  властная, вознесенная  над миром -- смеялась, видя тщету жизни, тщету  борьбы. 	['Это', 'извечная', 'мудрость', 'властная', 'вознесенная', 'над', 'миром', 'смеялась', 'видя', 'тщету', 'жизни', 'тщету', 'борьбы']	['It', 'was', 'the', 'masterful', 'and', 'incommunicable', 'wisdom', 'of', 'eternity', 'laughing', 'at', 'the', 'futility', 'of', 'life', 'and', 'the', 'effort', 'of', 'life']
9	It was the Wild, the savage, frozen-hearted Northland Wild. 	Это была глушь -- дикая, оледеневшая до самого сердца Северная глушь. 	['Это', 'была', 'глушь', 'дикая', 'оледеневшая', 'до', 'самого', 'сердца', 'Северная', 'глушь']	['It', 'was', 'the', 'Wild', 'the', 'savage', 'frozen-hearted', 'Northland', 'Wild']
10	But there was life, abroad in the land and defiant. 	И все  же что-то живое двигалось в ней и бросало ей вызов. 	['И', 'все', 'же', 'что-то', 'живое', 'двигалось', 'в', 'ней', 'и', 'бросало', 'ей', 'вызов']	['But', 'there', 'was', 'life', 'abroad', 'in', 'the', 'land', 'and', 'defiant']
11	Down the frozen waterway toiled a string of wolfish dogs. 	По замерзшей реке пробиралась упряжка ездовых собак. 	['По', 'замерзшей', 'реке', 'пробиралась', 'упряжка', 'ездовых', 'собак']	['Down', 'the', 'frozen', 'waterway', 'toiled', 'a', 'string', 'of', 'wolfish', 'dogs']
