	en	ru	ru_tokens	en_tokens
0	The Project Gutenberg EBook of Great Expectations, by Charles Dickens GREAT EXPECTATIONS [1867 Edition] by Charles Dickens 	Чарльз Диккенс. Большие надежды 	['Чарльз', 'Диккенс', 'Большие', 'надежды']	['The', 'Project', 'Gutenberg', 'EBook', 'of', 'Great', 'Expectations', 'by', 'Charles', 'Dickens', 'GREAT', 'EXPECTATIONS', '1867', 'Edition', 'by', 'Charles', 'Dickens']
1	Chapter I 	ГЛАВА I 	['ГЛАВА', 'I']	['Chapter', 'I']
2	My father's family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip. So, I called myself Pip, and came to be called Pip. 	Фамилия моего отца была Пиррип, мне дали при крещении имя Филип, а  так как из того и другого мой младенческий язык  не  мог  слепить  ничего  более внятного, чем Пип, то я называл себя Пипом, а потом и  все  меня  стали  так называть. 	['Фамилия', 'моего', 'отца', 'была', 'Пиррип', 'мне', 'дали', 'при', 'крещении', 'имя', 'Филип', 'а', 'так', 'как', 'из', 'того', 'и', 'другого', 'мой', 'младенческий', 'язык', 'не', 'мог', 'слепить', 'ничего', 'более', 'внятного', 'чем', 'Пип', 'то', 'я', 'называл', 'себя', 'Пипом', 'а', 'потом', 'и', 'все', 'меня', 'стали', 'так', 'называть']	"['My', ""father's"", 'family', 'name', 'being', 'Pirrip', 'and', 'my', 'Christian', 'name', 'Philip', 'my', 'infant', 'tongue', 'could', 'make', 'of', 'both', 'names', 'nothing', 'longer', 'or', 'more', 'explicit', 'than', 'Pip', 'So', 'I', 'called', 'myself', 'Pip', 'and', 'came', 'to', 'be', 'called', 'Pip']"
3	I give Pirrip as my father's family name, on the authority of his tombstone and my sister,—Mrs. Joe Gargery, who married the blacksmith. 	О том, что отец мой носил фамилию Пиррип, мне  достоверно  известно  из надписи на его могильной плите, а также  со  слов  моей  сестры  миссис  Джо Гарджери, которая вышла замуж за кузнеца. 	['О', 'том', 'что', 'отец', 'мой', 'носил', 'фамилию', 'Пиррип', 'мне', 'достоверно', 'известно', 'из', 'надписи', 'на', 'его', 'могильной', 'плите', 'а', 'также', 'со', 'слов', 'моей', 'сестры', 'миссис', 'Джо', 'Гарджери', 'которая', 'вышла', 'замуж', 'за', 'кузнеца']	"['I', 'give', 'Pirrip', 'as', 'my', ""father's"", 'family', 'name', 'on', 'the', 'authority', 'of', 'his', 'tombstone', 'and', 'my', 'sister,—Mrs', 'Joe', 'Gargery', 'who', 'married', 'the', 'blacksmith']"
4	As I never saw my father or my mother, and never saw any likeness of either of them (for their days were long before the days of photographs), my first fancies regarding what they were like were unreasonably derived from their tombstones. 	Оттого, что я никогда не видел  ни отца, ни матери, ни каких-либо их портретов (о фотографии в те времена и  не слыхивали), первое представление о родителях странным  образом  связалось  у меня с их могильными плитами. 	['Оттого', 'что', 'я', 'никогда', 'не', 'видел', 'ни', 'отца', 'ни', 'матери', 'ни', 'каких-либо', 'их', 'портретов', 'о', 'фотографии', 'в', 'те', 'времена', 'и', 'не', 'слыхивали', 'первое', 'представление', 'о', 'родителях', 'странным', 'образом', 'связалось', 'у', 'меня', 'с', 'их', 'могильными', 'плитами']	['As', 'I', 'never', 'saw', 'my', 'father', 'or', 'my', 'mother', 'and', 'never', 'saw', 'any', 'likeness', 'of', 'either', 'of', 'them', 'for', 'their', 'days', 'were', 'long', 'before', 'the', 'days', 'of', 'photographs', 'my', 'first', 'fancies', 'regarding', 'what', 'they', 'were', 'like', 'were', 'unreasonably', 'derived', 'from', 'their', 'tombstones']
5	The shape of the letters on my father's, gave me an odd idea that he was a square, stout, dark man, with curly black hair. 	По форме  букв  на  могиле  отца  я  почему-то решил, что он был плотный  и  широкоплечий,  смуглый,  с  черными  курчавыми волосами. 	['По', 'форме', 'букв', 'на', 'могиле', 'отца', 'я', 'почему-то', 'решил', 'что', 'он', 'был', 'плотный', 'и', 'широкоплечий', 'смуглый', 'с', 'черными', 'курчавыми', 'волосами']	"['The', 'shape', 'of', 'the', 'letters', 'on', 'my', ""father's"", 'gave', 'me', 'an', 'odd', 'idea', 'that', 'he', 'was', 'a', 'square', 'stout', 'dark', 'man', 'with', 'curly', 'black', 'hair']"
6	From the character and turn of the inscription, 	Надпись 	['Надпись']	['From', 'the', 'character', 'and', 'turn', 'of', 'the', 'inscription']
7	"""Also Georgiana Wife of the Above,"" I drew a childish conclusion that my mother was freckled and sickly. "	"""А также Джорджиана,  супруга  вышереченного""  вызывала  в моем  детском  воображении  образ  матери  -  хилой,  веснушчатой   женщины. "	['А', 'также', 'Джорджиана', 'супруга', 'вышереченного', 'вызывала', 'в', 'моем', 'детском', 'воображении', 'образ', 'матери', 'хилой', 'веснушчатой', 'женщины']	['Also', 'Georgiana', 'Wife', 'of', 'the', 'Above', 'I', 'drew', 'a', 'childish', 'conclusion', 'that', 'my', 'mother', 'was', 'freckled', 'and', 'sickly']
8	To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave, and were sacred to the memory of five little brothers of mine,—who gave up trying to get a living, exceedingly early in that universal struggle,—I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trousers-pockets, and had never taken them out in this state of existence. 	Аккуратно расположенные  в  ряд  возле  их  могилы  пять  узеньких  каменных надгробий, каждое фута в полтора длиной, под которыми  покоились  пять  моих маленьких братцев, рано отказавшихся от попыток уцелеть во всеобщей  борьбе, породили во мне твердую уверенность, что все они  появились  на  свет,  лежа навзничь и спрятав руки в карманы штанишек, откуда и не вынимали их  за  все время своего пребывания на земле. 	['Аккуратно', 'расположенные', 'в', 'ряд', 'возле', 'их', 'могилы', 'пять', 'узеньких', 'каменных', 'надгробий', 'каждое', 'фута', 'в', 'полтора', 'длиной', 'под', 'которыми', 'покоились', 'пять', 'моих', 'маленьких', 'братцев', 'рано', 'отказавшихся', 'от', 'попыток', 'уцелеть', 'во', 'всеобщей', 'борьбе', 'породили', 'во', 'мне', 'твердую', 'уверенность', 'что', 'все', 'они', 'появились', 'на', 'свет', 'лежа', 'навзничь', 'и', 'спрятав', 'руки', 'в', 'карманы', 'штанишек', 'откуда', 'и', 'не', 'вынимали', 'их', 'за', 'все', 'время', 'своего', 'пребывания', 'на', 'земле']	['To', 'five', 'little', 'stone', 'lozenges', 'each', 'about', 'a', 'foot', 'and', 'a', 'half', 'long', 'which', 'were', 'arranged', 'in', 'a', 'neat', 'row', 'beside', 'their', 'grave', 'and', 'were', 'sacred', 'to', 'the', 'memory', 'of', 'five', 'little', 'brothers', 'of', 'mine,—who', 'gave', 'up', 'trying', 'to', 'get', 'a', 'living', 'exceedingly', 'early', 'in', 'that', 'universal', 'struggle,—I', 'am', 'indebted', 'for', 'a', 'belief', 'I', 'religiously', 'entertained', 'that', 'they', 'had', 'all', 'been', 'born', 'on', 'their', 'backs', 'with', 'their', 'hands', 'in', 'their', 'trousers-pockets', 'and', 'had', 'never', 'taken', 'them', 'out', 'in', 'this', 'state', 'of', 'existence']
9	Ours was the marsh country, down by the river, within, as the river wound, twenty miles of the sea. 	Мы жили в болотистом крае близ большой реки, в  двадцати  милях  от  ее впадения  в  море. 	['Мы', 'жили', 'в', 'болотистом', 'крае', 'близ', 'большой', 'реки', 'в', 'двадцати', 'милях', 'от', 'ее', 'впадения', 'в', 'море']	['Ours', 'was', 'the', 'marsh', 'country', 'down', 'by', 'the', 'river', 'within', 'as', 'the', 'river', 'wound', 'twenty', 'miles', 'of', 'the', 'sea']
10	My first most vivid and broad impression of the identity of things seems to me to have been gained on a memorable raw afternoon towards evening. 	Вероятно,  свое  первое  сознательное   впечатление   от окружающего меня широкого мира я получил в один памятный  зимний  день,  уже под вечер. 	['Вероятно', 'свое', 'первое', 'сознательное', 'впечатление', 'от', 'окружающего', 'меня', 'широкого', 'мира', 'я', 'получил', 'в', 'один', 'памятный', 'зимний', 'день', 'уже', 'под', 'вечер']	['My', 'first', 'most', 'vivid', 'and', 'broad', 'impression', 'of', 'the', 'identity', 'of', 'things', 'seems', 'to', 'me', 'to', 'have', 'been', 'gained', 'on', 'a', 'memorable', 'raw', 'afternoon', 'towards', 'evening']
