	en	ru	ru_tokens	en_tokens
0	Chapter I 	ГЛАВА I 	['ГЛАВА', 'I']	['Chapter', 'I']
1	In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since. 	В юношеские годы, когда человек особенно восприимчив, я как-то получил от отца совет, надолго запавший мне в память. 	['В', 'юношеские', 'годы', 'когда', 'человек', 'особенно', 'восприимчив', 'я', 'как-то', 'получил', 'от', 'отца', 'совет', 'надолго', 'запавший', 'мне', 'в', 'память']	['In', 'my', 'younger', 'and', 'more', 'vulnerable', 'years', 'my', 'father', 'gave', 'me', 'some', 'advice', 'that', 'I’ve', 'been', 'turning', 'over', 'in', 'my', 'mind', 'ever', 'since']
2	“Whenever you feel like criticizing any one,” he told me, “just remember that all the people in this world haven’t had the advantages that you’ve had.” 	— Если тебе вдруг захочется осудить кого то, — сказал он, — вспомни, что не все люди на свете обладают теми преимуществами, которыми обладал ты. 	['—', 'Если', 'тебе', 'вдруг', 'захочется', 'осудить', 'кого', 'то', '—', 'сказал', 'он', '—', 'вспомни', 'что', 'не', 'все', 'люди', 'на', 'свете', 'обладают', 'теми', 'преимуществами', 'которыми', 'обладал', 'ты']	['“Whenever', 'you', 'feel', 'like', 'criticizing', 'any', 'one,”', 'he', 'told', 'me', '“just', 'remember', 'that', 'all', 'the', 'people', 'in', 'this', 'world', 'haven’t', 'had', 'the', 'advantages', 'that', 'you’ve', 'had.”']
3	He didn’t say any more, but we’ve always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that. 	К этому он ничего не добавил, но мы с ним всегда прекрасно понимали друг друга без лишних слов, и мне было ясно, что думал он гораздо больше, чем сказал. 	['К', 'этому', 'он', 'ничего', 'не', 'добавил', 'но', 'мы', 'с', 'ним', 'всегда', 'прекрасно', 'понимали', 'друг', 'друга', 'без', 'лишних', 'слов', 'и', 'мне', 'было', 'ясно', 'что', 'думал', 'он', 'гораздо', 'больше', 'чем', 'сказал']	['He', 'didn’t', 'say', 'any', 'more', 'but', 'we’ve', 'always', 'been', 'unusually', 'communicative', 'in', 'a', 'reserved', 'way', 'and', 'I', 'understood', 'that', 'he', 'meant', 'a', 'great', 'deal', 'more', 'than', 'that']
4	In consequence, I’m inclined to reserve all judgments, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores. 	Вот откуда взялась у меня привычка к сдержанности в суждениях — привычка, которая часто служила мне ключом к самым сложным натурам и еще чаще делала меня жертвой матерых надоед. 	['Вот', 'откуда', 'взялась', 'у', 'меня', 'привычка', 'к', 'сдержанности', 'в', 'суждениях', '—', 'привычка', 'которая', 'часто', 'служила', 'мне', 'ключом', 'к', 'самым', 'сложным', 'натурам', 'и', 'еще', 'чаще', 'делала', 'меня', 'жертвой', 'матерых', 'надоед']	['In', 'consequence', 'I’m', 'inclined', 'to', 'reserve', 'all', 'judgments', 'a', 'habit', 'that', 'has', 'opened', 'up', 'many', 'curious', 'natures', 'to', 'me', 'and', 'also', 'made', 'me', 'the', 'victim', 'of', 'not', 'a', 'few', 'veteran', 'bores']
5	The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret grief’s of wild, unknown men. 	Нездоровый ум всегда сразу чует эту сдержанность, если она проявляется в обыкновенном, нормальном человеке, и спешит за нее уцепиться; еще в колледже меня незаслуженно обвиняли в политиканстве, потому что самые нелюдимые и замкнутые студенты поверяли мне свои тайные горести. 	['Нездоровый', 'ум', 'всегда', 'сразу', 'чует', 'эту', 'сдержанность', 'если', 'она', 'проявляется', 'в', 'обыкновенном', 'нормальном', 'человеке', 'и', 'спешит', 'за', 'нее', 'уцепиться', 'еще', 'в', 'колледже', 'меня', 'незаслуженно', 'обвиняли', 'в', 'политиканстве', 'потому', 'что', 'самые', 'нелюдимые', 'и', 'замкнутые', 'студенты', 'поверяли', 'мне', 'свои', 'тайные', 'горести']	['The', 'abnormal', 'mind', 'is', 'quick', 'to', 'detect', 'and', 'attach', 'itself', 'to', 'this', 'quality', 'when', 'it', 'appears', 'in', 'a', 'normal', 'person', 'and', 'so', 'it', 'came', 'about', 'that', 'in', 'college', 'I', 'was', 'unjustly', 'accused', 'of', 'being', 'a', 'politician', 'because', 'I', 'was', 'privy', 'to', 'the', 'secret', 'grief’s', 'of', 'wild', 'unknown', 'men']
6	Most of the confidences were unsought—frequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon; for the intimate revelations of young men, or at least the terms in which they express them, are usually plagiaristic and marred by obvious suppressions. 	Я вовсе не искал подобного доверия — сколько раз, заметив некоторые симптомы, предвещающие очередное интимное признание, я принимался сонно зевать, спешил уткнуться в книгу или напускал на себя задорно-легкомысленный тон; ведь интимные признания молодых людей, по крайней мере та словесная форма, в которую они облечены, представляют собой, как правило, плагиат и к тому же страдают явными недомолвками. 	['Я', 'вовсе', 'не', 'искал', 'подобного', 'доверия', '—', 'сколько', 'раз', 'заметив', 'некоторые', 'симптомы', 'предвещающие', 'очередное', 'интимное', 'признание', 'я', 'принимался', 'сонно', 'зевать', 'спешил', 'уткнуться', 'в', 'книгу', 'или', 'напускал', 'на', 'себя', 'задорно-легкомысленный', 'тон', 'ведь', 'интимные', 'признания', 'молодых', 'людей', 'по', 'крайней', 'мере', 'та', 'словесная', 'форма', 'в', 'которую', 'они', 'облечены', 'представляют', 'собой', 'как', 'правило', 'плагиат', 'и', 'к', 'тому', 'же', 'страдают', 'явными', 'недомолвками']	['Most', 'of', 'the', 'confidences', 'were', 'unsought—frequently', 'I', 'have', 'feigned', 'sleep', 'preoccupation', 'or', 'a', 'hostile', 'levity', 'when', 'I', 'realized', 'by', 'some', 'unmistakable', 'sign', 'that', 'an', 'intimate', 'revelation', 'was', 'quivering', 'on', 'the', 'horizon', 'for', 'the', 'intimate', 'revelations', 'of', 'young', 'men', 'or', 'at', 'least', 'the', 'terms', 'in', 'which', 'they', 'express', 'them', 'are', 'usually', 'plagiaristic', 'and', 'marred', 'by', 'obvious', 'suppressions']
7	Reserving judgments is a matter of infinite hope. 	Сдержанность в суждениях — залог неиссякаемой надежды. 	['Сдержанность', 'в', 'суждениях', '—', 'залог', 'неиссякаемой', 'надежды']	['Reserving', 'judgments', 'is', 'a', 'matter', 'of', 'infinite', 'hope']
8	I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parceled out unequally at birth. 	Я до сих пор опасаюсь упустить что-то, если позабуду, что (как не без снобизма говорил мой отец и не без снобизма повторяю за ним я) чутье к основным нравственным ценностям отпущено природой не всем в одинаковой мере. 	['Я', 'до', 'сих', 'пор', 'опасаюсь', 'упустить', 'что-то', 'если', 'позабуду', 'что', 'как', 'не', 'без', 'снобизма', 'говорил', 'мой', 'отец', 'и', 'не', 'без', 'снобизма', 'повторяю', 'за', 'ним', 'я', 'чутье', 'к', 'основным', 'нравственным', 'ценностям', 'отпущено', 'природой', 'не', 'всем', 'в', 'одинаковой', 'мере']	['I', 'am', 'still', 'a', 'little', 'afraid', 'of', 'missing', 'something', 'if', 'I', 'forget', 'that', 'as', 'my', 'father', 'snobbishly', 'suggested', 'and', 'I', 'snobbishly', 'repeat', 'a', 'sense', 'of', 'the', 'fundamental', 'decencies', 'is', 'parceled', 'out', 'unequally', 'at', 'birth']
9	And, after boasting this way of my tolerance, I come to the admission that it has a limit. 	А теперь, похвалившись своей терпимостью, я должен сознаться, что эта терпимость имеет пределы. 	['А', 'теперь', 'похвалившись', 'своей', 'терпимостью', 'я', 'должен', 'сознаться', 'что', 'эта', 'терпимость', 'имеет', 'пределы']	['And', 'after', 'boasting', 'this', 'way', 'of', 'my', 'tolerance', 'I', 'come', 'to', 'the', 'admission', 'that', 'it', 'has', 'a', 'limit']
10	Conduct may be founded on the hard rock or the wet marshes, but after a certain point I don’t care what it’s founded on. 	Поведение человека может иметь под собой разную почву — твердый гранит или вязкую трясину; но в какой-то момент мне становится наплевать, какая там под ним почва. 	['Поведение', 'человека', 'может', 'иметь', 'под', 'собой', 'разную', 'почву', '—', 'твердый', 'гранит', 'или', 'вязкую', 'трясину', 'но', 'в', 'какой-то', 'момент', 'мне', 'становится', 'наплевать', 'какая', 'там', 'под', 'ним', 'почва']	['Conduct', 'may', 'be', 'founded', 'on', 'the', 'hard', 'rock', 'or', 'the', 'wet', 'marshes', 'but', 'after', 'a', 'certain', 'point', 'I', 'don’t', 'care', 'what', 'it’s', 'founded', 'on']
11	When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever; I wanted no more riotous excursions with privileged glimpses into the human heart. 	Когда я прошлой осенью вернулся из Нью-Йорка, мне хотелось, чтобы весь мир был морально затянут в мундир и держался по стойке «смирно». Я больше не стремился к увлекательным вылазкам с привилегией заглядывать в человеческие души. 	['Когда', 'я', 'прошлой', 'осенью', 'вернулся', 'из', 'Нью-Йорка', 'мне', 'хотелось', 'чтобы', 'весь', 'мир', 'был', 'морально', 'затянут', 'в', 'мундир', 'и', 'держался', 'по', 'стойке', '«смирно»', 'Я', 'больше', 'не', 'стремился', 'к', 'увлекательным', 'вылазкам', 'с', 'привилегией', 'заглядывать', 'в', 'человеческие', 'души']	['When', 'I', 'came', 'back', 'from', 'the', 'East', 'last', 'autumn', 'I', 'felt', 'that', 'I', 'wanted', 'the', 'world', 'to', 'be', 'in', 'uniform', 'and', 'at', 'a', 'sort', 'of', 'moral', 'attention', 'forever', 'I', 'wanted', 'no', 'more', 'riotous', 'excursions', 'with', 'privileged', 'glimpses', 'into', 'the', 'human', 'heart']
12	Only Gatsby, the man who gives his name to this book, was exempt from my reaction—Gatsby, who represented everything for which I have an unaffected scorn. 	Только для Гэтсби, человека, чьим именем названа эта книга, я делал исключение, — Гэтсби, казалось, воплощавшего собой все, что я искренне презирал и презираю. 	['Только', 'для', 'Гэтсби', 'человека', 'чьим', 'именем', 'названа', 'эта', 'книга', 'я', 'делал', 'исключение', '—', 'Гэтсби', 'казалось', 'воплощавшего', 'собой', 'все', 'что', 'я', 'искренне', 'презирал', 'и', 'презираю']	['Only', 'Gatsby', 'the', 'man', 'who', 'gives', 'his', 'name', 'to', 'this', 'book', 'was', 'exempt', 'from', 'my', 'reaction—Gatsby', 'who', 'represented', 'everything', 'for', 'which', 'I', 'have', 'an', 'unaffected', 'scorn']
13	If personality is an unbroken series of successful gestures, then there was something gorgeous about him; some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away. 	Если мерить личность ее умением себя проявлять, то в этом человеке было поистине нечто великолепное, какая-то повышенная чувствительность ко всем посулам жизни, словно он был частью одного из тех сложных приборов, которые регистрируют подземные толчки где-то за десятки тысяч миль. 	['Если', 'мерить', 'личность', 'ее', 'умением', 'себя', 'проявлять', 'то', 'в', 'этом', 'человеке', 'было', 'поистине', 'нечто', 'великолепное', 'какая-то', 'повышенная', 'чувствительность', 'ко', 'всем', 'посулам', 'жизни', 'словно', 'он', 'был', 'частью', 'одного', 'из', 'тех', 'сложных', 'приборов', 'которые', 'регистрируют', 'подземные', 'толчки', 'где-то', 'за', 'десятки', 'тысяч', 'миль']	['If', 'personality', 'is', 'an', 'unbroken', 'series', 'of', 'successful', 'gestures', 'then', 'there', 'was', 'something', 'gorgeous', 'about', 'him', 'some', 'heightened', 'sensitivity', 'to', 'the', 'promises', 'of', 'life', 'as', 'if', 'he', 'were', 'related', 'to', 'one', 'of', 'those', 'intricate', 'machines', 'that', 'register', 'earthquakes', 'ten', 'thousand', 'miles', 'away']
14	This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the “creative temperament”—it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again. 	Эта способность к мгновенному отклику не имела ничего общего с дряблой впечатлительностью, пышно именуемой «артистическим темпераментом», — это был редкостный дар надежды, романтический запал, какого я ни в ком больше не встречал и, наверно, не встречу. 	['Эта', 'способность', 'к', 'мгновенному', 'отклику', 'не', 'имела', 'ничего', 'общего', 'с', 'дряблой', 'впечатлительностью', 'пышно', 'именуемой', '«артистическим', 'темпераментом»', '—', 'это', 'был', 'редкостный', 'дар', 'надежды', 'романтический', 'запал', 'какого', 'я', 'ни', 'в', 'ком', 'больше', 'не', 'встречал', 'и', 'наверно', 'не', 'встречу']	['This', 'responsiveness', 'had', 'nothing', 'to', 'do', 'with', 'that', 'flabby', 'impressionability', 'which', 'is', 'dignified', 'under', 'the', 'name', 'of', 'the', '“creative', 'temperament”—it', 'was', 'an', 'extraordinary', 'gift', 'for', 'hope', 'a', 'romantic', 'readiness', 'such', 'as', 'I', 'have', 'never', 'found', 'in', 'any', 'other', 'person', 'and', 'which', 'it', 'is', 'not', 'likely', 'I', 'shall', 'ever', 'find', 'again']
15	No—Gatsby turned out all right at the end; it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and short-winded elations of men. 	Нет, Гэтсби себя оправдал под конец; не он, а то, что над ним тяготело, та ядовитая пыль, что вздымалась вокруг его мечты, — вот что заставило меня на время утратить всякий интерес к людским скоротечным печалям и радостям впопыхах. 	['Нет', 'Гэтсби', 'себя', 'оправдал', 'под', 'конец', 'не', 'он', 'а', 'то', 'что', 'над', 'ним', 'тяготело', 'та', 'ядовитая', 'пыль', 'что', 'вздымалась', 'вокруг', 'его', 'мечты', '—', 'вот', 'что', 'заставило', 'меня', 'на', 'время', 'утратить', 'всякий', 'интерес', 'к', 'людским', 'скоротечным', 'печалям', 'и', 'радостям', 'впопыхах']	['No—Gatsby', 'turned', 'out', 'all', 'right', 'at', 'the', 'end', 'it', 'is', 'what', 'preyed', 'on', 'Gatsby', 'what', 'foul', 'dust', 'floated', 'in', 'the', 'wake', 'of', 'his', 'dreams', 'that', 'temporarily', 'closed', 'out', 'my', 'interest', 'in', 'the', 'abortive', 'sorrows', 'and', 'short-winded', 'elations', 'of', 'men']
