	en	ru	ru_tokens	en_tokens
0	Five On A Treasure Island Famous Five 01 Enid Blyton 	Энид Блайтон Тайна острова сокровищ 	['Энид', 'Блайтон', 'Тайна', 'острова', 'сокровищ']	['Five', 'On', 'A', 'Treasure', 'Island', 'Famous', 'Five', '01', 'Enid', 'Blyton']
1	Chapter One A GREAT SURPRISE 	БОЛЬШОЙ СЮРПРИЗ 	['БОЛЬШОЙ', 'СЮРПРИЗ']	['Chapter', 'One', 'A', 'GREAT', 'SURPRISE']
2	"""Mother, have you heard about our summer holidays yet?"" said Julian, at the breakfast-table. "	— Мама, ты уже решила что-нибудь насчет наших каникул? — спросил Джулиан за завтраком. 	['—', 'Мама', 'ты', 'уже', 'решила', 'что-нибудь', 'насчет', 'наших', 'каникул', '—', 'спросил', 'Джулиан', 'за', 'завтраком']	['Mother', 'have', 'you', 'heard', 'about', 'our', 'summer', 'holidays', 'yet', 'said', 'Julian', 'at', 'the', 'breakfast-table']
3	"""Can we go to Polseath as usual?"" "	— Поедем, как всегда, в Полсит? 	['—', 'Поедем', 'как', 'всегда', 'в', 'Полсит']	['Can', 'we', 'go', 'to', 'Polseath', 'as', 'usual']
4	"""I'm afraid not,"" said his mother. "	— Боюсь, что нет, — ответила мама. 	['—', 'Боюсь', 'что', 'нет', '—', 'ответила', 'мама']	"[""I'm"", 'afraid', 'not', 'said', 'his', 'mother']"
5	"""They are quite full up this year."" "	— В этом году у них и без нас полно постояльцев. 	['—', 'В', 'этом', 'году', 'у', 'них', 'и', 'без', 'нас', 'полно', 'постояльцев']	['They', 'are', 'quite', 'full', 'up', 'this', 'year']
6	The three children at the breakfast-table looked at one another in great disappointment. 	Трое ребят за столом разочарованно посмотрели друг на друга. 	['Трое', 'ребят', 'за', 'столом', 'разочарованно', 'посмотрели', 'друг', 'на', 'друга']	['The', 'three', 'children', 'at', 'the', 'breakfast-table', 'looked', 'at', 'one', 'another', 'in', 'great', 'disappointment']
7	They did so love the house at Polseath. 	Им так нравился дом в Полсите. 	['Им', 'так', 'нравился', 'дом', 'в', 'Полсите']	['They', 'did', 'so', 'love', 'the', 'house', 'at', 'Polseath']
8	The beach was so lovely there, too, and the bathing was fine. 	А потом, там такой чудесный пляж и такое купание! 	['А', 'потом', 'там', 'такой', 'чудесный', 'пляж', 'и', 'такое', 'купание']	['The', 'beach', 'was', 'so', 'lovely', 'there', 'too', 'and', 'the', 'bathing', 'was', 'fine']
9	"""Cheer up,"" said Daddy. "	— Не расстраивайтесь, — утешил их папа. 	['—', 'Не', 'расстраивайтесь', '—', 'утешил', 'их', 'папа']	['Cheer', 'up', 'said', 'Daddy']
