	en	ru	ru_tokens	en_tokens
0	Chapter 1 	Глава 1. 	['Глава', '1']	['Chapter', '1']
1	...in which we are introduced to Winnie-the-Pooh and some bees, and the stories begin 	В которой нас знакомят с Винни-Пухом и пчелами, с чего и начинаются все истории. 	['В', 'которой', 'нас', 'знакомят', 'с', 'Винни-Пухом', 'и', 'пчелами', 'с', 'чего', 'и', 'начинаются', 'все', 'истории']	['in', 'which', 'we', 'are', 'introduced', 'to', 'Winnie-the-Pooh', 'and', 'some', 'bees', 'and', 'the', 'stories', 'begin']
2	HERE is Edward Bear, coming downstairs now, bump, bump, bump, on the back of his head, behind Christopher Robin. 	Это -- Эдуард Бэр, в данный момент  спускающийся по  лестнице, -- бух,бух,бух,  -- затылочной частью своей  головы, позади Кристофера  Робина. 	['Это', 'Эдуард', 'Бэр', 'в', 'данный', 'момент', 'спускающийся', 'по', 'лестнице', 'бух,бух,бух', 'затылочной', 'частью', 'своей', 'головы', 'позади', 'Кристофера', 'Робина']	['HERE', 'is', 'Edward', 'Bear', 'coming', 'downstairs', 'now', 'bump', 'bump', 'bump', 'on', 'the', 'back', 'of', 'his', 'head', 'behind', 'Christopher', 'Robin']
3	It is, as far as he knows, the only way of coming downstairs, but sometimes he feels that there really is another way, if only he could stop bumping for a moment and think of it. 	Это, насколько он знает, единственный способ спускаться вниз; правда, иногда он  чувствует,  что на  самом  деле можно найти  другой  способ, если только остановиться, перестать на секунду  делать bump и сосредоточиться. 	['Это', 'насколько', 'он', 'знает', 'единственный', 'способ', 'спускаться', 'вниз', 'правда', 'иногда', 'он', 'чувствует', 'что', 'на', 'самом', 'деле', 'можно', 'найти', 'другой', 'способ', 'если', 'только', 'остановиться', 'перестать', 'на', 'секунду', 'делать', 'bump', 'и', 'сосредоточиться']	['It', 'is', 'as', 'far', 'as', 'he', 'knows', 'the', 'only', 'way', 'of', 'coming', 'downstairs', 'but', 'sometimes', 'he', 'feels', 'that', 'there', 'really', 'is', 'another', 'way', 'if', 'only', 'he', 'could', 'stop', 'bumping', 'for', 'a', 'moment', 'and', 'think', 'of', 'it']
4	And then he feels that perhaps there isn't. 	А  иногда ему кажется, что, возможно, иного пути нет. 	['А', 'иногда', 'ему', 'кажется', 'что', 'возможно', 'иного', 'пути', 'нет']	"['And', 'then', 'he', 'feels', 'that', 'perhaps', 'there', ""isn't""]"
5	Anyhow, here he is at the bottom, and ready to be introduced to you. 	Тем не менее, он уже внизу и рад с вами познакомиться. 	['Тем', 'не', 'менее', 'он', 'уже', 'внизу', 'и', 'рад', 'с', 'вами', 'познакомиться']	['Anyhow', 'here', 'he', 'is', 'at', 'the', 'bottom', 'and', 'ready', 'to', 'be', 'introduced', 'to', 'you']
6	Winnie-the-Pooh. 	Винни-Пух. 	['Винни-Пух']	['Winnie-the-Pooh']
7	When I first heard his name, I said, just as you are going to say, 	Когда я впервые услышал его имя, я сказал, точно так же, как вы  теперь собирались сказать: 	['Когда', 'я', 'впервые', 'услышал', 'его', 'имя', 'я', 'сказал', 'точно', 'так', 'же', 'как', 'вы', 'теперь', 'собирались', 'сказать']	['When', 'I', 'first', 'heard', 'his', 'name', 'I', 'said', 'just', 'as', 'you', 'are', 'going', 'to', 'say']
8	"""But I thought he was a boy?"" "	"""Но я думал, он мальчик?"" "	['Но', 'я', 'думал', 'он', 'мальчик']	['But', 'I', 'thought', 'he', 'was', 'a', 'boy']
9	"""So did I,"" said Christopher Robin. "	"""Ну да"", говорит Кристофер Робин. "	['Ну', 'да', 'говорит', 'Кристофер', 'Робин']	['So', 'did', 'I', 'said', 'Christopher', 'Robin']
