	en	ru	ru_tokens	en_tokens
0	There is one day that is ours. 	Есть в году один день, который принадлежит нам. 	['Есть', 'в', 'году', 'один', 'день', 'который', 'принадлежит', 'нам']	['There', 'is', 'one', 'day', 'that', 'is', 'ours']
1	There is one day when all we Americans who are not self-made go back to the old home to eat saleratus biscuits and marvel how much nearer to the porch the old pump looks than it used to. 	День, когда все мы, американцы, не выросшие на улице, возвращаемся в свой отчий дом, лакомимся содовым печеньем и дивимся тому, что старый колодец гораздо ближе к крыльцу, чем нам казалось. 	['День', 'когда', 'все', 'мы', 'американцы', 'не', 'выросшие', 'на', 'улице', 'возвращаемся', 'в', 'свой', 'отчий', 'дом', 'лакомимся', 'содовым', 'печеньем', 'и', 'дивимся', 'тому', 'что', 'старый', 'колодец', 'гораздо', 'ближе', 'к', 'крыльцу', 'чем', 'нам', 'казалось']	['There', 'is', 'one', 'day', 'when', 'all', 'we', 'Americans', 'who', 'are', 'not', 'self-made', 'go', 'back', 'to', 'the', 'old', 'home', 'to', 'eat', 'saleratus', 'biscuits', 'and', 'marvel', 'how', 'much', 'nearer', 'to', 'the', 'porch', 'the', 'old', 'pump', 'looks', 'than', 'it', 'used', 'to']
2	Bless the day. 	Да будет благословен этот день! 	['Да', 'будет', 'благословен', 'этот', 'день']	['Bless', 'the', 'day']
3	President Roosevelt gives it to us. 	Нас оповещает о нем президент Рузвельт (1). 	['Нас', 'оповещает', 'о', 'нем', 'президент', 'Рузвельт', '1']	['President', 'Roosevelt', 'gives', 'it', 'to', 'us']
4	We hear some talk of the Puritans, but don't just remember who they were. 	Что-то говорится в эти дни о пуританах, только никто уже не может вспомнить, кто они были. 	['Что-то', 'говорится', 'в', 'эти', 'дни', 'о', 'пуританах', 'только', 'никто', 'уже', 'не', 'может', 'вспомнить', 'кто', 'они', 'были']	"['We', 'hear', 'some', 'talk', 'of', 'the', 'Puritans', 'but', ""don't"", 'just', 'remember', 'who', 'they', 'were']"
5	Bet we can lick 'em, anyhow, if they try to land again. 	Во всяком случае мы бы, конечно, намяли им бока, если б они снова попробовали высадиться здесь. 	['Во', 'всяком', 'случае', 'мы', 'бы', 'конечно', 'намяли', 'им', 'бока', 'если', 'б', 'они', 'снова', 'попробовали', 'высадиться', 'здесь']	"['Bet', 'we', 'can', 'lick', ""'em"", 'anyhow', 'if', 'they', 'try', 'to', 'land', 'again']"
6	Plymouth Rocks? Well, that sounds more familiar. 	Плимут Рокс? (2) Вот это уже более знакомо. 	['Плимут', 'Рокс', '2', 'Вот', 'это', 'уже', 'более', 'знакомо']	['Plymouth', 'Rocks', 'Well', 'that', 'sounds', 'more', 'familiar']
7	Lots of us have had to come down to hens since the Turkey Trust got its work in. 	Многим из нас пришлось перейти на курятину, с тех пор как индейками занялся могущественный Трест. 	['Многим', 'из', 'нас', 'пришлось', 'перейти', 'на', 'курятину', 'с', 'тех', 'пор', 'как', 'индейками', 'занялся', 'могущественный', 'Трест']	['Lots', 'of', 'us', 'have', 'had', 'to', 'come', 'down', 'to', 'hens', 'since', 'the', 'Turkey', 'Trust', 'got', 'its', 'work', 'in']
8	But somebody in Washington is leaking out advance information to 'em about these Thanksgiving proclamations. 	Не иначе, кто-то в Вашингтоне заранее сообщает им о дне праздника. 	['Не', 'иначе', 'кто-то', 'в', 'Вашингтоне', 'заранее', 'сообщает', 'им', 'о', 'дне', 'праздника']	"['But', 'somebody', 'in', 'Washington', 'is', 'leaking', 'out', 'advance', 'information', 'to', ""'em"", 'about', 'these', 'Thanksgiving', 'proclamations']"
9	The big city east of the cranberry bogs has made Thanksgiving Day an institution. 	Великий город, расположенный на восток от поросших клюквой болот, возвел День Благодарения в национальную традицию. 	['Великий', 'город', 'расположенный', 'на', 'восток', 'от', 'поросших', 'клюквой', 'болот', 'возвел', 'День', 'Благодарения', 'в', 'национальную', 'традицию']	['The', 'big', 'city', 'east', 'of', 'the', 'cranberry', 'bogs', 'has', 'made', 'Thanksgiving', 'Day', 'an', 'institution']
