	en	ru	ru_tokens	en_tokens
0	THE RANSOM OF RED CHIEF 	О'Генри Вождь краснокожих 	"[""О'Генри"", 'Вождь', 'краснокожих']"	['THE', 'RANSOM', 'OF', 'RED', 'CHIEF']
1	It looked like a good thing: but wait till I tell you. 	Дельце как будто подвертывалось выгодное. 	['Дельце', 'как', 'будто', 'подвертывалось', 'выгодное']	['It', 'looked', 'like', 'a', 'good', 'thing', 'but', 'wait', 'till', 'I', 'tell', 'you']
2	We were down South, in Alabama—Bill Driscoll and myself—when this kidnapping idea struck us. 	Но погодите, дайте я вам сначала расскажу. Мы были тогда с Биллом Дрисколлом на Юге, в штате Алабама. Там нас и осенила блестящая идея насчет похищения. 	['Но', 'погодите', 'дайте', 'я', 'вам', 'сначала', 'расскажу', 'Мы', 'были', 'тогда', 'с', 'Биллом', 'Дрисколлом', 'на', 'Юге', 'в', 'штате', 'Алабама', 'Там', 'нас', 'и', 'осенила', 'блестящая', 'идея', 'насчет', 'похищения']	['We', 'were', 'down', 'South', 'in', 'Alabama—Bill', 'Driscoll', 'and', 'myself—when', 'this', 'kidnapping', 'idea', 'struck', 'us']
3	"It was, as Bill afterward expressed it, ""during a moment of temporary mental apparition""; but we didn't find that out till later. "	"Должно быть, как говаривал потом Билл, ""нашло временное помрачение ума"", - только мы-то об этом догадались много позже. "	['Должно', 'быть', 'как', 'говаривал', 'потом', 'Билл', 'нашло', 'временное', 'помрачение', 'ума', 'только', 'мы-то', 'об', 'этом', 'догадались', 'много', 'позже']	"['It', 'was', 'as', 'Bill', 'afterward', 'expressed', 'it', 'during', 'a', 'moment', 'of', 'temporary', 'mental', 'apparition', 'but', 'we', ""didn't"", 'find', 'that', 'out', 'till', 'later']"
4	There was a town down there, as flat as a flannel-cake, and called Summit, of course. 	"Есть там один городишко, плоский, как блин, и, конечно, называется ""Вершины"". "	['Есть', 'там', 'один', 'городишко', 'плоский', 'как', 'блин', 'и', 'конечно', 'называется', 'Вершины']	['There', 'was', 'a', 'town', 'down', 'there', 'as', 'flat', 'as', 'a', 'flannel-cake', 'and', 'called', 'Summit', 'of', 'course']
5	It contained inhabitants of as undeleterious and self-satisfied a class of peasantry as ever clustered around a Maypole. 	Живет в нем самая безобидная и всем довольная деревенщина, какой впору только плясать вокруг майского шеста. 	['Живет', 'в', 'нем', 'самая', 'безобидная', 'и', 'всем', 'довольная', 'деревенщина', 'какой', 'впору', 'только', 'плясать', 'вокруг', 'майского', 'шеста']	['It', 'contained', 'inhabitants', 'of', 'as', 'undeleterious', 'and', 'self-satisfied', 'a', 'class', 'of', 'peasantry', 'as', 'ever', 'clustered', 'around', 'a', 'Maypole']
6	Bill and me had a joint capital of about six hundred dollars, and we needed just two thousand dollars more to pull off a fraudulent town-lot scheme in Western Illinois with. 	У нас с Биллом было в то время долларов шестьсот объединенного капитала, а требовалось нам еще ровно две тысячи на проведение жульнической спекуляции земельными участками в Западном Иллинойсе. 	['У', 'нас', 'с', 'Биллом', 'было', 'в', 'то', 'время', 'долларов', 'шестьсот', 'объединенного', 'капитала', 'а', 'требовалось', 'нам', 'еще', 'ровно', 'две', 'тысячи', 'на', 'проведение', 'жульнической', 'спекуляции', 'земельными', 'участками', 'в', 'Западном', 'Иллинойсе']	['Bill', 'and', 'me', 'had', 'a', 'joint', 'capital', 'of', 'about', 'six', 'hundred', 'dollars', 'and', 'we', 'needed', 'just', 'two', 'thousand', 'dollars', 'more', 'to', 'pull', 'off', 'a', 'fraudulent', 'town-lot', 'scheme', 'in', 'Western', 'Illinois', 'with']
7	We talked it over on the front steps of the hotel. 	Мы поговорили об этом, сидя на крыльце гостиницы. 	['Мы', 'поговорили', 'об', 'этом', 'сидя', 'на', 'крыльце', 'гостиницы']	['We', 'talked', 'it', 'over', 'on', 'the', 'front', 'steps', 'of', 'the', 'hotel']
8	Philoprogenitiveness, says we, is strong in semi-rural communities; therefore and for other reasons, a kidnapping project ought to do better there than in the radius of newspapers that send reporters out in plain clothes to stir up talk about such things. 	Чадолюбие, говорили мы, сильно развито в полудеревенских общинах; а поэтому, а также и по другим причинам план похищения легче будет осуществить здесь, чем в радиусе действия газет, которые поднимают в таких случаях шум, рассылая во все стороны переодетых корреспондентов. 	['Чадолюбие', 'говорили', 'мы', 'сильно', 'развито', 'в', 'полудеревенских', 'общинах', 'а', 'поэтому', 'а', 'также', 'и', 'по', 'другим', 'причинам', 'план', 'похищения', 'легче', 'будет', 'осуществить', 'здесь', 'чем', 'в', 'радиусе', 'действия', 'газет', 'которые', 'поднимают', 'в', 'таких', 'случаях', 'шум', 'рассылая', 'во', 'все', 'стороны', 'переодетых', 'корреспондентов']	['Philoprogenitiveness', 'says', 'we', 'is', 'strong', 'in', 'semi-rural', 'communities', 'therefore', 'and', 'for', 'other', 'reasons', 'a', 'kidnapping', 'project', 'ought', 'to', 'do', 'better', 'there', 'than', 'in', 'the', 'radius', 'of', 'newspapers', 'that', 'send', 'reporters', 'out', 'in', 'plain', 'clothes', 'to', 'stir', 'up', 'talk', 'about', 'such', 'things']
9	We knew that Summit couldn't get after us with anything stronger than constables and maybe some lackadaisical bloodhounds and a diatribe or two in the Weekly Farmers' Budget. 	"Мы знали, ""что городишко не может послать за нами в погоню ничего страшнее констеблей, да каких-нибудь сентиментальных ищеек, да двух-трех обличительных заметок в ""Еженедельном бюджете фермера"". "	['Мы', 'знали', 'что', 'городишко', 'не', 'может', 'послать', 'за', 'нами', 'в', 'погоню', 'ничего', 'страшнее', 'констеблей', 'да', 'каких-нибудь', 'сентиментальных', 'ищеек', 'да', 'двух-трех', 'обличительных', 'заметок', 'в', 'Еженедельном', 'бюджете', 'фермера']	"['We', 'knew', 'that', 'Summit', ""couldn't"", 'get', 'after', 'us', 'with', 'anything', 'stronger', 'than', 'constables', 'and', 'maybe', 'some', 'lackadaisical', 'bloodhounds', 'and', 'a', 'diatribe', 'or', 'two', 'in', 'the', 'Weekly', ""Farmers'"", 'Budget']"
10	So, it looked good. 	Как будто получалось недурно. 	['Как', 'будто', 'получалось', 'недурно']	['So', 'it', 'looked', 'good']
11	We selected for our victim the only child of a prominent citizen named Ebenezer Dorset. 	Мы выбрали нашей жертвой единственного сына самого видного из горожан, по имени Эбенезер Дорсет. 	['Мы', 'выбрали', 'нашей', 'жертвой', 'единственного', 'сына', 'самого', 'видного', 'из', 'горожан', 'по', 'имени', 'Эбенезер', 'Дорсет']	['We', 'selected', 'for', 'our', 'victim', 'the', 'only', 'child', 'of', 'a', 'prominent', 'citizen', 'named', 'Ebenezer', 'Dorset']
12	The father was respectable and tight, a mortgage fancier and a stern, upright collection-plate passer and forecloser. 	Папаша был человек почтенный и прижимистый, любитель просроченных закладных, честный и неподкупный церковный сборщик. 	['Папаша', 'был', 'человек', 'почтенный', 'и', 'прижимистый', 'любитель', 'просроченных', 'закладных', 'честный', 'и', 'неподкупный', 'церковный', 'сборщик']	['The', 'father', 'was', 'respectable', 'and', 'tight', 'a', 'mortgage', 'fancier', 'and', 'a', 'stern', 'upright', 'collection-plate', 'passer', 'and', 'forecloser']
13	The kid was a boy of ten, with bas-relief freckles, and hair the colour of the cover of the magazine you buy at the news-stand when you want to catch a train. 	Сынок был мальчишка лет десяти, с выпуклыми веснушками по всему лицу и волосами приблизительно такого цвета, как обложка журнала, который покупаешь обычно в киоске, спеша на поезд. 	['Сынок', 'был', 'мальчишка', 'лет', 'десяти', 'с', 'выпуклыми', 'веснушками', 'по', 'всему', 'лицу', 'и', 'волосами', 'приблизительно', 'такого', 'цвета', 'как', 'обложка', 'журнала', 'который', 'покупаешь', 'обычно', 'в', 'киоске', 'спеша', 'на', 'поезд']	['The', 'kid', 'was', 'a', 'boy', 'of', 'ten', 'with', 'bas-relief', 'freckles', 'and', 'hair', 'the', 'colour', 'of', 'the', 'cover', 'of', 'the', 'magazine', 'you', 'buy', 'at', 'the', 'news-stand', 'when', 'you', 'want', 'to', 'catch', 'a', 'train']
14	Bill and me figured that Ebenezer would melt down for a ransom of two thousand dollars to a cent. 	Мы с Биллом рассчитывали, что Эбенезер сразу выложит нам за сынка две тысячи долларов, никак не меньше. 	['Мы', 'с', 'Биллом', 'рассчитывали', 'что', 'Эбенезер', 'сразу', 'выложит', 'нам', 'за', 'сынка', 'две', 'тысячи', 'долларов', 'никак', 'не', 'меньше']	['Bill', 'and', 'me', 'figured', 'that', 'Ebenezer', 'would', 'melt', 'down', 'for', 'a', 'ransom', 'of', 'two', 'thousand', 'dollars', 'to', 'a', 'cent']
15	But wait till I tell you. 	Но погодите, дайте я вам сначала расскажу. 	['Но', 'погодите', 'дайте', 'я', 'вам', 'сначала', 'расскажу']	['But', 'wait', 'till', 'I', 'tell', 'you']
16	About two miles from Summit was a little mountain, covered with a dense cedar brake. 	Милях в двух от города есть невысокая гора, поросшая густым кедровником. 	['Милях', 'в', 'двух', 'от', 'города', 'есть', 'невысокая', 'гора', 'поросшая', 'густым', 'кедровником']	['About', 'two', 'miles', 'from', 'Summit', 'was', 'a', 'little', 'mountain', 'covered', 'with', 'a', 'dense', 'cedar', 'brake']
17	On the rear elevation of this mountain was a cave. 	В заднем склоне этой горы имеется пещера. 	['В', 'заднем', 'склоне', 'этой', 'горы', 'имеется', 'пещера']	['On', 'the', 'rear', 'elevation', 'of', 'this', 'mountain', 'was', 'a', 'cave']
18	There we stored provisions. 	Там мы сложили провизию. 	['Там', 'мы', 'сложили', 'провизию']	['There', 'we', 'stored', 'provisions']
19	One evening after sundown, we drove in a buggy past old Dorset's house. 	Однажды вечером, после захода солнца, мы проехались в шарабане мимо дома старика Дорсета. 	['Однажды', 'вечером', 'после', 'захода', 'солнца', 'мы', 'проехались', 'в', 'шарабане', 'мимо', 'дома', 'старика', 'Дорсета']	"['One', 'evening', 'after', 'sundown', 'we', 'drove', 'in', 'a', 'buggy', 'past', 'old', ""Dorset's"", 'house']"
20	The kid was in the street, throwing rocks at a kitten on the opposite fence. 	Мальчишка был на улице и швырял камнями в котенка, сидевшего на заборе. 	['Мальчишка', 'был', 'на', 'улице', 'и', 'швырял', 'камнями', 'в', 'котенка', 'сидевшего', 'на', 'заборе']	['The', 'kid', 'was', 'in', 'the', 'street', 'throwing', 'rocks', 'at', 'a', 'kitten', 'on', 'the', 'opposite', 'fence']
21	"""Hey, little boy!"" says Bill, ""would you like to have a bag of candy and a nice ride?"" "	- Эй, мальчик! - говорил Билл. - Хочешь получить пакетик леденцов и прокатиться? 	['Эй', 'мальчик', 'говорил', 'Билл', 'Хочешь', 'получить', 'пакетик', 'леденцов', 'и', 'прокатиться']	['Hey', 'little', 'boy', 'says', 'Bill', 'would', 'you', 'like', 'to', 'have', 'a', 'bag', 'of', 'candy', 'and', 'a', 'nice', 'ride']
22	The boy catches Bill neatly in the eye with a piece of brick. 	Мальчишка засветил Биллу в самый глаз обломком кирпича. 	['Мальчишка', 'засветил', 'Биллу', 'в', 'самый', 'глаз', 'обломком', 'кирпича']	['The', 'boy', 'catches', 'Bill', 'neatly', 'in', 'the', 'eye', 'with', 'a', 'piece', 'of', 'brick']
23	"""That will cost the old man an extra five hundred dollars,"" says Bill, climbing over the wheel. "	- Это обойдется старику в лишних пятьсот долларов, сказал Билл, перелезая через колесо. 	['Это', 'обойдется', 'старику', 'в', 'лишних', 'пятьсот', 'долларов', 'сказал', 'Билл', 'перелезая', 'через', 'колесо']	['That', 'will', 'cost', 'the', 'old', 'man', 'an', 'extra', 'five', 'hundred', 'dollars', 'says', 'Bill', 'climbing', 'over', 'the', 'wheel']
24	That boy put up a fight like a welter-weight cinnamon bear; but, at last, we got him down in the bottom of the buggy and drove away. 	Мальчишка этот дрался, как бурый медведь среднего веса, но в конце концов мы его запихали на дно шарабана и поехали. 	['Мальчишка', 'этот', 'дрался', 'как', 'бурый', 'медведь', 'среднего', 'веса', 'но', 'в', 'конце', 'концов', 'мы', 'его', 'запихали', 'на', 'дно', 'шарабана', 'и', 'поехали']	['That', 'boy', 'put', 'up', 'a', 'fight', 'like', 'a', 'welter-weight', 'cinnamon', 'bear', 'but', 'at', 'last', 'we', 'got', 'him', 'down', 'in', 'the', 'bottom', 'of', 'the', 'buggy', 'and', 'drove', 'away']
25	We took him up to the cave and I hitched the horse in the cedar brake. 	Мы отвели мальчишку в пещеру, а лошадь я привязал в кедровнике. 	['Мы', 'отвели', 'мальчишку', 'в', 'пещеру', 'а', 'лошадь', 'я', 'привязал', 'в', 'кедровнике']	['We', 'took', 'him', 'up', 'to', 'the', 'cave', 'and', 'I', 'hitched', 'the', 'horse', 'in', 'the', 'cedar', 'brake']
26	After dark I drove the buggy to the little village, three miles away, where we had hired it, and walked back to the mountain. 	Когда стемнело, я отвез шарабан в деревушку, где мы его нанимали, милях в трех от нас, а оттуда прогулялся к горе пешком. 	['Когда', 'стемнело', 'я', 'отвез', 'шарабан', 'в', 'деревушку', 'где', 'мы', 'его', 'нанимали', 'милях', 'в', 'трех', 'от', 'нас', 'а', 'оттуда', 'прогулялся', 'к', 'горе', 'пешком']	['After', 'dark', 'I', 'drove', 'the', 'buggy', 'to', 'the', 'little', 'village', 'three', 'miles', 'away', 'where', 'we', 'had', 'hired', 'it', 'and', 'walked', 'back', 'to', 'the', 'mountain']
27	Bill was pasting court-plaster over the scratches and bruises on his features. 	Смотрю, Билл заклеивает липким пластырем царапины и ссадины на своей физиономии. 	['Смотрю', 'Билл', 'заклеивает', 'липким', 'пластырем', 'царапины', 'и', 'ссадины', 'на', 'своей', 'физиономии']	['Bill', 'was', 'pasting', 'court-plaster', 'over', 'the', 'scratches', 'and', 'bruises', 'on', 'his', 'features']
28	There was a fire burning behind the big rock at the entrance of the cave, and the boy was watching a pot of boiling coffee, with two buzzard tail-feathers stuck in his red hair. 	Позади большой скалы у входа в пещеру горит костер, и мальчишка с двумя ястребиными перьями в рыжих волосах следит за кипящим кофейником. 	['Позади', 'большой', 'скалы', 'у', 'входа', 'в', 'пещеру', 'горит', 'костер', 'и', 'мальчишка', 'с', 'двумя', 'ястребиными', 'перьями', 'в', 'рыжих', 'волосах', 'следит', 'за', 'кипящим', 'кофейником']	['There', 'was', 'a', 'fire', 'burning', 'behind', 'the', 'big', 'rock', 'at', 'the', 'entrance', 'of', 'the', 'cave', 'and', 'the', 'boy', 'was', 'watching', 'a', 'pot', 'of', 'boiling', 'coffee', 'with', 'two', 'buzzard', 'tail-feathers', 'stuck', 'in', 'his', 'red', 'hair']
29	He points a stick at me when I come up, and says: 	Подхожу я, а он нацелился в меня палкой и говорит: 	['Подхожу', 'я', 'а', 'он', 'нацелился', 'в', 'меня', 'палкой', 'и', 'говорит']	['He', 'points', 'a', 'stick', 'at', 'me', 'when', 'I', 'come', 'up', 'and', 'says']
30	"""Ha! cursed paleface, do you dare to enter the camp of Red Chief, the terror of the plains? "	- А, проклятый бледнолицый, как ты смеешь являться в лагерь Вождя Краснокожих, грозы равнин? 	['А', 'проклятый', 'бледнолицый', 'как', 'ты', 'смеешь', 'являться', 'в', 'лагерь', 'Вождя', 'Краснокожих', 'грозы', 'равнин']	['Ha', 'cursed', 'paleface', 'do', 'you', 'dare', 'to', 'enter', 'the', 'camp', 'of', 'Red', 'Chief', 'the', 'terror', 'of', 'the', 'plains']
