	en	ru	ru_tokens	en_tokens
0	Of course there are two sides to the question. 	Конечно, у этой проблемы есть две стороны. 	['Конечно', 'у', 'этой', 'проблемы', 'есть', 'две', 'стороны']	['Of', 'course', 'there', 'are', 'two', 'sides', 'to', 'the', 'question']
1	Let us look at the other. 	Рассмотрим вторую. 	['Рассмотрим', 'вторую']	['Let', 'us', 'look', 'at', 'the', 'other']
2	"We often hear ""shop-girls"" spoken of. "	Нередко приходится слышать о «продавщицах». 	['Нередко', 'приходится', 'слышать', 'о', '«продавщицах»']	['We', 'often', 'hear', 'shop-girls', 'spoken', 'of']
3	No such persons exist. 	Но их не существует. 	['Но', 'их', 'не', 'существует']	['No', 'such', 'persons', 'exist']
4	There are girls who work in shops. 	Есть девушки, которые работают в магазинах. 	['Есть', 'девушки', 'которые', 'работают', 'в', 'магазинах']	['There', 'are', 'girls', 'who', 'work', 'in', 'shops']
5	They make their living that way. 	Это их профессия. 	['Это', 'их', 'профессия']	['They', 'make', 'their', 'living', 'that', 'way']
6	But why turn their occupation into an adjective? 	Однако с какой стати название профессии превращать в определение человека? 	['Однако', 'с', 'какой', 'стати', 'название', 'профессии', 'превращать', 'в', 'определение', 'человека']	['But', 'why', 'turn', 'their', 'occupation', 'into', 'an', 'adjective']
7	Let us be fair. 	Будем справедливы. 	['Будем', 'справедливы']	['Let', 'us', 'be', 'fair']
8	"We do not refer to the girls who live on Fifth Avenue as ""marriage-girls."" "	Ведь мы не именуем девушек, живущих на Пятой авеню, «невестами». 	['Ведь', 'мы', 'не', 'именуем', 'девушек', 'живущих', 'на', 'Пятой', 'авеню', '«невестами»']	['We', 'do', 'not', 'refer', 'to', 'the', 'girls', 'who', 'live', 'on', 'Fifth', 'Avenue', 'as', 'marriage-girls']
9	Lou and Nancy were chums. 	Лу и Нэнси были подругами. 	['Лу', 'и', 'Нэнси', 'были', 'подругами']	['Lou', 'and', 'Nancy', 'were', 'chums']
10	They came to the big city to find work because there was not enough to eat at their homes to go around. 	Они приехали в Нью-Йорк искать работы, потому что родители не могли их прокормить. 	['Они', 'приехали', 'в', 'Нью-Йорк', 'искать', 'работы', 'потому', 'что', 'родители', 'не', 'могли', 'их', 'прокормить']	['They', 'came', 'to', 'the', 'big', 'city', 'to', 'find', 'work', 'because', 'there', 'was', 'not', 'enough', 'to', 'eat', 'at', 'their', 'homes', 'to', 'go', 'around']
11	Nancy was nineteen; Lou was twenty. 	Нэнси было девятнадцать лет, Лу — двадцать. 	['Нэнси', 'было', 'девятнадцать', 'лет', 'Лу', '—', 'двадцать']	['Nancy', 'was', 'nineteen', 'Lou', 'was', 'twenty']
12	Both were pretty, active, country girls who had no ambition to go on the stage. 	Это были хорошенькие трудолюбивые девушки из провинции, не мечтавшие о сценической карьере. 	['Это', 'были', 'хорошенькие', 'трудолюбивые', 'девушки', 'из', 'провинции', 'не', 'мечтавшие', 'о', 'сценической', 'карьере']	['Both', 'were', 'pretty', 'active', 'country', 'girls', 'who', 'had', 'no', 'ambition', 'to', 'go', 'on', 'the', 'stage']
13	The little cherub that sits up aloft guided them to a cheap and respectable boarding-house. 	Ангел-хранитель привел их в дешевый и приличный пансион. 	['Ангел-хранитель', 'привел', 'их', 'в', 'дешевый', 'и', 'приличный', 'пансион']	['The', 'little', 'cherub', 'that', 'sits', 'up', 'aloft', 'guided', 'them', 'to', 'a', 'cheap', 'and', 'respectable', 'boarding-house']
14	Both found positions and became wage-earners. 	Обе нашли место и начали самостоятельную жизнь. 	['Обе', 'нашли', 'место', 'и', 'начали', 'самостоятельную', 'жизнь']	['Both', 'found', 'positions', 'and', 'became', 'wage-earners']
15	They remained chums. 	Они остались подругами. 	['Они', 'остались', 'подругами']	['They', 'remained', 'chums']
