	en	ru	ru_tokens	en_tokens
0	One dollar and eighty-seven cents. 	Один доллар восемьдесят семь центов. 	['Один', 'доллар', 'восемьдесят', 'семь', 'центов']	['One', 'dollar', 'and', 'eighty-seven', 'cents']
1	That was all. 	Это было все. 	['Это', 'было', 'все']	['That', 'was', 'all']
2	And sixty cents of it was in pennies. 	Из них шестьдесят центов монетками по одному центу. 	['Из', 'них', 'шестьдесят', 'центов', 'монетками', 'по', 'одному', 'центу']	['And', 'sixty', 'cents', 'of', 'it', 'was', 'in', 'pennies']
3	Pennies saved one and two at a time by bulldozing the grocer and the vegetable man and the butcher until one's cheeks burned with the silent imputation of parsimony that such close dealing implied. 	За каждую из этих монеток пришлось торговаться с бакалейщиком, зеленщиком, мясником так, что даже уши горели от безмолвного неодобрения, которое вызывала подобная бережливость. 	['За', 'каждую', 'из', 'этих', 'монеток', 'пришлось', 'торговаться', 'с', 'бакалейщиком', 'зеленщиком', 'мясником', 'так', 'что', 'даже', 'уши', 'горели', 'от', 'безмолвного', 'неодобрения', 'которое', 'вызывала', 'подобная', 'бережливость']	"['Pennies', 'saved', 'one', 'and', 'two', 'at', 'a', 'time', 'by', 'bulldozing', 'the', 'grocer', 'and', 'the', 'vegetable', 'man', 'and', 'the', 'butcher', 'until', ""one's"", 'cheeks', 'burned', 'with', 'the', 'silent', 'imputation', 'of', 'parsimony', 'that', 'such', 'close', 'dealing', 'implied']"
4	Three times Della counted it. 	Делла пересчитала три раза. 	['Делла', 'пересчитала', 'три', 'раза']	['Three', 'times', 'Della', 'counted', 'it']
5	One dollar and eighty-seven cents. 	Один доллар восемьдесят семь центов. 	['Один', 'доллар', 'восемьдесят', 'семь', 'центов']	['One', 'dollar', 'and', 'eighty-seven', 'cents']
6	And the next day would be Christmas. 	А завтра рождество. 	['А', 'завтра', 'рождество']	['And', 'the', 'next', 'day', 'would', 'be', 'Christmas']
7	There was clearly nothing to do but flop down on the shabby little couch and howl. 	Единственное, что тут можно было сделать, это хлопнуться на старенькую кушетку и зареветь. 	['Единственное', 'что', 'тут', 'можно', 'было', 'сделать', 'это', 'хлопнуться', 'на', 'старенькую', 'кушетку', 'и', 'зареветь']	['There', 'was', 'clearly', 'nothing', 'to', 'do', 'but', 'flop', 'down', 'on', 'the', 'shabby', 'little', 'couch', 'and', 'howl']
8	So Della did it. 	Именно так Делла и поступила. 	['Именно', 'так', 'Делла', 'и', 'поступила']	['So', 'Della', 'did', 'it']
9	Which instigates the moral reflection that life is made up of sobs, sniffles, and smiles, with sniffles predominating. 	Откуда напрашивается философский вывод, что жизнь состоит из слез, вздохов и улыбок, причем вздохи преобладают. 	['Откуда', 'напрашивается', 'философский', 'вывод', 'что', 'жизнь', 'состоит', 'из', 'слез', 'вздохов', 'и', 'улыбок', 'причем', 'вздохи', 'преобладают']	['Which', 'instigates', 'the', 'moral', 'reflection', 'that', 'life', 'is', 'made', 'up', 'of', 'sobs', 'sniffles', 'and', 'smiles', 'with', 'sniffles', 'predominating']
