	en	ru	ru_tokens	en_tokens
0	Project Gutenberg's Twenty Thousand Leagues under the Sea, by Jules Verne 	ДВАДЦАТЬ ТЫСЯЧ ЛЬЕ ПОД ВОДОЙ 	['ДВАДЦАТЬ', 'ТЫСЯЧ', 'ЛЬЕ', 'ПОД', 'ВОДОЙ']	"['Project', ""Gutenberg's"", 'Twenty', 'Thousand', 'Leagues', 'under', 'the', 'Sea', 'by', 'Jules', 'Verne']"
1	This eBook is for the use of anyone anywhere at no cost and with 	Жюль ВЕРН 	['Жюль', 'ВЕРН']	['This', 'eBook', 'is', 'for', 'the', 'use', 'of', 'anyone', 'anywhere', 'at', 'no', 'cost', 'and', 'with']
2	almost no restrictions whatsoever.  You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.net Title: Twenty Thousand Leagues under the Sea Author: Jules Verne Release Date: May 24, 2008 [EBook #164] Language: English Character set encoding: ISO-8859-1 *** START OF THIS PROJECT GUTENBERG EBOOK 20000 LEAGUES UNDER THE SEA *** This etext was done by a number of anonymous volunteers of the Gutenberg Project, to whom we owe a great deal of thanks and to whom we dedicate this book. 	ONLINE БИБЛИОТЕКА http://www.bestlibrary.ru 	['ONLINE', 'БИБЛИОТЕКА', 'http://www.bestlibrary.ru']	['almost', 'no', 'restrictions', 'whatsoever', 'You', 'may', 'copy', 'it', 'give', 'it', 'away', 'or', 're-use', 'it', 'under', 'the', 'terms', 'of', 'the', 'Project', 'Gutenberg', 'License', 'included', 'with', 'this', 'eBook', 'or', 'online', 'at', 'www.gutenberg.net', 'Title', 'Twenty', 'Thousand', 'Leagues', 'under', 'the', 'Sea', 'Author', 'Jules', 'Verne', 'Release', 'Date', 'May', '24', '2008', 'EBook', '164', 'Language', 'English', 'Character', 'set', 'encoding', 'ISO-8859-1', 'START', 'OF', 'THIS', 'PROJECT', 'GUTENBERG', 'EBOOK', '20000', 'LEAGUES', 'UNDER', 'THE', 'SEA', 'This', 'etext', 'was', 'done', 'by', 'a', 'number', 'of', 'anonymous', 'volunteers', 'of', 'the', 'Gutenberg', 'Project', 'to', 'whom', 'we', 'owe', 'a', 'great', 'deal', 'of', 'thanks', 'and', 'to', 'whom', 'we', 'dedicate', 'this', 'book']
3	TWENTY THOUSAND LEAGUES UNDER THE SEA by JULES VERNE 	Кругосветное путешествие в морских глубинах 	['Кругосветное', 'путешествие', 'в', 'морских', 'глубинах']	['TWENTY', 'THOUSAND', 'LEAGUES', 'UNDER', 'THE', 'SEA', 'by', 'JULES', 'VERNE']
4	PART ONE 	ЧАСТЬ ПЕРВАЯ 	['ЧАСТЬ', 'ПЕРВАЯ']	['PART', 'ONE']
5	CHAPTER I A SHIFTING REEF 	1. ПЛАВАЮЩИЙ РИФ 	['1', 'ПЛАВАЮЩИЙ', 'РИФ']	['CHAPTER', 'I', 'A', 'SHIFTING', 'REEF']
6	The year 1866 was signalised by a remarkable incident, a mysterious and puzzling phenomenon, which doubtless no one has yet forgotten. Not to mention rumours which agitated the maritime population and excited the public mind, even in the interior of continents, seafaring men were particularly excited. Merchants, common sailors, captains of vessels, skippers, both of Europe and America, naval officers of all countries, and the Governments of several States on the two continents, were deeply interested in the matter. 	1866 год ознаменовался удивительным происшествием, которое, вероятно, еще многим памятно. Не говоря уже о том, что слухи, ходившие в связи с необъяснимым явлением, о котором идет речь, волновали жителей приморских городов и континентов, они еще сеяли тревогу и среди моряков. Купцы, судовладельцы, капитаны судов, Шкиперы как в Европе, так и в Америке, моряки военного флота всех стран, даже правительства различных государств Старого и Нового Света были озабочены событием, не поддающимся объяснению. 	['1866', 'год', 'ознаменовался', 'удивительным', 'происшествием', 'которое', 'вероятно', 'еще', 'многим', 'памятно', 'Не', 'говоря', 'уже', 'о', 'том', 'что', 'слухи', 'ходившие', 'в', 'связи', 'с', 'необъяснимым', 'явлением', 'о', 'котором', 'идет', 'речь', 'волновали', 'жителей', 'приморских', 'городов', 'и', 'континентов', 'они', 'еще', 'сеяли', 'тревогу', 'и', 'среди', 'моряков', 'Купцы', 'судовладельцы', 'капитаны', 'судов', 'Шкиперы', 'как', 'в', 'Европе', 'так', 'и', 'в', 'Америке', 'моряки', 'военного', 'флота', 'всех', 'стран', 'даже', 'правительства', 'различных', 'государств', 'Старого', 'и', 'Нового', 'Света', 'были', 'озабочены', 'событием', 'не', 'поддающимся', 'объяснению']	['The', 'year', '1866', 'was', 'signalised', 'by', 'a', 'remarkable', 'incident', 'a', 'mysterious', 'and', 'puzzling', 'phenomenon', 'which', 'doubtless', 'no', 'one', 'has', 'yet', 'forgotten', 'Not', 'to', 'mention', 'rumours', 'which', 'agitated', 'the', 'maritime', 'population', 'and', 'excited', 'the', 'public', 'mind', 'even', 'in', 'the', 'interior', 'of', 'continents', 'seafaring', 'men', 'were', 'particularly', 'excited', 'Merchants', 'common', 'sailors', 'captains', 'of', 'vessels', 'skippers', 'both', 'of', 'Europe', 'and', 'America', 'naval', 'officers', 'of', 'all', 'countries', 'and', 'the', 'Governments', 'of', 'several', 'States', 'on', 'the', 'two', 'continents', 'were', 'deeply', 'interested', 'in', 'the', 'matter']
7	"For some time past vessels had been met by ""an enormous thing,"" a long object, spindle-shaped, occasionally phosphorescent, and infinitely larger and more rapid in its movements than a whale. "	Дело в том, что с некоторого времени многие корабли стали встречать в море какой-то длинный, фосфоресцирующий, веретенообразный предмет, далеко превосходивший кита как размерами, так и быстротой передвижения. 	['Дело', 'в', 'том', 'что', 'с', 'некоторого', 'времени', 'многие', 'корабли', 'стали', 'встречать', 'в', 'море', 'какой-то', 'длинный', 'фосфоресцирующий', 'веретенообразный', 'предмет', 'далеко', 'превосходивший', 'кита', 'как', 'размерами', 'так', 'и', 'быстротой', 'передвижения']	['For', 'some', 'time', 'past', 'vessels', 'had', 'been', 'met', 'by', 'an', 'enormous', 'thing', 'a', 'long', 'object', 'spindle-shaped', 'occasionally', 'phosphorescent', 'and', 'infinitely', 'larger', 'and', 'more', 'rapid', 'in', 'its', 'movements', 'than', 'a', 'whale']
8	The facts relating to this apparition (entered in various log-books) agreed in most respects as to the shape of the object or creature in question, the untiring rapidity of its movements, its surprising power of locomotion, and the peculiar life with which it seemed endowed. If it was a whale, it surpassed in size all those hitherto classified in science. Taking into consideration the mean of observations made at divers times—rejecting the timid estimate of those who assigned to this object a length of two hundred feet, equally with the exaggerated opinions which set it down as a mile in width and three in length—we might fairly conclude that this mysterious being surpassed greatly all dimensions admitted by the learned ones of the day, if it existed at all. And that it DID exist was an undeniable fact; and, with that tendency which disposes the human mind in favour of the marvellous, we can understand the excitement produced in the entire world by this supernatural apparition. As to classing it in the list of fables, the idea was out of the question. 	Записи, сделанные в бортовых журналах разных судов, удивительно схожи в описании внешнего вида загадочного существа или предмета, неслыханной скорости и силы его движений, а также особенностей его поведения. Если это было китообразное, то, судя по описаниям, оно превосходило величиной всех доныне известных в науке представителей этого отряда. Ни Кювье, ни Ласепед, ни Дюмериль, ни Катрфаж не поверили бы в существование такого феномена, не увидав его собственными глазами, вернее глазами ученых. Оставляя без внимания чересчур осторожные оценки, по которым в пресловутом существе было не более двухсот футов длины, отвергая явные преувеличения, по которым оно рисовалось каким-то гигантом, - в ширину одна миля, в длину три мили! - все же надо было допустить, придерживаясь золотой середины, что диковинный зверь, если только он существует, в значительной степени превосходит размеры, установленные современными зоологами. По свойственной человеку склонности верить во всякие чудеса легко понять, как взволновало умы это необычное явление. Некоторые попытались было отнести всю эту историю в область пустых слухов, но напрасно! Животное все же существовало; этот факт не подлежал ни малейшему сомнению. 	['Записи', 'сделанные', 'в', 'бортовых', 'журналах', 'разных', 'судов', 'удивительно', 'схожи', 'в', 'описании', 'внешнего', 'вида', 'загадочного', 'существа', 'или', 'предмета', 'неслыханной', 'скорости', 'и', 'силы', 'его', 'движений', 'а', 'также', 'особенностей', 'его', 'поведения', 'Если', 'это', 'было', 'китообразное', 'то', 'судя', 'по', 'описаниям', 'оно', 'превосходило', 'величиной', 'всех', 'доныне', 'известных', 'в', 'науке', 'представителей', 'этого', 'отряда', 'Ни', 'Кювье', 'ни', 'Ласепед', 'ни', 'Дюмериль', 'ни', 'Катрфаж', 'не', 'поверили', 'бы', 'в', 'существование', 'такого', 'феномена', 'не', 'увидав', 'его', 'собственными', 'глазами', 'вернее', 'глазами', 'ученых', 'Оставляя', 'без', 'внимания', 'чересчур', 'осторожные', 'оценки', 'по', 'которым', 'в', 'пресловутом', 'существе', 'было', 'не', 'более', 'двухсот', 'футов', 'длины', 'отвергая', 'явные', 'преувеличения', 'по', 'которым', 'оно', 'рисовалось', 'каким-то', 'гигантом', 'в', 'ширину', 'одна', 'миля', 'в', 'длину', 'три', 'мили', 'все', 'же', 'надо', 'было', 'допустить', 'придерживаясь', 'золотой', 'середины', 'что', 'диковинный', 'зверь', 'если', 'только', 'он', 'существует', 'в', 'значительной', 'степени', 'превосходит', 'размеры', 'установленные', 'современными', 'зоологами', 'По', 'свойственной', 'человеку', 'склонности', 'верить', 'во', 'всякие', 'чудеса', 'легко', 'понять', 'как', 'взволновало', 'умы', 'это', 'необычное', 'явление', 'Некоторые', 'попытались', 'было', 'отнести', 'всю', 'эту', 'историю', 'в', 'область', 'пустых', 'слухов', 'но', 'напрасно', 'Животное', 'все', 'же', 'существовало', 'этот', 'факт', 'не', 'подлежал', 'ни', 'малейшему', 'сомнению']	['The', 'facts', 'relating', 'to', 'this', 'apparition', 'entered', 'in', 'various', 'log-books', 'agreed', 'in', 'most', 'respects', 'as', 'to', 'the', 'shape', 'of', 'the', 'object', 'or', 'creature', 'in', 'question', 'the', 'untiring', 'rapidity', 'of', 'its', 'movements', 'its', 'surprising', 'power', 'of', 'locomotion', 'and', 'the', 'peculiar', 'life', 'with', 'which', 'it', 'seemed', 'endowed', 'If', 'it', 'was', 'a', 'whale', 'it', 'surpassed', 'in', 'size', 'all', 'those', 'hitherto', 'classified', 'in', 'science', 'Taking', 'into', 'consideration', 'the', 'mean', 'of', 'observations', 'made', 'at', 'divers', 'times—rejecting', 'the', 'timid', 'estimate', 'of', 'those', 'who', 'assigned', 'to', 'this', 'object', 'a', 'length', 'of', 'two', 'hundred', 'feet', 'equally', 'with', 'the', 'exaggerated', 'opinions', 'which', 'set', 'it', 'down', 'as', 'a', 'mile', 'in', 'width', 'and', 'three', 'in', 'length—we', 'might', 'fairly', 'conclude', 'that', 'this', 'mysterious', 'being', 'surpassed', 'greatly', 'all', 'dimensions', 'admitted', 'by', 'the', 'learned', 'ones', 'of', 'the', 'day', 'if', 'it', 'existed', 'at', 'all', 'And', 'that', 'it', 'DID', 'exist', 'was', 'an', 'undeniable', 'fact', 'and', 'with', 'that', 'tendency', 'which', 'disposes', 'the', 'human', 'mind', 'in', 'favour', 'of', 'the', 'marvellous', 'we', 'can', 'understand', 'the', 'excitement', 'produced', 'in', 'the', 'entire', 'world', 'by', 'this', 'supernatural', 'apparition', 'As', 'to', 'classing', 'it', 'in', 'the', 'list', 'of', 'fables', 'the', 'idea', 'was', 'out', 'of', 'the', 'question']
9	On the 20th of July, 1866, the steamer Governor Higginson, of the Calcutta and Burnach Steam Navigation Company, had met this moving mass five miles off the east coast of Australia. Captain Baker thought at first that he was in the presence of an unknown sandbank; he even prepared to determine its exact position when two columns of water, projected by the mysterious object, shot with a hissing noise a hundred and fifty feet up into the air. Now, unless the sandbank had been submitted to the intermittent eruption of a geyser, the Governor Higginson had to do neither more nor less than with an aquatic mammal, unknown till then, which threw up from its blow-holes columns of water mixed with air and vapour. 	"Двадцатого июля 1866 года судно ""Гавернор-Хигинсон"" пароходной компании ""Калькутта энд Бернах"" встретило огромную плавучую массу в пяти милях от восточных берегов Австралии. Капитан Бэкер решил сперва, что он обнаружил не занесенный на карты риф; он принялся было устанавливать его координаты, но тут из недр этой темной массы вдруг вырвались два водяных столба и со свистом взлетели в воздух футов на полтораста. Что за причина? Подводный риф, подверженный извержениям гейзеров? Или же просто-напросто какое-нибудь морское млекопитающее, которое выбрасывало из ноздрей вместе с воздухом фонтаны воды? "	['Двадцатого', 'июля', '1866', 'года', 'судно', 'Гавернор-Хигинсон', 'пароходной', 'компании', 'Калькутта', 'энд', 'Бернах', 'встретило', 'огромную', 'плавучую', 'массу', 'в', 'пяти', 'милях', 'от', 'восточных', 'берегов', 'Австралии', 'Капитан', 'Бэкер', 'решил', 'сперва', 'что', 'он', 'обнаружил', 'не', 'занесенный', 'на', 'карты', 'риф', 'он', 'принялся', 'было', 'устанавливать', 'его', 'координаты', 'но', 'тут', 'из', 'недр', 'этой', 'темной', 'массы', 'вдруг', 'вырвались', 'два', 'водяных', 'столба', 'и', 'со', 'свистом', 'взлетели', 'в', 'воздух', 'футов', 'на', 'полтораста', 'Что', 'за', 'причина', 'Подводный', 'риф', 'подверженный', 'извержениям', 'гейзеров', 'Или', 'же', 'просто-напросто', 'какое-нибудь', 'морское', 'млекопитающее', 'которое', 'выбрасывало', 'из', 'ноздрей', 'вместе', 'с', 'воздухом', 'фонтаны', 'воды']	['On', 'the', '20th', 'of', 'July', '1866', 'the', 'steamer', 'Governor', 'Higginson', 'of', 'the', 'Calcutta', 'and', 'Burnach', 'Steam', 'Navigation', 'Company', 'had', 'met', 'this', 'moving', 'mass', 'five', 'miles', 'off', 'the', 'east', 'coast', 'of', 'Australia', 'Captain', 'Baker', 'thought', 'at', 'first', 'that', 'he', 'was', 'in', 'the', 'presence', 'of', 'an', 'unknown', 'sandbank', 'he', 'even', 'prepared', 'to', 'determine', 'its', 'exact', 'position', 'when', 'two', 'columns', 'of', 'water', 'projected', 'by', 'the', 'mysterious', 'object', 'shot', 'with', 'a', 'hissing', 'noise', 'a', 'hundred', 'and', 'fifty', 'feet', 'up', 'into', 'the', 'air', 'Now', 'unless', 'the', 'sandbank', 'had', 'been', 'submitted', 'to', 'the', 'intermittent', 'eruption', 'of', 'a', 'geyser', 'the', 'Governor', 'Higginson', 'had', 'to', 'do', 'neither', 'more', 'nor', 'less', 'than', 'with', 'an', 'aquatic', 'mammal', 'unknown', 'till', 'then', 'which', 'threw', 'up', 'from', 'its', 'blow-holes', 'columns', 'of', 'water', 'mixed', 'with', 'air', 'and', 'vapour']
