	en	ru	ru_tokens	en_tokens
0	By Wilkie Collins 	Уилки КОЛЛИНЗ 	['Уилки', 'КОЛЛИНЗ']	['By', 'Wilkie', 'Collins']
1	THE TWO DESTINIES 	ДВЕ СУДЬБЫ 	['ДВЕ', 'СУДЬБЫ']	['THE', 'TWO', 'DESTINIES']
2	The Prelude. 	Печатается по изданию 1879 года ВВЕДЕНИЕ 	['Печатается', 'по', 'изданию', '1879', 'года', 'ВВЕДЕНИЕ']	['The', 'Prelude']
3	THE GUEST WRITES AND TELLS THE STORY OF THE DINNER PARTY. 	ГОСТЬ ОПИСЫВАЕТ ИСТОРИЮ ОДНОГО ОБЕДА 	['ГОСТЬ', 'ОПИСЫВАЕТ', 'ИСТОРИЮ', 'ОДНОГО', 'ОБЕДА']	['THE', 'GUEST', 'WRITES', 'AND', 'TELLS', 'THE', 'STORY', 'OF', 'THE', 'DINNER', 'PARTY']
4	MANY years have passed since my wife and I left the United States to pay our first visit to England. 	Много лет миновало с тех пор, как мы с женой в первый раз приехали в Англию из Соединенных Штатов. 	['Много', 'лет', 'миновало', 'с', 'тех', 'пор', 'как', 'мы', 'с', 'женой', 'в', 'первый', 'раз', 'приехали', 'в', 'Англию', 'из', 'Соединенных', 'Штатов']	['MANY', 'years', 'have', 'passed', 'since', 'my', 'wife', 'and', 'I', 'left', 'the', 'United', 'States', 'to', 'pay', 'our', 'first', 'visit', 'to', 'England']
5	We were provided with letters of introduction, as a matter of course. 	Разумеется, нас снабдили рекомендательными письмами. 	['Разумеется', 'нас', 'снабдили', 'рекомендательными', 'письмами']	['We', 'were', 'provided', 'with', 'letters', 'of', 'introduction', 'as', 'a', 'matter', 'of', 'course']
6	Among them there was a letter which had been written for us by my wife's brother. 	Между прочим, одно было написано женой моего брата. 	['Между', 'прочим', 'одно', 'было', 'написано', 'женой', 'моего', 'брата']	"['Among', 'them', 'there', 'was', 'a', 'letter', 'which', 'had', 'been', 'written', 'for', 'us', 'by', 'my', ""wife's"", 'brother']"
7	It presented us to an English gentleman who held a high rank on the list of his old and valued friends. 	Оно представляло нас английскому дворянину, который занимал почетное место в списке его старых и дорогих друзей. 	['Оно', 'представляло', 'нас', 'английскому', 'дворянину', 'который', 'занимал', 'почетное', 'место', 'в', 'списке', 'его', 'старых', 'и', 'дорогих', 'друзей']	['It', 'presented', 'us', 'to', 'an', 'English', 'gentleman', 'who', 'held', 'a', 'high', 'rank', 'on', 'the', 'list', 'of', 'his', 'old', 'and', 'valued', 'friends']
8	"""You will become acquainted with Mr. George Germaine,"" my brother-in-law said, when we took leave of him, ""at a very interesting period of his life. "	— Вы познакомитесь с мистером Джорджем Джерменем в самый интересный период его жизни, — сказал брат, когда мы прощались. 	['—', 'Вы', 'познакомитесь', 'с', 'мистером', 'Джорджем', 'Джерменем', 'в', 'самый', 'интересный', 'период', 'его', 'жизни', '—', 'сказал', 'брат', 'когда', 'мы', 'прощались']	['You', 'will', 'become', 'acquainted', 'with', 'Mr', 'George', 'Germaine', 'my', 'brother-in-law', 'said', 'when', 'we', 'took', 'leave', 'of', 'him', 'at', 'a', 'very', 'interesting', 'period', 'of', 'his', 'life']
9	My last news of him tells me that he is just married. 	— В своем последнем письме он сообщает мне, что женился. 	['—', 'В', 'своем', 'последнем', 'письме', 'он', 'сообщает', 'мне', 'что', 'женился']	['My', 'last', 'news', 'of', 'him', 'tells', 'me', 'that', 'he', 'is', 'just', 'married']
