	en	ru	ru_tokens	en_tokens
0	Jane Eyre, by Charlotte Bronte - The Project Gutenberg eBook 	Шарлотта Бронте. Джен Эйр 	['Шарлотта', 'Бронте', 'Джен', 'Эйр']	['Jane', 'Eyre', 'by', 'Charlotte', 'Bronte', 'The', 'Project', 'Gutenberg', 'eBook']
1	CHAPTER I 	Глава I 	['Глава', 'I']	['CHAPTER', 'I']
2	There was no possibility of taking a walk that day. 	В  этот день нечего было и  думать о  прогулке. 	['В', 'этот', 'день', 'нечего', 'было', 'и', 'думать', 'о', 'прогулке']	['There', 'was', 'no', 'possibility', 'of', 'taking', 'a', 'walk', 'that', 'day']
3	We had been wandering, indeed, in the leafless shrubbery an hour in the morning; but since dinner (Mrs. Reed, when there was no company, dined early) the cold winter wind had brought with it clouds so sombre, and a rain so penetrating, that further out-door exercise was now out of the question. 	Правда,  утром мы  еще побродили часок по дорожкам облетевшего сада,  но после обеда (когда не было гостей,  миссис Рид кушала рано) холодный зимний ветер нагнал угрюмые тучи и полил такой пронизывающий дождь, что и речи не могло быть ни о какой попытке выйти еще раз. 	['Правда', 'утром', 'мы', 'еще', 'побродили', 'часок', 'по', 'дорожкам', 'облетевшего', 'сада', 'но', 'после', 'обеда', 'когда', 'не', 'было', 'гостей', 'миссис', 'Рид', 'кушала', 'рано', 'холодный', 'зимний', 'ветер', 'нагнал', 'угрюмые', 'тучи', 'и', 'полил', 'такой', 'пронизывающий', 'дождь', 'что', 'и', 'речи', 'не', 'могло', 'быть', 'ни', 'о', 'какой', 'попытке', 'выйти', 'еще', 'раз']	['We', 'had', 'been', 'wandering', 'indeed', 'in', 'the', 'leafless', 'shrubbery', 'an', 'hour', 'in', 'the', 'morning', 'but', 'since', 'dinner', 'Mrs', 'Reed', 'when', 'there', 'was', 'no', 'company', 'dined', 'early', 'the', 'cold', 'winter', 'wind', 'had', 'brought', 'with', 'it', 'clouds', 'so', 'sombre', 'and', 'a', 'rain', 'so', 'penetrating', 'that', 'further', 'out-door', 'exercise', 'was', 'now', 'out', 'of', 'the', 'question']
4	I was glad of it: I never liked long walks, especially on chilly afternoons: dreadful to me was the coming home in the raw twilight, with nipped fingers and toes, and a heart saddened by the chidings of Bessie, the nurse, and humbled by the consciousness of my physical inferiority to Eliza, John, and Georgiana Reed. 	Что же,  тем лучше:  я вообще не любила подолгу гулять зимой,  особенно под вечер. Мне казалось просто ужасным возвращаться домой в зябких сумерках, когда пальцы на руках и ногах немеют от стужи,  а сердце сжимается тоской от вечной воркотни Бесси, нашей няньки, и от унизительного сознания физического превосходства надо мной Элизы, Джона и Джоржианы Рид. 	['Что', 'же', 'тем', 'лучше', 'я', 'вообще', 'не', 'любила', 'подолгу', 'гулять', 'зимой', 'особенно', 'под', 'вечер', 'Мне', 'казалось', 'просто', 'ужасным', 'возвращаться', 'домой', 'в', 'зябких', 'сумерках', 'когда', 'пальцы', 'на', 'руках', 'и', 'ногах', 'немеют', 'от', 'стужи', 'а', 'сердце', 'сжимается', 'тоской', 'от', 'вечной', 'воркотни', 'Бесси', 'нашей', 'няньки', 'и', 'от', 'унизительного', 'сознания', 'физического', 'превосходства', 'надо', 'мной', 'Элизы', 'Джона', 'и', 'Джоржианы', 'Рид']	['I', 'was', 'glad', 'of', 'it', 'I', 'never', 'liked', 'long', 'walks', 'especially', 'on', 'chilly', 'afternoons', 'dreadful', 'to', 'me', 'was', 'the', 'coming', 'home', 'in', 'the', 'raw', 'twilight', 'with', 'nipped', 'fingers', 'and', 'toes', 'and', 'a', 'heart', 'saddened', 'by', 'the', 'chidings', 'of', 'Bessie', 'the', 'nurse', 'and', 'humbled', 'by', 'the', 'consciousness', 'of', 'my', 'physical', 'inferiority', 'to', 'Eliza', 'John', 'and', 'Georgiana', 'Reed']
5	The said Eliza, John, and Georgiana were now clustered round their mama in the drawing-room: she lay reclined on a sofa by the fireside, and with her darlings about her (for the time neither quarrelling nor crying) looked perfectly happy. 	Вышеупомянутые Элиза,  Джон  и  Джорджиана собрались теперь в  гостиной возле своей мамы:  она полулежала на диване перед камином, окруженная своими дорогими детками  (в  данную  минуту  они  не  ссорились и  не  ревели),  и, очевидно, была безмятежно счастлива. 	['Вышеупомянутые', 'Элиза', 'Джон', 'и', 'Джорджиана', 'собрались', 'теперь', 'в', 'гостиной', 'возле', 'своей', 'мамы', 'она', 'полулежала', 'на', 'диване', 'перед', 'камином', 'окруженная', 'своими', 'дорогими', 'детками', 'в', 'данную', 'минуту', 'они', 'не', 'ссорились', 'и', 'не', 'ревели', 'и', 'очевидно', 'была', 'безмятежно', 'счастлива']	['The', 'said', 'Eliza', 'John', 'and', 'Georgiana', 'were', 'now', 'clustered', 'round', 'their', 'mama', 'in', 'the', 'drawing-room', 'she', 'lay', 'reclined', 'on', 'a', 'sofa', 'by', 'the', 'fireside', 'and', 'with', 'her', 'darlings', 'about', 'her', 'for', 'the', 'time', 'neither', 'quarrelling', 'nor', 'crying', 'looked', 'perfectly', 'happy']
6	Me, she had dispensed from joining the group; saying, “She regretted to be under the necessity of keeping me at a distance; but that until she heard from Bessie, and could discover by her own observation, that I was endeavouring in good earnest to acquire a more sociable and childlike disposition, a more attractive and sprightly manner—something lighter, franker, more natural, as it were—she really must exclude me from privileges intended only for contented, happy, little children.” 	Я  была освобождена от участия в этой семейной группе;  как заявила мне миссис Рид,  она весьма сожалеет,  но  приходится отделить меня от остальных детей,  по крайней мере до тех пор,  пока Бесси не сообщит ей, да и она сама не  увидит,  что  я  действительно прилагаю все  усилия,  чтобы  стать более приветливой и  ласковой девочкой,  более уживчивой и  кроткой,  пока она  не заметит во мне что-то более светлое, доброе и чистосердечное; а тем временем она вынуждена лишить меня всех радостей, которые предназначены для скромных, почтительных деток. 	['Я', 'была', 'освобождена', 'от', 'участия', 'в', 'этой', 'семейной', 'группе', 'как', 'заявила', 'мне', 'миссис', 'Рид', 'она', 'весьма', 'сожалеет', 'но', 'приходится', 'отделить', 'меня', 'от', 'остальных', 'детей', 'по', 'крайней', 'мере', 'до', 'тех', 'пор', 'пока', 'Бесси', 'не', 'сообщит', 'ей', 'да', 'и', 'она', 'сама', 'не', 'увидит', 'что', 'я', 'действительно', 'прилагаю', 'все', 'усилия', 'чтобы', 'стать', 'более', 'приветливой', 'и', 'ласковой', 'девочкой', 'более', 'уживчивой', 'и', 'кроткой', 'пока', 'она', 'не', 'заметит', 'во', 'мне', 'что-то', 'более', 'светлое', 'доброе', 'и', 'чистосердечное', 'а', 'тем', 'временем', 'она', 'вынуждена', 'лишить', 'меня', 'всех', 'радостей', 'которые', 'предназначены', 'для', 'скромных', 'почтительных', 'деток']	['Me', 'she', 'had', 'dispensed', 'from', 'joining', 'the', 'group', 'saying', '“She', 'regretted', 'to', 'be', 'under', 'the', 'necessity', 'of', 'keeping', 'me', 'at', 'a', 'distance', 'but', 'that', 'until', 'she', 'heard', 'from', 'Bessie', 'and', 'could', 'discover', 'by', 'her', 'own', 'observation', 'that', 'I', 'was', 'endeavouring', 'in', 'good', 'earnest', 'to', 'acquire', 'a', 'more', 'sociable', 'and', 'childlike', 'disposition', 'a', 'more', 'attractive', 'and', 'sprightly', 'manner—something', 'lighter', 'franker', 'more', 'natural', 'as', 'it', 'were—she', 'really', 'must', 'exclude', 'me', 'from', 'privileges', 'intended', 'only', 'for', 'contented', 'happy', 'little', 'children.”']
7	“What does Bessie say I have done?” 	- А что Бесси сказала? 	['А', 'что', 'Бесси', 'сказала']	['“What', 'does', 'Bessie', 'say', 'I', 'have', 'done?”']
8	I asked. 	Что я сделала? 	['Что', 'я', 'сделала']	['I', 'asked']
9	“Jane, I don’t like cavillers or questioners; besides, there is something truly forbidding in a child taking up her elders in that manner. 	- Джен,  я  не  выношу придирок и  допросов;  это просто возмутительно, когда ребенок так  разговаривает со  старшими. 	['Джен', 'я', 'не', 'выношу', 'придирок', 'и', 'допросов', 'это', 'просто', 'возмутительно', 'когда', 'ребенок', 'так', 'разговаривает', 'со', 'старшими']	['“Jane', 'I', 'don’t', 'like', 'cavillers', 'or', 'questioners', 'besides', 'there', 'is', 'something', 'truly', 'forbidding', 'in', 'a', 'child', 'taking', 'up', 'her', 'elders', 'in', 'that', 'manner']
