	en	ru	ru_tokens	en_tokens
0	O.Henry JEFF PETERS AS A PERSONAL MAGNET 	О'Генри Джефф Питерс как персональный магнит 	"[""О'Генри"", 'Джефф', 'Питерс', 'как', 'персональный', 'магнит']"	['O.Henry', 'JEFF', 'PETERS', 'AS', 'A', 'PERSONAL', 'MAGNET']
1	Jeff Peters has been engaged in as many schemes for making money as there are recipes for cooking rice in Charleston, S.C. 	Джефф Питерс делал деньги самыми разнообразными способами. Этих способов было у него никак не меньше, чем рецептов для изготовления рисовых блюд у жителей Чарлстона, штат Южная Каролина. 	['Джефф', 'Питерс', 'делал', 'деньги', 'самыми', 'разнообразными', 'способами', 'Этих', 'способов', 'было', 'у', 'него', 'никак', 'не', 'меньше', 'чем', 'рецептов', 'для', 'изготовления', 'рисовых', 'блюд', 'у', 'жителей', 'Чарлстона', 'штат', 'Южная', 'Каролина']	['Jeff', 'Peters', 'has', 'been', 'engaged', 'in', 'as', 'many', 'schemes', 'for', 'making', 'money', 'as', 'there', 'are', 'recipes', 'for', 'cooking', 'rice', 'in', 'Charleston', 'S.C']
2	Best of all I like to hear him tell of his earlier days when he sold liniments and cough cures on street corners, living hand to mouth, heart to heart with the people, throwing heads or tails with fortune for his last coin. 	Больше всего я люблю слушать его рассказы о днях его молодости, когда он торговал на улицах мазями и порошками от кашля, жил впроголодь, дружил со всем светом и на последние медяки играл в орлянку с судьбой. 	['Больше', 'всего', 'я', 'люблю', 'слушать', 'его', 'рассказы', 'о', 'днях', 'его', 'молодости', 'когда', 'он', 'торговал', 'на', 'улицах', 'мазями', 'и', 'порошками', 'от', 'кашля', 'жил', 'впроголодь', 'дружил', 'со', 'всем', 'светом', 'и', 'на', 'последние', 'медяки', 'играл', 'в', 'орлянку', 'с', 'судьбой']	['Best', 'of', 'all', 'I', 'like', 'to', 'hear', 'him', 'tell', 'of', 'his', 'earlier', 'days', 'when', 'he', 'sold', 'liniments', 'and', 'cough', 'cures', 'on', 'street', 'corners', 'living', 'hand', 'to', 'mouth', 'heart', 'to', 'heart', 'with', 'the', 'people', 'throwing', 'heads', 'or', 'tails', 'with', 'fortune', 'for', 'his', 'last', 'coin']
3	"""I struck Fisher Hill, Arkansaw,"" said he, ""in a buckskin suit, moccasins, long hair and a thirty-carat diamond ring that I got from an actor in Texarkana. "	— Попал я однажды в поселок Рыбачья Гора, в Арканзасе, — рассказывал он. — На мне был костюм из оленьей шкуры, мокасины, длинные волосы и перстень с тридцатикаратовым брильянтом, который я получил от одного актера в Тексаркане. 	['—', 'Попал', 'я', 'однажды', 'в', 'поселок', 'Рыбачья', 'Гора', 'в', 'Арканзасе', '—', 'рассказывал', 'он', '—', 'На', 'мне', 'был', 'костюм', 'из', 'оленьей', 'шкуры', 'мокасины', 'длинные', 'волосы', 'и', 'перстень', 'с', 'тридцатикаратовым', 'брильянтом', 'который', 'я', 'получил', 'от', 'одного', 'актера', 'в', 'Тексаркане']	['I', 'struck', 'Fisher', 'Hill', 'Arkansaw', 'said', 'he', 'in', 'a', 'buckskin', 'suit', 'moccasins', 'long', 'hair', 'and', 'a', 'thirty-carat', 'diamond', 'ring', 'that', 'I', 'got', 'from', 'an', 'actor', 'in', 'Texarkana']
4	I don't know what he ever did with the pocket knife I swapped him for it. 	Не знаю, что он сделал с тем перочинным ножиком, который я дал ему в обмен на этот перстень. 	['Не', 'знаю', 'что', 'он', 'сделал', 'с', 'тем', 'перочинным', 'ножиком', 'который', 'я', 'дал', 'ему', 'в', 'обмен', 'на', 'этот', 'перстень']	"['I', ""don't"", 'know', 'what', 'he', 'ever', 'did', 'with', 'the', 'pocket', 'knife', 'I', 'swapped', 'him', 'for', 'it']"
5	"""I was Dr. Waugh-hoo, the celebrated Indian medicine man. "	В то время я был доктор Воф-Ху, знаменитый индейский целитель. 	['В', 'то', 'время', 'я', 'был', 'доктор', 'Воф-Ху', 'знаменитый', 'индейский', 'целитель']	['I', 'was', 'Dr', 'Waugh-hoo', 'the', 'celebrated', 'Indian', 'medicine', 'man']
6	I carried only one best bet just then, and that was Resurrection Bitters. 	В руках у меня не было ничего, кроме великолепного снадобья: «Настойки для Воскрешения Больных». 	['В', 'руках', 'у', 'меня', 'не', 'было', 'ничего', 'кроме', 'великолепного', 'снадобья', '«Настойки', 'для', 'Воскрешения', 'Больных»']	['I', 'carried', 'only', 'one', 'best', 'bet', 'just', 'then', 'and', 'that', 'was', 'Resurrection', 'Bitters']
7	It was made of life-giving plants and herbs accidentally discovered by Ta-qua-la, the beautiful wife of the chief of the Choctaw Nation, while gathering truck to garnish a platter of boiled dog for the annual corn dance. 	Настойка состояла из живительных трав, случайно открытых красавицей Та-ква-ла, супругой вождя племени Чокто. Красавица собирала зелень для украшения национального блюда — вареной собаки, ежегодно подаваемой во время пляски на Празднестве Кукурузы, — и наткнулась на эту траву. 	['Настойка', 'состояла', 'из', 'живительных', 'трав', 'случайно', 'открытых', 'красавицей', 'Та-ква-ла', 'супругой', 'вождя', 'племени', 'Чокто', 'Красавица', 'собирала', 'зелень', 'для', 'украшения', 'национального', 'блюда', '—', 'вареной', 'собаки', 'ежегодно', 'подаваемой', 'во', 'время', 'пляски', 'на', 'Празднестве', 'Кукурузы', '—', 'и', 'наткнулась', 'на', 'эту', 'траву']	['It', 'was', 'made', 'of', 'life-giving', 'plants', 'and', 'herbs', 'accidentally', 'discovered', 'by', 'Ta-qua-la', 'the', 'beautiful', 'wife', 'of', 'the', 'chief', 'of', 'the', 'Choctaw', 'Nation', 'while', 'gathering', 'truck', 'to', 'garnish', 'a', 'platter', 'of', 'boiled', 'dog', 'for', 'the', 'annual', 'corn', 'dance']
8	"""Business hadn't been good in the last town, so I only had five dollars. "	В городке, где я был перед этим, дела шли неважно: у меня оставалось всего пять долларов. 	['В', 'городке', 'где', 'я', 'был', 'перед', 'этим', 'дела', 'шли', 'неважно', 'у', 'меня', 'оставалось', 'всего', 'пять', 'долларов']	"['Business', ""hadn't"", 'been', 'good', 'in', 'the', 'last', 'town', 'so', 'I', 'only', 'had', 'five', 'dollars']"
9	I went to the Fisher Hill druggist and he credited me for half a gross of eight-ounce bottles and corks. 	Прибыв на Рыбачью Гору, я пошел в аптеку, и там мне дали взаймы шесть дюжин восьмиунцевых склянок с пробками. 	['Прибыв', 'на', 'Рыбачью', 'Гору', 'я', 'пошел', 'в', 'аптеку', 'и', 'там', 'мне', 'дали', 'взаймы', 'шесть', 'дюжин', 'восьмиунцевых', 'склянок', 'с', 'пробками']	['I', 'went', 'to', 'the', 'Fisher', 'Hill', 'druggist', 'and', 'he', 'credited', 'me', 'for', 'half', 'a', 'gross', 'of', 'eight-ounce', 'bottles', 'and', 'corks']
