	en	ru	ru_tokens	en_tokens
0	The Project Gutenberg A Princess of Mars, by Edgar Rice Burroughs 	Эдгар Берроуз. Дочь тысячи джеддаков 	['Эдгар', 'Берроуз', 'Дочь', 'тысячи', 'джеддаков']	['The', 'Project', 'Gutenberg', 'A', 'Princess', 'of', 'Mars', 'by', 'Edgar', 'Rice', 'Burroughs']
1	FOREWORD To the Reader of this Work: 	ПРЕДИСЛОВИЕ 	['ПРЕДИСЛОВИЕ']	['FOREWORD', 'To', 'the', 'Reader', 'of', 'this', 'Work']
2	In submitting Captain Carter's strange manuscript to you in book form, I believe that a few words relative to this remarkable personality will be of interest. 	Представляя вам необычную рукопись капитана  Картера,  я  позволю  себе предпослать ей несколько слов, посвященных этой замечательной личности. 	['Представляя', 'вам', 'необычную', 'рукопись', 'капитана', 'Картера', 'я', 'позволю', 'себе', 'предпослать', 'ей', 'несколько', 'слов', 'посвященных', 'этой', 'замечательной', 'личности']	"['In', 'submitting', 'Captain', ""Carter's"", 'strange', 'manuscript', 'to', 'you', 'in', 'book', 'form', 'I', 'believe', 'that', 'a', 'few', 'words', 'relative', 'to', 'this', 'remarkable', 'personality', 'will', 'be', 'of', 'interest']"
3	My first recollection of Captain Carter is of the few months he spent at my father's home in Virginia, just prior to the opening of the civil war. 	Мое  первое  воспоминание  о  капитане  Картере  относится  к  немногим месяцам, проведенным им в  доме  моего  отца  в  Виргинии,  перед  началом гражданской войны. 	['Мое', 'первое', 'воспоминание', 'о', 'капитане', 'Картере', 'относится', 'к', 'немногим', 'месяцам', 'проведенным', 'им', 'в', 'доме', 'моего', 'отца', 'в', 'Виргинии', 'перед', 'началом', 'гражданской', 'войны']	"['My', 'first', 'recollection', 'of', 'Captain', 'Carter', 'is', 'of', 'the', 'few', 'months', 'he', 'spent', 'at', 'my', ""father's"", 'home', 'in', 'Virginia', 'just', 'prior', 'to', 'the', 'opening', 'of', 'the', 'civil', 'war']"
4	I was then a child of but five years, yet I well remember the tall, dark, smooth-faced, athletic man whom I called Uncle Jack. 	Я  был  тогда  пятилетним  ребенком,  но  хорошо  помню высокого, смуглого, безбородого человека атлетического сложения,  которого я звал дядей Джоном. 	['Я', 'был', 'тогда', 'пятилетним', 'ребенком', 'но', 'хорошо', 'помню', 'высокого', 'смуглого', 'безбородого', 'человека', 'атлетического', 'сложения', 'которого', 'я', 'звал', 'дядей', 'Джоном']	['I', 'was', 'then', 'a', 'child', 'of', 'but', 'five', 'years', 'yet', 'I', 'well', 'remember', 'the', 'tall', 'dark', 'smooth-faced', 'athletic', 'man', 'whom', 'I', 'called', 'Uncle', 'Jack']
5	He seemed always to be laughing; and he entered into the sports of the children with the same hearty good fellowship he displayed toward those pastimes in which the men and women of his own age indulged; or he would sit for an hour at a time entertaining my old grandmother with stories of his strange, wild life in all parts of the world. 	Он как будто всегда смеялся. В  детские  игры  он  вступил  с  тем  же добродушным весельем, с каким принимал  участие  в  развлечениях  общества взрослых мужчин и дам. Он мог целыми часами сидеть с моей старой бабушкой, занимая ее рассказами о своих необыкновенных похождениях  во  всех  частях света. 	['Он', 'как', 'будто', 'всегда', 'смеялся', 'В', 'детские', 'игры', 'он', 'вступил', 'с', 'тем', 'же', 'добродушным', 'весельем', 'с', 'каким', 'принимал', 'участие', 'в', 'развлечениях', 'общества', 'взрослых', 'мужчин', 'и', 'дам', 'Он', 'мог', 'целыми', 'часами', 'сидеть', 'с', 'моей', 'старой', 'бабушкой', 'занимая', 'ее', 'рассказами', 'о', 'своих', 'необыкновенных', 'похождениях', 'во', 'всех', 'частях', 'света']	['He', 'seemed', 'always', 'to', 'be', 'laughing', 'and', 'he', 'entered', 'into', 'the', 'sports', 'of', 'the', 'children', 'with', 'the', 'same', 'hearty', 'good', 'fellowship', 'he', 'displayed', 'toward', 'those', 'pastimes', 'in', 'which', 'the', 'men', 'and', 'women', 'of', 'his', 'own', 'age', 'indulged', 'or', 'he', 'would', 'sit', 'for', 'an', 'hour', 'at', 'a', 'time', 'entertaining', 'my', 'old', 'grandmother', 'with', 'stories', 'of', 'his', 'strange', 'wild', 'life', 'in', 'all', 'parts', 'of', 'the', 'world']
6	We all loved him, and our slaves fairly worshipped the ground he trod. 	Мы все его любили, а наши слуги положительно поклонялись ему. 	['Мы', 'все', 'его', 'любили', 'а', 'наши', 'слуги', 'положительно', 'поклонялись', 'ему']	['We', 'all', 'loved', 'him', 'and', 'our', 'slaves', 'fairly', 'worshipped', 'the', 'ground', 'he', 'trod']
7	He was a splendid specimen of manhood, standing a good two inches over six feet, broad of shoulder and narrow of hip, with the carriage of the trained fighting man. 	Он был воплощением мужской красоты. Рост его  достигал  шести  футов  и двух дюймов, плечи его  были  широки,  бедра  узки. У  него  была  осанка тренированного спортсмена. 	['Он', 'был', 'воплощением', 'мужской', 'красоты', 'Рост', 'его', 'достигал', 'шести', 'футов', 'и', 'двух', 'дюймов', 'плечи', 'его', 'были', 'широки', 'бедра', 'узки', 'У', 'него', 'была', 'осанка', 'тренированного', 'спортсмена']	['He', 'was', 'a', 'splendid', 'specimen', 'of', 'manhood', 'standing', 'a', 'good', 'two', 'inches', 'over', 'six', 'feet', 'broad', 'of', 'shoulder', 'and', 'narrow', 'of', 'hip', 'with', 'the', 'carriage', 'of', 'the', 'trained', 'fighting', 'man']
8	His features were regular and clear cut, his hair black and closely cropped, while his eyes were of a steel gray, reflecting a strong and loyal character, filled with fire and initiative. 	Черты лица были чрезвычайно правильны  и  резко очерчены. Его коротко стриженые волосы были черными, стальные  глаза  были полны огня и решительности, в них отражался его сильный и прямой характер. 	['Черты', 'лица', 'были', 'чрезвычайно', 'правильны', 'и', 'резко', 'очерчены', 'Его', 'коротко', 'стриженые', 'волосы', 'были', 'черными', 'стальные', 'глаза', 'были', 'полны', 'огня', 'и', 'решительности', 'в', 'них', 'отражался', 'его', 'сильный', 'и', 'прямой', 'характер']	['His', 'features', 'were', 'regular', 'and', 'clear', 'cut', 'his', 'hair', 'black', 'and', 'closely', 'cropped', 'while', 'his', 'eyes', 'were', 'of', 'a', 'steel', 'gray', 'reflecting', 'a', 'strong', 'and', 'loyal', 'character', 'filled', 'with', 'fire', 'and', 'initiative']
9	His manners were perfect, and his courtliness was that of a typical southern gentleman of the highest type. 	Манеры его были прекрасны, и  он  отличался  изяществом,  типичным  для южных джентльменов высшей породы. 	['Манеры', 'его', 'были', 'прекрасны', 'и', 'он', 'отличался', 'изяществом', 'типичным', 'для', 'южных', 'джентльменов', 'высшей', 'породы']	['His', 'manners', 'were', 'perfect', 'and', 'his', 'courtliness', 'was', 'that', 'of', 'a', 'typical', 'southern', 'gentleman', 'of', 'the', 'highest', 'type']
10	His horsemanship, especially after hounds, was a marvel and delight even in that country of magnificent horsemen. 	Его умение ездить верхом было настоящим чудом и вызывало восторг даже в этой  стране  великолепных  наездников. 	['Его', 'умение', 'ездить', 'верхом', 'было', 'настоящим', 'чудом', 'и', 'вызывало', 'восторг', 'даже', 'в', 'этой', 'стране', 'великолепных', 'наездников']	['His', 'horsemanship', 'especially', 'after', 'hounds', 'was', 'a', 'marvel', 'and', 'delight', 'even', 'in', 'that', 'country', 'of', 'magnificent', 'horsemen']
11	I have often heard my father caution him against his wild recklessness, but he would only laugh, and say that the tumble that killed him would be from the back of a horse yet unfoaled. 	Я  часто  слышал,  как  мой  отец предостерегал его от неудержимой отваги, но он  в  ответ  только  смеялся, говоря, что не родилась еще та  лошадь,  со  спины  которой  он  упадет  и разобьется. 	['Я', 'часто', 'слышал', 'как', 'мой', 'отец', 'предостерегал', 'его', 'от', 'неудержимой', 'отваги', 'но', 'он', 'в', 'ответ', 'только', 'смеялся', 'говоря', 'что', 'не', 'родилась', 'еще', 'та', 'лошадь', 'со', 'спины', 'которой', 'он', 'упадет', 'и', 'разобьется']	['I', 'have', 'often', 'heard', 'my', 'father', 'caution', 'him', 'against', 'his', 'wild', 'recklessness', 'but', 'he', 'would', 'only', 'laugh', 'and', 'say', 'that', 'the', 'tumble', 'that', 'killed', 'him', 'would', 'be', 'from', 'the', 'back', 'of', 'a', 'horse', 'yet', 'unfoaled']
12	When the war broke out he left us, nor did I see him again for some fifteen or sixteen years. 	Когда война началась, он  покинул  нас,  и  в  течение  пятнадцати  или шестнадцати лет я его не видел. 	['Когда', 'война', 'началась', 'он', 'покинул', 'нас', 'и', 'в', 'течение', 'пятнадцати', 'или', 'шестнадцати', 'лет', 'я', 'его', 'не', 'видел']	['When', 'the', 'war', 'broke', 'out', 'he', 'left', 'us', 'nor', 'did', 'I', 'see', 'him', 'again', 'for', 'some', 'fifteen', 'or', 'sixteen', 'years']
13	When he returned it was without warning, and I was much surprised to note that he had not aged apparently a moment, nor had he changed in any other outward way. 	Он вернулся внезапно,  и  я  с  удивлением заметил, что он почти не постарел и не изменился ни в каком  отношении. 	['Он', 'вернулся', 'внезапно', 'и', 'я', 'с', 'удивлением', 'заметил', 'что', 'он', 'почти', 'не', 'постарел', 'и', 'не', 'изменился', 'ни', 'в', 'каком', 'отношении']	['When', 'he', 'returned', 'it', 'was', 'without', 'warning', 'and', 'I', 'was', 'much', 'surprised', 'to', 'note', 'that', 'he', 'had', 'not', 'aged', 'apparently', 'a', 'moment', 'nor', 'had', 'he', 'changed', 'in', 'any', 'other', 'outward', 'way']
