	en	ru	ru_tokens	en_tokens
0	"The Lost World CHAPTER I ""There Are Heroisms All Round Us"" "	Артур Конан Дойл. Затерянный мир Глава I. ЧЕЛОВЕК - САМ ТВОРЕЦ СВОЕЙ СЛАВЫ 	['Артур', 'Конан', 'Дойл', 'Затерянный', 'мир', 'Глава', 'I', 'ЧЕЛОВЕК', 'САМ', 'ТВОРЕЦ', 'СВОЕЙ', 'СЛАВЫ']	['The', 'Lost', 'World', 'CHAPTER', 'I', 'There', 'Are', 'Heroisms', 'All', 'Round', 'Us']
1	Mr. Hungerton, her father, really was the most tactless person upon earth,—a fluffy, feathery, untidy cockatoo of a man, perfectly good-natured, but absolutely centered upon his own silly self. 	Мистер   Хангертон,   отец   моей   Глэдис,   отличался   невероятной бестактностью и  был  похож  на  распушившего  перья  неопрятного  какаду, правда, весьма добродушного, но занятого исключительно собственной особой. 	['Мистер', 'Хангертон', 'отец', 'моей', 'Глэдис', 'отличался', 'невероятной', 'бестактностью', 'и', 'был', 'похож', 'на', 'распушившего', 'перья', 'неопрятного', 'какаду', 'правда', 'весьма', 'добродушного', 'но', 'занятого', 'исключительно', 'собственной', 'особой']	['Mr', 'Hungerton', 'her', 'father', 'really', 'was', 'the', 'most', 'tactless', 'person', 'upon', 'earth,—a', 'fluffy', 'feathery', 'untidy', 'cockatoo', 'of', 'a', 'man', 'perfectly', 'good-natured', 'but', 'absolutely', 'centered', 'upon', 'his', 'own', 'silly', 'self']
2	If anything could have driven me from Gladys, it would have been the thought of such a father-in-law. 	Если что-нибудь могло  оттолкнуть  меня  от  Глэдис,  так  только  крайнее нежелание обзавестись глуповатым тестем. 	['Если', 'что-нибудь', 'могло', 'оттолкнуть', 'меня', 'от', 'Глэдис', 'так', 'только', 'крайнее', 'нежелание', 'обзавестись', 'глуповатым', 'тестем']	['If', 'anything', 'could', 'have', 'driven', 'me', 'from', 'Gladys', 'it', 'would', 'have', 'been', 'the', 'thought', 'of', 'such', 'a', 'father-in-law']
3	I am convinced that he really believed in his heart that I came round to the Chestnuts three days a week for the pleasure of his company, and very especially to hear his views upon bimetallism, a subject upon which he was by way of being an authority. 	"Я  убежден,  что  мои  визиты  в ""Каштаны. три раза на неделе  мистер  Хангертон  приписывал  исключительно ценности своего общества и в особенности своих рассуждений о  биметаллизме - вопросе, в котором он мнил себя крупным знатоком. "	['Я', 'убежден', 'что', 'мои', 'визиты', 'в', 'Каштаны', 'три', 'раза', 'на', 'неделе', 'мистер', 'Хангертон', 'приписывал', 'исключительно', 'ценности', 'своего', 'общества', 'и', 'в', 'особенности', 'своих', 'рассуждений', 'о', 'биметаллизме', 'вопросе', 'в', 'котором', 'он', 'мнил', 'себя', 'крупным', 'знатоком']	['I', 'am', 'convinced', 'that', 'he', 'really', 'believed', 'in', 'his', 'heart', 'that', 'I', 'came', 'round', 'to', 'the', 'Chestnuts', 'three', 'days', 'a', 'week', 'for', 'the', 'pleasure', 'of', 'his', 'company', 'and', 'very', 'especially', 'to', 'hear', 'his', 'views', 'upon', 'bimetallism', 'a', 'subject', 'upon', 'which', 'he', 'was', 'by', 'way', 'of', 'being', 'an', 'authority']
4	For an hour or more that evening I listened to his monotonous chirrup about bad money driving out good, the token value of silver, the depreciation of the rupee, and the true standards of exchange. 	В тот вечер я больше  часу  выслушивал  его  монотонное  чириканье  о снижении  стоимости  серебра,  обесценивании  денег,  падении  рупии  и  о необходимости установления правильной денежной системы. 	['В', 'тот', 'вечер', 'я', 'больше', 'часу', 'выслушивал', 'его', 'монотонное', 'чириканье', 'о', 'снижении', 'стоимости', 'серебра', 'обесценивании', 'денег', 'падении', 'рупии', 'и', 'о', 'необходимости', 'установления', 'правильной', 'денежной', 'системы']	['For', 'an', 'hour', 'or', 'more', 'that', 'evening', 'I', 'listened', 'to', 'his', 'monotonous', 'chirrup', 'about', 'bad', 'money', 'driving', 'out', 'good', 'the', 'token', 'value', 'of', 'silver', 'the', 'depreciation', 'of', 'the', 'rupee', 'and', 'the', 'true', 'standards', 'of', 'exchange']
5	"""Suppose,"" he cried with feeble violence, ""that all the debts in the world were called up simultaneously, and immediate payment insisted upon,—what under our present conditions would happen then?"" "	- Представьте себе, что вдруг потребуется немедленная и одновременная уплата всех долгов в мире! - воскликнул он слабеньким,  но  преисполненным ужаса голосом. - Что тогда будет при существующем порядке вещей? 	['Представьте', 'себе', 'что', 'вдруг', 'потребуется', 'немедленная', 'и', 'одновременная', 'уплата', 'всех', 'долгов', 'в', 'мире', 'воскликнул', 'он', 'слабеньким', 'но', 'преисполненным', 'ужаса', 'голосом', 'Что', 'тогда', 'будет', 'при', 'существующем', 'порядке', 'вещей']	['Suppose', 'he', 'cried', 'with', 'feeble', 'violence', 'that', 'all', 'the', 'debts', 'in', 'the', 'world', 'were', 'called', 'up', 'simultaneously', 'and', 'immediate', 'payment', 'insisted', 'upon,—what', 'under', 'our', 'present', 'conditions', 'would', 'happen', 'then']
6	I gave the self-evident answer that I should be a ruined man, upon which he jumped from his chair, reproved me for my habitual levity, which made it impossible for him to discuss any reasonable subject in my presence, and bounced off out of the room to dress for a Masonic meeting. 	Я, как и следовало ожидать, сказал, что в  таком  случае  мне  грозит разорение, но  мистер  Хангертон,  недовольный  моим  ответом,  вскочил  с кресла,  отчитал  меня  за  мое  всегдашнее  легкомыслие,   лишающее   его возможности обсуждать со мной серьезные  вопросы,  и  выбежал  из  комнаты переодеваться к масонскому собранию. 	['Я', 'как', 'и', 'следовало', 'ожидать', 'сказал', 'что', 'в', 'таком', 'случае', 'мне', 'грозит', 'разорение', 'но', 'мистер', 'Хангертон', 'недовольный', 'моим', 'ответом', 'вскочил', 'с', 'кресла', 'отчитал', 'меня', 'за', 'мое', 'всегдашнее', 'легкомыслие', 'лишающее', 'его', 'возможности', 'обсуждать', 'со', 'мной', 'серьезные', 'вопросы', 'и', 'выбежал', 'из', 'комнаты', 'переодеваться', 'к', 'масонскому', 'собранию']	['I', 'gave', 'the', 'self-evident', 'answer', 'that', 'I', 'should', 'be', 'a', 'ruined', 'man', 'upon', 'which', 'he', 'jumped', 'from', 'his', 'chair', 'reproved', 'me', 'for', 'my', 'habitual', 'levity', 'which', 'made', 'it', 'impossible', 'for', 'him', 'to', 'discuss', 'any', 'reasonable', 'subject', 'in', 'my', 'presence', 'and', 'bounced', 'off', 'out', 'of', 'the', 'room', 'to', 'dress', 'for', 'a', 'Masonic', 'meeting']
7	At last I was alone with Gladys, and the moment of Fate had come! All that evening I had felt like the soldier who awaits the signal which will send him on a forlorn hope; hope of victory and fear of repulse alternating in his mind. 	Наконец-то я остался наедине с Глэдис! Минута,  от  которой  зависела моя дальнейшая судьба, наступила. Весь этот вечер я  чувствовал  себя  как солдат, ожидающий сигнала к атаке, когда надежда на победу сменяется в его душе страхом перед поражением. 	['Наконец-то', 'я', 'остался', 'наедине', 'с', 'Глэдис', 'Минута', 'от', 'которой', 'зависела', 'моя', 'дальнейшая', 'судьба', 'наступила', 'Весь', 'этот', 'вечер', 'я', 'чувствовал', 'себя', 'как', 'солдат', 'ожидающий', 'сигнала', 'к', 'атаке', 'когда', 'надежда', 'на', 'победу', 'сменяется', 'в', 'его', 'душе', 'страхом', 'перед', 'поражением']	['At', 'last', 'I', 'was', 'alone', 'with', 'Gladys', 'and', 'the', 'moment', 'of', 'Fate', 'had', 'come', 'All', 'that', 'evening', 'I', 'had', 'felt', 'like', 'the', 'soldier', 'who', 'awaits', 'the', 'signal', 'which', 'will', 'send', 'him', 'on', 'a', 'forlorn', 'hope', 'hope', 'of', 'victory', 'and', 'fear', 'of', 'repulse', 'alternating', 'in', 'his', 'mind']
8	She sat with that proud, delicate profile of hers outlined against the red curtain. 	Глэдис сидела у окна, и ее гордый тонкий профиль  оттеняла  малиновая штора. 	['Глэдис', 'сидела', 'у', 'окна', 'и', 'ее', 'гордый', 'тонкий', 'профиль', 'оттеняла', 'малиновая', 'штора']	['She', 'sat', 'with', 'that', 'proud', 'delicate', 'profile', 'of', 'hers', 'outlined', 'against', 'the', 'red', 'curtain']
9	How beautiful she was! 	Как она была прекрасна! 	['Как', 'она', 'была', 'прекрасна']	['How', 'beautiful', 'she', 'was']
