	en	ru	ru_tokens	en_tokens
0	THE GOLD-BUG 	Эдгар Аллан По Золотой жук 	['Эдгар', 'Аллан', 'По', 'Золотой', 'жук']	['THE', 'GOLD-BUG']
1	What ho! what ho! this fellow is dancing mad! 	Глядите! Хо! Он пляшет, как безумный. 	['Глядите', 'Хо', 'Он', 'пляшет', 'как', 'безумный']	['What', 'ho', 'what', 'ho', 'this', 'fellow', 'is', 'dancing', 'mad']
2	He hath been bitten by the Tarantula. 	Тарантул укусил его… 	['Тарантул', 'укусил', 'его…']	['He', 'hath', 'been', 'bitten', 'by', 'the', 'Tarantula']
3	—All in the Wrong. 	«Все не правы» 	['«Все', 'не', 'правы»']	['—All', 'in', 'the', 'Wrong']
4	MANY years ago, I contracted an intimacy with a Mr. William Legrand. 	Много лет тому назад мне довелось близко познакомиться с некиим Вильямом Леграном. 	['Много', 'лет', 'тому', 'назад', 'мне', 'довелось', 'близко', 'познакомиться', 'с', 'некиим', 'Вильямом', 'Леграном']	['MANY', 'years', 'ago', 'I', 'contracted', 'an', 'intimacy', 'with', 'a', 'Mr', 'William', 'Legrand']
5	He was of an ancient Huguenot family, and had once been wealthy; but a series of misfortunes had reduced him to want. 	Он происходил из старинной гугенотской семьи и был прежде богат, но неудачи, следовавшие одна за другой, довели его до нищеты. 	['Он', 'происходил', 'из', 'старинной', 'гугенотской', 'семьи', 'и', 'был', 'прежде', 'богат', 'но', 'неудачи', 'следовавшие', 'одна', 'за', 'другой', 'довели', 'его', 'до', 'нищеты']	['He', 'was', 'of', 'an', 'ancient', 'Huguenot', 'family', 'and', 'had', 'once', 'been', 'wealthy', 'but', 'a', 'series', 'of', 'misfortunes', 'had', 'reduced', 'him', 'to', 'want']
6	To avoid the mortification consequent upon his disasters, he left New Orleans, the city of his forefathers, and took up his residence at Sullivan's Island, near Charleston, South Carolina. 	Чтобы избегнуть унижений, связанных с потерей богатства, он покинул Новый Орлеан, город своих предков, и поселился на Сэлливановом острове, поблизости от Чарлстона в Южной Каролине. 	['Чтобы', 'избегнуть', 'унижений', 'связанных', 'с', 'потерей', 'богатства', 'он', 'покинул', 'Новый', 'Орлеан', 'город', 'своих', 'предков', 'и', 'поселился', 'на', 'Сэлливановом', 'острове', 'поблизости', 'от', 'Чарлстона', 'в', 'Южной', 'Каролине']	"['To', 'avoid', 'the', 'mortification', 'consequent', 'upon', 'his', 'disasters', 'he', 'left', 'New', 'Orleans', 'the', 'city', 'of', 'his', 'forefathers', 'and', 'took', 'up', 'his', 'residence', 'at', ""Sullivan's"", 'Island', 'near', 'Charleston', 'South', 'Carolina']"
7	This Island is a very singular one. 	Это очень странный остров. 	['Это', 'очень', 'странный', 'остров']	['This', 'Island', 'is', 'a', 'very', 'singular', 'one']
8	It consists of little else than the sea sand, and is about three miles long. 	Он тянется в длину мили на три и состоит почти что из одного морского песка. 	['Он', 'тянется', 'в', 'длину', 'мили', 'на', 'три', 'и', 'состоит', 'почти', 'что', 'из', 'одного', 'морского', 'песка']	['It', 'consists', 'of', 'little', 'else', 'than', 'the', 'sea', 'sand', 'and', 'is', 'about', 'three', 'miles', 'long']
9	Its breadth at no point exceeds a quarter of a mile. 	Ширина его нигде не превышает четверти мили. 	['Ширина', 'его', 'нигде', 'не', 'превышает', 'четверти', 'мили']	['Its', 'breadth', 'at', 'no', 'point', 'exceeds', 'a', 'quarter', 'of', 'a', 'mile']
10	It is separated from the main land by a scarcely perceptible creek, oozing its way through a wilderness of reeds and slime, a favorite resort of the marsh hen. 	От материка он отделен едва заметным проливом, вода в котором с трудом пробивает себе путь сквозь тину и густой камыш – убежище болотных курочек. 	['От', 'материка', 'он', 'отделен', 'едва', 'заметным', 'проливом', 'вода', 'в', 'котором', 'с', 'трудом', 'пробивает', 'себе', 'путь', 'сквозь', 'тину', 'и', 'густой', 'камыш', '–', 'убежище', 'болотных', 'курочек']	['It', 'is', 'separated', 'from', 'the', 'main', 'land', 'by', 'a', 'scarcely', 'perceptible', 'creek', 'oozing', 'its', 'way', 'through', 'a', 'wilderness', 'of', 'reeds', 'and', 'slime', 'a', 'favorite', 'resort', 'of', 'the', 'marsh', 'hen']
11	The vegetation, as might be supposed, is scant, or at least dwarfish. 	Деревьев на острове мало, и растут они плохо. 	['Деревьев', 'на', 'острове', 'мало', 'и', 'растут', 'они', 'плохо']	['The', 'vegetation', 'as', 'might', 'be', 'supposed', 'is', 'scant', 'or', 'at', 'least', 'dwarfish']
12	No trees of any magnitude are to be seen. 	Настоящего дерева не встретишь совсем. 	['Настоящего', 'дерева', 'не', 'встретишь', 'совсем']	['No', 'trees', 'of', 'any', 'magnitude', 'are', 'to', 'be', 'seen']
13	Near the western extremity, where Fort Moultrie stands, and where are some miserable frame buildings, tenanted, during summer, by the fugitives from Charleston dust and fever, may be found, indeed, the bristly palmetto; but the whole island, with the exception of this western point, and a line of hard, white beach on the seacoast, is covered with a dense undergrowth of the sweet myrtle, so much prized by the horticulturists of England. 	На западной оконечности острова, где возвышается форт Моултри и стоит несколько жалких строений, заселенных в летние месяцы городскими жителями, спасающимися от лихорадки и чарлстонской пыли, – можно увидеть колючую карликовую пальму. Зато весь остров, если не считать этого мыса на западе и белой, твердой как камень, песчаной каймы на взморье, покрыт частой зарослью душистого мирта, столь высоко ценимого английскими садоводами. 	['На', 'западной', 'оконечности', 'острова', 'где', 'возвышается', 'форт', 'Моултри', 'и', 'стоит', 'несколько', 'жалких', 'строений', 'заселенных', 'в', 'летние', 'месяцы', 'городскими', 'жителями', 'спасающимися', 'от', 'лихорадки', 'и', 'чарлстонской', 'пыли', '–', 'можно', 'увидеть', 'колючую', 'карликовую', 'пальму', 'Зато', 'весь', 'остров', 'если', 'не', 'считать', 'этого', 'мыса', 'на', 'западе', 'и', 'белой', 'твердой', 'как', 'камень', 'песчаной', 'каймы', 'на', 'взморье', 'покрыт', 'частой', 'зарослью', 'душистого', 'мирта', 'столь', 'высоко', 'ценимого', 'английскими', 'садоводами']	['Near', 'the', 'western', 'extremity', 'where', 'Fort', 'Moultrie', 'stands', 'and', 'where', 'are', 'some', 'miserable', 'frame', 'buildings', 'tenanted', 'during', 'summer', 'by', 'the', 'fugitives', 'from', 'Charleston', 'dust', 'and', 'fever', 'may', 'be', 'found', 'indeed', 'the', 'bristly', 'palmetto', 'but', 'the', 'whole', 'island', 'with', 'the', 'exception', 'of', 'this', 'western', 'point', 'and', 'a', 'line', 'of', 'hard', 'white', 'beach', 'on', 'the', 'seacoast', 'is', 'covered', 'with', 'a', 'dense', 'undergrowth', 'of', 'the', 'sweet', 'myrtle', 'so', 'much', 'prized', 'by', 'the', 'horticulturists', 'of', 'England']
14	The shrub here often attains the height of fifteen or twenty feet, and forms an almost impenetrable coppice, burthening the air with its fragrance. 	Кусты его достигают нередко пятнадцати – двадцати футов и образуют сплошную чащу, наполняющую воздух тяжким благоуханием и почти непроходимую для человека. 	['Кусты', 'его', 'достигают', 'нередко', 'пятнадцати', '–', 'двадцати', 'футов', 'и', 'образуют', 'сплошную', 'чащу', 'наполняющую', 'воздух', 'тяжким', 'благоуханием', 'и', 'почти', 'непроходимую', 'для', 'человека']	['The', 'shrub', 'here', 'often', 'attains', 'the', 'height', 'of', 'fifteen', 'or', 'twenty', 'feet', 'and', 'forms', 'an', 'almost', 'impenetrable', 'coppice', 'burthening', 'the', 'air', 'with', 'its', 'fragrance']
15	In the inmost recesses of this coppice, not far from the eastern or more remote end of the island, Legrand had built himself a small hut, which he occupied when I first, by mere accident, made his acquaintance. 	В сокровенных глубинах миртовой чащи, ближе к восточной, удаленной от материка оконечности острова, Легран соорудил себе хижину, где и обитал, когда я, по воле случая, с ним познакомился. 	['В', 'сокровенных', 'глубинах', 'миртовой', 'чащи', 'ближе', 'к', 'восточной', 'удаленной', 'от', 'материка', 'оконечности', 'острова', 'Легран', 'соорудил', 'себе', 'хижину', 'где', 'и', 'обитал', 'когда', 'я', 'по', 'воле', 'случая', 'с', 'ним', 'познакомился']	['In', 'the', 'inmost', 'recesses', 'of', 'this', 'coppice', 'not', 'far', 'from', 'the', 'eastern', 'or', 'more', 'remote', 'end', 'of', 'the', 'island', 'Legrand', 'had', 'built', 'himself', 'a', 'small', 'hut', 'which', 'he', 'occupied', 'when', 'I', 'first', 'by', 'mere', 'accident', 'made', 'his', 'acquaintance']
16	This soon ripened into friendship—for there was much in the recluse to excite interest and esteem. 	Знакомство вскоре перешло в дружбу. Многое в характере отшельника внушало интерес и уважение. 	['Знакомство', 'вскоре', 'перешло', 'в', 'дружбу', 'Многое', 'в', 'характере', 'отшельника', 'внушало', 'интерес', 'и', 'уважение']	['This', 'soon', 'ripened', 'into', 'friendship—for', 'there', 'was', 'much', 'in', 'the', 'recluse', 'to', 'excite', 'interest', 'and', 'esteem']
17	I found him well educated, with unusual powers of mind, but infected with misanthropy, and subject to perverse moods of alternate enthusiasm and melancholy. 	Я увидел, что он отлично образован и наделен недюжинными способностями, но вместе с тем заражен мизантропией и страдает от болезненного состояния ума, впадая попеременно то в восторженность, то в угрюмость. 	['Я', 'увидел', 'что', 'он', 'отлично', 'образован', 'и', 'наделен', 'недюжинными', 'способностями', 'но', 'вместе', 'с', 'тем', 'заражен', 'мизантропией', 'и', 'страдает', 'от', 'болезненного', 'состояния', 'ума', 'впадая', 'попеременно', 'то', 'в', 'восторженность', 'то', 'в', 'угрюмость']	['I', 'found', 'him', 'well', 'educated', 'with', 'unusual', 'powers', 'of', 'mind', 'but', 'infected', 'with', 'misanthropy', 'and', 'subject', 'to', 'perverse', 'moods', 'of', 'alternate', 'enthusiasm', 'and', 'melancholy']
18	He had with him many books, but rarely employed them. 	У Леграна было немало книг, но он редко к ним обращался. 	['У', 'Леграна', 'было', 'немало', 'книг', 'но', 'он', 'редко', 'к', 'ним', 'обращался']	['He', 'had', 'with', 'him', 'many', 'books', 'but', 'rarely', 'employed', 'them']
19	His chief amusements were gunning and fishing, or sauntering along the beach and through the myrtles, in quest of shells or entomological specimens;—his collection of the latter might have been envied by a Swammerdamm. 	Он предпочитал охотиться и ловить рыбу или же бродить по прибрежному песку и миртовым зарослям в поисках раковин и насекомых. Его коллекции насекомых позавидовал бы Сваммердам. 	['Он', 'предпочитал', 'охотиться', 'и', 'ловить', 'рыбу', 'или', 'же', 'бродить', 'по', 'прибрежному', 'песку', 'и', 'миртовым', 'зарослям', 'в', 'поисках', 'раковин', 'и', 'насекомых', 'Его', 'коллекции', 'насекомых', 'позавидовал', 'бы', 'Сваммердам']	['His', 'chief', 'amusements', 'were', 'gunning', 'and', 'fishing', 'or', 'sauntering', 'along', 'the', 'beach', 'and', 'through', 'the', 'myrtles', 'in', 'quest', 'of', 'shells', 'or', 'entomological', 'specimens;—his', 'collection', 'of', 'the', 'latter', 'might', 'have', 'been', 'envied', 'by', 'a', 'Swammerdamm']
20	"In these excursions he was usually accompanied by an old negro, called Jupiter, who had been manumitted before the reverses of the family, but who could be induced, neither by threats nor by promises, to abandon what he considered his right of attendance upon the footsteps of his young ""Massa Will."" "	В этих странствиях Леграна обычно сопровождал старый негр Юпитер. Он был отпущен на волю еще до разорения семьи; однако ни угрозами, ни посулами Юпитера нельзя было убедить, что он лишился неотъемлемого, как он полагал, права следовать повсюду за своим «масса Биллом». 	['В', 'этих', 'странствиях', 'Леграна', 'обычно', 'сопровождал', 'старый', 'негр', 'Юпитер', 'Он', 'был', 'отпущен', 'на', 'волю', 'еще', 'до', 'разорения', 'семьи', 'однако', 'ни', 'угрозами', 'ни', 'посулами', 'Юпитера', 'нельзя', 'было', 'убедить', 'что', 'он', 'лишился', 'неотъемлемого', 'как', 'он', 'полагал', 'права', 'следовать', 'повсюду', 'за', 'своим', '«масса', 'Биллом»']	['In', 'these', 'excursions', 'he', 'was', 'usually', 'accompanied', 'by', 'an', 'old', 'negro', 'called', 'Jupiter', 'who', 'had', 'been', 'manumitted', 'before', 'the', 'reverses', 'of', 'the', 'family', 'but', 'who', 'could', 'be', 'induced', 'neither', 'by', 'threats', 'nor', 'by', 'promises', 'to', 'abandon', 'what', 'he', 'considered', 'his', 'right', 'of', 'attendance', 'upon', 'the', 'footsteps', 'of', 'his', 'young', 'Massa', 'Will']
21	It is not improbable that the relatives of Legrand, conceiving him to be somewhat unsettled in intellect, had contrived to instil this obstinacy into Jupiter, with a view to the supervision and guardianship of the wanderer. 	Возможно, впрочем, что родные Леграна, обеспокоенные его психической неуравновешенностью, поддерживали это упорство в Юпитере, чтобы не оставить беглеца без всякого попечения. 	['Возможно', 'впрочем', 'что', 'родные', 'Леграна', 'обеспокоенные', 'его', 'психической', 'неуравновешенностью', 'поддерживали', 'это', 'упорство', 'в', 'Юпитере', 'чтобы', 'не', 'оставить', 'беглеца', 'без', 'всякого', 'попечения']	['It', 'is', 'not', 'improbable', 'that', 'the', 'relatives', 'of', 'Legrand', 'conceiving', 'him', 'to', 'be', 'somewhat', 'unsettled', 'in', 'intellect', 'had', 'contrived', 'to', 'instil', 'this', 'obstinacy', 'into', 'Jupiter', 'with', 'a', 'view', 'to', 'the', 'supervision', 'and', 'guardianship', 'of', 'the', 'wanderer']
22	The winters in the latitude of Sullivan's Island are seldom very severe, and in the fall of the year it is a rare event indeed when a fire is considered necessary. 	Зимы на широте Сэлливанова острова редко бывают очень суровыми, и в осеннее время почти никогда не приходится разводить огонь в помещении. 	['Зимы', 'на', 'широте', 'Сэлливанова', 'острова', 'редко', 'бывают', 'очень', 'суровыми', 'и', 'в', 'осеннее', 'время', 'почти', 'никогда', 'не', 'приходится', 'разводить', 'огонь', 'в', 'помещении']	"['The', 'winters', 'in', 'the', 'latitude', 'of', ""Sullivan's"", 'Island', 'are', 'seldom', 'very', 'severe', 'and', 'in', 'the', 'fall', 'of', 'the', 'year', 'it', 'is', 'a', 'rare', 'event', 'indeed', 'when', 'a', 'fire', 'is', 'considered', 'necessary']"
23	About the middle of October, 18-, there occurred, however, a day of remarkable chilliness. 	В средних числах октября 18… года выдался, однако, необычайно холодный день. 	['В', 'средних', 'числах', 'октября', '18…', 'года', 'выдался', 'однако', 'необычайно', 'холодный', 'день']	['About', 'the', 'middle', 'of', 'October', '18', 'there', 'occurred', 'however', 'a', 'day', 'of', 'remarkable', 'chilliness']
