	en	ru	ru_tokens	en_tokens
0	HENRY O. THE HIDING OF BLACK BILL 	О. Генри Как скрывался черный Билл 	['О', 'Генри', 'Как', 'скрывался', 'черный', 'Билл']	['HENRY', 'O', 'THE', 'HIDING', 'OF', 'BLACK', 'BILL']
1	A lank, strong, red-faced man with a Wellington beak and small, fiery eyes tempered by flaxen lashes, sat on the station platform at Los Pinos swinging his legs to and fro. 	Худой, жилистый, краснолицый человек с крючковатым носом и маленькими горящими глазками, блеск которых несколько смягчали белесые ресницы, сидел на краю железнодорожной платформы на станции Лос-Пиньос, болтая ногами. 	['Худой', 'жилистый', 'краснолицый', 'человек', 'с', 'крючковатым', 'носом', 'и', 'маленькими', 'горящими', 'глазками', 'блеск', 'которых', 'несколько', 'смягчали', 'белесые', 'ресницы', 'сидел', 'на', 'краю', 'железнодорожной', 'платформы', 'на', 'станции', 'Лос-Пиньос', 'болтая', 'ногами']	['A', 'lank', 'strong', 'red-faced', 'man', 'with', 'a', 'Wellington', 'beak', 'and', 'small', 'fiery', 'eyes', 'tempered', 'by', 'flaxen', 'lashes', 'sat', 'on', 'the', 'station', 'platform', 'at', 'Los', 'Pinos', 'swinging', 'his', 'legs', 'to', 'and', 'fro']
2	At his side sat another man, fat, melancholy, and seedy, who seemed to be his friend. They had the appearance of men to whom life had appeared as a reversible coat—seamy on both sides. 	Рядом с ним сидел другой человек - толстый, обтрепанный, унылый, должно быть, его приятель, У обоих был такой вид, словно грубые швы изнанки жизни давно уже натерли им мозоли по всему телу. 	['Рядом', 'с', 'ним', 'сидел', 'другой', 'человек', 'толстый', 'обтрепанный', 'унылый', 'должно', 'быть', 'его', 'приятель', 'У', 'обоих', 'был', 'такой', 'вид', 'словно', 'грубые', 'швы', 'изнанки', 'жизни', 'давно', 'уже', 'натерли', 'им', 'мозоли', 'по', 'всему', 'телу']	['At', 'his', 'side', 'sat', 'another', 'man', 'fat', 'melancholy', 'and', 'seedy', 'who', 'seemed', 'to', 'be', 'his', 'friend', 'They', 'had', 'the', 'appearance', 'of', 'men', 'to', 'whom', 'life', 'had', 'appeared', 'as', 'a', 'reversible', 'coat—seamy', 'on', 'both', 'sides']
3	"""Ain't seen you in about four years, Ham,"" said the seedy man. "	- Года четыре не видались, верно. Окорок? - сказал обтрепанный. 	['Года', 'четыре', 'не', 'видались', 'верно', 'Окорок', 'сказал', 'обтрепанный']	"[""Ain't"", 'seen', 'you', 'in', 'about', 'four', 'years', 'Ham', 'said', 'the', 'seedy', 'man']"
4	"""Which way you been travelling?"" "	- Где тебя носило? 	['Где', 'тебя', 'носило']	['Which', 'way', 'you', 'been', 'travelling']
5	"""Texas,"" said the red-faced man. "	- В Техасе, - сказал краснолицый. 	['В', 'Техасе', 'сказал', 'краснолицый']	['Texas', 'said', 'the', 'red-faced', 'man']
6	"""It was too cold in Alaska for me. "	- На Аляске слишком холодно - это не для меня. 	['На', 'Аляске', 'слишком', 'холодно', 'это', 'не', 'для', 'меня']	['It', 'was', 'too', 'cold', 'in', 'Alaska', 'for', 'me']
7	And I found it warm in Texas. 	А в Техасе тепло, как выяснилось. 	['А', 'в', 'Техасе', 'тепло', 'как', 'выяснилось']	['And', 'I', 'found', 'it', 'warm', 'in', 'Texas']
8	I'll tell you about one hot spell I went through there. 	Один раз было даже довольно жарко. Сейчас расскажу. 	['Один', 'раз', 'было', 'даже', 'довольно', 'жарко', 'Сейчас', 'расскажу']	"[""I'll"", 'tell', 'you', 'about', 'one', 'hot', 'spell', 'I', 'went', 'through', 'there']"
9	"""One morning I steps off the International at a water-tank and lets it go on without me. "	Как-то утром я соскочил с экспресса, когда он остановился у водокачки, и разрешил ему следовать дальше без меня. 	['Как-то', 'утром', 'я', 'соскочил', 'с', 'экспресса', 'когда', 'он', 'остановился', 'у', 'водокачки', 'и', 'разрешил', 'ему', 'следовать', 'дальше', 'без', 'меня']	['One', 'morning', 'I', 'steps', 'off', 'the', 'International', 'at', 'a', 'water-tank', 'and', 'lets', 'it', 'go', 'on', 'without', 'me']
