	en	ru	ru_tokens	en_tokens
0	The Canterville Ghost By OSCAR WILDE 	Оскар Уайльд. Кентервильское привидение 	['Оскар', 'Уайльд', 'Кентервильское', 'привидение']	['The', 'Canterville', 'Ghost', 'By', 'OSCAR', 'WILDE']
1	I 	1 	['1']	['I']
2	When Mr. Hiram B. Otis, the American Minister, bought Canterville Chase, every one told him he was doing a very foolish thing, as there was no doubt at all that the place was haunted. 	Когда  мистер  Хайрам  Б. Отис,  американский  посол,   решил   купить Кентервильский замок, все уверяли его, что он делает ужасную глупость,- было достоверно известно, что в замке обитает привидение. 	['Когда', 'мистер', 'Хайрам', 'Б', 'Отис', 'американский', 'посол', 'решил', 'купить', 'Кентервильский', 'замок', 'все', 'уверяли', 'его', 'что', 'он', 'делает', 'ужасную', 'глупость', 'было', 'достоверно', 'известно', 'что', 'в', 'замке', 'обитает', 'привидение']	['When', 'Mr', 'Hiram', 'B', 'Otis', 'the', 'American', 'Minister', 'bought', 'Canterville', 'Chase', 'every', 'one', 'told', 'him', 'he', 'was', 'doing', 'a', 'very', 'foolish', 'thing', 'as', 'there', 'was', 'no', 'doubt', 'at', 'all', 'that', 'the', 'place', 'was', 'haunted']
3	Indeed, Lord Canterville himself, who was a man of the most punctilious honour, had felt it his duty to mention the fact to Mr. Otis when they came to discuss terms. 	Сам лорд Кентервиль, человек  донельзя  щепетильный,  даже  когда  дело касалось сущих пустяков, не преминул  при  составлении  купчей  предупредить мистера Отиса. 	['Сам', 'лорд', 'Кентервиль', 'человек', 'донельзя', 'щепетильный', 'даже', 'когда', 'дело', 'касалось', 'сущих', 'пустяков', 'не', 'преминул', 'при', 'составлении', 'купчей', 'предупредить', 'мистера', 'Отиса']	['Indeed', 'Lord', 'Canterville', 'himself', 'who', 'was', 'a', 'man', 'of', 'the', 'most', 'punctilious', 'honour', 'had', 'felt', 'it', 'his', 'duty', 'to', 'mention', 'the', 'fact', 'to', 'Mr', 'Otis', 'when', 'they', 'came', 'to', 'discuss', 'terms']
4	"""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge. "	- Нас как-то не тянуло в этот замок,- сказал лорд  Кентервиль,-  с  тех пор как с моей двоюродной бабкой, вдовствующей герцогиней  Болтон,  случился нервный припадок, от которого она так и не оправилась. Она  переодевалась  к обеду, и вдруг ей на плечи опустились две костлявые руки. Не скрою  от  вас, мистер Отис, что привидение это являлось  также  многим  ныне  здравствующим членам моего семейства. Его видел и наш  приходский  священник,  преподобный Огастес Дэмпир,  магистр  Королевского  колледжа  в  Кембридже. 	['Нас', 'как-то', 'не', 'тянуло', 'в', 'этот', 'замок', 'сказал', 'лорд', 'Кентервиль', 'с', 'тех', 'пор', 'как', 'с', 'моей', 'двоюродной', 'бабкой', 'вдовствующей', 'герцогиней', 'Болтон', 'случился', 'нервный', 'припадок', 'от', 'которого', 'она', 'так', 'и', 'не', 'оправилась', 'Она', 'переодевалась', 'к', 'обеду', 'и', 'вдруг', 'ей', 'на', 'плечи', 'опустились', 'две', 'костлявые', 'руки', 'Не', 'скрою', 'от', 'вас', 'мистер', 'Отис', 'что', 'привидение', 'это', 'являлось', 'также', 'многим', 'ныне', 'здравствующим', 'членам', 'моего', 'семейства', 'Его', 'видел', 'и', 'наш', 'приходский', 'священник', 'преподобный', 'Огастес', 'Дэмпир', 'магистр', 'Королевского', 'колледжа', 'в', 'Кембридже']	"['We', 'have', 'not', 'cared', 'to', 'live', 'in', 'the', 'place', 'ourselves', 'said', 'Lord', 'Canterville', 'since', 'my', 'grandaunt', 'the', 'Dowager', 'Duchess', 'of', 'Bolton', 'was', 'frightened', 'into', 'a', 'fit', 'from', 'which', 'she', 'never', 'really', 'recovered', 'by', 'two', 'skeleton', 'hands', 'being', 'placed', 'on', 'her', 'shoulders', 'as', 'she', 'was', 'dressing', 'for', 'dinner', 'and', 'I', 'feel', 'bound', 'to', 'tell', 'you', 'Mr', 'Otis', 'that', 'the', 'ghost', 'has', 'been', 'seen', 'by', 'several', 'living', 'members', 'of', 'my', 'family', 'as', 'well', 'as', 'by', 'the', 'rector', 'of', 'the', 'parish', 'the', 'Rev', 'Augustus', 'Dampier', 'who', 'is', 'a', 'Fellow', 'of', ""King's"", 'College', 'Cambridge']"
5	"After the unfortunate accident to the Duchess, none of our younger servants would stay with us, and Lady Canterville often got very little sleep at night, in consequence of the mysterious noises that came from the corridor and the library."" "	После  этой неприятности  с  герцогиней  вся  младшая  прислуга  ушла  от  нас,  а  леди Кен-тервиль  совсем  лишилась  сна:  каждую  ночь  ей   слышались   какие-то непонятные шорохи в коридоре и библиотеке. 	['После', 'этой', 'неприятности', 'с', 'герцогиней', 'вся', 'младшая', 'прислуга', 'ушла', 'от', 'нас', 'а', 'леди', 'Кен-тервиль', 'совсем', 'лишилась', 'сна', 'каждую', 'ночь', 'ей', 'слышались', 'какие-то', 'непонятные', 'шорохи', 'в', 'коридоре', 'и', 'библиотеке']	['After', 'the', 'unfortunate', 'accident', 'to', 'the', 'Duchess', 'none', 'of', 'our', 'younger', 'servants', 'would', 'stay', 'with', 'us', 'and', 'Lady', 'Canterville', 'often', 'got', 'very', 'little', 'sleep', 'at', 'night', 'in', 'consequence', 'of', 'the', 'mysterious', 'noises', 'that', 'came', 'from', 'the', 'corridor', 'and', 'the', 'library']
6	"""My Lord,"" answered the Minister, ""I will take the furniture and the ghost at a valuation. "	- Что ж, милорд,-  ответил  посол,-  пусть  привидение  идет  вместе  с мебелью. 	['Что', 'ж', 'милорд', 'ответил', 'посол', 'пусть', 'привидение', 'идет', 'вместе', 'с', 'мебелью']	['My', 'Lord', 'answered', 'the', 'Minister', 'I', 'will', 'take', 'the', 'furniture', 'and', 'the', 'ghost', 'at', 'a', 'valuation']
7	"I have come from a modern country, where we have everything that money can buy; and with all our spry young fellows painting the Old World red, and carrying off your best actors and prima-donnas, I reckon that if there were such a thing as a ghost in Europe, we'd have it at home in a very short time in one of our public museums, or on the road as a show."" "	Я приехал из передовой страны, где есть все, что  можно  купить  за деньги. К тому же молодежь у нас  бойкая,  способная  перевернуть  весь  ваш Старый Свет. Наши молодые  люди  увозят  от  вас  лучших  актрис  и  оперных примадонн. Так что, заведись  в  Европе  хоть  одно  привидение,  оно  мигом очутилось бы у нас в каком-нибудь музее или в разъездном паноптикуме. 	['Я', 'приехал', 'из', 'передовой', 'страны', 'где', 'есть', 'все', 'что', 'можно', 'купить', 'за', 'деньги', 'К', 'тому', 'же', 'молодежь', 'у', 'нас', 'бойкая', 'способная', 'перевернуть', 'весь', 'ваш', 'Старый', 'Свет', 'Наши', 'молодые', 'люди', 'увозят', 'от', 'вас', 'лучших', 'актрис', 'и', 'оперных', 'примадонн', 'Так', 'что', 'заведись', 'в', 'Европе', 'хоть', 'одно', 'привидение', 'оно', 'мигом', 'очутилось', 'бы', 'у', 'нас', 'в', 'каком-нибудь', 'музее', 'или', 'в', 'разъездном', 'паноптикуме']	"['I', 'have', 'come', 'from', 'a', 'modern', 'country', 'where', 'we', 'have', 'everything', 'that', 'money', 'can', 'buy', 'and', 'with', 'all', 'our', 'spry', 'young', 'fellows', 'painting', 'the', 'Old', 'World', 'red', 'and', 'carrying', 'off', 'your', 'best', 'actors', 'and', 'prima-donnas', 'I', 'reckon', 'that', 'if', 'there', 'were', 'such', 'a', 'thing', 'as', 'a', 'ghost', 'in', 'Europe', ""we'd"", 'have', 'it', 'at', 'home', 'in', 'a', 'very', 'short', 'time', 'in', 'one', 'of', 'our', 'public', 'museums', 'or', 'on', 'the', 'road', 'as', 'a', 'show']"
8	"""I fear that the ghost exists,"" said Lord Canterville, smiling, ""though it may have resisted the overtures of your enterprising impresarios. "	- Боюсь, что кентервильское привидение  все-таки  существует,-  сказал, улыбаясь,  лорд  Кентервиль,-  хоть  оно,  возможно,   и   не   соблазнилось предложениями ваших предприимчивых импресарио. 	['Боюсь', 'что', 'кентервильское', 'привидение', 'все-таки', 'существует', 'сказал', 'улыбаясь', 'лорд', 'Кентервиль', 'хоть', 'оно', 'возможно', 'и', 'не', 'соблазнилось', 'предложениями', 'ваших', 'предприимчивых', 'импресарио']	['I', 'fear', 'that', 'the', 'ghost', 'exists', 'said', 'Lord', 'Canterville', 'smiling', 'though', 'it', 'may', 'have', 'resisted', 'the', 'overtures', 'of', 'your', 'enterprising', 'impresarios']
9	"It has been well known for three centuries, since 1584 in fact, and always makes its appearance before the death of any member of our family."" "	Оно  пользуется  известностью добрых триста лет,- точнее сказать, с тысяча пятьсот восемьдесят  четвертого года,- и неизменно появляется незадолго до  кончины  кого-нибудь  из  членов нашей семьи. 	['Оно', 'пользуется', 'известностью', 'добрых', 'триста', 'лет', 'точнее', 'сказать', 'с', 'тысяча', 'пятьсот', 'восемьдесят', 'четвертого', 'года', 'и', 'неизменно', 'появляется', 'незадолго', 'до', 'кончины', 'кого-нибудь', 'из', 'членов', 'нашей', 'семьи']	['It', 'has', 'been', 'well', 'known', 'for', 'three', 'centuries', 'since', '1584', 'in', 'fact', 'and', 'always', 'makes', 'its', 'appearance', 'before', 'the', 'death', 'of', 'any', 'member', 'of', 'our', 'family']
