	en	ru	ru_tokens	en_tokens
0	David Herbert Lawrence. 	Дэвид Герберт Лоуренс. 	['Дэвид', 'Герберт', 'Лоуренс']	['David', 'Herbert', 'Lawrence']
1	Lady Chatterley's Lover 	Любовник леди Чаттерли 	['Любовник', 'леди', 'Чаттерли']	"['Lady', ""Chatterley's"", 'Lover']"
2	Chapter 1 	1 	['1']	['Chapter', '1']
3	Ours  is essentially a tragic age, so we refuse to take it tragically. 	В столь горькое время выпало нам жить, что мы тщимся  не  замечать  эту горечь. 	['В', 'столь', 'горькое', 'время', 'выпало', 'нам', 'жить', 'что', 'мы', 'тщимся', 'не', 'замечать', 'эту', 'горечь']	['Ours', 'is', 'essentially', 'a', 'tragic', 'age', 'so', 'we', 'refuse', 'to', 'take', 'it', 'tragically']
4	The cataclysm has happened, we are among the ruins, we start to build up new little habitats, to have new little hopes. 	Приходит беда, рушит нашу жизнь, а мы сразу  же  прямо  на  руинах наново торим тропки к надежде. 	['Приходит', 'беда', 'рушит', 'нашу', 'жизнь', 'а', 'мы', 'сразу', 'же', 'прямо', 'на', 'руинах', 'наново', 'торим', 'тропки', 'к', 'надежде']	['The', 'cataclysm', 'has', 'happened', 'we', 'are', 'among', 'the', 'ruins', 'we', 'start', 'to', 'build', 'up', 'new', 'little', 'habitats', 'to', 'have', 'new', 'little', 'hopes']
5	It is  rather hard work: there is now no  smooth road into the future: but we go round,  or  scramble over the obstacles. 	Тяжкий  это  труд. Впереди  -  рытвины  да преграды. Мы их либо обходим, либо, с грехом пополам, берем приступом. 	['Тяжкий', 'это', 'труд', 'Впереди', 'рытвины', 'да', 'преграды', 'Мы', 'их', 'либо', 'обходим', 'либо', 'с', 'грехом', 'пополам', 'берем', 'приступом']	['It', 'is', 'rather', 'hard', 'work', 'there', 'is', 'now', 'no', 'smooth', 'road', 'into', 'the', 'future', 'but', 'we', 'go', 'round', 'or', 'scramble', 'over', 'the', 'obstacles']
6	We've got to live, no matter how many skies have fallen. 	Но какие бы невзгоды на нас ни обрушивались, жизнь идет своим чередом. 	['Но', 'какие', 'бы', 'невзгоды', 'на', 'нас', 'ни', 'обрушивались', 'жизнь', 'идет', 'своим', 'чередом']	"[""We've"", 'got', 'to', 'live', 'no', 'matter', 'how', 'many', 'skies', 'have', 'fallen']"
7	This  was more  or  less Constance  Chatterley's  position. 	Так примерно рассуждала Констанция Чаттерли. 	['Так', 'примерно', 'рассуждала', 'Констанция', 'Чаттерли']	"['This', 'was', 'more', 'or', 'less', 'Constance', ""Chatterley's"", 'position']"
8	The war had brought the roof down over her head. 	Война в пух и прах разбила ее благополучие. 	['Война', 'в', 'пух', 'и', 'прах', 'разбила', 'ее', 'благополучие']	['The', 'war', 'had', 'brought', 'the', 'roof', 'down', 'over', 'her', 'head']
9	And she had realized that one must live and learn. 	Что ж,  дорого  приходится  платить  за  уроки  житейской мудрости. 	['Что', 'ж', 'дорого', 'приходится', 'платить', 'за', 'уроки', 'житейской', 'мудрости']	['And', 'she', 'had', 'realized', 'that', 'one', 'must', 'live', 'and', 'learn']
10	She married Clifford Chatterley  in 1917, when he was home  for a month on leave. 	Констанция вышла замуж за Клиффорда Чаттерли в 1917 году - его  в  ту пору отпустили из армии на побывку. 	['Констанция', 'вышла', 'замуж', 'за', 'Клиффорда', 'Чаттерли', 'в', '1917', 'году', 'его', 'в', 'ту', 'пору', 'отпустили', 'из', 'армии', 'на', 'побывку']	['She', 'married', 'Clifford', 'Chatterley', 'in', '1917', 'when', 'he', 'was', 'home', 'for', 'a', 'month', 'on', 'leave']
11	They had a month's honeymoon. Then he went back to Flanders: to be shipped over  to  England  again six  months later, more  or less  in  bits. 	Промелькнул медовый месяц, и  Клиффорд уехал обратно во Фландрию. А через полгода его, израненного, едва  живого, привезли домой. 	['Промелькнул', 'медовый', 'месяц', 'и', 'Клиффорд', 'уехал', 'обратно', 'во', 'Фландрию', 'А', 'через', 'полгода', 'его', 'израненного', 'едва', 'живого', 'привезли', 'домой']	"['They', 'had', 'a', ""month's"", 'honeymoon', 'Then', 'he', 'went', 'back', 'to', 'Flanders', 'to', 'be', 'shipped', 'over', 'to', 'England', 'again', 'six', 'months', 'later', 'more', 'or', 'less', 'in', 'bits']"
12	Constance,   his   wife,  was  then  twenty-three  years  old,  and  he  was twenty-nine. 	Констанции исполнилось  двадцать  три  года,  Клиффорду  - двадцать девять. 	['Констанции', 'исполнилось', 'двадцать', 'три', 'года', 'Клиффорду', 'двадцать', 'девять']	['Constance', 'his', 'wife', 'was', 'then', 'twenty-three', 'years', 'old', 'and', 'he', 'was', 'twenty-nine']
13	His hold on life  was marvellous. He didn't die, and the bits seemed to grow together again. 	Он отчаянно боролся со смертью, явив завидную волю, и  мало-помалу  шел на поправку. 	['Он', 'отчаянно', 'боролся', 'со', 'смертью', 'явив', 'завидную', 'волю', 'и', 'мало-помалу', 'шел', 'на', 'поправку']	"['His', 'hold', 'on', 'life', 'was', 'marvellous', 'He', ""didn't"", 'die', 'and', 'the', 'bits', 'seemed', 'to', 'grow', 'together', 'again']"
