	en	ru	ru_tokens	en_tokens
0	LOVE OF LIFE “This out of all will remain—        They have lived and have tossed:     So much of the game will be gain,        Though the gold of the dice has been lost.” 	Джек Лондон. Любовь к жизни 	['Джек', 'Лондон', 'Любовь', 'к', 'жизни']	['LOVE', 'OF', 'LIFE', '“This', 'out', 'of', 'all', 'will', 'remain—', 'They', 'have', 'lived', 'and', 'have', 'tossed', 'So', 'much', 'of', 'the', 'game', 'will', 'be', 'gain', 'Though', 'the', 'gold', 'of', 'the', 'dice', 'has', 'been', 'lost.”']
1	They limped painfully down the bank, and once the foremost of the two men staggered among the rough-strewn rocks. 	Прихрамывая, они спустились к речке, и один раз тот, что шел впереди, зашатался, споткнувшись посреди каменной россыпи. 	['Прихрамывая', 'они', 'спустились', 'к', 'речке', 'и', 'один', 'раз', 'тот', 'что', 'шел', 'впереди', 'зашатался', 'споткнувшись', 'посреди', 'каменной', 'россыпи']	['They', 'limped', 'painfully', 'down', 'the', 'bank', 'and', 'once', 'the', 'foremost', 'of', 'the', 'two', 'men', 'staggered', 'among', 'the', 'rough-strewn', 'rocks']
2	They were tired and weak, and their faces had the drawn expression of patience which comes of hardship long endured. 	Оба устали и выбились из сил, и лица их выражали терпеливую покорность - след долгих лишений. 	['Оба', 'устали', 'и', 'выбились', 'из', 'сил', 'и', 'лица', 'их', 'выражали', 'терпеливую', 'покорность', 'след', 'долгих', 'лишений']	['They', 'were', 'tired', 'and', 'weak', 'and', 'their', 'faces', 'had', 'the', 'drawn', 'expression', 'of', 'patience', 'which', 'comes', 'of', 'hardship', 'long', 'endured']
3	They were heavily burdened with blanket packs which were strapped to their shoulders. Head-straps, passing across the forehead, helped support these packs. 	Плечи им оттягивали тяжелые тюки, стянутые ремнями. 	['Плечи', 'им', 'оттягивали', 'тяжелые', 'тюки', 'стянутые', 'ремнями']	['They', 'were', 'heavily', 'burdened', 'with', 'blanket', 'packs', 'which', 'were', 'strapped', 'to', 'their', 'shoulders', 'Head-straps', 'passing', 'across', 'the', 'forehead', 'helped', 'support', 'these', 'packs']
4	Each man carried a rifle. 	Каждый из них нес ружье. 	['Каждый', 'из', 'них', 'нес', 'ружье']	['Each', 'man', 'carried', 'a', 'rifle']
5	They walked in a stooped posture, the shoulders well forward, the head still farther forward, the eyes bent upon the ground. 	Оба шли сгорбившись, низко нагнув голову и не поднимая глаз. 	['Оба', 'шли', 'сгорбившись', 'низко', 'нагнув', 'голову', 'и', 'не', 'поднимая', 'глаз']	['They', 'walked', 'in', 'a', 'stooped', 'posture', 'the', 'shoulders', 'well', 'forward', 'the', 'head', 'still', 'farther', 'forward', 'the', 'eyes', 'bent', 'upon', 'the', 'ground']
6	“I wish we had just about two of them cartridges that’s layin’ in that cache of ourn,” said the second man. 	- Хорошо бы иметь хоть два патрона из тех, что лежат у нас в тайнике, - сказал один. 	['Хорошо', 'бы', 'иметь', 'хоть', 'два', 'патрона', 'из', 'тех', 'что', 'лежат', 'у', 'нас', 'в', 'тайнике', 'сказал', 'один']	['“I', 'wish', 'we', 'had', 'just', 'about', 'two', 'of', 'them', 'cartridges', 'that’s', 'layin’', 'in', 'that', 'cache', 'of', 'ourn,”', 'said', 'the', 'second', 'man']
7	His voice was utterly and drearily expressionless. 	Голос его звучал вяло, без всякого выражения. 	['Голос', 'его', 'звучал', 'вяло', 'без', 'всякого', 'выражения']	['His', 'voice', 'was', 'utterly', 'and', 'drearily', 'expressionless']
8	He spoke without enthusiasm; and the first man, limping into the milky stream that foamed over the rocks, vouchsafed no reply. 	Он говорил  равнодушно, и его спутник, только что ступивший в молочно-белую  воду,  пенившуюся  по камням, ничего ему не ответил. 	['Он', 'говорил', 'равнодушно', 'и', 'его', 'спутник', 'только', 'что', 'ступивший', 'в', 'молочно-белую', 'воду', 'пенившуюся', 'по', 'камням', 'ничего', 'ему', 'не', 'ответил']	['He', 'spoke', 'without', 'enthusiasm', 'and', 'the', 'first', 'man', 'limping', 'into', 'the', 'milky', 'stream', 'that', 'foamed', 'over', 'the', 'rocks', 'vouchsafed', 'no', 'reply']
9	The other man followed at his heels. 	Второй тоже вошел в речку вслед за первым. 	['Второй', 'тоже', 'вошел', 'в', 'речку', 'вслед', 'за', 'первым']	['The', 'other', 'man', 'followed', 'at', 'his', 'heels']
