	en	ru	ru_tokens	en_tokens
0	THE MARTIAN CHRONICLES 	"""Марсианские хроники"". "	['Марсианские', 'хроники']	['THE', 'MARTIAN', 'CHRONICLES']
1	by Ray Bradbury 	Рэй Брэдбери. 	['Рэй', 'Брэдбери']	['by', 'Ray', 'Bradbury']
2	For my wife MARGUERITE with all my love 	МОЕЙ ЖЕНЕ МАРГАРЕТ С ИСКРЕННЕЙ ЛЮБОВЬЮ 	['МОЕЙ', 'ЖЕНЕ', 'МАРГАРЕТ', 'С', 'ИСКРЕННЕЙ', 'ЛЮБОВЬЮ']	['For', 'my', 'wife', 'MARGUERITE', 'with', 'all', 'my', 'love']
3	“It is good to renew one’s wonder,” said the philosopher. 	«Великое дело — способность удивляться, — сказал философ. 	['«Великое', 'дело', '—', 'способность', 'удивляться', '—', 'сказал', 'философ']	['“It', 'is', 'good', 'to', 'renew', 'one’s', 'wonder,”', 'said', 'the', 'philosopher']
4	“Space travel has again made children of us all.” 	— Космические полеты снова сделали всех нас детьми». 	['—', 'Космические', 'полеты', 'снова', 'сделали', 'всех', 'нас', 'детьми»']	['“Space', 'travel', 'has', 'again', 'made', 'children', 'of', 'us', 'all.”']
5	January 1999: ROCKET SUMMER 	Январь 1999 Ракетное лето 	['Январь', '1999', 'Ракетное', 'лето']	['January', '1999', 'ROCKET', 'SUMMER']
6	One minute it was Ohio winter, with doors closed, windows locked, the panes blind with frost, icicles fringing every roof, children skiing on slopes, housewives lumbering like great black bears in their furs along the icy streets. 	Только что была огайская зима: двери заперты, окна закрыты, стекла незрячие от изморози, все крыши оторочены сосульками, дети мчатся с горок на лыжах, женщины в шубах черными медведицами бредут по гололедным улицам. 	['Только', 'что', 'была', 'огайская', 'зима', 'двери', 'заперты', 'окна', 'закрыты', 'стекла', 'незрячие', 'от', 'изморози', 'все', 'крыши', 'оторочены', 'сосульками', 'дети', 'мчатся', 'с', 'горок', 'на', 'лыжах', 'женщины', 'в', 'шубах', 'черными', 'медведицами', 'бредут', 'по', 'гололедным', 'улицам']	['One', 'minute', 'it', 'was', 'Ohio', 'winter', 'with', 'doors', 'closed', 'windows', 'locked', 'the', 'panes', 'blind', 'with', 'frost', 'icicles', 'fringing', 'every', 'roof', 'children', 'skiing', 'on', 'slopes', 'housewives', 'lumbering', 'like', 'great', 'black', 'bears', 'in', 'their', 'furs', 'along', 'the', 'icy', 'streets']
7	And then a long wave of warmth crossed the small town. A flooding sea of hot air; it seemed as if someone had left a bakery door open. 	И вдруг могучая волна тепла прокатилась по городку, вал горячего воздуха захлестнул его, будто нечаянно оставили открытой дверь пекарни. 	['И', 'вдруг', 'могучая', 'волна', 'тепла', 'прокатилась', 'по', 'городку', 'вал', 'горячего', 'воздуха', 'захлестнул', 'его', 'будто', 'нечаянно', 'оставили', 'открытой', 'дверь', 'пекарни']	['And', 'then', 'a', 'long', 'wave', 'of', 'warmth', 'crossed', 'the', 'small', 'town', 'A', 'flooding', 'sea', 'of', 'hot', 'air', 'it', 'seemed', 'as', 'if', 'someone', 'had', 'left', 'a', 'bakery', 'door', 'open']
8	The heat pulsed among the cottages and bushes and children. 	Зной омывал дома, кусты, детей. 	['Зной', 'омывал', 'дома', 'кусты', 'детей']	['The', 'heat', 'pulsed', 'among', 'the', 'cottages', 'and', 'bushes', 'and', 'children']
9	The icicles dropped, shattering, to melt. 	Сосульки срывались с крыш, разбивались и таяли. 	['Сосульки', 'срывались', 'с', 'крыш', 'разбивались', 'и', 'таяли']	['The', 'icicles', 'dropped', 'shattering', 'to', 'melt']
10	The doors flew open. 	Двери распахнулись. 	['Двери', 'распахнулись']	['The', 'doors', 'flew', 'open']
11	The windows flew up. 	Окна раскрылись. 	['Окна', 'раскрылись']	['The', 'windows', 'flew', 'up']
12	The children worked off their wool clothes. 	Дети скинули свитера. 	['Дети', 'скинули', 'свитера']	['The', 'children', 'worked', 'off', 'their', 'wool', 'clothes']
13	The housewives shed their bear disguises. 	Мамаши сбросили медвежье обличье. 	['Мамаши', 'сбросили', 'медвежье', 'обличье']	['The', 'housewives', 'shed', 'their', 'bear', 'disguises']
14	The snow dissolved and showed last summer’s ancient green lawns. 	Снег испарился, и на газонах показалась прошлогодняя жухлая трава. 	['Снег', 'испарился', 'и', 'на', 'газонах', 'показалась', 'прошлогодняя', 'жухлая', 'трава']	['The', 'snow', 'dissolved', 'and', 'showed', 'last', 'summer’s', 'ancient', 'green', 'lawns']
15	Rocket summer. 	Ракетное лето. 	['Ракетное', 'лето']	['Rocket', 'summer']
16	The words passed among the people in the open, airing houses. Rocket summer. 	Из уст в уста с ветром из дома в открытый дом — два слова: Ракетное лето. 	['Из', 'уст', 'в', 'уста', 'с', 'ветром', 'из', 'дома', 'в', 'открытый', 'дом', '—', 'два', 'слова', 'Ракетное', 'лето']	['The', 'words', 'passed', 'among', 'the', 'people', 'in', 'the', 'open', 'airing', 'houses', 'Rocket', 'summer']
17	The warm desert air changing the frost patterns on the windows, erasing the art work. 	Жаркий, как дыхание пустыни, воздух переиначивал морозные узоры на окнах, слизывал хрупкие кружева. 	['Жаркий', 'как', 'дыхание', 'пустыни', 'воздух', 'переиначивал', 'морозные', 'узоры', 'на', 'окнах', 'слизывал', 'хрупкие', 'кружева']	['The', 'warm', 'desert', 'air', 'changing', 'the', 'frost', 'patterns', 'on', 'the', 'windows', 'erasing', 'the', 'art', 'work']
18	The skis and sleds suddenly useless. 	Лыжи и санки вдруг стали не нужны. 	['Лыжи', 'и', 'санки', 'вдруг', 'стали', 'не', 'нужны']	['The', 'skis', 'and', 'sleds', 'suddenly', 'useless']
19	The snow, falling from the cold sky upon the town, turned to a hot rain before it touched the ground. 	Снег, падавший на городок с холодного неба, превращался в горячий дождь, не долетев до земли. 	['Снег', 'падавший', 'на', 'городок', 'с', 'холодного', 'неба', 'превращался', 'в', 'горячий', 'дождь', 'не', 'долетев', 'до', 'земли']	['The', 'snow', 'falling', 'from', 'the', 'cold', 'sky', 'upon', 'the', 'town', 'turned', 'to', 'a', 'hot', 'rain', 'before', 'it', 'touched', 'the', 'ground']
20	Rocket summer. 	Ракетное лето. 	['Ракетное', 'лето']	['Rocket', 'summer']
21	People leaned from their dripping porches and watched the reddening sky. 	Высунувшись с веранд под дробную капель, люди смотрели вверх на алеющее небо. 	['Высунувшись', 'с', 'веранд', 'под', 'дробную', 'капель', 'люди', 'смотрели', 'вверх', 'на', 'алеющее', 'небо']	['People', 'leaned', 'from', 'their', 'dripping', 'porches', 'and', 'watched', 'the', 'reddening', 'sky']
22	The rocket lay on the launching field, blowing out pink clouds of fire and oven heat. 	Ракета стояла на космодроме, испуская розовые клубы огня и печного жара. 	['Ракета', 'стояла', 'на', 'космодроме', 'испуская', 'розовые', 'клубы', 'огня', 'и', 'печного', 'жара']	['The', 'rocket', 'lay', 'on', 'the', 'launching', 'field', 'blowing', 'out', 'pink', 'clouds', 'of', 'fire', 'and', 'oven', 'heat']
23	The rocket stood in the cold wintar morning, making summer with every breath of its mighty exhausts. 	В стуже зимнего утра ракета творила лето каждым выдохом своих мощных дюз. 	['В', 'стуже', 'зимнего', 'утра', 'ракета', 'творила', 'лето', 'каждым', 'выдохом', 'своих', 'мощных', 'дюз']	['The', 'rocket', 'stood', 'in', 'the', 'cold', 'wintar', 'morning', 'making', 'summer', 'with', 'every', 'breath', 'of', 'its', 'mighty', 'exhausts']
24	The rocket made climates, and summer lay for a brief moment upon the land… 	Ракета делала погоду, и на короткий миг во всей округе воцарилось лето… 	['Ракета', 'делала', 'погоду', 'и', 'на', 'короткий', 'миг', 'во', 'всей', 'округе', 'воцарилось', 'лето…']	['The', 'rocket', 'made', 'climates', 'and', 'summer', 'lay', 'for', 'a', 'brief', 'moment', 'upon', 'the', 'land…']
25	February 1999: YLLA 	Февраль 1999 Илла 	['Февраль', '1999', 'Илла']	['February', '1999', 'YLLA']
26	They had a house of crystal pillars on the planet Mars by the edge of an empty sea, and every morning you could see Mrs. K eating the golden fruits that grew from the crystal walls, or cleaning the house with handfuls of magnetic dust which, taking all dirt with it, blew away on the hot wind. 	Они жили на планете Марс, в доме с хрустальными колоннами, на берегу высохшего моря, и по утрам можно было видеть, как миссис К ест золотые плоды, растущие из хрустальных стен, или наводит чистоту, рассыпая пригоршнями магнитную пыль, которую горячий ветер уносил вместе с сором. 	['Они', 'жили', 'на', 'планете', 'Марс', 'в', 'доме', 'с', 'хрустальными', 'колоннами', 'на', 'берегу', 'высохшего', 'моря', 'и', 'по', 'утрам', 'можно', 'было', 'видеть', 'как', 'миссис', 'К', 'ест', 'золотые', 'плоды', 'растущие', 'из', 'хрустальных', 'стен', 'или', 'наводит', 'чистоту', 'рассыпая', 'пригоршнями', 'магнитную', 'пыль', 'которую', 'горячий', 'ветер', 'уносил', 'вместе', 'с', 'сором']	['They', 'had', 'a', 'house', 'of', 'crystal', 'pillars', 'on', 'the', 'planet', 'Mars', 'by', 'the', 'edge', 'of', 'an', 'empty', 'sea', 'and', 'every', 'morning', 'you', 'could', 'see', 'Mrs', 'K', 'eating', 'the', 'golden', 'fruits', 'that', 'grew', 'from', 'the', 'crystal', 'walls', 'or', 'cleaning', 'the', 'house', 'with', 'handfuls', 'of', 'magnetic', 'dust', 'which', 'taking', 'all', 'dirt', 'with', 'it', 'blew', 'away', 'on', 'the', 'hot', 'wind']
