	en	ru	ru_tokens	en_tokens
0	The Project Gutenberg EBook of The Jungle Book, by Rudyard Kipling Produced by An Anonymous Volunteer and David Widger 	Редьярд Джозеф Киплинг 	['Редьярд', 'Джозеф', 'Киплинг']	['The', 'Project', 'Gutenberg', 'EBook', 'of', 'The', 'Jungle', 'Book', 'by', 'Rudyard', 'Kipling', 'Produced', 'by', 'An', 'Anonymous', 'Volunteer', 'and', 'David', 'Widger']
1	THE JUNGLE BOOK By Rudyard Kipling 	Книга джунглей 	['Книга', 'джунглей']	['THE', 'JUNGLE', 'BOOK', 'By', 'Rudyard', 'Kipling']
2	Mowgli's Brothers 	БРАТЬЯ МАУГЛИ 	['БРАТЬЯ', 'МАУГЛИ']	"[""Mowgli's"", 'Brothers']"
3	It was seven o'clock of a very warm evening in the Seeonee hills when Father Wolf woke up from his day's rest, scratched himself, yawned, and spread out his paws one after the other to get rid of the sleepy feeling in their tips. 	В Сионийских горах наступил очень жаркий вечер. Отец Волк проснулся после дневного отдыха, зевнул, почесался и одну за другой вытянул свои передние лапы, чтобы прогнать из них остаток тяжести. 	['В', 'Сионийских', 'горах', 'наступил', 'очень', 'жаркий', 'вечер', 'Отец', 'Волк', 'проснулся', 'после', 'дневного', 'отдыха', 'зевнул', 'почесался', 'и', 'одну', 'за', 'другой', 'вытянул', 'свои', 'передние', 'лапы', 'чтобы', 'прогнать', 'из', 'них', 'остаток', 'тяжести']	"['It', 'was', 'seven', ""o'clock"", 'of', 'a', 'very', 'warm', 'evening', 'in', 'the', 'Seeonee', 'hills', 'when', 'Father', 'Wolf', 'woke', 'up', 'from', 'his', ""day's"", 'rest', 'scratched', 'himself', 'yawned', 'and', 'spread', 'out', 'his', 'paws', 'one', 'after', 'the', 'other', 'to', 'get', 'rid', 'of', 'the', 'sleepy', 'feeling', 'in', 'their', 'tips']"
4	Mother Wolf lay with her big gray nose dropped across her four tumbling, squealing cubs, and the moon shone into the mouth of the cave where they all lived. 	Волчица Мать лежала, прикрыв своей большой серой мордой четверых барахтавшихся, повизгивавших волчат, а в отверстие их пещеры светила луна. 	['Волчица', 'Мать', 'лежала', 'прикрыв', 'своей', 'большой', 'серой', 'мордой', 'четверых', 'барахтавшихся', 'повизгивавших', 'волчат', 'а', 'в', 'отверстие', 'их', 'пещеры', 'светила', 'луна']	['Mother', 'Wolf', 'lay', 'with', 'her', 'big', 'gray', 'nose', 'dropped', 'across', 'her', 'four', 'tumbling', 'squealing', 'cubs', 'and', 'the', 'moon', 'shone', 'into', 'the', 'mouth', 'of', 'the', 'cave', 'where', 'they', 'all', 'lived']
5	"""Augrh!"" said Father Wolf. ""It is time to hunt again."" "	– Огур!.. – сказал Отец Волк. – Пора мне идти на охоту. 	['–', 'Огур', '–', 'сказал', 'Отец', 'Волк', '–', 'Пора', 'мне', 'идти', 'на', 'охоту']	['Augrh', 'said', 'Father', 'Wolf', 'It', 'is', 'time', 'to', 'hunt', 'again']
6	He was going to spring down hill when a little shadow with a bushy tail crossed the threshold and whined: 	И он уже готовился пуститься по откосу горы, когда маленькая тень с пушистым хвостом показалась подле входа в пещеру и жалобно провизжала: 	['И', 'он', 'уже', 'готовился', 'пуститься', 'по', 'откосу', 'горы', 'когда', 'маленькая', 'тень', 'с', 'пушистым', 'хвостом', 'показалась', 'подле', 'входа', 'в', 'пещеру', 'и', 'жалобно', 'провизжала']	['He', 'was', 'going', 'to', 'spring', 'down', 'hill', 'when', 'a', 'little', 'shadow', 'with', 'a', 'bushy', 'tail', 'crossed', 'the', 'threshold', 'and', 'whined']
7	"""Good luck go with you, O Chief of the Wolves. And good luck and strong white teeth go with noble children that they may never forget the hungry in this world."" "	– Пусть тебе сопутствует удача, о вождь волков, пусть судьба даст твоим благородным детям сильные, белые зубы; пусть счастье улыбается им. И да не забывают они голодных! 	['–', 'Пусть', 'тебе', 'сопутствует', 'удача', 'о', 'вождь', 'волков', 'пусть', 'судьба', 'даст', 'твоим', 'благородным', 'детям', 'сильные', 'белые', 'зубы', 'пусть', 'счастье', 'улыбается', 'им', 'И', 'да', 'не', 'забывают', 'они', 'голодных']	['Good', 'luck', 'go', 'with', 'you', 'O', 'Chief', 'of', 'the', 'Wolves', 'And', 'good', 'luck', 'and', 'strong', 'white', 'teeth', 'go', 'with', 'noble', 'children', 'that', 'they', 'may', 'never', 'forget', 'the', 'hungry', 'in', 'this', 'world']
8	It was the jackal—Tabaqui, the Dish-licker—and the wolves of India despise Tabaqui because he runs about making mischief, and telling tales, and eating rags and pieces of leather from the village rubbish-heaps. 	Говорил шакал Табаки, лизоблюд. Волки Индии презирали Табаки за то, что он всем причинял неприятности, сплетничал и поедал тряпьё и лоскутья кожи на сельских свалках мусора. 	['Говорил', 'шакал', 'Табаки', 'лизоблюд', 'Волки', 'Индии', 'презирали', 'Табаки', 'за', 'то', 'что', 'он', 'всем', 'причинял', 'неприятности', 'сплетничал', 'и', 'поедал', 'тряпьё', 'и', 'лоскутья', 'кожи', 'на', 'сельских', 'свалках', 'мусора']	['It', 'was', 'the', 'jackal—Tabaqui', 'the', 'Dish-licker—and', 'the', 'wolves', 'of', 'India', 'despise', 'Tabaqui', 'because', 'he', 'runs', 'about', 'making', 'mischief', 'and', 'telling', 'tales', 'and', 'eating', 'rags', 'and', 'pieces', 'of', 'leather', 'from', 'the', 'village', 'rubbish-heaps']
9	But they are afraid of him too, because Tabaqui, more than anyone else in the jungle, is apt to go mad, and then he forgets that he was ever afraid of anyone, and runs through the forest biting everything in his way. 	Вместе с тем, в джунглях боялись его, потому что шакалы способны сходить с ума, а в таком состоянии они забывают всякий страх, бегают по лесам и кусают всех, кого встречают. 	['Вместе', 'с', 'тем', 'в', 'джунглях', 'боялись', 'его', 'потому', 'что', 'шакалы', 'способны', 'сходить', 'с', 'ума', 'а', 'в', 'таком', 'состоянии', 'они', 'забывают', 'всякий', 'страх', 'бегают', 'по', 'лесам', 'и', 'кусают', 'всех', 'кого', 'встречают']	['But', 'they', 'are', 'afraid', 'of', 'him', 'too', 'because', 'Tabaqui', 'more', 'than', 'anyone', 'else', 'in', 'the', 'jungle', 'is', 'apt', 'to', 'go', 'mad', 'and', 'then', 'he', 'forgets', 'that', 'he', 'was', 'ever', 'afraid', 'of', 'anyone', 'and', 'runs', 'through', 'the', 'forest', 'biting', 'everything', 'in', 'his', 'way']
