	en	ru	ru_tokens	en_tokens
0	THE JACKET (THE STAR-ROVER) 	Джек Лондон. Межзвездный скиталец 	['Джек', 'Лондон', 'Межзвездный', 'скиталец']	['THE', 'JACKET', 'THE', 'STAR-ROVER']
1	CHAPTER I 	ГЛАВА I 	['ГЛАВА', 'I']	['CHAPTER', 'I']
2	All my life I have had an awareness of other times and places. 	С  раннего детства во  мне жило сознание  бытия  иных  мест и времен. 	['С', 'раннего', 'детства', 'во', 'мне', 'жило', 'сознание', 'бытия', 'иных', 'мест', 'и', 'времен']	['All', 'my', 'life', 'I', 'have', 'had', 'an', 'awareness', 'of', 'other', 'times', 'and', 'places']
3	I have been aware of other persons in me.—Oh, and trust me, so have you, my reader that is to be. 	"Я чувствовал  присутствие  в  себе  иного  ""я"". И  верьте мне,  мой  грядущий читатель, это  бывало и  с  вами! "	['Я', 'чувствовал', 'присутствие', 'в', 'себе', 'иного', 'я', 'И', 'верьте', 'мне', 'мой', 'грядущий', 'читатель', 'это', 'бывало', 'и', 'с', 'вами']	['I', 'have', 'been', 'aware', 'of', 'other', 'persons', 'in', 'me.—Oh', 'and', 'trust', 'me', 'so', 'have', 'you', 'my', 'reader', 'that', 'is', 'to', 'be']
4	Read back into your childhood, and this sense of awareness I speak of will be remembered as an experience of your childhood. 	Оглянитесь на свое  детство -- и  ощущение инобытия, о котором  я говорю, вспомнится  вам  как опыт вашего детства. 	['Оглянитесь', 'на', 'свое', 'детство', 'и', 'ощущение', 'инобытия', 'о', 'котором', 'я', 'говорю', 'вспомнится', 'вам', 'как', 'опыт', 'вашего', 'детства']	['Read', 'back', 'into', 'your', 'childhood', 'and', 'this', 'sense', 'of', 'awareness', 'I', 'speak', 'of', 'will', 'be', 'remembered', 'as', 'an', 'experience', 'of', 'your', 'childhood']
5	You were then not fixed, not crystallized. You were plastic, a soul in flux, a consciousness and an identity in the process of forming—ay, of forming and forgetting. 	Вы тогда еще не определились,  не  выкристаллизовались, вы  были пластичны,  вы были -- душа в движении, сознание  и  тождество в процессе формирования,  -- да, формирования и... забывания. 	['Вы', 'тогда', 'еще', 'не', 'определились', 'не', 'выкристаллизовались', 'вы', 'были', 'пластичны', 'вы', 'были', 'душа', 'в', 'движении', 'сознание', 'и', 'тождество', 'в', 'процессе', 'формирования', 'да', 'формирования', 'и', 'забывания']	['You', 'were', 'then', 'not', 'fixed', 'not', 'crystallized', 'You', 'were', 'plastic', 'a', 'soul', 'in', 'flux', 'a', 'consciousness', 'and', 'an', 'identity', 'in', 'the', 'process', 'of', 'forming—ay', 'of', 'forming', 'and', 'forgetting']
6	You have forgotten much, my reader, and yet, as you read these lines, you remember dimly the hazy vistas of other times and places into which your child eyes peered. 	Вы многое  забыли,  читатель; но все  же, читая  эти  строки, вы смутно припомните туманные перспективы иных времен и мест, в которые заглядывал ваш детский глаз. 	['Вы', 'многое', 'забыли', 'читатель', 'но', 'все', 'же', 'читая', 'эти', 'строки', 'вы', 'смутно', 'припомните', 'туманные', 'перспективы', 'иных', 'времен', 'и', 'мест', 'в', 'которые', 'заглядывал', 'ваш', 'детский', 'глаз']	['You', 'have', 'forgotten', 'much', 'my', 'reader', 'and', 'yet', 'as', 'you', 'read', 'these', 'lines', 'you', 'remember', 'dimly', 'the', 'hazy', 'vistas', 'of', 'other', 'times', 'and', 'places', 'into', 'which', 'your', 'child', 'eyes', 'peered']
7	They seem dreams to you to-day. 	Теперь они вам кажутся грезами, снами. 	['Теперь', 'они', 'вам', 'кажутся', 'грезами', 'снами']	['They', 'seem', 'dreams', 'to', 'you', 'to-day']
8	Yet, if they were dreams, dreamed then, whence the substance of them? 	Но  если это  были сны, привидевшиеся вам  в ту пору, -- откуда,  в таком случае, их вещественность? 	['Но', 'если', 'это', 'были', 'сны', 'привидевшиеся', 'вам', 'в', 'ту', 'пору', 'откуда', 'в', 'таком', 'случае', 'их', 'вещественность']	['Yet', 'if', 'they', 'were', 'dreams', 'dreamed', 'then', 'whence', 'the', 'substance', 'of', 'them']
9	Our dreams are grotesquely compounded of the things we know. 	Наши  грезы  уродливо  складываются из  вещей, знакомых нам. 	['Наши', 'грезы', 'уродливо', 'складываются', 'из', 'вещей', 'знакомых', 'нам']	['Our', 'dreams', 'are', 'grotesquely', 'compounded', 'of', 'the', 'things', 'we', 'know']
