	en	ru	ru_tokens	en_tokens
0	Mr. Towers Chandler was pressing his evening suit in his hall bedroom. 	Мистер Тауэрс Чендлер гладил у себя в комнатушке свой выходной костюм. 	['Мистер', 'Тауэрс', 'Чендлер', 'гладил', 'у', 'себя', 'в', 'комнатушке', 'свой', 'выходной', 'костюм']	['Mr', 'Towers', 'Chandler', 'was', 'pressing', 'his', 'evening', 'suit', 'in', 'his', 'hall', 'bedroom']
1	One iron was heating on a small gas stove; the other was being pushed vigorously back and forth to make the desirable crease that would be seen later on extending in straight lines from Mr. Chandler's patent leather shoes to the edge of his low-cut vest. 	Один утюг грелся на газовой плитке, а другим он — энергично водил взад и вперед, добиваясь желаемой складки; спустя некоторое время можно будет видеть, как она протянется, прямая, словно стрела от его лакированных ботинок до края жилета с низким вырезом. 	['Один', 'утюг', 'грелся', 'на', 'газовой', 'плитке', 'а', 'другим', 'он', '—', 'энергично', 'водил', 'взад', 'и', 'вперед', 'добиваясь', 'желаемой', 'складки', 'спустя', 'некоторое', 'время', 'можно', 'будет', 'видеть', 'как', 'она', 'протянется', 'прямая', 'словно', 'стрела', 'от', 'его', 'лакированных', 'ботинок', 'до', 'края', 'жилета', 'с', 'низким', 'вырезом']	"['One', 'iron', 'was', 'heating', 'on', 'a', 'small', 'gas', 'stove', 'the', 'other', 'was', 'being', 'pushed', 'vigorously', 'back', 'and', 'forth', 'to', 'make', 'the', 'desirable', 'crease', 'that', 'would', 'be', 'seen', 'later', 'on', 'extending', 'in', 'straight', 'lines', 'from', 'Mr', ""Chandler's"", 'patent', 'leather', 'shoes', 'to', 'the', 'edge', 'of', 'his', 'low-cut', 'vest']"
2	So much of the hero's toilet may be intrusted to our confidence. 	Вот и все о туалете нашего героя, что можно довести до всеобщего сведения. 	['Вот', 'и', 'все', 'о', 'туалете', 'нашего', 'героя', 'что', 'можно', 'довести', 'до', 'всеобщего', 'сведения']	"['So', 'much', 'of', 'the', ""hero's"", 'toilet', 'may', 'be', 'intrusted', 'to', 'our', 'confidence']"
3	The remainder may be guessed by those whom genteel poverty has driven to ignoble expedient. 	Об остальном пусть догадываются те, кого благородная нищета толкает на жалкие уловки. 	['Об', 'остальном', 'пусть', 'догадываются', 'те', 'кого', 'благородная', 'нищета', 'толкает', 'на', 'жалкие', 'уловки']	['The', 'remainder', 'may', 'be', 'guessed', 'by', 'those', 'whom', 'genteel', 'poverty', 'has', 'driven', 'to', 'ignoble', 'expedient']
4	Our next view of him shall be as he descends the steps of his lodging-house immaculately and correctly clothed; calm, assured, handsome—in appearance the typical New York young clubman setting out, slightly bored, to inaugurate the pleasures of the evening. 	Мы снова увидим мистера Чендлера, когда он будет спускаться по лестнице дешевых меблированных комнат; безупречно одетый, самоуверенный, элегантный, по внешности — типичный нью-йоркский клубмен, прожигатель жизни, отправляющийся с несколько скучающим видом в погоню за вечерними удовольствиями. 	['Мы', 'снова', 'увидим', 'мистера', 'Чендлера', 'когда', 'он', 'будет', 'спускаться', 'по', 'лестнице', 'дешевых', 'меблированных', 'комнат', 'безупречно', 'одетый', 'самоуверенный', 'элегантный', 'по', 'внешности', '—', 'типичный', 'нью-йоркский', 'клубмен', 'прожигатель', 'жизни', 'отправляющийся', 'с', 'несколько', 'скучающим', 'видом', 'в', 'погоню', 'за', 'вечерними', 'удовольствиями']	['Our', 'next', 'view', 'of', 'him', 'shall', 'be', 'as', 'he', 'descends', 'the', 'steps', 'of', 'his', 'lodging-house', 'immaculately', 'and', 'correctly', 'clothed', 'calm', 'assured', 'handsome—in', 'appearance', 'the', 'typical', 'New', 'York', 'young', 'clubman', 'setting', 'out', 'slightly', 'bored', 'to', 'inaugurate', 'the', 'pleasures', 'of', 'the', 'evening']
5	Chandler's honorarium was $18 per week. 	Чендлер получал восемнадцать долларов в неделю. 	['Чендлер', 'получал', 'восемнадцать', 'долларов', 'в', 'неделю']	"[""Chandler's"", 'honorarium', 'was', '18', 'per', 'week']"
6	He was employed in the office of an architect. 	Он служил в конторе у одного архитектора. 	['Он', 'служил', 'в', 'конторе', 'у', 'одного', 'архитектора']	['He', 'was', 'employed', 'in', 'the', 'office', 'of', 'an', 'architect']
7	He was twenty-two years old; he considered architecture to be truly an art; and he honestly believed—though he would not have dared to admit it in New York—that the Flatiron Building was inferior to design to the great cathedral in Milan. 	Ему было двадцать два года. Он считал архитектуру настоящим искусством и был искренне убежден, — хотя не рискнул бы заявить об этом в Нью-Йорке, — что небоскреб «Утюг» по своим архитектурным формам уступает Миланскому собору. 	['Ему', 'было', 'двадцать', 'два', 'года', 'Он', 'считал', 'архитектуру', 'настоящим', 'искусством', 'и', 'был', 'искренне', 'убежден', '—', 'хотя', 'не', 'рискнул', 'бы', 'заявить', 'об', 'этом', 'в', 'Нью-Йорке', '—', 'что', 'небоскреб', '«Утюг»', 'по', 'своим', 'архитектурным', 'формам', 'уступает', 'Миланскому', 'собору']	['He', 'was', 'twenty-two', 'years', 'old', 'he', 'considered', 'architecture', 'to', 'be', 'truly', 'an', 'art', 'and', 'he', 'honestly', 'believed—though', 'he', 'would', 'not', 'have', 'dared', 'to', 'admit', 'it', 'in', 'New', 'York—that', 'the', 'Flatiron', 'Building', 'was', 'inferior', 'to', 'design', 'to', 'the', 'great', 'cathedral', 'in', 'Milan']
8	Out of each week's earnings Chandler set aside $1. 	Каждую неделю Чендлер откладывал из своей получки один доллар. 	['Каждую', 'неделю', 'Чендлер', 'откладывал', 'из', 'своей', 'получки', 'один', 'доллар']	"['Out', 'of', 'each', ""week's"", 'earnings', 'Chandler', 'set', 'aside', '1']"
9	At the end of each ten weeks with the extra capital thus accumulated, he purchased one gentleman's evening from the bargain counter of stingy old Father Time. 	В конце каждой десятой недели на добытый таким способом сверхкапитал он покупал в лавочке скаредного Папаши Времени один-единственный вечер, который мог провести, как джентльмен. 	['В', 'конце', 'каждой', 'десятой', 'недели', 'на', 'добытый', 'таким', 'способом', 'сверхкапитал', 'он', 'покупал', 'в', 'лавочке', 'скаредного', 'Папаши', 'Времени', 'один-единственный', 'вечер', 'который', 'мог', 'провести', 'как', 'джентльмен']	"['At', 'the', 'end', 'of', 'each', 'ten', 'weeks', 'with', 'the', 'extra', 'capital', 'thus', 'accumulated', 'he', 'purchased', 'one', ""gentleman's"", 'evening', 'from', 'the', 'bargain', 'counter', 'of', 'stingy', 'old', 'Father', 'Time']"
