	en	ru	ru_tokens	en_tokens
0	Henry O. 	О. Генри 	['О', 'Генри']	['Henry', 'O']
1	BABES IN THE JUNGLE 	Младенцы в джунглях 	['Младенцы', 'в', 'джунглях']	['BABES', 'IN', 'THE', 'JUNGLE']
2	Montague Silver, the finest street man and art grafter in the West, says to me once in Little Rock: 	Как-то раз в Литл-Роке говорит мне Монтэгю Силвер, первый на всем Западе ловкач и пройдоха: 	['Как-то', 'раз', 'в', 'Литл-Роке', 'говорит', 'мне', 'Монтэгю', 'Силвер', 'первый', 'на', 'всем', 'Западе', 'ловкач', 'и', 'пройдоха']	['Montague', 'Silver', 'the', 'finest', 'street', 'man', 'and', 'art', 'grafter', 'in', 'the', 'West', 'says', 'to', 'me', 'once', 'in', 'Little', 'Rock']
3	"""If you ever lose your mind, Billy, and get too old to do honest swindling among grown men, go to New York. "	- Если ты когда-нибудь выживешь из ума. Билли, или почувствуешь, что ты уже слишком стар, чтобы по честному заниматься надувательством взрослых людей, поезжай в Нью-Йорк. 	['Если', 'ты', 'когда-нибудь', 'выживешь', 'из', 'ума', 'Билли', 'или', 'почувствуешь', 'что', 'ты', 'уже', 'слишком', 'стар', 'чтобы', 'по', 'честному', 'заниматься', 'надувательством', 'взрослых', 'людей', 'поезжай', 'в', 'Нью-Йорк']	['If', 'you', 'ever', 'lose', 'your', 'mind', 'Billy', 'and', 'get', 'too', 'old', 'to', 'do', 'honest', 'swindling', 'among', 'grown', 'men', 'go', 'to', 'New', 'York']
4	"In the West a sucker is born every minute; but in New York they appear in chunks of roe—you can't count 'em!"" "	На Западе каждую минуту рождается на свет один простак: но в Нью-Йорке их просто мечут, как икру, так что и не сосчитать. 	['На', 'Западе', 'каждую', 'минуту', 'рождается', 'на', 'свет', 'один', 'простак', 'но', 'в', 'Нью-Йорке', 'их', 'просто', 'мечут', 'как', 'икру', 'так', 'что', 'и', 'не', 'сосчитать']	"['In', 'the', 'West', 'a', 'sucker', 'is', 'born', 'every', 'minute', 'but', 'in', 'New', 'York', 'they', 'appear', 'in', 'chunks', 'of', 'roe—you', ""can't"", 'count', ""'em""]"
5	Two years afterward I found that I couldn't remember the names of the Russian admirals, and I noticed some gray hairs over my left ear; so I knew the time had arrived for me to take Silver's advice. 	Прошло два года, и вот замечаю я, что имена русских адмиралов стали выскакивать у меня из памяти, а над левым ухом появилось несколько седых волосков; тут я понял, что пришло время воспользоваться советов Силвера. 	['Прошло', 'два', 'года', 'и', 'вот', 'замечаю', 'я', 'что', 'имена', 'русских', 'адмиралов', 'стали', 'выскакивать', 'у', 'меня', 'из', 'памяти', 'а', 'над', 'левым', 'ухом', 'появилось', 'несколько', 'седых', 'волосков', 'тут', 'я', 'понял', 'что', 'пришло', 'время', 'воспользоваться', 'советов', 'Силвера']	"['Two', 'years', 'afterward', 'I', 'found', 'that', 'I', ""couldn't"", 'remember', 'the', 'names', 'of', 'the', 'Russian', 'admirals', 'and', 'I', 'noticed', 'some', 'gray', 'hairs', 'over', 'my', 'left', 'ear', 'so', 'I', 'knew', 'the', 'time', 'had', 'arrived', 'for', 'me', 'to', 'take', ""Silver's"", 'advice']"
6	I struck New York about noon one day, and took a walk up Broadway. 	Я вкатился в Нью-Йорк в один прекрасный день около полудня и сразу же пошел прогуляться по Бродвею. 	['Я', 'вкатился', 'в', 'Нью-Йорк', 'в', 'один', 'прекрасный', 'день', 'около', 'полудня', 'и', 'сразу', 'же', 'пошел', 'прогуляться', 'по', 'Бродвею']	['I', 'struck', 'New', 'York', 'about', 'noon', 'one', 'day', 'and', 'took', 'a', 'walk', 'up', 'Broadway']
7	And I run against Silver himself, all encompassed up in a spacious kind of haberdashery, leaning against a hotel and rubbing the half-moons on his nails with a silk handkerchief. 	Вдруг вижу - Силвер собственной персоной, наверчено на нем разной шикарной галантереи, и он стоит, прислонясь к стене какого-то отеля, и полирует себе лунки на ногтях шелковым платочком. 	['Вдруг', 'вижу', 'Силвер', 'собственной', 'персоной', 'наверчено', 'на', 'нем', 'разной', 'шикарной', 'галантереи', 'и', 'он', 'стоит', 'прислонясь', 'к', 'стене', 'какого-то', 'отеля', 'и', 'полирует', 'себе', 'лунки', 'на', 'ногтях', 'шелковым', 'платочком']	['And', 'I', 'run', 'against', 'Silver', 'himself', 'all', 'encompassed', 'up', 'in', 'a', 'spacious', 'kind', 'of', 'haberdashery', 'leaning', 'against', 'a', 'hotel', 'and', 'rubbing', 'the', 'half-moons', 'on', 'his', 'nails', 'with', 'a', 'silk', 'handkerchief']
8	"""Paresis or superannuated?"" I asks him. "	- Склероз мозга или преждевременная старость? спрашиваю я его. 	['Склероз', 'мозга', 'или', 'преждевременная', 'старость', 'спрашиваю', 'я', 'его']	['Paresis', 'or', 'superannuated', 'I', 'asks', 'him']
9	"""Hello, Billy,"" says Silver; "	- А, Билли! - говорит Силвер. 	['А', 'Билли', 'говорит', 'Силвер']	['Hello', 'Billy', 'says', 'Silver']
10	"""I'm glad to see you. "	- Рад тебя видеть. 	['Рад', 'тебя', 'видеть']	"[""I'm"", 'glad', 'to', 'see', 'you']"
11	Yes, it seemed to me that the West was accumulating a little too much wiseness. 	Да, у нас на Западе, знаешь ли, все что-то очень поумнели. 	['Да', 'у', 'нас', 'на', 'Западе', 'знаешь', 'ли', 'все', 'что-то', 'очень', 'поумнели']	['Yes', 'it', 'seemed', 'to', 'me', 'that', 'the', 'West', 'was', 'accumulating', 'a', 'little', 'too', 'much', 'wiseness']
12	I've been saving New York for dessert. 	А Нью-Йорк я себе давно уже приберегал на сладкое. 	['А', 'Нью-Йорк', 'я', 'себе', 'давно', 'уже', 'приберегал', 'на', 'сладкое']	"[""I've"", 'been', 'saving', 'New', 'York', 'for', 'dessert']"
13	I know it's a low-down trick to take things from these people. 	Конечно, не очень это красиво обирать таких людей, как нью-йоркские жители. 	['Конечно', 'не', 'очень', 'это', 'красиво', 'обирать', 'таких', 'людей', 'как', 'нью-йоркские', 'жители']	"['I', 'know', ""it's"", 'a', 'low-down', 'trick', 'to', 'take', 'things', 'from', 'these', 'people']"
14	They only know this and that and pass to and fro and think ever and anon. 	Ведь они считать умеют только до трех, танцевать только от печки, а думают раз в год по обещанию. 	['Ведь', 'они', 'считать', 'умеют', 'только', 'до', 'трех', 'танцевать', 'только', 'от', 'печки', 'а', 'думают', 'раз', 'в', 'год', 'по', 'обещанию']	['They', 'only', 'know', 'this', 'and', 'that', 'and', 'pass', 'to', 'and', 'fro', 'and', 'think', 'ever', 'and', 'anon']
15	I'd hate for my mother to know I was skinning these weak-minded ones. 	Не хотел бы я, чтобы моя мать знала, что я обчищаю таких несмышленышей. 	['Не', 'хотел', 'бы', 'я', 'чтобы', 'моя', 'мать', 'знала', 'что', 'я', 'обчищаю', 'таких', 'несмышленышей']	"[""I'd"", 'hate', 'for', 'my', 'mother', 'to', 'know', 'I', 'was', 'skinning', 'these', 'weak-minded', 'ones']"
16	"She raised me better."" "	Она меня не для того воспитывала. 	['Она', 'меня', 'не', 'для', 'того', 'воспитывала']	['She', 'raised', 'me', 'better']
17	"""Is there a crush already in the waiting rooms of the old doctor that does skin grafting?"" I asks. "	"- А что, у дверей, где написано: ""Принимают в чистку"", уже толпится очередь? - спрашиваю я. "	['А', 'что', 'у', 'дверей', 'где', 'написано', 'Принимают', 'в', 'чистку', 'уже', 'толпится', 'очередь', 'спрашиваю', 'я']	['Is', 'there', 'a', 'crush', 'already', 'in', 'the', 'waiting', 'rooms', 'of', 'the', 'old', 'doctor', 'that', 'does', 'skin', 'grafting', 'I', 'asks']
18	"""Well, no,"" says Silver; ""you needn't back Epidermis to win to-day. "	- Да нет, - говорит Силвер. - В наши дни и без рекламы можно обойтись. 	['Да', 'нет', 'говорит', 'Силвер', 'В', 'наши', 'дни', 'и', 'без', 'рекламы', 'можно', 'обойтись']	"['Well', 'no', 'says', 'Silver', 'you', ""needn't"", 'back', 'Epidermis', 'to', 'win', 'to-day']"
19	I've only been here a month. 	Я ведь здесь только месяц. 	['Я', 'ведь', 'здесь', 'только', 'месяц']	"[""I've"", 'only', 'been', 'here', 'a', 'month']"
