	en	ru	ru_tokens	en_tokens
0	The Project Gutenberg EBook of Moby Dick; or The Whale, by Herman Melville MOBY DICK; or, THE WHALE By Herman Melville Original Transcriber's Notes: This text is a combination of etexts, one from the now-defunct ERIS project at Virginia Tech and one from Project Gutenberg's archives. The proofreaders of this version are indebted to The University of Adelaide Library for preserving the Virginia Tech version. The resulting etext was compared with a public domain hard copy version of the text. In chapters 24, 89, and 90, we substituted a capital L for the symbol for the British pound, a unit of currency. 	Герман Мелвилл. Моби Дик, или Белый кит Роман Натаниелю Готорну в знак преклонения перед его гением посвящается эта книга 	['Герман', 'Мелвилл', 'Моби', 'Дик', 'или', 'Белый', 'кит', 'Роман', 'Натаниелю', 'Готорну', 'в', 'знак', 'преклонения', 'перед', 'его', 'гением', 'посвящается', 'эта', 'книга']	"['The', 'Project', 'Gutenberg', 'EBook', 'of', 'Moby', 'Dick', 'or', 'The', 'Whale', 'by', 'Herman', 'Melville', 'MOBY', 'DICK', 'or', 'THE', 'WHALE', 'By', 'Herman', 'Melville', 'Original', ""Transcriber's"", 'Notes', 'This', 'text', 'is', 'a', 'combination', 'of', 'etexts', 'one', 'from', 'the', 'now-defunct', 'ERIS', 'project', 'at', 'Virginia', 'Tech', 'and', 'one', 'from', 'Project', ""Gutenberg's"", 'archives', 'The', 'proofreaders', 'of', 'this', 'version', 'are', 'indebted', 'to', 'The', 'University', 'of', 'Adelaide', 'Library', 'for', 'preserving', 'the', 'Virginia', 'Tech', 'version', 'The', 'resulting', 'etext', 'was', 'compared', 'with', 'a', 'public', 'domain', 'hard', 'copy', 'version', 'of', 'the', 'text', 'In', 'chapters', '24', '89', 'and', '90', 'we', 'substituted', 'a', 'capital', 'L', 'for', 'the', 'symbol', 'for', 'the', 'British', 'pound', 'a', 'unit', 'of', 'currency']"
1	ETYMOLOGY. (Supplied by a Late Consumptive Usher to a Grammar School) 	ЭТИМОЛОГИЯ (Сведения,  собранные   Помощником   учителя   классической   гимназии, впоследствии скончавшимся от чахотки.) 	['ЭТИМОЛОГИЯ', 'Сведения', 'собранные', 'Помощником', 'учителя', 'классической', 'гимназии', 'впоследствии', 'скончавшимся', 'от', 'чахотки']	['ETYMOLOGY', 'Supplied', 'by', 'a', 'Late', 'Consumptive', 'Usher', 'to', 'a', 'Grammar', 'School']
2	The pale Usher—threadbare in coat, heart, body, and brain; I see him now. 	Я  вижу его как  сейчас  - такого  бледного,  в поношенном сюртуке  и с такими же поношенными мозгами, душой и телом. 	['Я', 'вижу', 'его', 'как', 'сейчас', 'такого', 'бледного', 'в', 'поношенном', 'сюртуке', 'и', 'с', 'такими', 'же', 'поношенными', 'мозгами', 'душой', 'и', 'телом']	['The', 'pale', 'Usher—threadbare', 'in', 'coat', 'heart', 'body', 'and', 'brain', 'I', 'see', 'him', 'now']
3	He was ever dusting his old lexicons and grammars, with a queer handkerchief, mockingly embellished with all the gay flags of all the known nations of the world. 	Он целыми днями стирал пыль со старых   словарей   и   грамматик  своим  необыкновенным   носовым  платком, украшенным,  словно  в  насмешку,  пестрыми флагами  всех  наций  мира. 	['Он', 'целыми', 'днями', 'стирал', 'пыль', 'со', 'старых', 'словарей', 'и', 'грамматик', 'своим', 'необыкновенным', 'носовым', 'платком', 'украшенным', 'словно', 'в', 'насмешку', 'пестрыми', 'флагами', 'всех', 'наций', 'мира']	['He', 'was', 'ever', 'dusting', 'his', 'old', 'lexicons', 'and', 'grammars', 'with', 'a', 'queer', 'handkerchief', 'mockingly', 'embellished', 'with', 'all', 'the', 'gay', 'flags', 'of', 'all', 'the', 'known', 'nations', 'of', 'the', 'world']
4	He loved to dust his old grammars; it somehow mildly reminded him of his mortality. 	Ему нравилось  стирать пыль со старых грамматик; это мирное занятие наводило его на мысль о смерти. 	['Ему', 'нравилось', 'стирать', 'пыль', 'со', 'старых', 'грамматик', 'это', 'мирное', 'занятие', 'наводило', 'его', 'на', 'мысль', 'о', 'смерти']	['He', 'loved', 'to', 'dust', 'his', 'old', 'grammars', 'it', 'somehow', 'mildly', 'reminded', 'him', 'of', 'his', 'mortality']
5	"""While you take in hand to school others, and to teach them by what name a whale-fish is to be called in our tongue leaving out, through ignorance, the letter H, which almost alone maketh the signification of the word, you deliver that which is not true."" —HACKLUYT "	"ЭТИМОЛОГИЯ ""Если  ты берешься  наставлять других и обучать их тому,  что  в  нашем языке рыба-кит именуется  словом whale,  опуская  при  этом, по  собственной необразованности, букву h,  которая одна выражает  почти  все значение этого слова, ты насаждаешь не знания, но заблуждения"". Хаклюйт "	['ЭТИМОЛОГИЯ', 'Если', 'ты', 'берешься', 'наставлять', 'других', 'и', 'обучать', 'их', 'тому', 'что', 'в', 'нашем', 'языке', 'рыба-кит', 'именуется', 'словом', 'whale', 'опуская', 'при', 'этом', 'по', 'собственной', 'необразованности', 'букву', 'h', 'которая', 'одна', 'выражает', 'почти', 'все', 'значение', 'этого', 'слова', 'ты', 'насаждаешь', 'не', 'знания', 'но', 'заблуждения', 'Хаклюйт']	['While', 'you', 'take', 'in', 'hand', 'to', 'school', 'others', 'and', 'to', 'teach', 'them', 'by', 'what', 'name', 'a', 'whale-fish', 'is', 'to', 'be', 'called', 'in', 'our', 'tongue', 'leaving', 'out', 'through', 'ignorance', 'the', 'letter', 'H', 'which', 'almost', 'alone', 'maketh', 'the', 'signification', 'of', 'the', 'word', 'you', 'deliver', 'that', 'which', 'is', 'not', 'true', '—HACKLUYT']
6	"""WHALE.... Sw. and Dan. HVAL. "	"""Whale***  шведск.  и датск. hval. "	['Whale', 'шведск', 'и', 'датск', 'hval']	['WHALE', 'Sw', 'and', 'Dan', 'HVAL']
7	"This animal is named from roundness or rolling; for in Dan. HVALT is arched or vaulted."" —WEBSTER'S DICTIONARY "	"Название  этого  животного связано с понятием   округлости,   так  как  по-датски   hvalt   означает   ""выгнутый, сводчатый"""". Словарь Вебстера "	['Название', 'этого', 'животного', 'связано', 'с', 'понятием', 'округлости', 'так', 'как', 'по-датски', 'hvalt', 'означает', 'выгнутый', 'сводчатый', 'Словарь', 'Вебстера']	"['This', 'animal', 'is', 'named', 'from', 'roundness', 'or', 'rolling', 'for', 'in', 'Dan', 'HVALT', 'is', 'arched', 'or', 'vaulted', ""—WEBSTER'S"", 'DICTIONARY']"
8	"""WHALE.... It is more immediately from the Dut. and Ger. WALLEN; A.S. WALW-IAN, to roll, to wallow."" —RICHARDSON'S DICTIONARY "	"""Whale***   происходит  непосредственно  от  голландского  и  немецкого wallen, англосакск. walw-ian - ""кататься, барахтаться"""". Словарь Ричардсона "	['Whale', 'происходит', 'непосредственно', 'от', 'голландского', 'и', 'немецкого', 'wallen', 'англосакск', 'walw-ian', 'кататься', 'барахтаться', 'Словарь', 'Ричардсона']	"['WHALE', 'It', 'is', 'more', 'immediately', 'from', 'the', 'Dut', 'and', 'Ger', 'WALLEN', 'A.S', 'WALW-IAN', 'to', 'roll', 'to', 'wallow', ""—RICHARDSON'S"", 'DICTIONARY']"
9	KETOS,               GREEK.      CETUS,               LATIN.      WHOEL,               ANGLO-SAXON.      HVALT,               DANISH.      WAL,                 DUTCH.      HWAL,                SWEDISH.      WHALE,               ICELANDIC.      WHALE,               ENGLISH.      BALEINE,             FRENCH.      BALLENA,             SPANISH.      PEKEE-NUEE-NUEE,     FEGEE.      PEKEE-NUEE-NUEE,     ERROMANGOAN. 	Древнееврейское - JiI Греческое - xntos Латинское - cetus Англосаксонское - whoel Датское - hvalt Голландское - wal Шведское - hwal Исландское - whale Английское - whale Французское - balein Испанское - ballena Фиджи - пеки-нуи-нуи Эрроманго - пехи-нуи-нуи 	['Древнееврейское', 'JiI', 'Греческое', 'xntos', 'Латинское', 'cetus', 'Англосаксонское', 'whoel', 'Датское', 'hvalt', 'Голландское', 'wal', 'Шведское', 'hwal', 'Исландское', 'whale', 'Английское', 'whale', 'Французское', 'balein', 'Испанское', 'ballena', 'Фиджи', 'пеки-нуи-нуи', 'Эрроманго', 'пехи-нуи-нуи']	['KETOS', 'GREEK', 'CETUS', 'LATIN', 'WHOEL', 'ANGLO-SAXON', 'HVALT', 'DANISH', 'WAL', 'DUTCH', 'HWAL', 'SWEDISH', 'WHALE', 'ICELANDIC', 'WHALE', 'ENGLISH', 'BALEINE', 'FRENCH', 'BALLENA', 'SPANISH', 'PEKEE-NUEE-NUEE', 'FEGEE', 'PEKEE-NUEE-NUEE', 'ERROMANGOAN']
