	en	ru	ru_tokens	en_tokens
0	The Big Two-Hearted River Ernest Hemingway 	НА БИГ-РИВЕР 	['НА', 'БИГ-РИВЕР']	['The', 'Big', 'Two-Hearted', 'River', 'Ernest', 'Hemingway']
1	PART I 	I 	['I']	['PART', 'I']
2	The train went on up the track out of sight, around one of the hills of burnt timber. 	Поезд исчез за поворотом, за холмом, покрытым обгорелым лесом. 	['Поезд', 'исчез', 'за', 'поворотом', 'за', 'холмом', 'покрытым', 'обгорелым', 'лесом']	['The', 'train', 'went', 'on', 'up', 'the', 'track', 'out', 'of', 'sight', 'around', 'one', 'of', 'the', 'hills', 'of', 'burnt', 'timber']
3	Nick sat down on the bundle of canvas and bedding the baggage man had pitched out of the door of the baggage car. 	Ник  сел на свой парусиновый мешок с припасами и постелью, которые ему  выбросили  из багажного вагона. 	['Ник', 'сел', 'на', 'свой', 'парусиновый', 'мешок', 'с', 'припасами', 'и', 'постелью', 'которые', 'ему', 'выбросили', 'из', 'багажного', 'вагона']	['Nick', 'sat', 'down', 'on', 'the', 'bundle', 'of', 'canvas', 'and', 'bedding', 'the', 'baggage', 'man', 'had', 'pitched', 'out', 'of', 'the', 'door', 'of', 'the', 'baggage', 'car']
4	There was no town, nothing but the rails and the burned-over country. 	Города не было, ничего не было, кроме рельсов и  обгорелой земли. 	['Города', 'не', 'было', 'ничего', 'не', 'было', 'кроме', 'рельсов', 'и', 'обгорелой', 'земли']	['There', 'was', 'no', 'town', 'nothing', 'but', 'the', 'rails', 'and', 'the', 'burned-over', 'country']
5	The thirteen saloons that had lined the one street of Seney had not left a trace. 	От тринадцати салунов на  единственной  улице  Сенея  не  осталось  и следа. 	['От', 'тринадцати', 'салунов', 'на', 'единственной', 'улице', 'Сенея', 'не', 'осталось', 'и', 'следа']	['The', 'thirteen', 'saloons', 'that', 'had', 'lined', 'the', 'one', 'street', 'of', 'Seney', 'had', 'not', 'left', 'a', 'trace']
6	The foundations of the Mansion House hotel stuck up above the ground. 	"Торчал  из  земли  голый  фундамент ""Гранд-отеля"". "	['Торчал', 'из', 'земли', 'голый', 'фундамент', 'Гранд-отеля']	['The', 'foundations', 'of', 'the', 'Mansion', 'House', 'hotel', 'stuck', 'up', 'above', 'the', 'ground']
7	The stone was chipped and split by the fire. 	Камень  от  огня потрескался и раскрошился. 	['Камень', 'от', 'огня', 'потрескался', 'и', 'раскрошился']	['The', 'stone', 'was', 'chipped', 'and', 'split', 'by', 'the', 'fire']
8	It was all that was left of the town of Seney. 	Вот и все, что осталось  от  города  Сенея. 	['Вот', 'и', 'все', 'что', 'осталось', 'от', 'города', 'Сенея']	['It', 'was', 'all', 'that', 'was', 'left', 'of', 'the', 'town', 'of', 'Seney']
9	Even the surface had been burned off the ground. 	Даже верхний слой земли обратился в пепел. 	['Даже', 'верхний', 'слой', 'земли', 'обратился', 'в', 'пепел']	['Even', 'the', 'surface', 'had', 'been', 'burned', 'off', 'the', 'ground']
