	en	ru	ru_tokens	en_tokens
0	J.D.Salinger. The catcher in the rye TO MY MOTHER 	Джером Д. Сэлинджер. Над пропастью во ржи Роман 	['Джером', 'Д', 'Сэлинджер', 'Над', 'пропастью', 'во', 'ржи', 'Роман']	['J.D.Salinger', 'The', 'catcher', 'in', 'the', 'rye', 'TO', 'MY', 'MOTHER']
1	Глава 1 	1 	['1']	['Глава', '1']
2	If  you  really want to hear about it,  the first thing you'll probably want to know is where  I was born, an what my lousy  childhood was like, and how my parents were  occupied and all before they had me, and all that David Copperfield kind of crap, but I don't  feel like going into it,  if you want to  know the truth. 	Если вам на самом деле хочется услышать  эту  историю,  вы,  наверно, прежде всего захотите узнать, где я  родился,  как  провел  свое  дурацкое детство, что делали мои родители до моего  рождения,  -  словом,  всю  эту давид-копперфилдовскую муть. Но, по  правде  говоря,  мне  неохота  в этом копаться. 	['Если', 'вам', 'на', 'самом', 'деле', 'хочется', 'услышать', 'эту', 'историю', 'вы', 'наверно', 'прежде', 'всего', 'захотите', 'узнать', 'где', 'я', 'родился', 'как', 'провел', 'свое', 'дурацкое', 'детство', 'что', 'делали', 'мои', 'родители', 'до', 'моего', 'рождения', 'словом', 'всю', 'эту', 'давид-копперфилдовскую', 'муть', 'Но', 'по', 'правде', 'говоря', 'мне', 'неохота', 'в', 'этом', 'копаться']	"['If', 'you', 'really', 'want', 'to', 'hear', 'about', 'it', 'the', 'first', 'thing', ""you'll"", 'probably', 'want', 'to', 'know', 'is', 'where', 'I', 'was', 'born', 'an', 'what', 'my', 'lousy', 'childhood', 'was', 'like', 'and', 'how', 'my', 'parents', 'were', 'occupied', 'and', 'all', 'before', 'they', 'had', 'me', 'and', 'all', 'that', 'David', 'Copperfield', 'kind', 'of', 'crap', 'but', 'I', ""don't"", 'feel', 'like', 'going', 'into', 'it', 'if', 'you', 'want', 'to', 'know', 'the', 'truth']"
3	In  the first place,  that  stuff bores me,  and in  the second place, my parents would  have about two hemorrhages  apiece if I told anything pretty  personal about  them. 	Во-первых,  скучно,  а  во-вторых,  у  моих  предков,  наверно, случилось бы по два инфаркта на брата, если б я стал болтать про их личные дела. 	['Во-первых', 'скучно', 'а', 'во-вторых', 'у', 'моих', 'предков', 'наверно', 'случилось', 'бы', 'по', 'два', 'инфаркта', 'на', 'брата', 'если', 'б', 'я', 'стал', 'болтать', 'про', 'их', 'личные', 'дела']	['In', 'the', 'first', 'place', 'that', 'stuff', 'bores', 'me', 'and', 'in', 'the', 'second', 'place', 'my', 'parents', 'would', 'have', 'about', 'two', 'hemorrhages', 'apiece', 'if', 'I', 'told', 'anything', 'pretty', 'personal', 'about', 'them']
4	They're quite touchy  about anything like  that,  especially  my father. 	Они этого терпеть  не  могут,  особенно  отец. 	['Они', 'этого', 'терпеть', 'не', 'могут', 'особенно', 'отец']	"[""They're"", 'quite', 'touchy', 'about', 'anything', 'like', 'that', 'especially', 'my', 'father']"
5	They're nice  and all--I'm  not  saying that--but they're also touchy as hell. 	Вообще-то  они  люди славные, я ничего не говорю, но обидчивые до чертиков. 	['Вообще-то', 'они', 'люди', 'славные', 'я', 'ничего', 'не', 'говорю', 'но', 'обидчивые', 'до', 'чертиков']	"[""They're"", 'nice', 'and', ""all--I'm"", 'not', 'saying', 'that--but', ""they're"", 'also', 'touchy', 'as', 'hell']"
6	Besides, I'm not going to tell you my whole goddam autobiography or anything. I'll just tell you about this madman stuff that happened to me around last Christmas  just before  I  got  pretty run-down and had to come out here and take it easy. 	Да я и не собираюсь рассказывать свою автобиографию и всякую такую чушь,  просто  расскажу  ту сумасшедшую историю, которая случилась прошлым рождеством. А потом я  чуть не отдал концы,  и  меня отправили сюда отдыхать и лечиться. 	['Да', 'я', 'и', 'не', 'собираюсь', 'рассказывать', 'свою', 'автобиографию', 'и', 'всякую', 'такую', 'чушь', 'просто', 'расскажу', 'ту', 'сумасшедшую', 'историю', 'которая', 'случилась', 'прошлым', 'рождеством', 'А', 'потом', 'я', 'чуть', 'не', 'отдал', 'концы', 'и', 'меня', 'отправили', 'сюда', 'отдыхать', 'и', 'лечиться']	"['Besides', ""I'm"", 'not', 'going', 'to', 'tell', 'you', 'my', 'whole', 'goddam', 'autobiography', 'or', 'anything', ""I'll"", 'just', 'tell', 'you', 'about', 'this', 'madman', 'stuff', 'that', 'happened', 'to', 'me', 'around', 'last', 'Christmas', 'just', 'before', 'I', 'got', 'pretty', 'run-down', 'and', 'had', 'to', 'come', 'out', 'here', 'and', 'take', 'it', 'easy']"
7	I mean that's all I told D. B. about, and  he's my brother and all. 	Я  и  ему  - Д.Б. - только про это и рассказывал, а ведь он мне как-никак  родной брат. 	['Я', 'и', 'ему', 'Д.Б', 'только', 'про', 'это', 'и', 'рассказывал', 'а', 'ведь', 'он', 'мне', 'как-никак', 'родной', 'брат']	"['I', 'mean', ""that's"", 'all', 'I', 'told', 'D', 'B', 'about', 'and', ""he's"", 'my', 'brother', 'and', 'all']"
8	He's in Hollywood. 	Он живет в Голливуде. 	['Он', 'живет', 'в', 'Голливуде']	"[""He's"", 'in', 'Hollywood']"
9	That isn't too far  from this  crumby place,  and he comes over and visits  me  practically every week end. 	Это не очень далеко  отсюда,  от  этого  треклятого санатория, он часто ко мне ездит, почти каждую неделю. 	['Это', 'не', 'очень', 'далеко', 'отсюда', 'от', 'этого', 'треклятого', 'санатория', 'он', 'часто', 'ко', 'мне', 'ездит', 'почти', 'каждую', 'неделю']	"['That', ""isn't"", 'too', 'far', 'from', 'this', 'crumby', 'place', 'and', 'he', 'comes', 'over', 'and', 'visits', 'me', 'practically', 'every', 'week', 'end']"
10	He's going to drive me home when I go home next month maybe. 	И домой он меня сам отвезет - может быть, даже в будущем месяце. 	['И', 'домой', 'он', 'меня', 'сам', 'отвезет', 'может', 'быть', 'даже', 'в', 'будущем', 'месяце']	"[""He's"", 'going', 'to', 'drive', 'me', 'home', 'when', 'I', 'go', 'home', 'next', 'month', 'maybe']"
11	He just got a Jaguar. 	"Купил себе  недавно  ""ягуар"". "	['Купил', 'себе', 'недавно', 'ягуар']	['He', 'just', 'got', 'a', 'Jaguar']
12	One of  those little  English  jobs that can do around two hundred miles  an hour. 	Английская штучка, может делать двести миль в час. 	['Английская', 'штучка', 'может', 'делать', 'двести', 'миль', 'в', 'час']	['One', 'of', 'those', 'little', 'English', 'jobs', 'that', 'can', 'do', 'around', 'two', 'hundred', 'miles', 'an', 'hour']
13	It cost him  damn near four thousand bucks. 	Выложил за нее чуть  ли не четыре тысячи. 	['Выложил', 'за', 'нее', 'чуть', 'ли', 'не', 'четыре', 'тысячи']	['It', 'cost', 'him', 'damn', 'near', 'four', 'thousand', 'bucks']
14	He's got  a lot of dough, now. 	Денег у него теперь куча. 	['Денег', 'у', 'него', 'теперь', 'куча']	"[""He's"", 'got', 'a', 'lot', 'of', 'dough', 'now']"
15	He didn't  use to. 	Не  то  что  раньше. 	['Не', 'то', 'что', 'раньше']	"['He', ""didn't"", 'use', 'to']"
16	He used to be  just a  regular writer, when he was home. 	Раньше, когда он жил дома, он был настоящим писателем. 	['Раньше', 'когда', 'он', 'жил', 'дома', 'он', 'был', 'настоящим', 'писателем']	['He', 'used', 'to', 'be', 'just', 'a', 'regular', 'writer', 'when', 'he', 'was', 'home']
