	en	ru	ru_tokens	en_tokens
0	MOST people would say, if their opinion was asked for, that holding up a train would be a hard job. 	Если бы спросить мнение большинства людей, то все сказали бы, что остановить поезд — трудно. 	['Если', 'бы', 'спросить', 'мнение', 'большинства', 'людей', 'то', 'все', 'сказали', 'бы', 'что', 'остановить', 'поезд', '—', 'трудно']	['MOST', 'people', 'would', 'say', 'if', 'their', 'opinion', 'was', 'asked', 'for', 'that', 'holding', 'up', 'a', 'train', 'would', 'be', 'a', 'hard', 'job']
1	Well, it isn't; it's easy. 	Это неверно: остановить поезд — легко. 	['Это', 'неверно', 'остановить', 'поезд', '—', 'легко']	"['Well', 'it', ""isn't"", ""it's"", 'easy']"
2	I have contributed some to the uneasiness of railroads and the insomnia of express companies, and the most trouble I ever had about a hold-up was in being swindled by unscrupulous people while spending the money I got. 	Я некоторым образом содействовал беспокойству железнодорожных пассажиров и бессоннице служащих «Компании Экспрессов». Единственные неприятности, связанные для меня лично с налетами на поезда, заключались в том, что недобросовестные люди надували меня, когда я тратил доставшиеся на мою долю деньги. 	['Я', 'некоторым', 'образом', 'содействовал', 'беспокойству', 'железнодорожных', 'пассажиров', 'и', 'бессоннице', 'служащих', '«Компании', 'Экспрессов»', 'Единственные', 'неприятности', 'связанные', 'для', 'меня', 'лично', 'с', 'налетами', 'на', 'поезда', 'заключались', 'в', 'том', 'что', 'недобросовестные', 'люди', 'надували', 'меня', 'когда', 'я', 'тратил', 'доставшиеся', 'на', 'мою', 'долю', 'деньги']	['I', 'have', 'contributed', 'some', 'to', 'the', 'uneasiness', 'of', 'railroads', 'and', 'the', 'insomnia', 'of', 'express', 'companies', 'and', 'the', 'most', 'trouble', 'I', 'ever', 'had', 'about', 'a', 'hold-up', 'was', 'in', 'being', 'swindled', 'by', 'unscrupulous', 'people', 'while', 'spending', 'the', 'money', 'I', 'got']
3	The danger wasn't anything to speak of and we didn't mind the trouble. 	Об опасности не стоит говорить, а беспокойство нам было нипочем! 	['Об', 'опасности', 'не', 'стоит', 'говорить', 'а', 'беспокойство', 'нам', 'было', 'нипочем']	"['The', 'danger', ""wasn't"", 'anything', 'to', 'speak', 'of', 'and', 'we', ""didn't"", 'mind', 'the', 'trouble']"
4	One man has come pretty near robbing a train by himself; two have succeeded a few times; three can do it if they are hustlers, but five is about the right number. 	Одному человеку однажды чуть-чуть было не удалось остановить поезд. Двоим это удавалось иногда. Трое могут это сделать, если они—достаточно расторопные парни. Но пять человек—вот настоящее число! 	['Одному', 'человеку', 'однажды', 'чуть-чуть', 'было', 'не', 'удалось', 'остановить', 'поезд', 'Двоим', 'это', 'удавалось', 'иногда', 'Трое', 'могут', 'это', 'сделать', 'если', 'они—достаточно', 'расторопные', 'парни', 'Но', 'пять', 'человек—вот', 'настоящее', 'число']	['One', 'man', 'has', 'come', 'pretty', 'near', 'robbing', 'a', 'train', 'by', 'himself', 'two', 'have', 'succeeded', 'a', 'few', 'times', 'three', 'can', 'do', 'it', 'if', 'they', 'are', 'hustlers', 'but', 'five', 'is', 'about', 'the', 'right', 'number']
5	The time to do it and the place depend upon several things. 	Выбор места и времени зависит от разных обстоятельств. 	['Выбор', 'места', 'и', 'времени', 'зависит', 'от', 'разных', 'обстоятельств']	['The', 'time', 'to', 'do', 'it', 'and', 'the', 'place', 'depend', 'upon', 'several', 'things']
6	"The first ""stick-up"" I was ever in happened in 1890. "	Первый налет на поезд, в котором я был замешан, имел место в 1890 году. 	['Первый', 'налет', 'на', 'поезд', 'в', 'котором', 'я', 'был', 'замешан', 'имел', 'место', 'в', '1890', 'году']	['The', 'first', 'stick-up', 'I', 'was', 'ever', 'in', 'happened', 'in', '1890']
7	Maybe the way I got into it will explain how most train robbers start in the business. Five out of six Western outlaws are just cow-boys out of a job and gone wrong. 	Может быть, путь, который привел меня к участию в этом деле, даст вам некоторое представление о том, как дебютируют железнодорожные разбойники. 	['Может', 'быть', 'путь', 'который', 'привел', 'меня', 'к', 'участию', 'в', 'этом', 'деле', 'даст', 'вам', 'некоторое', 'представление', 'о', 'том', 'как', 'дебютируют', 'железнодорожные', 'разбойники']	['Maybe', 'the', 'way', 'I', 'got', 'into', 'it', 'will', 'explain', 'how', 'most', 'train', 'robbers', 'start', 'in', 'the', 'business', 'Five', 'out', 'of', 'six', 'Western', 'outlaws', 'are', 'just', 'cow-boys', 'out', 'of', 'a', 'job', 'and', 'gone', 'wrong']
8	The sixth is a tough from the East who dresses up like a bad man and plays some low-down trick that gives the boys a bad name. 	Из шести западных аутло нас было пять ковбоев, оставшихся без дела и работы, а потом свихнувшихся, и один преступный тип с Востока. 	['Из', 'шести', 'западных', 'аутло', 'нас', 'было', 'пять', 'ковбоев', 'оставшихся', 'без', 'дела', 'и', 'работы', 'а', 'потом', 'свихнувшихся', 'и', 'один', 'преступный', 'тип', 'с', 'Востока']	['The', 'sixth', 'is', 'a', 'tough', 'from', 'the', 'East', 'who', 'dresses', 'up', 'like', 'a', 'bad', 'man', 'and', 'plays', 'some', 'low-down', 'trick', 'that', 'gives', 'the', 'boys', 'a', 'bad', 'name']
9	"Wire fences and ""nesters"" made five of them; a bad heart made the sixth. Jim S—— and I were working on the 101 Ranch in Colorado. "	Этот последний был одет, как преступник, и выкидывал разные подлости,— отчего и обо всей банде пошла дурная молва. 	['Этот', 'последний', 'был', 'одет', 'как', 'преступник', 'и', 'выкидывал', 'разные', 'подлости,—', 'отчего', 'и', 'обо', 'всей', 'банде', 'пошла', 'дурная', 'молва']	['Wire', 'fences', 'and', 'nesters', 'made', 'five', 'of', 'them', 'a', 'bad', 'heart', 'made', 'the', 'sixth', 'Jim', 'S——', 'and', 'I', 'were', 'working', 'on', 'the', '101', 'Ranch', 'in', 'Colorado']
10	The nesters had the cow-man on the go. They had taken up the land and elected officers who were hard to get along with. 	Проволочные заграждения и nesters создали пятерых налетчиков, а дурное сердце — шестого. 	['Проволочные', 'заграждения', 'и', 'nesters', 'создали', 'пятерых', 'налетчиков', 'а', 'дурное', 'сердце', '—', 'шестого']	['The', 'nesters', 'had', 'the', 'cow-man', 'on', 'the', 'go', 'They', 'had', 'taken', 'up', 'the', 'land', 'and', 'elected', 'officers', 'who', 'were', 'hard', 'to', 'get', 'along', 'with']
11	Jim and I rode into La Junta one day, going south from a round-up. 	Джим С. и я работали на 101-м ранчо в Колорадо. 	['Джим', 'С', 'и', 'я', 'работали', 'на', '101-м', 'ранчо', 'в', 'Колорадо']	['Jim', 'and', 'I', 'rode', 'into', 'La', 'Junta', 'one', 'day', 'going', 'south', 'from', 'a', 'round-up']
12	We were having a little fun without malice toward anybody, when a farmer administration cut in and tried to harvest us. 	Nesters выживали скотоводов. Они забрали землю и поставили должностных лиц, с которыми трудно было ладить. Мы с Джимом, убегая однажды на Юг от объезда, направились верхом в Ла-Хунта. Там мы немного позабавились, не причинив никому никакого вреда, как вдруг вмешалось фермерское управление, которое пожелало нас арестовать. 	['Nesters', 'выживали', 'скотоводов', 'Они', 'забрали', 'землю', 'и', 'поставили', 'должностных', 'лиц', 'с', 'которыми', 'трудно', 'было', 'ладить', 'Мы', 'с', 'Джимом', 'убегая', 'однажды', 'на', 'Юг', 'от', 'объезда', 'направились', 'верхом', 'в', 'Ла-Хунта', 'Там', 'мы', 'немного', 'позабавились', 'не', 'причинив', 'никому', 'никакого', 'вреда', 'как', 'вдруг', 'вмешалось', 'фермерское', 'управление', 'которое', 'пожелало', 'нас', 'арестовать']	['We', 'were', 'having', 'a', 'little', 'fun', 'without', 'malice', 'toward', 'anybody', 'when', 'a', 'farmer', 'administration', 'cut', 'in', 'and', 'tried', 'to', 'harvest', 'us']
13	Jim shot a deputy marshal, and I kind of corroborated his side of the argument. 	Джим застрелил помощника шерифа, а я как бы помогал ему в его аргументации. 	['Джим', 'застрелил', 'помощника', 'шерифа', 'а', 'я', 'как', 'бы', 'помогал', 'ему', 'в', 'его', 'аргументации']	['Jim', 'shot', 'a', 'deputy', 'marshal', 'and', 'I', 'kind', 'of', 'corroborated', 'his', 'side', 'of', 'the', 'argument']
14	We skirmished up and down the main street, the boomers having bad luck all the time. 	Мы бились, двигаясь вверх и вниз по главной улице; милиции все время адски не везло. 	['Мы', 'бились', 'двигаясь', 'вверх', 'и', 'вниз', 'по', 'главной', 'улице', 'милиции', 'все', 'время', 'адски', 'не', 'везло']	['We', 'skirmished', 'up', 'and', 'down', 'the', 'main', 'street', 'the', 'boomers', 'having', 'bad', 'luck', 'all', 'the', 'time']
15	After a while we leaned forward and shoved for the ranch down on the Ceriso. 	Наконец мы бросились вперед и прорвались к ранчо, расположенному на Серизо. 	['Наконец', 'мы', 'бросились', 'вперед', 'и', 'прорвались', 'к', 'ранчо', 'расположенному', 'на', 'Серизо']	['After', 'a', 'while', 'we', 'leaned', 'forward', 'and', 'shoved', 'for', 'the', 'ranch', 'down', 'on', 'the', 'Ceriso']
16	We were riding a couple of horses that couldn't exactly fly, but they could catch birds. 	Мы ехали на лошадях, которые если не могли летать, то во всяком случае могли догнать птицу. 	['Мы', 'ехали', 'на', 'лошадях', 'которые', 'если', 'не', 'могли', 'летать', 'то', 'во', 'всяком', 'случае', 'могли', 'догнать', 'птицу']	"['We', 'were', 'riding', 'a', 'couple', 'of', 'horses', 'that', ""couldn't"", 'exactly', 'fly', 'but', 'they', 'could', 'catch', 'birds']"
17	A few days after that, a gang of the La Junta boomers came to the ranch and wanted us to go back with them. 	Через несколько дней отряд милиции из Ла-Хунта явился в ранчо и потребовал, чтобы мы пошли с ним. 	['Через', 'несколько', 'дней', 'отряд', 'милиции', 'из', 'Ла-Хунта', 'явился', 'в', 'ранчо', 'и', 'потребовал', 'чтобы', 'мы', 'пошли', 'с', 'ним']	['A', 'few', 'days', 'after', 'that', 'a', 'gang', 'of', 'the', 'La', 'Junta', 'boomers', 'came', 'to', 'the', 'ranch', 'and', 'wanted', 'us', 'to', 'go', 'back', 'with', 'them']
18	Naturally, we declined. We had the house on them, and before we were done refusing that old 'dobe was plumb full of lead. 	Жители ранчо были за нас, и пока мы. отказывались, весь дом был изрешечен пулями. 	['Жители', 'ранчо', 'были', 'за', 'нас', 'и', 'пока', 'мы', 'отказывались', 'весь', 'дом', 'был', 'изрешечен', 'пулями']	"['Naturally', 'we', 'declined', 'We', 'had', 'the', 'house', 'on', 'them', 'and', 'before', 'we', 'were', 'done', 'refusing', 'that', 'old', ""'dobe"", 'was', 'plumb', 'full', 'of', 'lead']"
19	When dark came we fagged 'em a batch of bullets and shoved out the back door for the rocks. 	Когда наступила темнота, мы влепили милиционерам пачку пуль и ушли в горы. 	['Когда', 'наступила', 'темнота', 'мы', 'влепили', 'милиционерам', 'пачку', 'пуль', 'и', 'ушли', 'в', 'горы']	"['When', 'dark', 'came', 'we', 'fagged', ""'em"", 'a', 'batch', 'of', 'bullets', 'and', 'shoved', 'out', 'the', 'back', 'door', 'for', 'the', 'rocks']"
20	They sure smoked us as we went. We had to drift, which we did, and rounded up down in Oklahoma. 	Они, наверно, догадались, что мы ушли, и нам пришлось дрейфовать, что мы и сделали, кружным путем спустившись в Оклагому. 	['Они', 'наверно', 'догадались', 'что', 'мы', 'ушли', 'и', 'нам', 'пришлось', 'дрейфовать', 'что', 'мы', 'и', 'сделали', 'кружным', 'путем', 'спустившись', 'в', 'Оклагому']	['They', 'sure', 'smoked', 'us', 'as', 'we', 'went', 'We', 'had', 'to', 'drift', 'which', 'we', 'did', 'and', 'rounded', 'up', 'down', 'in', 'Oklahoma']
21	Well, there wasn't anything we could get there and, being mighty hard up, we decided to transact a little business with the railroads. 	Ну, там нам ничего не удалось заработать; когда же пришлось тяжело, мы решились оборудовать небольшое дельце с железными дорогами. 	['Ну', 'там', 'нам', 'ничего', 'не', 'удалось', 'заработать', 'когда', 'же', 'пришлось', 'тяжело', 'мы', 'решились', 'оборудовать', 'небольшое', 'дельце', 'с', 'железными', 'дорогами']	"['Well', 'there', ""wasn't"", 'anything', 'we', 'could', 'get', 'there', 'and', 'being', 'mighty', 'hard', 'up', 'we', 'decided', 'to', 'transact', 'a', 'little', 'business', 'with', 'the', 'railroads']"
22	Jim and I joined forces with Tom and Ike Moore—two brothers who had plenty of sand they were willing to convert into dust. 	Джим и я соединились с Томом и Айком Мур — двумя братьями. 	['Джим', 'и', 'я', 'соединились', 'с', 'Томом', 'и', 'Айком', 'Мур', '—', 'двумя', 'братьями']	['Jim', 'and', 'I', 'joined', 'forces', 'with', 'Tom', 'and', 'Ike', 'Moore—two', 'brothers', 'who', 'had', 'plenty', 'of', 'sand', 'they', 'were', 'willing', 'to', 'convert', 'into', 'dust']
23	I can call their names, for both of them are dead. 	Я могу назвать их имена, так как оба умерли. 	['Я', 'могу', 'назвать', 'их', 'имена', 'так', 'как', 'оба', 'умерли']	['I', 'can', 'call', 'their', 'names', 'for', 'both', 'of', 'them', 'are', 'dead']
24	Tom was shot while robbing a bank in Arkansas. Ike was killed during the more dangerous pastime of attending a dance in the Creek Nation. 	Том был убит при ограблении банка в Арканзасе; Айк же погиб во время более опасного времяпрепровождения: он рискнул пойти на танцульку. 	['Том', 'был', 'убит', 'при', 'ограблении', 'банка', 'в', 'Арканзасе', 'Айк', 'же', 'погиб', 'во', 'время', 'более', 'опасного', 'времяпрепровождения', 'он', 'рискнул', 'пойти', 'на', 'танцульку']	['Tom', 'was', 'shot', 'while', 'robbing', 'a', 'bank', 'in', 'Arkansas', 'Ike', 'was', 'killed', 'during', 'the', 'more', 'dangerous', 'pastime', 'of', 'attending', 'a', 'dance', 'in', 'the', 'Creek', 'Nation']
25	We selected a place on the Santa Fé where there was a bridge across a deep creek surrounded by heavy timber. 	Мы выбрали место на Санта-Фе, где был мост через глубокую речку, окруженную густым лесом. 	['Мы', 'выбрали', 'место', 'на', 'Санта-Фе', 'где', 'был', 'мост', 'через', 'глубокую', 'речку', 'окруженную', 'густым', 'лесом']	['We', 'selected', 'a', 'place', 'on', 'the', 'Santa', 'Fé', 'where', 'there', 'was', 'a', 'bridge', 'across', 'a', 'deep', 'creek', 'surrounded', 'by', 'heavy', 'timber']
