	en	ru	ru_tokens	en_tokens
0	Nyarlathotep . . . the crawling chaos . . . 	Ньярлатхотеп... Крадущийся хаос... 	['Ньярлатхотеп', 'Крадущийся', 'хаос']	['Nyarlathotep', 'the', 'crawling', 'chaos']
1	I am the last . . . 	Я — последний... 	['Я', '—', 'последний']	['I', 'am', 'the', 'last']
2	I will tell the audient void. . . . 	Я скажу внимающей пустоте... 	['Я', 'скажу', 'внимающей', 'пустоте']	['I', 'will', 'tell', 'the', 'audient', 'void']
3	I do not recall distinctly when it began, but it was months ago. 	Я не помню точно, когда это началось, но с тех пор прошли месяцы. 	['Я', 'не', 'помню', 'точно', 'когда', 'это', 'началось', 'но', 'с', 'тех', 'пор', 'прошли', 'месяцы']	['I', 'do', 'not', 'recall', 'distinctly', 'when', 'it', 'began', 'but', 'it', 'was', 'months', 'ago']
4	The general tension was horrible. 	Общее напряжение было ужасно. 	['Общее', 'напряжение', 'было', 'ужасно']	['The', 'general', 'tension', 'was', 'horrible']
5	To a season of political and social upheaval was added a strange and brooding apprehension of hideous physical danger; a danger widespread and all-embracing, such a danger as may be imagined only in the most terrible phantasms of the night. 	Череда политических и общественных потрясений сопровождалась странным и тягостным предчувствием жуткой физической опасности, опасности масштабной и всеохватывающей, какую можно вообразить себе только в ужаснейших ночных кошмарах. 	['Череда', 'политических', 'и', 'общественных', 'потрясений', 'сопровождалась', 'странным', 'и', 'тягостным', 'предчувствием', 'жуткой', 'физической', 'опасности', 'опасности', 'масштабной', 'и', 'всеохватывающей', 'какую', 'можно', 'вообразить', 'себе', 'только', 'в', 'ужаснейших', 'ночных', 'кошмарах']	['To', 'a', 'season', 'of', 'political', 'and', 'social', 'upheaval', 'was', 'added', 'a', 'strange', 'and', 'brooding', 'apprehension', 'of', 'hideous', 'physical', 'danger', 'a', 'danger', 'widespread', 'and', 'all-embracing', 'such', 'a', 'danger', 'as', 'may', 'be', 'imagined', 'only', 'in', 'the', 'most', 'terrible', 'phantasms', 'of', 'the', 'night']
6	I recall that the people went about with pale and worried faces, and whispered warnings and prophecies which no one dared consciously repeat or acknowledge to himself that he had heard. 	Я вспоминаю, как люди ходили с бледными и встревоженными лицами, шепча предупреждения и пророчества, которые никто не осмеливался сознательно повторять или признаться самому себе, что слышал их. 	['Я', 'вспоминаю', 'как', 'люди', 'ходили', 'с', 'бледными', 'и', 'встревоженными', 'лицами', 'шепча', 'предупреждения', 'и', 'пророчества', 'которые', 'никто', 'не', 'осмеливался', 'сознательно', 'повторять', 'или', 'признаться', 'самому', 'себе', 'что', 'слышал', 'их']	['I', 'recall', 'that', 'the', 'people', 'went', 'about', 'with', 'pale', 'and', 'worried', 'faces', 'and', 'whispered', 'warnings', 'and', 'prophecies', 'which', 'no', 'one', 'dared', 'consciously', 'repeat', 'or', 'acknowledge', 'to', 'himself', 'that', 'he', 'had', 'heard']
7	A sense of monstrous guilt was upon the land, and out of the abysses between the stars swept chill currents that made men shiver in dark and lonely places. 	Ощущение чудовищной вины нависало над землей, и из бездн между звездами сквозили холодные потоки, от которых людей била дрожь в темных и пустынных местах. 	['Ощущение', 'чудовищной', 'вины', 'нависало', 'над', 'землей', 'и', 'из', 'бездн', 'между', 'звездами', 'сквозили', 'холодные', 'потоки', 'от', 'которых', 'людей', 'била', 'дрожь', 'в', 'темных', 'и', 'пустынных', 'местах']	['A', 'sense', 'of', 'monstrous', 'guilt', 'was', 'upon', 'the', 'land', 'and', 'out', 'of', 'the', 'abysses', 'between', 'the', 'stars', 'swept', 'chill', 'currents', 'that', 'made', 'men', 'shiver', 'in', 'dark', 'and', 'lonely', 'places']
8	There was a daemoniac alteration in the sequence of the seasons — the autumn heat lingered fearsomely, and everyone felt that the world and perhaps the universe had passed from the control of known gods or forces to that of gods or forces which were unknown. 	Наблюдалось демоническое искажение последовательности времен года — осенняя жара устрашающе затянулась, и все чувствовали, что наш мир, и, быть может, вся Вселенная перешли из-под контроля известных богов или сил к богам или силам, которые были неведомы. 	['Наблюдалось', 'демоническое', 'искажение', 'последовательности', 'времен', 'года', '—', 'осенняя', 'жара', 'устрашающе', 'затянулась', 'и', 'все', 'чувствовали', 'что', 'наш', 'мир', 'и', 'быть', 'может', 'вся', 'Вселенная', 'перешли', 'из-под', 'контроля', 'известных', 'богов', 'или', 'сил', 'к', 'богам', 'или', 'силам', 'которые', 'были', 'неведомы']	['There', 'was', 'a', 'daemoniac', 'alteration', 'in', 'the', 'sequence', 'of', 'the', 'seasons', '—', 'the', 'autumn', 'heat', 'lingered', 'fearsomely', 'and', 'everyone', 'felt', 'that', 'the', 'world', 'and', 'perhaps', 'the', 'universe', 'had', 'passed', 'from', 'the', 'control', 'of', 'known', 'gods', 'or', 'forces', 'to', 'that', 'of', 'gods', 'or', 'forces', 'which', 'were', 'unknown']
9	And it was then that Nyarlathotep came out of Egypt. 	И тогда из Египта вышел Ньярлатхотеп. 	['И', 'тогда', 'из', 'Египта', 'вышел', 'Ньярлатхотеп']	['And', 'it', 'was', 'then', 'that', 'Nyarlathotep', 'came', 'out', 'of', 'Egypt']
10	Who he was, none could tell, but he was of the old native blood and looked like a Pharaoh. 	Никто не мог сказать, кто он, но он был древних туземных кровей и выглядел как фараон. 	['Никто', 'не', 'мог', 'сказать', 'кто', 'он', 'но', 'он', 'был', 'древних', 'туземных', 'кровей', 'и', 'выглядел', 'как', 'фараон']	['Who', 'he', 'was', 'none', 'could', 'tell', 'but', 'he', 'was', 'of', 'the', 'old', 'native', 'blood', 'and', 'looked', 'like', 'a', 'Pharaoh']
11	The fellahin knelt when they saw him, yet could not say why. 	Феллахи падали на колени, увидев его, хотя не могли объяснить, почему. 	['Феллахи', 'падали', 'на', 'колени', 'увидев', 'его', 'хотя', 'не', 'могли', 'объяснить', 'почему']	['The', 'fellahin', 'knelt', 'when', 'they', 'saw', 'him', 'yet', 'could', 'not', 'say', 'why']
