	en	ru	ru_tokens	en_tokens
0	A guard came to the prison shoe-shop, where Jimmy Valentine was assiduously stitching uppers, and escorted him to the front office. 	Надзиратель вошел в сапожную мастерскую, где Джимми Валентайн усердно тачал заготовки, и повел его в тюремную канцелярию. 	['Надзиратель', 'вошел', 'в', 'сапожную', 'мастерскую', 'где', 'Джимми', 'Валентайн', 'усердно', 'тачал', 'заготовки', 'и', 'повел', 'его', 'в', 'тюремную', 'канцелярию']	['A', 'guard', 'came', 'to', 'the', 'prison', 'shoe-shop', 'where', 'Jimmy', 'Valentine', 'was', 'assiduously', 'stitching', 'uppers', 'and', 'escorted', 'him', 'to', 'the', 'front', 'office']
1	There the warden handed Jimmy his pardon, which had been signed that morning by the governor. 	Там смотритель тюрьмы вручил Джимми помилование, подписанное губернатором в это утро. 	['Там', 'смотритель', 'тюрьмы', 'вручил', 'Джимми', 'помилование', 'подписанное', 'губернатором', 'в', 'это', 'утро']	['There', 'the', 'warden', 'handed', 'Jimmy', 'his', 'pardon', 'which', 'had', 'been', 'signed', 'that', 'morning', 'by', 'the', 'governor']
2	Jimmy took it in a tired kind of way. 	Джимми взял его с утомленным видом. 	['Джимми', 'взял', 'его', 'с', 'утомленным', 'видом']	['Jimmy', 'took', 'it', 'in', 'a', 'tired', 'kind', 'of', 'way']
3	He had served nearly ten months of a four year sentence. 	Он отбыл почти десять месяцев из четырехлетнего срока, хотя рассчитывал просидеть не больше трех месяцев. 	['Он', 'отбыл', 'почти', 'десять', 'месяцев', 'из', 'четырехлетнего', 'срока', 'хотя', 'рассчитывал', 'просидеть', 'не', 'больше', 'трех', 'месяцев']	['He', 'had', 'served', 'nearly', 'ten', 'months', 'of', 'a', 'four', 'year', 'sentence']
4	"He expected to stay only about three months, at the longest. When a man with as many friends on the outside as Jimmy Valentine had is received in the ""stir"" it is hardly worth while to cut his hair. "	Когда у арестованного столько друзей на воле, сколько у Джимми Валентайна, едва ли стоит даже брить ему голову. 	['Когда', 'у', 'арестованного', 'столько', 'друзей', 'на', 'воле', 'сколько', 'у', 'Джимми', 'Валентайна', 'едва', 'ли', 'стоит', 'даже', 'брить', 'ему', 'голову']	['He', 'expected', 'to', 'stay', 'only', 'about', 'three', 'months', 'at', 'the', 'longest', 'When', 'a', 'man', 'with', 'as', 'many', 'friends', 'on', 'the', 'outside', 'as', 'Jimmy', 'Valentine', 'had', 'is', 'received', 'in', 'the', 'stir', 'it', 'is', 'hardly', 'worth', 'while', 'to', 'cut', 'his', 'hair']
5	"""Now, Valentine,"" said the warden, ""you'll go out in the morning. "	— Ну, Валентайн, — сказал смотритель, — завтра утром вы выходите на свободу. 	['—', 'Ну', 'Валентайн', '—', 'сказал', 'смотритель', '—', 'завтра', 'утром', 'вы', 'выходите', 'на', 'свободу']	"['Now', 'Valentine', 'said', 'the', 'warden', ""you'll"", 'go', 'out', 'in', 'the', 'morning']"
6	Brace up, and make a man of yourself. 	Возьмите себя в руки, будьте человеком. 	['Возьмите', 'себя', 'в', 'руки', 'будьте', 'человеком']	['Brace', 'up', 'and', 'make', 'a', 'man', 'of', 'yourself']
7	You're not a bad fellow at heart. 	В душе вы парень неплохой. 	['В', 'душе', 'вы', 'парень', 'неплохой']	"[""You're"", 'not', 'a', 'bad', 'fellow', 'at', 'heart']"
8	"Stop cracking safes, and live straight."" "	Бросьте взламывать сейфы, живите честно. 	['Бросьте', 'взламывать', 'сейфы', 'живите', 'честно']	['Stop', 'cracking', 'safes', 'and', 'live', 'straight']
9	"""Me?"" said Jimmy, in surprise. "	— Это вы мне? — удивленно спросил Джимми. 	['—', 'Это', 'вы', 'мне', '—', 'удивленно', 'спросил', 'Джимми']	['Me', 'said', 'Jimmy', 'in', 'surprise']
10	"""Why, I never cracked a safe in my life."" "	— Да я в жизни не взломал ни одного сейфа. 	['—', 'Да', 'я', 'в', 'жизни', 'не', 'взломал', 'ни', 'одного', 'сейфа']	['Why', 'I', 'never', 'cracked', 'a', 'safe', 'in', 'my', 'life']
11	"""Oh, no,"" laughed the warden. ""Of course not. "	— Ну да, — улыбнулся смотритель, — разумеется. 	['—', 'Ну', 'да', '—', 'улыбнулся', 'смотритель', '—', 'разумеется']	['Oh', 'no', 'laughed', 'the', 'warden', 'Of', 'course', 'not']
12	Let's see, now. 	Посмотрим все-таки. 	['Посмотрим', 'все-таки']	"[""Let's"", 'see', 'now']"
13	How was it you happened to get sent up on that Springfield job? 	Как же это вышло, что вас посадили за кражу в Спрингфилде? 	['Как', 'же', 'это', 'вышло', 'что', 'вас', 'посадили', 'за', 'кражу', 'в', 'Спрингфилде']	['How', 'was', 'it', 'you', 'happened', 'to', 'get', 'sent', 'up', 'on', 'that', 'Springfield', 'job']
14	Was it because you wouldn't prove an alibi for fear of compromising somebody in extremely high-toned society? 	Может, вы не захотели доказывать свое алиби из боязни скомпрометировать какую-нибудь даму из высшего общества? 	['Может', 'вы', 'не', 'захотели', 'доказывать', 'свое', 'алиби', 'из', 'боязни', 'скомпрометировать', 'какую-нибудь', 'даму', 'из', 'высшего', 'общества']	"['Was', 'it', 'because', 'you', ""wouldn't"", 'prove', 'an', 'alibi', 'for', 'fear', 'of', 'compromising', 'somebody', 'in', 'extremely', 'high-toned', 'society']"
15	Or was it simply a case of a mean old jury that had it in for you? 	А может, присяжные подвели вас по злобе? 	['А', 'может', 'присяжные', 'подвели', 'вас', 'по', 'злобе']	['Or', 'was', 'it', 'simply', 'a', 'case', 'of', 'a', 'mean', 'old', 'jury', 'that', 'had', 'it', 'in', 'for', 'you']
16	"It's always one or the other with you innocent victims."" "	Ведь с вами, невинными жертвами, иначе не бывает. 	['Ведь', 'с', 'вами', 'невинными', 'жертвами', 'иначе', 'не', 'бывает']	"[""It's"", 'always', 'one', 'or', 'the', 'other', 'with', 'you', 'innocent', 'victims']"
17	"""Me?"" said Jimmy, still blankly virtuous. "	— Я? — спросил Джимми в добродетельном недоумении. 	['—', 'Я', '—', 'спросил', 'Джимми', 'в', 'добродетельном', 'недоумении']	['Me', 'said', 'Jimmy', 'still', 'blankly', 'virtuous']
18	"""Why, warden, I never was in Springfield in my life!"" "	— Да что вы! Я и в Спрингфилде никогда не бывал! 	['—', 'Да', 'что', 'вы', 'Я', 'и', 'в', 'Спрингфилде', 'никогда', 'не', 'бывал']	['Why', 'warden', 'I', 'never', 'was', 'in', 'Springfield', 'in', 'my', 'life']
19	"""Take him back, Cronin!"" said the warden, ""and fix him up with outgoing clothes. "	— Отведите его обратно, Кронин, — улыбнулся смотритель, — и оденьте как полагается. 	['—', 'Отведите', 'его', 'обратно', 'Кронин', '—', 'улыбнулся', 'смотритель', '—', 'и', 'оденьте', 'как', 'полагается']	['Take', 'him', 'back', 'Cronin', 'said', 'the', 'warden', 'and', 'fix', 'him', 'up', 'with', 'outgoing', 'clothes']
20	Unlock him at seven in the morning, and let him come to the bull-pen. 	Завтра в семь утра вы его выпустите и приведете сюда. 	['Завтра', 'в', 'семь', 'утра', 'вы', 'его', 'выпустите', 'и', 'приведете', 'сюда']	['Unlock', 'him', 'at', 'seven', 'in', 'the', 'morning', 'and', 'let', 'him', 'come', 'to', 'the', 'bull-pen']
21	"Better think over my advice, Valentine."" "	А вы лучше обдумайте мой совет, Валентайн. 	['А', 'вы', 'лучше', 'обдумайте', 'мой', 'совет', 'Валентайн']	['Better', 'think', 'over', 'my', 'advice', 'Valentine']
22	At a quarter past seven on the next morning Jimmy stood in the warden's outer office. 	На следующее утро, в четверть восьмого, Джимми стоял в тюремной канцелярии. 	['На', 'следующее', 'утро', 'в', 'четверть', 'восьмого', 'Джимми', 'стоял', 'в', 'тюремной', 'канцелярии']	"['At', 'a', 'quarter', 'past', 'seven', 'on', 'the', 'next', 'morning', 'Jimmy', 'stood', 'in', 'the', ""warden's"", 'outer', 'office']"
