	en	ru	ru_tokens	en_tokens
0	Henry O. 	О. Генри 	['О', 'Генри']	['Henry', 'O']
1	THE COMPLETE LIFE OF JOHN HOPKINS 	Один час полной жизни 	['Один', 'час', 'полной', 'жизни']	['THE', 'COMPLETE', 'LIFE', 'OF', 'JOHN', 'HOPKINS']
2	There is a saying that no man has tasted the full flavour of life until he has known poverty, love and war. 	Существует поговорка, что тот еще не жил полной жизнью, кто не знал бедности, любви и войны. 	['Существует', 'поговорка', 'что', 'тот', 'еще', 'не', 'жил', 'полной', 'жизнью', 'кто', 'не', 'знал', 'бедности', 'любви', 'и', 'войны']	['There', 'is', 'a', 'saying', 'that', 'no', 'man', 'has', 'tasted', 'the', 'full', 'flavour', 'of', 'life', 'until', 'he', 'has', 'known', 'poverty', 'love', 'and', 'war']
3	The justness of this reflection commends it to the lover of condensed philosophy. 	Справедливость такого суждения должна прельстить всякого любителя сокращенной философии. 	['Справедливость', 'такого', 'суждения', 'должна', 'прельстить', 'всякого', 'любителя', 'сокращенной', 'философии']	['The', 'justness', 'of', 'this', 'reflection', 'commends', 'it', 'to', 'the', 'lover', 'of', 'condensed', 'philosophy']
4	The three conditions embrace about all there is in life worth knowing. A surface thinker might deem that wealth should be added to the list. 	В этих трех условиям заключается все, что стоит знать о жизни Поверхностный мыслитель, возможно, счел бы, что к этому списку следует прибавить еще и богатство. 	['В', 'этих', 'трех', 'условиям', 'заключается', 'все', 'что', 'стоит', 'знать', 'о', 'жизни', 'Поверхностный', 'мыслитель', 'возможно', 'счел', 'бы', 'что', 'к', 'этому', 'списку', 'следует', 'прибавить', 'еще', 'и', 'богатство']	['The', 'three', 'conditions', 'embrace', 'about', 'all', 'there', 'is', 'in', 'life', 'worth', 'knowing', 'A', 'surface', 'thinker', 'might', 'deem', 'that', 'wealth', 'should', 'be', 'added', 'to', 'the', 'list']
5	Not so. 	Но это не так. 	['Но', 'это', 'не', 'так']	['Not', 'so']
6	When a poor man finds a long-hidden quarter-dollar that has slipped through a rip into his vest lining, he sounds the pleasure of life with a deeper plummet than any millionaire can hope to cast. 	Когда бедняк находит за подкладкой жилета давным давно провалившуюся в прореху четверть доллара, он забрасывает лот в такие глубины жизненной радости, до каких не добраться ни одному миллионеру. 	['Когда', 'бедняк', 'находит', 'за', 'подкладкой', 'жилета', 'давным', 'давно', 'провалившуюся', 'в', 'прореху', 'четверть', 'доллара', 'он', 'забрасывает', 'лот', 'в', 'такие', 'глубины', 'жизненной', 'радости', 'до', 'каких', 'не', 'добраться', 'ни', 'одному', 'миллионеру']	['When', 'a', 'poor', 'man', 'finds', 'a', 'long-hidden', 'quarter-dollar', 'that', 'has', 'slipped', 'through', 'a', 'rip', 'into', 'his', 'vest', 'lining', 'he', 'sounds', 'the', 'pleasure', 'of', 'life', 'with', 'a', 'deeper', 'plummet', 'than', 'any', 'millionaire', 'can', 'hope', 'to', 'cast']
7	It seems that the wise executive power that rules life has thought best to drill man in these three conditions; and none may escape all three. 	По-видимому, так распорядилась мудрая исполнительная власть, которая управляет жизнью, что человек неизбежно проходит через все эти три условия, и никто не может быть избавлен от всех трех. 	['По-видимому', 'так', 'распорядилась', 'мудрая', 'исполнительная', 'власть', 'которая', 'управляет', 'жизнью', 'что', 'человек', 'неизбежно', 'проходит', 'через', 'все', 'эти', 'три', 'условия', 'и', 'никто', 'не', 'может', 'быть', 'избавлен', 'от', 'всех', 'трех']	['It', 'seems', 'that', 'the', 'wise', 'executive', 'power', 'that', 'rules', 'life', 'has', 'thought', 'best', 'to', 'drill', 'man', 'in', 'these', 'three', 'conditions', 'and', 'none', 'may', 'escape', 'all', 'three']
8	In rural places the terms do not mean so much. 	В сельских местностях эти условия не имеют такого значения. 	['В', 'сельских', 'местностях', 'эти', 'условия', 'не', 'имеют', 'такого', 'значения']	['In', 'rural', 'places', 'the', 'terms', 'do', 'not', 'mean', 'so', 'much']
9	Poverty is less pinching; love is temperate; war shrinks to contests about boundary lines and the neighbors' hens. 	Бедность гнетет меньше, любовь не так горяча, война сводится к дракам из-за соседской курицы или границы участка. 	['Бедность', 'гнетет', 'меньше', 'любовь', 'не', 'так', 'горяча', 'война', 'сводится', 'к', 'дракам', 'из-за', 'соседской', 'курицы', 'или', 'границы', 'участка']	"['Poverty', 'is', 'less', 'pinching', 'love', 'is', 'temperate', 'war', 'shrinks', 'to', 'contests', 'about', 'boundary', 'lines', 'and', 'the', ""neighbors'"", 'hens']"
