	en	ru	ru_tokens	en_tokens
0	TREASURE ISLAND by Robert Louis Stevenson 	Роберт Луис Стивенсон. Остров сокровищ 	['Роберт', 'Луис', 'Стивенсон', 'Остров', 'сокровищ']	['TREASURE', 'ISLAND', 'by', 'Robert', 'Louis', 'Stevenson']
1	PART ONE—The Old Buccaneer 	* ЧАСТЬ ПЕРВАЯ. СТАРЫЙ ПИРАТ * 	['ЧАСТЬ', 'ПЕРВАЯ', 'СТАРЫЙ', 'ПИРАТ']	['PART', 'ONE—The', 'Old', 'Buccaneer']
2	1 The Old Sea-dog at the Admiral Benbow 	"1. СТАРЫЙ МОРСКОЙ ВОЛК В ТРАКТИРЕ ""АДМИРАЛ БЕНБОУ"" "	['1', 'СТАРЫЙ', 'МОРСКОЙ', 'ВОЛК', 'В', 'ТРАКТИРЕ', 'АДМИРАЛ', 'БЕНБОУ']	['1', 'The', 'Old', 'Sea-dog', 'at', 'the', 'Admiral', 'Benbow']
3	SQUIRE TRELAWNEY, Dr. Livesey, and the rest of these gentlemen having asked me to write down the whole particulars about Treasure Island, from the beginning to the end, keeping nothing back but the bearings of the island, and that only because there is still treasure not yet lifted, I take up my pen in the year of grace 17__ and go back to the time when my father kept the Admiral Benbow inn and the brown old seaman with the sabre cut first took up his lodging under our roof. 	"Сквайр [дворянский титул в Англии] Трелони,  доктор  Ливси  и  другие джентльмены попросили меня написать все, что я знаю об  Острове  Сокровищ. Им хочется, чтобы я рассказал всю историю, с самого начала  до  конца,  не скрывая никаких подробностей,  кроме  географического  положения  острова. Указывать, где лежит этот остров, в настоящее время  еще  невозможно,  так как и теперь там хранятся сокровища,  которых  мы  не  вывезли. И  вот  в нынешнем, 17... году я берусь  за  перо  и  мысленно  возвращаюсь  к  тому времени, когда у  моего  отца  был  трактир ""Адмирал  Бенбоу""  [Бенбоу  - английский адмирал, живший в конце XVII века] и в этом трактире  поселился старый загорелый моряк с сабельным шрамом на щеке. "	['Сквайр', 'дворянский', 'титул', 'в', 'Англии', 'Трелони', 'доктор', 'Ливси', 'и', 'другие', 'джентльмены', 'попросили', 'меня', 'написать', 'все', 'что', 'я', 'знаю', 'об', 'Острове', 'Сокровищ', 'Им', 'хочется', 'чтобы', 'я', 'рассказал', 'всю', 'историю', 'с', 'самого', 'начала', 'до', 'конца', 'не', 'скрывая', 'никаких', 'подробностей', 'кроме', 'географического', 'положения', 'острова', 'Указывать', 'где', 'лежит', 'этот', 'остров', 'в', 'настоящее', 'время', 'еще', 'невозможно', 'так', 'как', 'и', 'теперь', 'там', 'хранятся', 'сокровища', 'которых', 'мы', 'не', 'вывезли', 'И', 'вот', 'в', 'нынешнем', '17', 'году', 'я', 'берусь', 'за', 'перо', 'и', 'мысленно', 'возвращаюсь', 'к', 'тому', 'времени', 'когда', 'у', 'моего', 'отца', 'был', 'трактир', 'Адмирал', 'Бенбоу', 'Бенбоу', 'английский', 'адмирал', 'живший', 'в', 'конце', 'XVII', 'века', 'и', 'в', 'этом', 'трактире', 'поселился', 'старый', 'загорелый', 'моряк', 'с', 'сабельным', 'шрамом', 'на', 'щеке']	['SQUIRE', 'TRELAWNEY', 'Dr', 'Livesey', 'and', 'the', 'rest', 'of', 'these', 'gentlemen', 'having', 'asked', 'me', 'to', 'write', 'down', 'the', 'whole', 'particulars', 'about', 'Treasure', 'Island', 'from', 'the', 'beginning', 'to', 'the', 'end', 'keeping', 'nothing', 'back', 'but', 'the', 'bearings', 'of', 'the', 'island', 'and', 'that', 'only', 'because', 'there', 'is', 'still', 'treasure', 'not', 'yet', 'lifted', 'I', 'take', 'up', 'my', 'pen', 'in', 'the', 'year', 'of', 'grace', '17', 'and', 'go', 'back', 'to', 'the', 'time', 'when', 'my', 'father', 'kept', 'the', 'Admiral', 'Benbow', 'inn', 'and', 'the', 'brown', 'old', 'seaman', 'with', 'the', 'sabre', 'cut', 'first', 'took', 'up', 'his', 'lodging', 'under', 'our', 'roof']
4	I remember him as if it were yesterday, as he came plodding to the inn door, his sea-chest following behind him in a hand-barrow—a tall, strong, heavy, nut-brown man, his tarry pigtail falling over the shoulder of his soiled blue coat, his hands ragged and scarred, with black, broken nails, and the sabre cut across one cheek, a dirty, livid white. 	Я помню, словно это было вчера, как, тяжело ступая, он  дотащился  до наших дверей, а его морской сундук везли за ним на тачке. Это был высокий, сильный, грузный мужчина с темным лицом. Просмоленная косичка торчала  над воротом его засаленного синего кафтана. Руки  у  него  были  шершавые,  в каких-то рубцах, ногти черные, поломанные, а  сабельный  шрам  на  щеке  - грязновато-белого цвета, со свинцовым  оттенком. 	['Я', 'помню', 'словно', 'это', 'было', 'вчера', 'как', 'тяжело', 'ступая', 'он', 'дотащился', 'до', 'наших', 'дверей', 'а', 'его', 'морской', 'сундук', 'везли', 'за', 'ним', 'на', 'тачке', 'Это', 'был', 'высокий', 'сильный', 'грузный', 'мужчина', 'с', 'темным', 'лицом', 'Просмоленная', 'косичка', 'торчала', 'над', 'воротом', 'его', 'засаленного', 'синего', 'кафтана', 'Руки', 'у', 'него', 'были', 'шершавые', 'в', 'каких-то', 'рубцах', 'ногти', 'черные', 'поломанные', 'а', 'сабельный', 'шрам', 'на', 'щеке', 'грязновато-белого', 'цвета', 'со', 'свинцовым', 'оттенком']	['I', 'remember', 'him', 'as', 'if', 'it', 'were', 'yesterday', 'as', 'he', 'came', 'plodding', 'to', 'the', 'inn', 'door', 'his', 'sea-chest', 'following', 'behind', 'him', 'in', 'a', 'hand-barrow—a', 'tall', 'strong', 'heavy', 'nut-brown', 'man', 'his', 'tarry', 'pigtail', 'falling', 'over', 'the', 'shoulder', 'of', 'his', 'soiled', 'blue', 'coat', 'his', 'hands', 'ragged', 'and', 'scarred', 'with', 'black', 'broken', 'nails', 'and', 'the', 'sabre', 'cut', 'across', 'one', 'cheek', 'a', 'dirty', 'livid', 'white']
5	I remember him looking round the cover and whistling to himself as he did so, and then breaking out in that old sea-song that he sang so often afterwards: 	Помню,  как  незнакомец, посвистывая, оглядел нашу  бухту  и  вдруг  загорланил  старую  матросскую песню, которую потом пел так часто: 	['Помню', 'как', 'незнакомец', 'посвистывая', 'оглядел', 'нашу', 'бухту', 'и', 'вдруг', 'загорланил', 'старую', 'матросскую', 'песню', 'которую', 'потом', 'пел', 'так', 'часто']	['I', 'remember', 'him', 'looking', 'round', 'the', 'cover', 'and', 'whistling', 'to', 'himself', 'as', 'he', 'did', 'so', 'and', 'then', 'breaking', 'out', 'in', 'that', 'old', 'sea-song', 'that', 'he', 'sang', 'so', 'often', 'afterwards']
6	"""Fifteen men on the dead man's chest—              Yo-ho-ho, and a bottle of rum!"" "	Пятнадцать человек на сундук мертвеца. Йо-хо-хо, и бутылка рому! 	['Пятнадцать', 'человек', 'на', 'сундук', 'мертвеца', 'Йо-хо-хо', 'и', 'бутылка', 'рому']	"['Fifteen', 'men', 'on', 'the', 'dead', ""man's"", 'chest—', 'Yo-ho-ho', 'and', 'a', 'bottle', 'of', 'rum']"
7	in the high, old tottering voice that seemed to have been tuned and broken at the capstan bars. 	Голос у него был стариковский, дребезжащий, визгливый, как  скрипучая вымбовка [рычаг шпиля (ворота, служащего для подъема якоря)]. И палка у него была, как ганшпуг [рычаг  для  подъема  тяжестей]. 	['Голос', 'у', 'него', 'был', 'стариковский', 'дребезжащий', 'визгливый', 'как', 'скрипучая', 'вымбовка', 'рычаг', 'шпиля', 'ворота', 'служащего', 'для', 'подъема', 'якоря', 'И', 'палка', 'у', 'него', 'была', 'как', 'ганшпуг', 'рычаг', 'для', 'подъема', 'тяжестей']	['in', 'the', 'high', 'old', 'tottering', 'voice', 'that', 'seemed', 'to', 'have', 'been', 'tuned', 'and', 'broken', 'at', 'the', 'capstan', 'bars']
8	Then he rapped on the door with a bit of stick like a handspike that he carried, and when my father appeared, called roughly for a glass of rum. 	Он стукнул этой палкой в нашу дверь и, когда мой отец вышел на  порог,  грубо потребовал стакан рому. 	['Он', 'стукнул', 'этой', 'палкой', 'в', 'нашу', 'дверь', 'и', 'когда', 'мой', 'отец', 'вышел', 'на', 'порог', 'грубо', 'потребовал', 'стакан', 'рому']	['Then', 'he', 'rapped', 'on', 'the', 'door', 'with', 'a', 'bit', 'of', 'stick', 'like', 'a', 'handspike', 'that', 'he', 'carried', 'and', 'when', 'my', 'father', 'appeared', 'called', 'roughly', 'for', 'a', 'glass', 'of', 'rum']
9	This, when it was brought to him, he drank slowly, like a connoisseur, lingering on the taste and still looking about him at the cliffs and up at our signboard. 	Ром был ему подан, и он с видом знатока принялся не  спеша  смаковать каждый глоток. Пил и поглядывал то на скалы, то на трактирную вывеску. 	['Ром', 'был', 'ему', 'подан', 'и', 'он', 'с', 'видом', 'знатока', 'принялся', 'не', 'спеша', 'смаковать', 'каждый', 'глоток', 'Пил', 'и', 'поглядывал', 'то', 'на', 'скалы', 'то', 'на', 'трактирную', 'вывеску']	['This', 'when', 'it', 'was', 'brought', 'to', 'him', 'he', 'drank', 'slowly', 'like', 'a', 'connoisseur', 'lingering', 'on', 'the', 'taste', 'and', 'still', 'looking', 'about', 'him', 'at', 'the', 'cliffs', 'and', 'up', 'at', 'our', 'signboard']
10	"""This is a handy cove,"" says he at length; ""and a pleasant sittyated grog-shop. "	- Бухта удобная, - сказал он наконец. - Неплохое место  для  таверны. 	['Бухта', 'удобная', 'сказал', 'он', 'наконец', 'Неплохое', 'место', 'для', 'таверны']	['This', 'is', 'a', 'handy', 'cove', 'says', 'he', 'at', 'length', 'and', 'a', 'pleasant', 'sittyated', 'grog-shop']
11	"Much company, mate?"" "	Много народу, приятель? 	['Много', 'народу', 'приятель']	['Much', 'company', 'mate']
12	My father told him no, very little company, the more was the pity. 	Отец ответил, что нет, к сожалению, очень немного. 	['Отец', 'ответил', 'что', 'нет', 'к', 'сожалению', 'очень', 'немного']	['My', 'father', 'told', 'him', 'no', 'very', 'little', 'company', 'the', 'more', 'was', 'the', 'pity']
13	"""Well, then,"" said he, ""this is the berth for me. "	- Ну что же! - сказал моряк. -  Этот...  как  раз  для  меня... 	['Ну', 'что', 'же', 'сказал', 'моряк', 'Этот', 'как', 'раз', 'для', 'меня']	['Well', 'then', 'said', 'he', 'this', 'is', 'the', 'berth', 'for', 'me']
14	"Here you, matey,"" he cried to the man who trundled the barrow; ""bring up alongside and help up my chest. "	Эй, приятель!  -  крикнул  он  человеку,  который  катил  за  ним   тачку. - Подъезжай-ка сюда и помоги мне втащить сундук... 	['Эй', 'приятель', 'крикнул', 'он', 'человеку', 'который', 'катил', 'за', 'ним', 'тачку', 'Подъезжай-ка', 'сюда', 'и', 'помоги', 'мне', 'втащить', 'сундук']	['Here', 'you', 'matey', 'he', 'cried', 'to', 'the', 'man', 'who', 'trundled', 'the', 'barrow', 'bring', 'up', 'alongside', 'and', 'help', 'up', 'my', 'chest']
15	"I'll stay here a bit,"" he continued. "	Я поживу здесь немного, - продолжал он. 	['Я', 'поживу', 'здесь', 'немного', 'продолжал', 'он']	"[""I'll"", 'stay', 'here', 'a', 'bit', 'he', 'continued']"
16	"""I'm a plain man; rum and bacon and eggs is what I want, and that head up there for to watch ships off. "	- Человек я простой. Ром, свиная грудинка и яичница - вот  и все, что мне нужно. Да вон тот мыс, с которого видны  корабли,  проходящие по морю... 	['Человек', 'я', 'простой', 'Ром', 'свиная', 'грудинка', 'и', 'яичница', 'вот', 'и', 'все', 'что', 'мне', 'нужно', 'Да', 'вон', 'тот', 'мыс', 'с', 'которого', 'видны', 'корабли', 'проходящие', 'по', 'морю']	"[""I'm"", 'a', 'plain', 'man', 'rum', 'and', 'bacon', 'and', 'eggs', 'is', 'what', 'I', 'want', 'and', 'that', 'head', 'up', 'there', 'for', 'to', 'watch', 'ships', 'off']"
17	What you mought call me? 	Как меня называть? 	['Как', 'меня', 'называть']	['What', 'you', 'mought', 'call', 'me']
18	You mought call me captain. 	Ну что же, зовите меня капитаном... 	['Ну', 'что', 'же', 'зовите', 'меня', 'капитаном']	['You', 'mought', 'call', 'me', 'captain']
19	"Oh, I see what you're at—there""; and he threw down three or four gold pieces on the threshold. "	Эге,  я вижу, чего вы хотите! Вот! И он швырнул на порог три или четыре золотые монеты. 	['Эге', 'я', 'вижу', 'чего', 'вы', 'хотите', 'Вот', 'И', 'он', 'швырнул', 'на', 'порог', 'три', 'или', 'четыре', 'золотые', 'монеты']	"['Oh', 'I', 'see', 'what', ""you're"", 'at—there', 'and', 'he', 'threw', 'down', 'three', 'or', 'four', 'gold', 'pieces', 'on', 'the', 'threshold']"
20	"""You can tell me when I've worked through that,"" says he, looking as fierce as a commander. "	- Когда эти кончатся, можете прийти и сказать, - проговорил он сурово и взглянул на отца, как начальник. 	['Когда', 'эти', 'кончатся', 'можете', 'прийти', 'и', 'сказать', 'проговорил', 'он', 'сурово', 'и', 'взглянул', 'на', 'отца', 'как', 'начальник']	"['You', 'can', 'tell', 'me', 'when', ""I've"", 'worked', 'through', 'that', 'says', 'he', 'looking', 'as', 'fierce', 'as', 'a', 'commander']"
21	And indeed bad as his clothes were and coarsely as he spoke, he had none of the appearance of a man who sailed before the mast, but seemed like a mate or skipper accustomed to be obeyed or to strike. 	И действительно, хотя одежда у него была плоховата, а речь отличалась грубостью, он не был похож на простого  матроса. Скорее  его  можно  было принять за штурмана или шкипера, который привык,  чтобы  ему  подчинялись. Чувствовалось, что он любит давать волю своему кулаку. 	['И', 'действительно', 'хотя', 'одежда', 'у', 'него', 'была', 'плоховата', 'а', 'речь', 'отличалась', 'грубостью', 'он', 'не', 'был', 'похож', 'на', 'простого', 'матроса', 'Скорее', 'его', 'можно', 'было', 'принять', 'за', 'штурмана', 'или', 'шкипера', 'который', 'привык', 'чтобы', 'ему', 'подчинялись', 'Чувствовалось', 'что', 'он', 'любит', 'давать', 'волю', 'своему', 'кулаку']	['And', 'indeed', 'bad', 'as', 'his', 'clothes', 'were', 'and', 'coarsely', 'as', 'he', 'spoke', 'he', 'had', 'none', 'of', 'the', 'appearance', 'of', 'a', 'man', 'who', 'sailed', 'before', 'the', 'mast', 'but', 'seemed', 'like', 'a', 'mate', 'or', 'skipper', 'accustomed', 'to', 'be', 'obeyed', 'or', 'to', 'strike']
