	en	ru	ru_tokens	en_tokens
0	I stopped overnight at the sheep-ranch of Rush Kinney, on the Sandy Fork of the Nueces. 	Я заночевал на овечьей ферме Раша Кинни у Песчаной излучины реки Нуэсес. 	['Я', 'заночевал', 'на', 'овечьей', 'ферме', 'Раша', 'Кинни', 'у', 'Песчаной', 'излучины', 'реки', 'Нуэсес']	['I', 'stopped', 'overnight', 'at', 'the', 'sheep-ranch', 'of', 'Rush', 'Kinney', 'on', 'the', 'Sandy', 'Fork', 'of', 'the', 'Nueces']
1	"Mr. Kinney and I had been strangers up to the time when I called ""Hallo!"" at his hitching-rack; but from that moment until my departure on the next morning we were, according to the Texas code, undeniable friends. "	Мистер Кинни и я в глаза не видали друг друга до той минуты, когда я крикнул «алло» у его коновязи; но с этого момента и до моего отъезда на следующее утро мы, согласно кодексу Техаса, были закадычными друзьями. 	['Мистер', 'Кинни', 'и', 'я', 'в', 'глаза', 'не', 'видали', 'друг', 'друга', 'до', 'той', 'минуты', 'когда', 'я', 'крикнул', '«алло»', 'у', 'его', 'коновязи', 'но', 'с', 'этого', 'момента', 'и', 'до', 'моего', 'отъезда', 'на', 'следующее', 'утро', 'мы', 'согласно', 'кодексу', 'Техаса', 'были', 'закадычными', 'друзьями']	['Mr', 'Kinney', 'and', 'I', 'had', 'been', 'strangers', 'up', 'to', 'the', 'time', 'when', 'I', 'called', 'Hallo', 'at', 'his', 'hitching-rack', 'but', 'from', 'that', 'moment', 'until', 'my', 'departure', 'on', 'the', 'next', 'morning', 'we', 'were', 'according', 'to', 'the', 'Texas', 'code', 'undeniable', 'friends']
2	After supper the ranchman and I lugged our chairs outside the two-room house, to its floorless gallery roofed with chaparral and sacuista grass. 	После ужина мы с хозяином фермы вытащили наши стулья из двухкомнатного дома на галерею с земляным полом, крытую чапарралем и саквистой. 	['После', 'ужина', 'мы', 'с', 'хозяином', 'фермы', 'вытащили', 'наши', 'стулья', 'из', 'двухкомнатного', 'дома', 'на', 'галерею', 'с', 'земляным', 'полом', 'крытую', 'чапарралем', 'и', 'саквистой']	['After', 'supper', 'the', 'ranchman', 'and', 'I', 'lugged', 'our', 'chairs', 'outside', 'the', 'two-room', 'house', 'to', 'its', 'floorless', 'gallery', 'roofed', 'with', 'chaparral', 'and', 'sacuista', 'grass']
3	With the rear legs of our chairs sinking deep into the hardpacked loam, each of us reposed against an elm pillar of the structure and smoked El Toro tobacco, while we wrangled amicably concerning the affairs of the rest of the world. 	Задние ножки стульев глубоко ушли в утрамбованную глину, и мы, прислонившись к вязовым подпоркам галереи, покуривали эльторовский табачок и дружелюбно обсуждали дела остальной вселенной. 	['Задние', 'ножки', 'стульев', 'глубоко', 'ушли', 'в', 'утрамбованную', 'глину', 'и', 'мы', 'прислонившись', 'к', 'вязовым', 'подпоркам', 'галереи', 'покуривали', 'эльторовский', 'табачок', 'и', 'дружелюбно', 'обсуждали', 'дела', 'остальной', 'вселенной']	['With', 'the', 'rear', 'legs', 'of', 'our', 'chairs', 'sinking', 'deep', 'into', 'the', 'hardpacked', 'loam', 'each', 'of', 'us', 'reposed', 'against', 'an', 'elm', 'pillar', 'of', 'the', 'structure', 'and', 'smoked', 'El', 'Toro', 'tobacco', 'while', 'we', 'wrangled', 'amicably', 'concerning', 'the', 'affairs', 'of', 'the', 'rest', 'of', 'the', 'world']
4	As for conveying adequate conception of the engaging charm of that prairie evening, despair waits upon it. 	Передать словами чарующую прелесть вечера в прерии — безнадежная затея. 	['Передать', 'словами', 'чарующую', 'прелесть', 'вечера', 'в', 'прерии', '—', 'безнадежная', 'затея']	['As', 'for', 'conveying', 'adequate', 'conception', 'of', 'the', 'engaging', 'charm', 'of', 'that', 'prairie', 'evening', 'despair', 'waits', 'upon', 'it']
5	It is a bold chronicler who will undertake the description of a Texas night in the early spring. 	Дерзок будет тот повествователь, который попытается описать техасскую ночь ранней весной. 	['Дерзок', 'будет', 'тот', 'повествователь', 'который', 'попытается', 'описать', 'техасскую', 'ночь', 'ранней', 'весной']	['It', 'is', 'a', 'bold', 'chronicler', 'who', 'will', 'undertake', 'the', 'description', 'of', 'a', 'Texas', 'night', 'in', 'the', 'early', 'spring']
6	An inventory must suffice. 	Ограничимся простым перечнем. 	['Ограничимся', 'простым', 'перечнем']	['An', 'inventory', 'must', 'suffice']
7	The ranch rested upon the summit of a lenient slope. 	Ферма расположилась на вершине отлогого косогора. 	['Ферма', 'расположилась', 'на', 'вершине', 'отлогого', 'косогора']	['The', 'ranch', 'rested', 'upon', 'the', 'summit', 'of', 'a', 'lenient', 'slope']
8	The ambient prairie, diversified by arroyos and murky patches of brush and pear, lay around us like a darkened bowl at the bottom of which we reposed as dregs. 	Безбрежная прерия, оживляемая оврагами и темными пятнами кустарника и кактусов, окружала нас, словно стенки чаши, на дне которой мы покоились, как осадок. 	['Безбрежная', 'прерия', 'оживляемая', 'оврагами', 'и', 'темными', 'пятнами', 'кустарника', 'и', 'кактусов', 'окружала', 'нас', 'словно', 'стенки', 'чаши', 'на', 'дне', 'которой', 'мы', 'покоились', 'как', 'осадок']	['The', 'ambient', 'prairie', 'diversified', 'by', 'arroyos', 'and', 'murky', 'patches', 'of', 'brush', 'and', 'pear', 'lay', 'around', 'us', 'like', 'a', 'darkened', 'bowl', 'at', 'the', 'bottom', 'of', 'which', 'we', 'reposed', 'as', 'dregs']
9	Like a turquoise cover the sky pinned us there. 	Небо прихлопнуло нас бирюзовой крышкой. 	['Небо', 'прихлопнуло', 'нас', 'бирюзовой', 'крышкой']	['Like', 'a', 'turquoise', 'cover', 'the', 'sky', 'pinned', 'us', 'there']
10	The miraculous air, heady with ozone and made memorably sweet by leagues of wild flowerets, gave tang and savour to the breath. 	Чудный воздух, насыщенный озоном и сладкий от аромата диких цветов, оставлял приятный вкус во рту. 	['Чудный', 'воздух', 'насыщенный', 'озоном', 'и', 'сладкий', 'от', 'аромата', 'диких', 'цветов', 'оставлял', 'приятный', 'вкус', 'во', 'рту']	['The', 'miraculous', 'air', 'heady', 'with', 'ozone', 'and', 'made', 'memorably', 'sweet', 'by', 'leagues', 'of', 'wild', 'flowerets', 'gave', 'tang', 'and', 'savour', 'to', 'the', 'breath']
11	In the sky was a great, round, mellow searchlight which we knew to be no moon, but the dark lantern of summer, who came to hunt northward the cowering spring. 	В небе светил большой, круглый ласковый луч прожектора, и мы знали, что это не луна, а тусклый фонарь лета, которое явилось, чтобы прогнать на север присмиревшую весну. 	['В', 'небе', 'светил', 'большой', 'круглый', 'ласковый', 'луч', 'прожектора', 'и', 'мы', 'знали', 'что', 'это', 'не', 'луна', 'а', 'тусклый', 'фонарь', 'лета', 'которое', 'явилось', 'чтобы', 'прогнать', 'на', 'север', 'присмиревшую', 'весну']	['In', 'the', 'sky', 'was', 'a', 'great', 'round', 'mellow', 'searchlight', 'which', 'we', 'knew', 'to', 'be', 'no', 'moon', 'but', 'the', 'dark', 'lantern', 'of', 'summer', 'who', 'came', 'to', 'hunt', 'northward', 'the', 'cowering', 'spring']
12	In the nearest corral a flock of sheep lay silent until a groundless panic would send a squad of them huddling together with a drumming rush. 	В ближайшем коррале смирно лежало стадо овец, — лишь изредка они с шумом подымались в беспричинной панике и сбивались в кучу. 	['В', 'ближайшем', 'коррале', 'смирно', 'лежало', 'стадо', 'овец', '—', 'лишь', 'изредка', 'они', 'с', 'шумом', 'подымались', 'в', 'беспричинной', 'панике', 'и', 'сбивались', 'в', 'кучу']	['In', 'the', 'nearest', 'corral', 'a', 'flock', 'of', 'sheep', 'lay', 'silent', 'until', 'a', 'groundless', 'panic', 'would', 'send', 'a', 'squad', 'of', 'them', 'huddling', 'together', 'with', 'a', 'drumming', 'rush']
13	For other sounds a shrill family of coyotes yapped beyond the shearing-pen, and whippoorwills twittered in the long grass. 	Слышались и другие звуки: визглявая семейка койотов заливалась за загонами для стрижки овец, и козодои кричали в высокой траве. 	['Слышались', 'и', 'другие', 'звуки', 'визглявая', 'семейка', 'койотов', 'заливалась', 'за', 'загонами', 'для', 'стрижки', 'овец', 'и', 'козодои', 'кричали', 'в', 'высокой', 'траве']	['For', 'other', 'sounds', 'a', 'shrill', 'family', 'of', 'coyotes', 'yapped', 'beyond', 'the', 'shearing-pen', 'and', 'whippoorwills', 'twittered', 'in', 'the', 'long', 'grass']
14	But even these dissonances hardly rippled the clear torrent of the mocking-birds' notes that fell from a dozen neighbouring shrubs and trees. 	Но даже эти диссонансы не заглушали звонкого потока нот дроздов-пересмешников, стекавшего с десятка соседних кустов и деревьев. 	['Но', 'даже', 'эти', 'диссонансы', 'не', 'заглушали', 'звонкого', 'потока', 'нот', 'дроздов-пересмешников', 'стекавшего', 'с', 'десятка', 'соседних', 'кустов', 'и', 'деревьев']	"['But', 'even', 'these', 'dissonances', 'hardly', 'rippled', 'the', 'clear', 'torrent', 'of', 'the', ""mocking-birds'"", 'notes', 'that', 'fell', 'from', 'a', 'dozen', 'neighbouring', 'shrubs', 'and', 'trees']"
15	It would not have been preposterous for one to tiptoe and essay to touch the stars, they hung so bright and imminent. 	Хотелось подняться на цыпочки и потрогать рукою звезды, такие они висели яркие и ощутимые. 	['Хотелось', 'подняться', 'на', 'цыпочки', 'и', 'потрогать', 'рукою', 'звезды', 'такие', 'они', 'висели', 'яркие', 'и', 'ощутимые']	['It', 'would', 'not', 'have', 'been', 'preposterous', 'for', 'one', 'to', 'tiptoe', 'and', 'essay', 'to', 'touch', 'the', 'stars', 'they', 'hung', 'so', 'bright', 'and', 'imminent']
16	Mr. Kinney's wife, a young and capable woman, we had left in the house. 	Жену мистера Кинни, молодую и расторопную женщину, мы оставили в доме. 	['Жену', 'мистера', 'Кинни', 'молодую', 'и', 'расторопную', 'женщину', 'мы', 'оставили', 'в', 'доме']	"['Mr', ""Kinney's"", 'wife', 'a', 'young', 'and', 'capable', 'woman', 'we', 'had', 'left', 'in', 'the', 'house']"
17	She remained to busy herself with the domestic round of duties, in which I had observed that she seemed to take a buoyant and contented pride. 	Ее задержали домашние обязанности, которые, как я заметил, она исполняла с веселой и спокойной гордостью. 	['Ее', 'задержали', 'домашние', 'обязанности', 'которые', 'как', 'я', 'заметил', 'она', 'исполняла', 'с', 'веселой', 'и', 'спокойной', 'гордостью']	['She', 'remained', 'to', 'busy', 'herself', 'with', 'the', 'domestic', 'round', 'of', 'duties', 'in', 'which', 'I', 'had', 'observed', 'that', 'she', 'seemed', 'to', 'take', 'a', 'buoyant', 'and', 'contented', 'pride']
18	In one room we had supped. 	В одной комнате мы ужинали. 	['В', 'одной', 'комнате', 'мы', 'ужинали']	['In', 'one', 'room', 'we', 'had', 'supped']
19	Presently, from the other, as Kinney and I sat without, there burst a volume of sudden and brilliant music. 	Вскоре из другой к нам на галерею ворвалась волна неожиданной и блестящей музыки. 	['Вскоре', 'из', 'другой', 'к', 'нам', 'на', 'галерею', 'ворвалась', 'волна', 'неожиданной', 'и', 'блестящей', 'музыки']	['Presently', 'from', 'the', 'other', 'as', 'Kinney', 'and', 'I', 'sat', 'without', 'there', 'burst', 'a', 'volume', 'of', 'sudden', 'and', 'brilliant', 'music']
20	If I could justly estimate the art of piano-playing, the construer of that rollicking fantasia had creditably mastered the secrets of the keyboard. 	Насколько я могу судить об искусстве игры на пианино, толкователь этой шумной фантазии с честью владел всеми тайнами клавиатуры. 	['Насколько', 'я', 'могу', 'судить', 'об', 'искусстве', 'игры', 'на', 'пианино', 'толкователь', 'этой', 'шумной', 'фантазии', 'с', 'честью', 'владел', 'всеми', 'тайнами', 'клавиатуры']	['If', 'I', 'could', 'justly', 'estimate', 'the', 'art', 'of', 'piano-playing', 'the', 'construer', 'of', 'that', 'rollicking', 'fantasia', 'had', 'creditably', 'mastered', 'the', 'secrets', 'of', 'the', 'keyboard']
21	A piano, and one so well played, seemed to me to be an unusual thing to find in that small and unpromising ranch- house. 	Пианино и тем более такая замечательная игра не вязались в моем представлении с этой маленькой и невзрачной фермой. 	['Пианино', 'и', 'тем', 'более', 'такая', 'замечательная', 'игра', 'не', 'вязались', 'в', 'моем', 'представлении', 'с', 'этой', 'маленькой', 'и', 'невзрачной', 'фермой']	['A', 'piano', 'and', 'one', 'so', 'well', 'played', 'seemed', 'to', 'me', 'to', 'be', 'an', 'unusual', 'thing', 'to', 'find', 'in', 'that', 'small', 'and', 'unpromising', 'ranch', 'house']
22	I must have looked my surprise at Rush Kinney, for he laughed in his soft, Southern way, and nodded at me through the moonlit haze of our cigarettes. 	Должно быть, недоумение было написано у меня на лице, потому что Раш Кинни тихо рассмеялся, как смеются южане, и кивнул мне сквозь освещенный луною дым от наших папирос. 	['Должно', 'быть', 'недоумение', 'было', 'написано', 'у', 'меня', 'на', 'лице', 'потому', 'что', 'Раш', 'Кинни', 'тихо', 'рассмеялся', 'как', 'смеются', 'южане', 'и', 'кивнул', 'мне', 'сквозь', 'освещенный', 'луною', 'дым', 'от', 'наших', 'папирос']	['I', 'must', 'have', 'looked', 'my', 'surprise', 'at', 'Rush', 'Kinney', 'for', 'he', 'laughed', 'in', 'his', 'soft', 'Southern', 'way', 'and', 'nodded', 'at', 'me', 'through', 'the', 'moonlit', 'haze', 'of', 'our', 'cigarettes']
23	"""You don't often hear as agreeable a noise as that on a sheep-ranch,"" he remarked; ""but I never see any reason for not playing up to the arts and graces just because we happen to live out in the brush. "	— Не часто приходится слышать такой приятный шум на овечьей ферме, — заметил он. — Но я не вижу причин, почему бы не заниматься искусством и подобными фиоритурами, если вдруг очутился в глуши. 	['—', 'Не', 'часто', 'приходится', 'слышать', 'такой', 'приятный', 'шум', 'на', 'овечьей', 'ферме', '—', 'заметил', 'он', '—', 'Но', 'я', 'не', 'вижу', 'причин', 'почему', 'бы', 'не', 'заниматься', 'искусством', 'и', 'подобными', 'фиоритурами', 'если', 'вдруг', 'очутился', 'в', 'глуши']	"['You', ""don't"", 'often', 'hear', 'as', 'agreeable', 'a', 'noise', 'as', 'that', 'on', 'a', 'sheep-ranch', 'he', 'remarked', 'but', 'I', 'never', 'see', 'any', 'reason', 'for', 'not', 'playing', 'up', 'to', 'the', 'arts', 'and', 'graces', 'just', 'because', 'we', 'happen', 'to', 'live', 'out', 'in', 'the', 'brush']"
24	It's a lonesome life for a woman; and if a little music can make it any better, why not have it? 	Здесь скучная жизнь для женщины, и если немного музыки может ее приукрасить, почему не иметь ее? 	['Здесь', 'скучная', 'жизнь', 'для', 'женщины', 'и', 'если', 'немного', 'музыки', 'может', 'ее', 'приукрасить', 'почему', 'не', 'иметь', 'ее']	"[""It's"", 'a', 'lonesome', 'life', 'for', 'a', 'woman', 'and', 'if', 'a', 'little', 'music', 'can', 'make', 'it', 'any', 'better', 'why', 'not', 'have', 'it']"
25	"That's the way I look at it."" "	Я так смотрю на дело. 	['Я', 'так', 'смотрю', 'на', 'дело']	"[""That's"", 'the', 'way', 'I', 'look', 'at', 'it']"
26	"""A wise and generous theory,"" I assented. "	— Мудрая и благородная теория, — согласился я. 	['—', 'Мудрая', 'и', 'благородная', 'теория', '—', 'согласился', 'я']	['A', 'wise', 'and', 'generous', 'theory', 'I', 'assented']
