	en	ru	ru_tokens	en_tokens
0	TOLD AFTER SUPPER by Jerome K. Jerome Contents: Introductory How the Stories came to be told Teddy Biffles' Story—Johnson and Emily; or, the Faithful Ghost Interlude—The Doctor's Story Mr. Coombe's Story—The Haunted Mill; or, the Ruined Home Interlude My Uncle's Story—The Ghost of the Blue Chamber A Personal Explanation My Own Story INTRODUCTORY 	Джером К.Джером. Пирушка с привидениями ВВЕДЕНИЕ 	['Джером', 'К.Джером', 'Пирушка', 'с', 'привидениями', 'ВВЕДЕНИЕ']	"['TOLD', 'AFTER', 'SUPPER', 'by', 'Jerome', 'K', 'Jerome', 'Contents', 'Introductory', 'How', 'the', 'Stories', 'came', 'to', 'be', 'told', 'Teddy', ""Biffles'"", 'Story—Johnson', 'and', 'Emily', 'or', 'the', 'Faithful', 'Ghost', 'Interlude—The', ""Doctor's"", 'Story', 'Mr', ""Coombe's"", 'Story—The', 'Haunted', 'Mill', 'or', 'the', 'Ruined', 'Home', 'Interlude', 'My', ""Uncle's"", 'Story—The', 'Ghost', 'of', 'the', 'Blue', 'Chamber', 'A', 'Personal', 'Explanation', 'My', 'Own', 'Story', 'INTRODUCTORY']"
1	It was Christmas Eve. 	Это было в сочельник. 	['Это', 'было', 'в', 'сочельник']	['It', 'was', 'Christmas', 'Eve']
2	I begin this way because it is the proper, orthodox, respectable way to begin, and I have been brought up in a proper, orthodox, respectable way, and taught to always do the proper, orthodox, respectable thing; and the habit clings to me. 	Я  начинаю  именно  так  потому,  что  это  самое общепринятое, благопристойное и респектабельное начало, а я был воспитан в общепринятом, благопристойном и  респектабельном  духе,  привык  поступать самым общепринятым,  благопристойным  и  респектабельным  образом,  и  эта привычка стала у меня второй натурой. 	['Я', 'начинаю', 'именно', 'так', 'потому', 'что', 'это', 'самое', 'общепринятое', 'благопристойное', 'и', 'респектабельное', 'начало', 'а', 'я', 'был', 'воспитан', 'в', 'общепринятом', 'благопристойном', 'и', 'респектабельном', 'духе', 'привык', 'поступать', 'самым', 'общепринятым', 'благопристойным', 'и', 'респектабельным', 'образом', 'и', 'эта', 'привычка', 'стала', 'у', 'меня', 'второй', 'натурой']	['I', 'begin', 'this', 'way', 'because', 'it', 'is', 'the', 'proper', 'orthodox', 'respectable', 'way', 'to', 'begin', 'and', 'I', 'have', 'been', 'brought', 'up', 'in', 'a', 'proper', 'orthodox', 'respectable', 'way', 'and', 'taught', 'to', 'always', 'do', 'the', 'proper', 'orthodox', 'respectable', 'thing', 'and', 'the', 'habit', 'clings', 'to', 'me']
3	Of course, as a mere matter of information it is quite unnecessary to mention the date at all. The experienced reader knows it was Christmas Eve, without my telling him. 	Собственно говоря, нет необходимости  уточнять  дату  нашей  вечеринки: опытный читатель, не дожидаясь разъяснения, сам поймет, что  дело  было  в сочельник. 	['Собственно', 'говоря', 'нет', 'необходимости', 'уточнять', 'дату', 'нашей', 'вечеринки', 'опытный', 'читатель', 'не', 'дожидаясь', 'разъяснения', 'сам', 'поймет', 'что', 'дело', 'было', 'в', 'сочельник']	['Of', 'course', 'as', 'a', 'mere', 'matter', 'of', 'information', 'it', 'is', 'quite', 'unnecessary', 'to', 'mention', 'the', 'date', 'at', 'all', 'The', 'experienced', 'reader', 'knows', 'it', 'was', 'Christmas', 'Eve', 'without', 'my', 'telling', 'him']
4	It always is Christmas Eve, in a ghost story, Christmas Eve is the ghosts' great gala night. 	Если в рассказе участвуют призраки,  значит  время  действия  - сочельник. Это у привидений самый излюбленный и боевой вечер. 	['Если', 'в', 'рассказе', 'участвуют', 'призраки', 'значит', 'время', 'действия', 'сочельник', 'Это', 'у', 'привидений', 'самый', 'излюбленный', 'и', 'боевой', 'вечер']	"['It', 'always', 'is', 'Christmas', 'Eve', 'in', 'a', 'ghost', 'story', 'Christmas', 'Eve', 'is', 'the', ""ghosts'"", 'great', 'gala', 'night']"
5	On Christmas Eve they hold their annual fete. 	В  сочельник они справляют  свой  ежегодный  праздник. 	['В', 'сочельник', 'они', 'справляют', 'свой', 'ежегодный', 'праздник']	['On', 'Christmas', 'Eve', 'they', 'hold', 'their', 'annual', 'fete']
6	On Christmas Eve everybody in Ghostland who IS anybody—or rather, speaking of ghosts, one should say, I suppose, every nobody who IS any nobody—comes out to show himself or herself, to see and to be seen, to promenade about and display their winding-sheets and grave-clothes to each other, to criticise one another's style, and sneer at one another's complexion. 	В  сочельник  каждый  обитатель загробного мира, из тех, кто хоть что-нибудь собой представляет  (впрочем, о  духах  следовало  бы  говорить:   каждый,   кто   _ничего_   собой   не представляет), - будь то мужчина или женщина, выходит на свет  божий  себя показать  и  людей  посмотреть. Каждый  красуется  своим  саваном,  своим похоронным нарядом, критикует чужие костюмы и посмеивается над цветом лица других замогильных жильцов. 	['В', 'сочельник', 'каждый', 'обитатель', 'загробного', 'мира', 'из', 'тех', 'кто', 'хоть', 'что-нибудь', 'собой', 'представляет', 'впрочем', 'о', 'духах', 'следовало', 'бы', 'говорить', 'каждый', 'кто', 'ничего', 'собой', 'не', 'представляет', 'будь', 'то', 'мужчина', 'или', 'женщина', 'выходит', 'на', 'свет', 'божий', 'себя', 'показать', 'и', 'людей', 'посмотреть', 'Каждый', 'красуется', 'своим', 'саваном', 'своим', 'похоронным', 'нарядом', 'критикует', 'чужие', 'костюмы', 'и', 'посмеивается', 'над', 'цветом', 'лица', 'других', 'замогильных', 'жильцов']	"['On', 'Christmas', 'Eve', 'everybody', 'in', 'Ghostland', 'who', 'IS', 'anybody—or', 'rather', 'speaking', 'of', 'ghosts', 'one', 'should', 'say', 'I', 'suppose', 'every', 'nobody', 'who', 'IS', 'any', 'nobody—comes', 'out', 'to', 'show', 'himself', 'or', 'herself', 'to', 'see', 'and', 'to', 'be', 'seen', 'to', 'promenade', 'about', 'and', 'display', 'their', 'winding-sheets', 'and', 'grave-clothes', 'to', 'each', 'other', 'to', 'criticise', 'one', ""another's"", 'style', 'and', 'sneer', 'at', 'one', ""another's"", 'complexion']"
7	"""Christmas Eve parade,"" as I expect they themselves term it, is a function, doubtless, eagerly prepared for and looked forward to throughout Ghostland, especially the swagger set, such as the murdered Barons, the crime-stained Countesses, and the Earls who came over with the Conqueror, and assassinated their relatives, and died raving mad. "	Своего предрождественского парада - так, я уверен, называют  они  между собой это событие - все  жители  царства  духов  несомненно  дожидаются  с большим нетерпением. Особенно готовятся  к  нему  высшие  слои  общества:  злодейки-графини, зарезанные  ими  бароны,  а  также  пэры  с  генеалогией   от   Вильгельма Завоевателя, успевшие придушить кого-нибудь из родичей и кончившие  буйным помешательством. 	['Своего', 'предрождественского', 'парада', 'так', 'я', 'уверен', 'называют', 'они', 'между', 'собой', 'это', 'событие', 'все', 'жители', 'царства', 'духов', 'несомненно', 'дожидаются', 'с', 'большим', 'нетерпением', 'Особенно', 'готовятся', 'к', 'нему', 'высшие', 'слои', 'общества', 'злодейки-графини', 'зарезанные', 'ими', 'бароны', 'а', 'также', 'пэры', 'с', 'генеалогией', 'от', 'Вильгельма', 'Завоевателя', 'успевшие', 'придушить', 'кого-нибудь', 'из', 'родичей', 'и', 'кончившие', 'буйным', 'помешательством']	['Christmas', 'Eve', 'parade', 'as', 'I', 'expect', 'they', 'themselves', 'term', 'it', 'is', 'a', 'function', 'doubtless', 'eagerly', 'prepared', 'for', 'and', 'looked', 'forward', 'to', 'throughout', 'Ghostland', 'especially', 'the', 'swagger', 'set', 'such', 'as', 'the', 'murdered', 'Barons', 'the', 'crime-stained', 'Countesses', 'and', 'the', 'Earls', 'who', 'came', 'over', 'with', 'the', 'Conqueror', 'and', 'assassinated', 'their', 'relatives', 'and', 'died', 'raving', 'mad']
8	Hollow moans and fiendish grins are, one may be sure, energetically practised up. 	В эту пору в мире духов повсеместно и с большим  усердием разучиваются глухие стоны  и  дьявольское  хихиканье. 	['В', 'эту', 'пору', 'в', 'мире', 'духов', 'повсеместно', 'и', 'с', 'большим', 'усердием', 'разучиваются', 'глухие', 'стоны', 'и', 'дьявольское', 'хихиканье']	['Hollow', 'moans', 'and', 'fiendish', 'grins', 'are', 'one', 'may', 'be', 'sure', 'energetically', 'practised', 'up']
9	Blood-curdling shrieks and marrow-freezing gestures are probably rehearsed for weeks beforehand. 	Неделями,  наверно, репетируются душераздирающие крики и жесты, от которых  кровь  леденеет  в жилах. 	['Неделями', 'наверно', 'репетируются', 'душераздирающие', 'крики', 'и', 'жесты', 'от', 'которых', 'кровь', 'леденеет', 'в', 'жилах']	['Blood-curdling', 'shrieks', 'and', 'marrow-freezing', 'gestures', 'are', 'probably', 'rehearsed', 'for', 'weeks', 'beforehand']
