	en	ru	ru_tokens	en_tokens
0	PREFACE  	ВСТУПЛЕНИЕ   	['ВСТУПЛЕНИЕ']	['PREFACE']
1	 I HAVE no intention of explaining how the correspondence which I now offer to the public fell into my hands.  	Я не собираюсь объяснять, как в мои руки попала та переписка, которую я теперь предлагаю вниманию общества.   	['Я', 'не', 'собираюсь', 'объяснять', 'как', 'в', 'мои', 'руки', 'попала', 'та', 'переписка', 'которую', 'я', 'теперь', 'предлагаю', 'вниманию', 'общества']	['I', 'HAVE', 'no', 'intention', 'of', 'explaining', 'how', 'the', 'correspondence', 'which', 'I', 'now', 'offer', 'to', 'the', 'public', 'fell', 'into', 'my', 'hands']
2	 There are two equal and opposite errors into which our race can fall about the devils. 	Есть два равносильных и противоположных заблуждения относительно бесов. 	['Есть', 'два', 'равносильных', 'и', 'противоположных', 'заблуждения', 'относительно', 'бесов']	['There', 'are', 'two', 'equal', 'and', 'opposite', 'errors', 'into', 'which', 'our', 'race', 'can', 'fall', 'about', 'the', 'devils']
3	 One is to disbelieve in their existence.  The other is to believe, and to feel an excessive and unhealthy interest in them. 	 Одни не верят в них, другие верят и питают к ним ненужный и нездоровый интерес. 	['Одни', 'не', 'верят', 'в', 'них', 'другие', 'верят', 'и', 'питают', 'к', 'ним', 'ненужный', 'и', 'нездоровый', 'интерес']	['One', 'is', 'to', 'disbelieve', 'in', 'their', 'existence', 'The', 'other', 'is', 'to', 'believe', 'and', 'to', 'feel', 'an', 'excessive', 'and', 'unhealthy', 'interest', 'in', 'them']
4	 They themselves are equally pleased by both errors and hail a materialist or a magician with the same delight.  The sort of script which is used in this book can be very easily obtained by anyone who has once learned the knack; but disposed or excitable people who might make a bad use of it shall not learn it from me.  	 Сами бесы рады обеим ошибкам и с одинаковым восторгом приветствуют и материалиста, и любителя черной магии.   	['Сами', 'бесы', 'рады', 'обеим', 'ошибкам', 'и', 'с', 'одинаковым', 'восторгом', 'приветствуют', 'и', 'материалиста', 'и', 'любителя', 'черной', 'магии']	['They', 'themselves', 'are', 'equally', 'pleased', 'by', 'both', 'errors', 'and', 'hail', 'a', 'materialist', 'or', 'a', 'magician', 'with', 'the', 'same', 'delight', 'The', 'sort', 'of', 'script', 'which', 'is', 'used', 'in', 'this', 'book', 'can', 'be', 'very', 'easily', 'obtained', 'by', 'anyone', 'who', 'has', 'once', 'learned', 'the', 'knack', 'but', 'disposed', 'or', 'excitable', 'people', 'who', 'might', 'make', 'a', 'bad', 'use', 'of', 'it', 'shall', 'not', 'learn', 'it', 'from', 'me']
5	 Readers are advised to remember that the devil is a liar.  Not everything that Screwtape says should be assumed to be true even from his own angle. 	Советую моим читателям помнить, что дьявол -- отец лжи и не все, что говорит Баламут, следует считать правдой, даже с его собственной точки зрения.   	['Советую', 'моим', 'читателям', 'помнить', 'что', 'дьявол', 'отец', 'лжи', 'и', 'не', 'все', 'что', 'говорит', 'Баламут', 'следует', 'считать', 'правдой', 'даже', 'с', 'его', 'собственной', 'точки', 'зрения']	['Readers', 'are', 'advised', 'to', 'remember', 'that', 'the', 'devil', 'is', 'a', 'liar', 'Not', 'everything', 'that', 'Screwtape', 'says', 'should', 'be', 'assumed', 'to', 'be', 'true', 'even', 'from', 'his', 'own', 'angle']
6	 I have made no attempt to identify any of the human beings mentioned in the letters; but I think it very unlikely that the portraits, say, of Fr.  Spike or the patient's mother, are wholly just. 	Я не устанавливал личности тех, кто упомянут в письмах.  Однако не думаю, что, например, отец Игл или мать подопечного описаны достоверно. 	['Я', 'не', 'устанавливал', 'личности', 'тех', 'кто', 'упомянут', 'в', 'письмах', 'Однако', 'не', 'думаю', 'что', 'например', 'отец', 'Игл', 'или', 'мать', 'подопечного', 'описаны', 'достоверно']	"['I', 'have', 'made', 'no', 'attempt', 'to', 'identify', 'any', 'of', 'the', 'human', 'beings', 'mentioned', 'in', 'the', 'letters', 'but', 'I', 'think', 'it', 'very', 'unlikely', 'that', 'the', 'portraits', 'say', 'of', 'Fr', 'Spike', 'or', 'the', ""patient's"", 'mother', 'are', 'wholly', 'just']"
7	 There is wishful thinking in Hell as well as on Earth.  	 В аду, как и на земле, умеют подкрашивать мысли в угоду своим намерениям.   	['В', 'аду', 'как', 'и', 'на', 'земле', 'умеют', 'подкрашивать', 'мысли', 'в', 'угоду', 'своим', 'намерениям']	['There', 'is', 'wishful', 'thinking', 'in', 'Hell', 'as', 'well', 'as', 'on', 'Earth']
8	 In conclusion, I ought to add that no effort has been made to clear up the chronology of the letters. 	В заключение должен добавить, что я не пытался уточнить хронологию писем. 	['В', 'заключение', 'должен', 'добавить', 'что', 'я', 'не', 'пытался', 'уточнить', 'хронологию', 'писем']	['In', 'conclusion', 'I', 'ought', 'to', 'add', 'that', 'no', 'effort', 'has', 'been', 'made', 'to', 'clear', 'up', 'the', 'chronology', 'of', 'the', 'letters']
9	 Number XVII appears to have been composed before rationing became serious; but in general the diabolical method of dating seems to bear no relation to terrestrial time and I have not attempted to reproduce it. 	 Мне кажется, что чаще всего дьявольский принцип датировки никак не связан с земным временем, и потому я не стал его воспроизводить. 	['Мне', 'кажется', 'что', 'чаще', 'всего', 'дьявольский', 'принцип', 'датировки', 'никак', 'не', 'связан', 'с', 'земным', 'временем', 'и', 'потому', 'я', 'не', 'стал', 'его', 'воспроизводить']	['Number', 'XVII', 'appears', 'to', 'have', 'been', 'composed', 'before', 'rationing', 'became', 'serious', 'but', 'in', 'general', 'the', 'diabolical', 'method', 'of', 'dating', 'seems', 'to', 'bear', 'no', 'relation', 'to', 'terrestrial', 'time', 'and', 'I', 'have', 'not', 'attempted', 'to', 'reproduce', 'it']
