	en	ru	ru_tokens	en_tokens
0	THE ETHICS OF PIG 	О. Генри Поросячья этика 	['О', 'Генри', 'Поросячья', 'этика']	['THE', 'ETHICS', 'OF', 'PIG']
1	On an east-bound train I went into the smoker and found Jefferson Peters, the only man with a brain west of the Wabash River who can use his cerebrum, cerebellum, and medulla oblongata at the same time. 	Войдя в курительный вагон экспресса Сан-Франциско Нью-Йорк, я застал там Джефферсона Питерса. Из всех людей, проживающих западнее реки Уобаш, он единственный наделен настоящей смекалкой. Он способен использовать сразу оба полушария мозга, да еще мозжечок в придачу. 	['Войдя', 'в', 'курительный', 'вагон', 'экспресса', 'Сан-Франциско', 'Нью-Йорк', 'я', 'застал', 'там', 'Джефферсона', 'Питерса', 'Из', 'всех', 'людей', 'проживающих', 'западнее', 'реки', 'Уобаш', 'он', 'единственный', 'наделен', 'настоящей', 'смекалкой', 'Он', 'способен', 'использовать', 'сразу', 'оба', 'полушария', 'мозга', 'да', 'еще', 'мозжечок', 'в', 'придачу']	['On', 'an', 'east-bound', 'train', 'I', 'went', 'into', 'the', 'smoker', 'and', 'found', 'Jefferson', 'Peters', 'the', 'only', 'man', 'with', 'a', 'brain', 'west', 'of', 'the', 'Wabash', 'River', 'who', 'can', 'use', 'his', 'cerebrum', 'cerebellum', 'and', 'medulla', 'oblongata', 'at', 'the', 'same', 'time']
2	Jeff is in the line of unillegal graft. 	Профессия Джеффа - небеззаконное жульничество. 	['Профессия', 'Джеффа', 'небеззаконное', 'жульничество']	['Jeff', 'is', 'in', 'the', 'line', 'of', 'unillegal', 'graft']
3	He is not to be dreaded by widows and orphans; he is a reducer of surplusage. 	Вдовам и сиротам не следует бояться его: он изымает только излишки. 	['Вдовам', 'и', 'сиротам', 'не', 'следует', 'бояться', 'его', 'он', 'изымает', 'только', 'излишки']	['He', 'is', 'not', 'to', 'be', 'dreaded', 'by', 'widows', 'and', 'orphans', 'he', 'is', 'a', 'reducer', 'of', 'surplusage']
4	His favorite disguise is that of the target-bird at which the spendthrift or the reckless investor may shy a few inconsequential dollars. 	Больше всего он любит сравнивать себя с той мишенью в виде маленькой птички, в которую любой расточитель или опрометчивый вкладчик может стрельнуть двумя-тремя завалящими долларами. 	['Больше', 'всего', 'он', 'любит', 'сравнивать', 'себя', 'с', 'той', 'мишенью', 'в', 'виде', 'маленькой', 'птички', 'в', 'которую', 'любой', 'расточитель', 'или', 'опрометчивый', 'вкладчик', 'может', 'стрельнуть', 'двумя-тремя', 'завалящими', 'долларами']	['His', 'favorite', 'disguise', 'is', 'that', 'of', 'the', 'target-bird', 'at', 'which', 'the', 'spendthrift', 'or', 'the', 'reckless', 'investor', 'may', 'shy', 'a', 'few', 'inconsequential', 'dollars']
5	He is readily vocalized by tobacco; so, with the aid of two thick and easy-burning brevas, I got the story of his latest Autolycan adventure. 	"На его разговорные способности хорошо влияет табак; зная это, я с помощью двух толстых и легко воспламеняемых сигар ""брэва"" узнал историю его последнего приключения. "	['На', 'его', 'разговорные', 'способности', 'хорошо', 'влияет', 'табак', 'зная', 'это', 'я', 'с', 'помощью', 'двух', 'толстых', 'и', 'легко', 'воспламеняемых', 'сигар', 'брэва', 'узнал', 'историю', 'его', 'последнего', 'приключения']	['He', 'is', 'readily', 'vocalized', 'by', 'tobacco', 'so', 'with', 'the', 'aid', 'of', 'two', 'thick', 'and', 'easy-burning', 'brevas', 'I', 'got', 'the', 'story', 'of', 'his', 'latest', 'Autolycan', 'adventure']
6	"""In my line of business,"" said Jeff, ""the hardest thing is to find an upright, trustworthy, strictly honorable partner to work a graft with. "	- Самое трудное в нашем деле, - сказал Джефф, - это найти добросовестного, надежного; безупречно честного партнера, с которым можно было бы мошенничать без всякой опаски. 	['Самое', 'трудное', 'в', 'нашем', 'деле', 'сказал', 'Джефф', 'это', 'найти', 'добросовестного', 'надежного', 'безупречно', 'честного', 'партнера', 'с', 'которым', 'можно', 'было', 'бы', 'мошенничать', 'без', 'всякой', 'опаски']	['In', 'my', 'line', 'of', 'business', 'said', 'Jeff', 'the', 'hardest', 'thing', 'is', 'to', 'find', 'an', 'upright', 'trustworthy', 'strictly', 'honorable', 'partner', 'to', 'work', 'a', 'graft', 'with']
7	Some of the best men I ever worked with in a swindle would resort to trickery at times. 	Лучшие мастера, с какими мне случалось работать по части присвоения чужого имущества, и те оказывались иногда надувателями. 	['Лучшие', 'мастера', 'с', 'какими', 'мне', 'случалось', 'работать', 'по', 'части', 'присвоения', 'чужого', 'имущества', 'и', 'те', 'оказывались', 'иногда', 'надувателями']	['Some', 'of', 'the', 'best', 'men', 'I', 'ever', 'worked', 'with', 'in', 'a', 'swindle', 'would', 'resort', 'to', 'trickery', 'at', 'times']
8	"""So, last summer, I thinks I will go over into this section of country where I hear the serpent has not yet entered, and see if I can find a partner naturally gifted with a talent for crime, but not yet contaminated by success. "	Поэтому прошлым летом решил я отправиться куда-нибудь в захолустную местность, куда не проник еще змей-искуситель, и посмотреть, не найдется ли там какого-нибудь подходящего малого, одаренного талантом к преступлению, но еще не развращенного успехом. 	['Поэтому', 'прошлым', 'летом', 'решил', 'я', 'отправиться', 'куда-нибудь', 'в', 'захолустную', 'местность', 'куда', 'не', 'проник', 'еще', 'змей-искуситель', 'и', 'посмотреть', 'не', 'найдется', 'ли', 'там', 'какого-нибудь', 'подходящего', 'малого', 'одаренного', 'талантом', 'к', 'преступлению', 'но', 'еще', 'не', 'развращенного', 'успехом']	['So', 'last', 'summer', 'I', 'thinks', 'I', 'will', 'go', 'over', 'into', 'this', 'section', 'of', 'country', 'where', 'I', 'hear', 'the', 'serpent', 'has', 'not', 'yet', 'entered', 'and', 'see', 'if', 'I', 'can', 'find', 'a', 'partner', 'naturally', 'gifted', 'with', 'a', 'talent', 'for', 'crime', 'but', 'not', 'yet', 'contaminated', 'by', 'success']
9	"""I found a village that seemed to show the right kind of a layout. "	Попался мне один городишко, на вид как раз то, что нужно. 	['Попался', 'мне', 'один', 'городишко', 'на', 'вид', 'как', 'раз', 'то', 'что', 'нужно']	['I', 'found', 'a', 'village', 'that', 'seemed', 'to', 'show', 'the', 'right', 'kind', 'of', 'a', 'layout']
