	en	ru	ru_tokens	en_tokens
0	THE PICTURE OF DORIAN GRAY BY OSCAR WILDE 	Оскар Уайлд. Портрет Дориана Грея 	['Оскар', 'Уайлд', 'Портрет', 'Дориана', 'Грея']	['THE', 'PICTURE', 'OF', 'DORIAN', 'GRAY', 'BY', 'OSCAR', 'WILDE']
1	THE PREFACE 	ПРЕДИСЛОВИЕ 	['ПРЕДИСЛОВИЕ']	['THE', 'PREFACE']
2	The artist is the creator of beautiful things. 	Художник -- тот, кто создает прекрасное. 	['Художник', 'тот', 'кто', 'создает', 'прекрасное']	['The', 'artist', 'is', 'the', 'creator', 'of', 'beautiful', 'things']
3	To reveal art and conceal the artist is art's aim. 	Раскрыть  людям  себя  и  скрыть  художника  --  вот  к  чему стремится искусство. 	['Раскрыть', 'людям', 'себя', 'и', 'скрыть', 'художника', 'вот', 'к', 'чему', 'стремится', 'искусство']	"['To', 'reveal', 'art', 'and', 'conceal', 'the', 'artist', 'is', ""art's"", 'aim']"
4	The critic is he who can translate into another manner or a new material his impression of beautiful things. 	Критик -- это тот, кто способен в новой  форме  или  новыми  средствами передать свое впечатление от прекрасного. 	['Критик', 'это', 'тот', 'кто', 'способен', 'в', 'новой', 'форме', 'или', 'новыми', 'средствами', 'передать', 'свое', 'впечатление', 'от', 'прекрасного']	['The', 'critic', 'is', 'he', 'who', 'can', 'translate', 'into', 'another', 'manner', 'or', 'a', 'new', 'material', 'his', 'impression', 'of', 'beautiful', 'things']
5	The highest, as the lowest, form of criticism is a mode of autobiography. 	Высшая, как и низшая, форма критики -- один из видов автобиографии. 	['Высшая', 'как', 'и', 'низшая', 'форма', 'критики', 'один', 'из', 'видов', 'автобиографии']	['The', 'highest', 'as', 'the', 'lowest', 'form', 'of', 'criticism', 'is', 'a', 'mode', 'of', 'autobiography']
6	Those who find ugly meanings in beautiful things are corrupt without being charming. 	Те,  кто  в  прекрасном  находят  дурное, -- люди испорченные, и притом испорченность не делает их привлекательными. 	['Те', 'кто', 'в', 'прекрасном', 'находят', 'дурное', 'люди', 'испорченные', 'и', 'притом', 'испорченность', 'не', 'делает', 'их', 'привлекательными']	['Those', 'who', 'find', 'ugly', 'meanings', 'in', 'beautiful', 'things', 'are', 'corrupt', 'without', 'being', 'charming']
7	This is a fault. 	Это большой грех. 	['Это', 'большой', 'грех']	['This', 'is', 'a', 'fault']
8	Those who find beautiful meanings in beautiful things are the cultivated. 	Те, кто способны  узреть  в  прекрасном  его  высокий  смысл,  --  люди культурные. 	['Те', 'кто', 'способны', 'узреть', 'в', 'прекрасном', 'его', 'высокий', 'смысл', 'люди', 'культурные']	['Those', 'who', 'find', 'beautiful', 'meanings', 'in', 'beautiful', 'things', 'are', 'the', 'cultivated']
9	For these there is hope. 	Они не безнадежны. 	['Они', 'не', 'безнадежны']	['For', 'these', 'there', 'is', 'hope']
10	They are the elect to whom beautiful things mean only Beauty. 	Но избранник -- тот, кто в прекрасном видит лишь одно: Красоту. 	['Но', 'избранник', 'тот', 'кто', 'в', 'прекрасном', 'видит', 'лишь', 'одно', 'Красоту']	['They', 'are', 'the', 'elect', 'to', 'whom', 'beautiful', 'things', 'mean', 'only', 'Beauty']
11	There is no such thing as a moral or an immoral book. 	Нет книг нравственных или безнравственных. 	['Нет', 'книг', 'нравственных', 'или', 'безнравственных']	['There', 'is', 'no', 'such', 'thing', 'as', 'a', 'moral', 'or', 'an', 'immoral', 'book']
12	Books are well written, or badly written. 	Есть книги хорошо написанные или написанные плохо. 	['Есть', 'книги', 'хорошо', 'написанные', 'или', 'написанные', 'плохо']	['Books', 'are', 'well', 'written', 'or', 'badly', 'written']
13	That is all. 	Вот и все. 	['Вот', 'и', 'все']	['That', 'is', 'all']
