	en	ru	ru_tokens	en_tokens
0	"In a little district west of Washington Square the streets have run crazy and broken themselves into small strips called ""places."" "	В небольшом квартале к западу от Вашингтон-сквера улицы перепутались и переломались в короткие полоски, именуемые проездами. 	['В', 'небольшом', 'квартале', 'к', 'западу', 'от', 'Вашингтон-сквера', 'улицы', 'перепутались', 'и', 'переломались', 'в', 'короткие', 'полоски', 'именуемые', 'проездами']	['In', 'a', 'little', 'district', 'west', 'of', 'Washington', 'Square', 'the', 'streets', 'have', 'run', 'crazy', 'and', 'broken', 'themselves', 'into', 'small', 'strips', 'called', 'places']
1	"These ""places"" make strange angles and curves. "	Эти проезды образуют странные углы и кривые линии. 	['Эти', 'проезды', 'образуют', 'странные', 'углы', 'и', 'кривые', 'линии']	['These', 'places', 'make', 'strange', 'angles', 'and', 'curves']
2	One street crosses itself a time or two. 	Одна улица там даже пересекает самое себя раза два. 	['Одна', 'улица', 'там', 'даже', 'пересекает', 'самое', 'себя', 'раза', 'два']	['One', 'street', 'crosses', 'itself', 'a', 'time', 'or', 'two']
3	An artist once discovered a valuable possibility in this street. 	Некоему художнику удалось открыть весьма ценное свойство этой улицы. 	['Некоему', 'художнику', 'удалось', 'открыть', 'весьма', 'ценное', 'свойство', 'этой', 'улицы']	['An', 'artist', 'once', 'discovered', 'a', 'valuable', 'possibility', 'in', 'this', 'street']
4	Suppose a collector with a bill for paints, paper and canvas should, in traversing this route, suddenly meet himself coming back, without a cent having been paid on account! 	Предположим, сборщик из магазина со счетом за краски, бумагу и холст повстречает там самого себя, идущего восвояси, не получив ни единого цента по счету! 	['Предположим', 'сборщик', 'из', 'магазина', 'со', 'счетом', 'за', 'краски', 'бумагу', 'и', 'холст', 'повстречает', 'там', 'самого', 'себя', 'идущего', 'восвояси', 'не', 'получив', 'ни', 'единого', 'цента', 'по', 'счету']	['Suppose', 'a', 'collector', 'with', 'a', 'bill', 'for', 'paints', 'paper', 'and', 'canvas', 'should', 'in', 'traversing', 'this', 'route', 'suddenly', 'meet', 'himself', 'coming', 'back', 'without', 'a', 'cent', 'having', 'been', 'paid', 'on', 'account']
5	So, to quaint old Greenwich Village the art people soon came prowling, hunting for north windows and eighteenth-century gables and Dutch attics and low rents. 	И вот люди искусства набрели на своеобразный квартал Гринич-Виллидж в поисках окон, выходящих на север, кровель ХVIII столетия, голландских мансард и дешевой квартирной платы. 	['И', 'вот', 'люди', 'искусства', 'набрели', 'на', 'своеобразный', 'квартал', 'Гринич-Виллидж', 'в', 'поисках', 'окон', 'выходящих', 'на', 'север', 'кровель', 'ХVIII', 'столетия', 'голландских', 'мансард', 'и', 'дешевой', 'квартирной', 'платы']	['So', 'to', 'quaint', 'old', 'Greenwich', 'Village', 'the', 'art', 'people', 'soon', 'came', 'prowling', 'hunting', 'for', 'north', 'windows', 'and', 'eighteenth-century', 'gables', 'and', 'Dutch', 'attics', 'and', 'low', 'rents']
6	"Then they imported some pewter mugs and a chafing dish or two from Sixth avenue, and became a ""colony."" "	Затем они перевезли туда с Шестой авеню несколько оловянных кружек и одну-две жаровни и основали «колонию». 	['Затем', 'они', 'перевезли', 'туда', 'с', 'Шестой', 'авеню', 'несколько', 'оловянных', 'кружек', 'и', 'одну-две', 'жаровни', 'и', 'основали', '«колонию»']	['Then', 'they', 'imported', 'some', 'pewter', 'mugs', 'and', 'a', 'chafing', 'dish', 'or', 'two', 'from', 'Sixth', 'avenue', 'and', 'became', 'a', 'colony']
7	At the top of a squatty, three-story brick Sue and Johnsy had their studio. 	Студия Сью и Джонси помещалась наверху трехэтажного кирпичного дома. 	['Студия', 'Сью', 'и', 'Джонси', 'помещалась', 'наверху', 'трехэтажного', 'кирпичного', 'дома']	['At', 'the', 'top', 'of', 'a', 'squatty', 'three-story', 'brick', 'Sue', 'and', 'Johnsy', 'had', 'their', 'studio']
8	"""Johnsy"" was familiar for Joanna. "	Джонси — уменьшительное от Джоанны. 	['Джонси', '—', 'уменьшительное', 'от', 'Джоанны']	['Johnsy', 'was', 'familiar', 'for', 'Joanna']
9	One was from Maine; the other from California. 	Одна приехала из штата Мэйн, другая из Калифорнии. 	['Одна', 'приехала', 'из', 'штата', 'Мэйн', 'другая', 'из', 'Калифорнии']	['One', 'was', 'from', 'Maine', 'the', 'other', 'from', 'California']
