	en	ru	ru_tokens	en_tokens
0	PROJECT GUTENBERG. Produced by David Widger. The previous edition was updated by Jose Menendez. THE ADVENTURES OF TOM SAWYER                                 BY                             MARK TWAIN                      (Samuel Langhorne Clemens) P R E F A C E 	ПРЕДИСЛОВИЕ 	['ПРЕДИСЛОВИЕ']	['PROJECT', 'GUTENBERG', 'Produced', 'by', 'David', 'Widger', 'The', 'previous', 'edition', 'was', 'updated', 'by', 'Jose', 'Menendez', 'THE', 'ADVENTURES', 'OF', 'TOM', 'SAWYER', 'BY', 'MARK', 'TWAIN', 'Samuel', 'Langhorne', 'Clemens', 'P', 'R', 'E', 'F', 'A', 'C', 'E']
1	MOST of the adventures recorded in this book really occurred; one or two were experiences of my own, the rest those of boys who were schoolmates of mine. 	Большая часть приключений, о которых рассказано в этой книге, взяты из жизни: одно-два пережиты мною самим, остальные мальчиками, учившимися вместе со мной в школе. 	['Большая', 'часть', 'приключений', 'о', 'которых', 'рассказано', 'в', 'этой', 'книге', 'взяты', 'из', 'жизни', 'одно-два', 'пережиты', 'мною', 'самим', 'остальные', 'мальчиками', 'учившимися', 'вместе', 'со', 'мной', 'в', 'школе']	['MOST', 'of', 'the', 'adventures', 'recorded', 'in', 'this', 'book', 'really', 'occurred', 'one', 'or', 'two', 'were', 'experiences', 'of', 'my', 'own', 'the', 'rest', 'those', 'of', 'boys', 'who', 'were', 'schoolmates', 'of', 'mine']
2	Huck Finn is drawn from life; Tom Sawyer also, but not from an individual--he is a combination of the characteristics of three boys whom I knew, and therefore belongs to the composite order of architecture. 	Гек Финн списан с натуры, Том Сойер также, но не с одного оригинала - он представляет собой комбинацию черт, взятых у трех мальчиков, которых я знал, и потому принадлежит к смешанному архитектурному ордеру. 	['Гек', 'Финн', 'списан', 'с', 'натуры', 'Том', 'Сойер', 'также', 'но', 'не', 'с', 'одного', 'оригинала', 'он', 'представляет', 'собой', 'комбинацию', 'черт', 'взятых', 'у', 'трех', 'мальчиков', 'которых', 'я', 'знал', 'и', 'потому', 'принадлежит', 'к', 'смешанному', 'архитектурному', 'ордеру']	['Huck', 'Finn', 'is', 'drawn', 'from', 'life', 'Tom', 'Sawyer', 'also', 'but', 'not', 'from', 'an', 'individual--he', 'is', 'a', 'combination', 'of', 'the', 'characteristics', 'of', 'three', 'boys', 'whom', 'I', 'knew', 'and', 'therefore', 'belongs', 'to', 'the', 'composite', 'order', 'of', 'architecture']
3	The odd superstitions touched upon were all prevalent among children and slaves in the West at the period of this story--that is to say, thirty or forty years ago. 	Дикие суеверия, описанные ниже, были распространены среди детей и негров Запада в те времена, то есть тридцать - сорок лет тому назад. 	['Дикие', 'суеверия', 'описанные', 'ниже', 'были', 'распространены', 'среди', 'детей', 'и', 'негров', 'Запада', 'в', 'те', 'времена', 'то', 'есть', 'тридцать', 'сорок', 'лет', 'тому', 'назад']	['The', 'odd', 'superstitions', 'touched', 'upon', 'were', 'all', 'prevalent', 'among', 'children', 'and', 'slaves', 'in', 'the', 'West', 'at', 'the', 'period', 'of', 'this', 'story--that', 'is', 'to', 'say', 'thirty', 'or', 'forty', 'years', 'ago']
4	Although my book is intended mainly for the entertainment of boys and girls, I hope it will not be shunned by men and women on that account, for part of my plan has been to try to pleasantly remind adults of what they once were themselves, and of how they felt and thought and talked, and what queer enterprises they sometimes engaged in. 	Хотя моя книга предназначена главным образом для развлечения мальчиков и девочек, я надеюсь, что ею не побрезгуют и взрослые мужчины и женщины, ибо в мои планы входило напомнить им, какими были они сами когда-то, что чувствовали, думали, как разговаривали и в какие странные авантюры иногда ввязывались. 	['Хотя', 'моя', 'книга', 'предназначена', 'главным', 'образом', 'для', 'развлечения', 'мальчиков', 'и', 'девочек', 'я', 'надеюсь', 'что', 'ею', 'не', 'побрезгуют', 'и', 'взрослые', 'мужчины', 'и', 'женщины', 'ибо', 'в', 'мои', 'планы', 'входило', 'напомнить', 'им', 'какими', 'были', 'они', 'сами', 'когда-то', 'что', 'чувствовали', 'думали', 'как', 'разговаривали', 'и', 'в', 'какие', 'странные', 'авантюры', 'иногда', 'ввязывались']	['Although', 'my', 'book', 'is', 'intended', 'mainly', 'for', 'the', 'entertainment', 'of', 'boys', 'and', 'girls', 'I', 'hope', 'it', 'will', 'not', 'be', 'shunned', 'by', 'men', 'and', 'women', 'on', 'that', 'account', 'for', 'part', 'of', 'my', 'plan', 'has', 'been', 'to', 'try', 'to', 'pleasantly', 'remind', 'adults', 'of', 'what', 'they', 'once', 'were', 'themselves', 'and', 'of', 'how', 'they', 'felt', 'and', 'thought', 'and', 'talked', 'and', 'what', 'queer', 'enterprises', 'they', 'sometimes', 'engaged', 'in']
5	THE AUTHOR. HARTFORD, 1876. 	Хартфорд, 1876 Автор 	['Хартфорд', '1876', 'Автор']	['THE', 'AUTHOR', 'HARTFORD', '1876']
6	T O M   S A W Y E R 	ПРИКЛЮЧЕНИЯ ТОМА СОЙЕРА. 	['ПРИКЛЮЧЕНИЯ', 'ТОМА', 'СОЙЕРА']	['T', 'O', 'M', 'S', 'A', 'W', 'Y', 'E', 'R']
7	CHAPTER I 	ГЛАВА I 	['ГЛАВА', 'I']	['CHAPTER', 'I']
8	"""TOM!"" "	- Том! 	['Том']	['TOM']
9	No answer. 	Ответа нет. 	['Ответа', 'нет']	['No', 'answer']
