	en	ru	ru_tokens	en_tokens
0	VII.  THE ADVENTURE OF THE BLUE CARBUNCLE   	Артур Конан-Дойл    Голубой карбункул   	['Артур', 'Конан-Дойл', 'Голубой', 'карбункул']	['VII', 'THE', 'ADVENTURE', 'OF', 'THE', 'BLUE', 'CARBUNCLE']
1	 I had called upon my friend Sherlock Holmes upon the second morning after Christmas, with the intention of wishing him the compliments of the season. 	 На третий день Рождества зашел я к Шерлоку Холмсу, чтобы поздравить его с праздником. 	['На', 'третий', 'день', 'Рождества', 'зашел', 'я', 'к', 'Шерлоку', 'Холмсу', 'чтобы', 'поздравить', 'его', 'с', 'праздником']	['I', 'had', 'called', 'upon', 'my', 'friend', 'Sherlock', 'Holmes', 'upon', 'the', 'second', 'morning', 'after', 'Christmas', 'with', 'the', 'intention', 'of', 'wishing', 'him', 'the', 'compliments', 'of', 'the', 'season']
2	 He was lounging upon the sofa in a purple dressing-gown, a pipe-rack within his reach upon the right, and a pile of crumpled morning papers, evidently newly studied, near at hand. 	 Он лежал на кушетке в красном халате; по правую руку от него была подставка для трубок, а по левую — груда помятых утренних газет которые он, видимо, только что просматривал. 	['Он', 'лежал', 'на', 'кушетке', 'в', 'красном', 'халате', 'по', 'правую', 'руку', 'от', 'него', 'была', 'подставка', 'для', 'трубок', 'а', 'по', 'левую', '—', 'груда', 'помятых', 'утренних', 'газет', 'которые', 'он', 'видимо', 'только', 'что', 'просматривал']	['He', 'was', 'lounging', 'upon', 'the', 'sofa', 'in', 'a', 'purple', 'dressing-gown', 'a', 'pipe-rack', 'within', 'his', 'reach', 'upon', 'the', 'right', 'and', 'a', 'pile', 'of', 'crumpled', 'morning', 'papers', 'evidently', 'newly', 'studied', 'near', 'at', 'hand']
3	 Beside the couch was a wooden chair, and on the angle of the back hung a very seedy and disreputable hard-felt hat, much the worse for wear, and cracked in several places. 	 Рядом с кушеткой стоял стул, на его спинке висела сильно поношенная, потерявшая вид фетровая шляпа. 	['Рядом', 'с', 'кушеткой', 'стоял', 'стул', 'на', 'его', 'спинке', 'висела', 'сильно', 'поношенная', 'потерявшая', 'вид', 'фетровая', 'шляпа']	['Beside', 'the', 'couch', 'was', 'a', 'wooden', 'chair', 'and', 'on', 'the', 'angle', 'of', 'the', 'back', 'hung', 'a', 'very', 'seedy', 'and', 'disreputable', 'hard-felt', 'hat', 'much', 'the', 'worse', 'for', 'wear', 'and', 'cracked', 'in', 'several', 'places']
4	 A lens and a forceps lying upon the seat of the chair suggested that the hat had been suspended in this manner for the purpose of examination.    	 Холмс, должно быть очень внимательно изучал эту шляпу, так как тут же на сиденье стула лежали пинцет и лупа.   	['Холмс', 'должно', 'быть', 'очень', 'внимательно', 'изучал', 'эту', 'шляпу', 'так', 'как', 'тут', 'же', 'на', 'сиденье', 'стула', 'лежали', 'пинцет', 'и', 'лупа']	['A', 'lens', 'and', 'a', 'forceps', 'lying', 'upon', 'the', 'seat', 'of', 'the', 'chair', 'suggested', 'that', 'the', 'hat', 'had', 'been', 'suspended', 'in', 'this', 'manner', 'for', 'the', 'purpose', 'of', 'examination']
5	“You are engaged,” said I; “perhaps I interrupt you.”    	 — Вы заняты? — сказал я.  — Я вам не помешал?   	['—', 'Вы', 'заняты', '—', 'сказал', 'я', '—', 'Я', 'вам', 'не', 'помешал']	['“You', 'are', 'engaged,”', 'said', 'I', '“perhaps', 'I', 'interrupt', 'you.”']
6	“Not at all. 	 — Нисколько, — ответил он.  	['—', 'Нисколько', '—', 'ответил', 'он']	['“Not', 'at', 'all']
7	 I am glad to have a friend with whom I can discuss my results. 	— Я рад, что у меня есть друг, с которым я могу обсудить результаты некоторых моих изысканий. 	['—', 'Я', 'рад', 'что', 'у', 'меня', 'есть', 'друг', 'с', 'которым', 'я', 'могу', 'обсудить', 'результаты', 'некоторых', 'моих', 'изысканий']	['I', 'am', 'glad', 'to', 'have', 'a', 'friend', 'with', 'whom', 'I', 'can', 'discuss', 'my', 'results']
8	 The matter is a perfectly trivial one”—he jerked his thumb in the direction of the old hat—“but there are points in connection with it which are not entirely devoid of interest and even of instruction.”    	 Дельце весьма заурядное, но с этой вещью, — он ткнул большим пальцем в сторону шляпы, — связаны кое-какие любопытные и даже поучительные события.   	['Дельце', 'весьма', 'заурядное', 'но', 'с', 'этой', 'вещью', '—', 'он', 'ткнул', 'большим', 'пальцем', 'в', 'сторону', 'шляпы', '—', 'связаны', 'кое-какие', 'любопытные', 'и', 'даже', 'поучительные', 'события']	['The', 'matter', 'is', 'a', 'perfectly', 'trivial', 'one”—he', 'jerked', 'his', 'thumb', 'in', 'the', 'direction', 'of', 'the', 'old', 'hat—“but', 'there', 'are', 'points', 'in', 'connection', 'with', 'it', 'which', 'are', 'not', 'entirely', 'devoid', 'of', 'interest', 'and', 'even', 'of', 'instruction.”']
9	I seated myself in his armchair and warmed my hands before his crackling fire, for a sharp frost had set in, and the windows were thick with the ice crystals.  	 Я уселся в кресло и стал греть руки у камина, где потрескивал огонь.  Был сильный мороз; окна покрылись плотными ледяными узорами.   	['Я', 'уселся', 'в', 'кресло', 'и', 'стал', 'греть', 'руки', 'у', 'камина', 'где', 'потрескивал', 'огонь', 'Был', 'сильный', 'мороз', 'окна', 'покрылись', 'плотными', 'ледяными', 'узорами']	['I', 'seated', 'myself', 'in', 'his', 'armchair', 'and', 'warmed', 'my', 'hands', 'before', 'his', 'crackling', 'fire', 'for', 'a', 'sharp', 'frost', 'had', 'set', 'in', 'and', 'the', 'windows', 'were', 'thick', 'with', 'the', 'ice', 'crystals']
10	“I suppose,” I remarked, “that, homely as it looks, this thing has some deadly story linked on to it—that it is the clue which will guide you in the solution of some mystery and the punishment of some crime.”    	 — Хотя эта шляпа кажется очень невзрачной, она, должно быть, связана с какой-нибудь кровавой историей, — заметил я.  — Очевидно, она послужит ключом к разгадке страшной тайны, и благодаря ей вам удастся изобличить и наказать преступника.   	['—', 'Хотя', 'эта', 'шляпа', 'кажется', 'очень', 'невзрачной', 'она', 'должно', 'быть', 'связана', 'с', 'какой-нибудь', 'кровавой', 'историей', '—', 'заметил', 'я', '—', 'Очевидно', 'она', 'послужит', 'ключом', 'к', 'разгадке', 'страшной', 'тайны', 'и', 'благодаря', 'ей', 'вам', 'удастся', 'изобличить', 'и', 'наказать', 'преступника']	['“I', 'suppose,”', 'I', 'remarked', '“that', 'homely', 'as', 'it', 'looks', 'this', 'thing', 'has', 'some', 'deadly', 'story', 'linked', 'on', 'to', 'it—that', 'it', 'is', 'the', 'clue', 'which', 'will', 'guide', 'you', 'in', 'the', 'solution', 'of', 'some', 'mystery', 'and', 'the', 'punishment', 'of', 'some', 'crime.”']
11	“No, no.  No crime,” said Sherlock Holmes, laughing.  “Only one of those whimsical little incidents which will happen when you have four million human beings all jostling each other within the space of a few square miles. 	 — Нет, — засмеялся Шерлок Холмс, — тут не преступление, а мелкий, смешной эпизод, который всегда может произойти там, где четыре миллиона человек толкутся на площади в несколько квадратных миль. 	['—', 'Нет', '—', 'засмеялся', 'Шерлок', 'Холмс', '—', 'тут', 'не', 'преступление', 'а', 'мелкий', 'смешной', 'эпизод', 'который', 'всегда', 'может', 'произойти', 'там', 'где', 'четыре', 'миллиона', 'человек', 'толкутся', 'на', 'площади', 'в', 'несколько', 'квадратных', 'миль']	['“No', 'no', 'No', 'crime,”', 'said', 'Sherlock', 'Holmes', 'laughing', '“Only', 'one', 'of', 'those', 'whimsical', 'little', 'incidents', 'which', 'will', 'happen', 'when', 'you', 'have', 'four', 'million', 'human', 'beings', 'all', 'jostling', 'each', 'other', 'within', 'the', 'space', 'of', 'a', 'few', 'square', 'miles']
12	 Amid the action and reaction of so dense a swarm of humanity, every possible combination of events may be expected to take place, and many a little problem will be presented which may be striking and bizarre without being criminal. 	 В таком колоссальном человеческом улье возможны любые комбинации событий и фактов, возникает масса незначительных, но загадочных и странных происшествий, хотя ничего преступного в них нет. 	['В', 'таком', 'колоссальном', 'человеческом', 'улье', 'возможны', 'любые', 'комбинации', 'событий', 'и', 'фактов', 'возникает', 'масса', 'незначительных', 'но', 'загадочных', 'и', 'странных', 'происшествий', 'хотя', 'ничего', 'преступного', 'в', 'них', 'нет']	['Amid', 'the', 'action', 'and', 'reaction', 'of', 'so', 'dense', 'a', 'swarm', 'of', 'humanity', 'every', 'possible', 'combination', 'of', 'events', 'may', 'be', 'expected', 'to', 'take', 'place', 'and', 'many', 'a', 'little', 'problem', 'will', 'be', 'presented', 'which', 'may', 'be', 'striking', 'and', 'bizarre', 'without', 'being', 'criminal']
13	 We have already had experience of such.”    	 Нам уже приходилось сталкиваться с подобными случаями.   	['Нам', 'уже', 'приходилось', 'сталкиваться', 'с', 'подобными', 'случаями']	['We', 'have', 'already', 'had', 'experience', 'of', 'such.”']
14	“So much so,” I remarked, “that of the last six cases which I have added to my notes, three have been entirely free of any legal crime.”    	 — Еще бы! — воскликнул я.  — Из последних шести эпизодов, которыми я пополнил свои записки, три не содержат ничего беззаконного.   	['—', 'Еще', 'бы', '—', 'воскликнул', 'я', '—', 'Из', 'последних', 'шести', 'эпизодов', 'которыми', 'я', 'пополнил', 'свои', 'записки', 'три', 'не', 'содержат', 'ничего', 'беззаконного']	['“So', 'much', 'so,”', 'I', 'remarked', '“that', 'of', 'the', 'last', 'six', 'cases', 'which', 'I', 'have', 'added', 'to', 'my', 'notes', 'three', 'have', 'been', 'entirely', 'free', 'of', 'any', 'legal', 'crime.”']
15	“Precisely. 	 — Совершенно верно. 	['—', 'Совершенно', 'верно']	['“Precisely']
16	 You allude to my attempt to recover the Irene Adler papers, to the singular case of Miss Mary Sutherland, and to the adventure of the man with the twisted lip. 	 Вы имеете в виду мои попытки обнаружить бумаги Ирен Адлер, интересный случай с мисс Мэри Сазерлэнд и приключения человека с рассеченной губой. 	['Вы', 'имеете', 'в', 'виду', 'мои', 'попытки', 'обнаружить', 'бумаги', 'Ирен', 'Адлер', 'интересный', 'случай', 'с', 'мисс', 'Мэри', 'Сазерлэнд', 'и', 'приключения', 'человека', 'с', 'рассеченной', 'губой']	['You', 'allude', 'to', 'my', 'attempt', 'to', 'recover', 'the', 'Irene', 'Adler', 'papers', 'to', 'the', 'singular', 'case', 'of', 'Miss', 'Mary', 'Sutherland', 'and', 'to', 'the', 'adventure', 'of', 'the', 'man', 'with', 'the', 'twisted', 'lip']
17	 Well, I have no doubt that this small matter will fall into the same innocent category. 	 Не сомневаюсь, что и это дело окажется столь же невинным. 	['Не', 'сомневаюсь', 'что', 'и', 'это', 'дело', 'окажется', 'столь', 'же', 'невинным']	['Well', 'I', 'have', 'no', 'doubt', 'that', 'this', 'small', 'matter', 'will', 'fall', 'into', 'the', 'same', 'innocent', 'category']
18	 You know Peterson, the commissionaire?”    	 Вы знаете Питерсона, посыльного?   	['Вы', 'знаете', 'Питерсона', 'посыльного']	['You', 'know', 'Peterson', 'the', 'commissionaire?”']
19	“Yes.”    	 — Да.   	['—', 'Да']	['“Yes.”']
20	“It is to him that this trophy belongs.”    	 — Этот трофей принадлежит ему.   	['—', 'Этот', 'трофей', 'принадлежит', 'ему']	['“It', 'is', 'to', 'him', 'that', 'this', 'trophy', 'belongs.”']
21	“It is his hat.”    	 — Это его шляпа?   	['—', 'Это', 'его', 'шляпа']	['“It', 'is', 'his', 'hat.”']
