	en	ru	ru_tokens	en_tokens
0	X.  THE ADVENTURE OF THE NOBLE BACHELOR 	Артур Конан-Дойл Знатный холостяк 	['Артур', 'Конан-Дойл', 'Знатный', 'холостяк']	['X', 'THE', 'ADVENTURE', 'OF', 'THE', 'NOBLE', 'BACHELOR']
1	The Lord St. Simon marriage, and its curious termination, have long ceased to be a subject of interest in those exalted circles in which the unfortunate bridegroom moves. 	Женитьба лорда Сент-Саймона, закончившаяся таким удивительным образом, давно перестала занимать те круги великосветского общества, где вращается злополучный жених. 	['Женитьба', 'лорда', 'Сент-Саймона', 'закончившаяся', 'таким', 'удивительным', 'образом', 'давно', 'перестала', 'занимать', 'те', 'круги', 'великосветского', 'общества', 'где', 'вращается', 'злополучный', 'жених']	['The', 'Lord', 'St', 'Simon', 'marriage', 'and', 'its', 'curious', 'termination', 'have', 'long', 'ceased', 'to', 'be', 'a', 'subject', 'of', 'interest', 'in', 'those', 'exalted', 'circles', 'in', 'which', 'the', 'unfortunate', 'bridegroom', 'moves']
2	Fresh scandals have eclipsed it, and their more piquant details have drawn the gossips away from this four-year-old drama. 	Новые скандальные истории своими более пикантными подробностями затмили эту драму и отвлекли от нее внимание салонных болтунов, тем более что с тех пор прошло уже четыре года. 	['Новые', 'скандальные', 'истории', 'своими', 'более', 'пикантными', 'подробностями', 'затмили', 'эту', 'драму', 'и', 'отвлекли', 'от', 'нее', 'внимание', 'салонных', 'болтунов', 'тем', 'более', 'что', 'с', 'тех', 'пор', 'прошло', 'уже', 'четыре', 'года']	['Fresh', 'scandals', 'have', 'eclipsed', 'it', 'and', 'their', 'more', 'piquant', 'details', 'have', 'drawn', 'the', 'gossips', 'away', 'from', 'this', 'four-year-old', 'drama']
3	As I have reason to believe, however, that the full facts have never been revealed to the general public, and as my friend Sherlock Holmes had a considerable share in clearing the matter up, I feel that no memoir of him would be complete without some little sketch of this remarkable episode. 	Но так как я имею основание думать, что многие факты так и не дошли до широкой публики, и так как это дело прояснилось главным образом благодаря моему другу Шерлоку Холмсу, я считаю, что мои воспоминания о нем были бы неполны без краткого очерка об этом любопытном эпизоде. 	['Но', 'так', 'как', 'я', 'имею', 'основание', 'думать', 'что', 'многие', 'факты', 'так', 'и', 'не', 'дошли', 'до', 'широкой', 'публики', 'и', 'так', 'как', 'это', 'дело', 'прояснилось', 'главным', 'образом', 'благодаря', 'моему', 'другу', 'Шерлоку', 'Холмсу', 'я', 'считаю', 'что', 'мои', 'воспоминания', 'о', 'нем', 'были', 'бы', 'неполны', 'без', 'краткого', 'очерка', 'об', 'этом', 'любопытном', 'эпизоде']	['As', 'I', 'have', 'reason', 'to', 'believe', 'however', 'that', 'the', 'full', 'facts', 'have', 'never', 'been', 'revealed', 'to', 'the', 'general', 'public', 'and', 'as', 'my', 'friend', 'Sherlock', 'Holmes', 'had', 'a', 'considerable', 'share', 'in', 'clearing', 'the', 'matter', 'up', 'I', 'feel', 'that', 'no', 'memoir', 'of', 'him', 'would', 'be', 'complete', 'without', 'some', 'little', 'sketch', 'of', 'this', 'remarkable', 'episode']
4	It was a few weeks before my own marriage, during the days when I was still sharing rooms with Holmes in Baker Street, that he came home from an afternoon stroll to find a letter on the table waiting for him. 	Как-то днем, за несколько недель до моей собственной свадьбы, когда я еще жил вместе с Холмсом на Бейкер-стрит, на его имя пришло письмо. 	['Как-то', 'днем', 'за', 'несколько', 'недель', 'до', 'моей', 'собственной', 'свадьбы', 'когда', 'я', 'еще', 'жил', 'вместе', 'с', 'Холмсом', 'на', 'Бейкер-стрит', 'на', 'его', 'имя', 'пришло', 'письмо']	['It', 'was', 'a', 'few', 'weeks', 'before', 'my', 'own', 'marriage', 'during', 'the', 'days', 'when', 'I', 'was', 'still', 'sharing', 'rooms', 'with', 'Holmes', 'in', 'Baker', 'Street', 'that', 'he', 'came', 'home', 'from', 'an', 'afternoon', 'stroll', 'to', 'find', 'a', 'letter', 'on', 'the', 'table', 'waiting', 'for', 'him']
5	I had remained indoors all day, for the weather had taken a sudden turn to rain, with high autumnal winds, and the Jezail bullet which I had brought back in one of my limbs as a relic of my Afghan campaign throbbed with dull persistence. 	Холмса не было дома, он где-то бродил после обеда, я же весь день сидел в комнате, потому что погода внезапно испортилась, поднялся сильный осенний ветер, пошел дождь, и застрявшая в ноге пуля, которую я привез с собой на память об афганском походе, напоминала о себе тупой непрерывной болью. 	['Холмса', 'не', 'было', 'дома', 'он', 'где-то', 'бродил', 'после', 'обеда', 'я', 'же', 'весь', 'день', 'сидел', 'в', 'комнате', 'потому', 'что', 'погода', 'внезапно', 'испортилась', 'поднялся', 'сильный', 'осенний', 'ветер', 'пошел', 'дождь', 'и', 'застрявшая', 'в', 'ноге', 'пуля', 'которую', 'я', 'привез', 'с', 'собой', 'на', 'память', 'об', 'афганском', 'походе', 'напоминала', 'о', 'себе', 'тупой', 'непрерывной', 'болью']	['I', 'had', 'remained', 'indoors', 'all', 'day', 'for', 'the', 'weather', 'had', 'taken', 'a', 'sudden', 'turn', 'to', 'rain', 'with', 'high', 'autumnal', 'winds', 'and', 'the', 'Jezail', 'bullet', 'which', 'I', 'had', 'brought', 'back', 'in', 'one', 'of', 'my', 'limbs', 'as', 'a', 'relic', 'of', 'my', 'Afghan', 'campaign', 'throbbed', 'with', 'dull', 'persistence']
6	With my body in one easy-chair and my legs upon another, I had surrounded myself with a cloud of newspapers until at last, saturated with the news of the day, I tossed them all aside and lay listless, watching the huge crest and monogram upon the envelope upon the table and wondering lazily who my friend’s noble correspondent could be. 	Удобно усевшись в одном кресле и положив ноги на другое, я занялся чтением газет, но потом, пресыщенный злободневными новостями, отшвырнул весь этот бумажный ворох в сторону и от нечего делать стал разглядывать лежавшее на столе письмо. Огромный герб и монограмма красовались на конверте, и я лениво размышлял о том, какая же это важная особа состоит в переписке с моим другом. 	['Удобно', 'усевшись', 'в', 'одном', 'кресле', 'и', 'положив', 'ноги', 'на', 'другое', 'я', 'занялся', 'чтением', 'газет', 'но', 'потом', 'пресыщенный', 'злободневными', 'новостями', 'отшвырнул', 'весь', 'этот', 'бумажный', 'ворох', 'в', 'сторону', 'и', 'от', 'нечего', 'делать', 'стал', 'разглядывать', 'лежавшее', 'на', 'столе', 'письмо', 'Огромный', 'герб', 'и', 'монограмма', 'красовались', 'на', 'конверте', 'и', 'я', 'лениво', 'размышлял', 'о', 'том', 'какая', 'же', 'это', 'важная', 'особа', 'состоит', 'в', 'переписке', 'с', 'моим', 'другом']	['With', 'my', 'body', 'in', 'one', 'easy-chair', 'and', 'my', 'legs', 'upon', 'another', 'I', 'had', 'surrounded', 'myself', 'with', 'a', 'cloud', 'of', 'newspapers', 'until', 'at', 'last', 'saturated', 'with', 'the', 'news', 'of', 'the', 'day', 'I', 'tossed', 'them', 'all', 'aside', 'and', 'lay', 'listless', 'watching', 'the', 'huge', 'crest', 'and', 'monogram', 'upon', 'the', 'envelope', 'upon', 'the', 'table', 'and', 'wondering', 'lazily', 'who', 'my', 'friend’s', 'noble', 'correspondent', 'could', 'be']
7	“Here is a very fashionable epistle,” I remarked as he entered. 	— Вас ждет великосветское послание, — сообщил я Холмсу, когда он вошел в комнату. 	['—', 'Вас', 'ждет', 'великосветское', 'послание', '—', 'сообщил', 'я', 'Холмсу', 'когда', 'он', 'вошел', 'в', 'комнату']	['“Here', 'is', 'a', 'very', 'fashionable', 'epistle,”', 'I', 'remarked', 'as', 'he', 'entered']
8	“Your morning letters, if I remember right, were from a fish-monger and a tide-waiter.” 	— А с утренней почтой вы, если не ошибаюсь, получили письма от торговца рыбой и таможенного чиновника? 	['—', 'А', 'с', 'утренней', 'почтой', 'вы', 'если', 'не', 'ошибаюсь', 'получили', 'письма', 'от', 'торговца', 'рыбой', 'и', 'таможенного', 'чиновника']	['“Your', 'morning', 'letters', 'if', 'I', 'remember', 'right', 'were', 'from', 'a', 'fish-monger', 'and', 'a', 'tide-waiter.”']
9	“Yes, my correspondence has certainly the charm of variety,” he answered, smiling, “and the humbler are usually the more interesting. 	— Вся прелесть моей корреспонденции именно в ее разнообразии, — ответил он улыбаясь, — и в большинстве случаев, чем скромнее автор письма, тем интереснее письмо. 	['—', 'Вся', 'прелесть', 'моей', 'корреспонденции', 'именно', 'в', 'ее', 'разнообразии', '—', 'ответил', 'он', 'улыбаясь', '—', 'и', 'в', 'большинстве', 'случаев', 'чем', 'скромнее', 'автор', 'письма', 'тем', 'интереснее', 'письмо']	['“Yes', 'my', 'correspondence', 'has', 'certainly', 'the', 'charm', 'of', 'variety,”', 'he', 'answered', 'smiling', '“and', 'the', 'humbler', 'are', 'usually', 'the', 'more', 'interesting']
