	en	ru	ru_tokens	en_tokens
0	XII.  THE ADVENTURE OF THE COPPER BEECHES 	Артур Конан-Дойл «Медные буки» 	['Артур', 'Конан-Дойл', '«Медные', 'буки»']	['XII', 'THE', 'ADVENTURE', 'OF', 'THE', 'COPPER', 'BEECHES']
1	“To the man who loves art for its own sake,” remarked Sherlock Holmes, tossing aside the advertisement sheet of the Daily Telegraph, “it is frequently in its least important and lowliest manifestations that the keenest pleasure is to be derived. 	— Человек, который любит искусство ради искусства, — заговорил Шерлок Холмс, отбрасывая в сторону страницу с объявлениями из «Дейли телеграф», — самое большое удовольствие зачастую черпает из наименее значительных и ярких его проявлений. 	['—', 'Человек', 'который', 'любит', 'искусство', 'ради', 'искусства', '—', 'заговорил', 'Шерлок', 'Холмс', 'отбрасывая', 'в', 'сторону', 'страницу', 'с', 'объявлениями', 'из', '«Дейли', 'телеграф»', '—', 'самое', 'большое', 'удовольствие', 'зачастую', 'черпает', 'из', 'наименее', 'значительных', 'и', 'ярких', 'его', 'проявлений']	['“To', 'the', 'man', 'who', 'loves', 'art', 'for', 'its', 'own', 'sake,”', 'remarked', 'Sherlock', 'Holmes', 'tossing', 'aside', 'the', 'advertisement', 'sheet', 'of', 'the', 'Daily', 'Telegraph', '“it', 'is', 'frequently', 'in', 'its', 'least', 'important', 'and', 'lowliest', 'manifestations', 'that', 'the', 'keenest', 'pleasure', 'is', 'to', 'be', 'derived']
2	It is pleasant to me to observe, Watson, that you have so far grasped this truth that in these little records of our cases which you have been good enough to draw up, and, I am bound to say, occasionally to embellish, you have given prominence not so much to the many causes célèbres and sensational trials in which I have figured but rather to those incidents which may have been trivial in themselves, but which have given room for those faculties of deduction and of logical synthesis which I have made my special province.” 	Отрадно заметить, что вы, Уотсон, хорошо усвоили эту истину при изложении наших скромных подвигов, которые по доброте своей вы решились увековечить и, вынужден констатировать, порой пытаетесь приукрашивать, уделяете внимание не столько громким делам и сенсационным процессам, в коих я имел честь принимать участие, сколько случаям самим по себе незначительным, но зато предоставляющим большие возможности для дедуктивных методов мышления и логического синтеза, что особенно меня интересует. 	['Отрадно', 'заметить', 'что', 'вы', 'Уотсон', 'хорошо', 'усвоили', 'эту', 'истину', 'при', 'изложении', 'наших', 'скромных', 'подвигов', 'которые', 'по', 'доброте', 'своей', 'вы', 'решились', 'увековечить', 'и', 'вынужден', 'констатировать', 'порой', 'пытаетесь', 'приукрашивать', 'уделяете', 'внимание', 'не', 'столько', 'громким', 'делам', 'и', 'сенсационным', 'процессам', 'в', 'коих', 'я', 'имел', 'честь', 'принимать', 'участие', 'сколько', 'случаям', 'самим', 'по', 'себе', 'незначительным', 'но', 'зато', 'предоставляющим', 'большие', 'возможности', 'для', 'дедуктивных', 'методов', 'мышления', 'и', 'логического', 'синтеза', 'что', 'особенно', 'меня', 'интересует']	['It', 'is', 'pleasant', 'to', 'me', 'to', 'observe', 'Watson', 'that', 'you', 'have', 'so', 'far', 'grasped', 'this', 'truth', 'that', 'in', 'these', 'little', 'records', 'of', 'our', 'cases', 'which', 'you', 'have', 'been', 'good', 'enough', 'to', 'draw', 'up', 'and', 'I', 'am', 'bound', 'to', 'say', 'occasionally', 'to', 'embellish', 'you', 'have', 'given', 'prominence', 'not', 'so', 'much', 'to', 'the', 'many', 'causes', 'célèbres', 'and', 'sensational', 'trials', 'in', 'which', 'I', 'have', 'figured', 'but', 'rather', 'to', 'those', 'incidents', 'which', 'may', 'have', 'been', 'trivial', 'in', 'themselves', 'but', 'which', 'have', 'given', 'room', 'for', 'those', 'faculties', 'of', 'deduction', 'and', 'of', 'logical', 'synthesis', 'which', 'I', 'have', 'made', 'my', 'special', 'province.”']
3	“And yet,” said I, smiling, “I cannot quite hold myself absolved from the charge of sensationalism which has been urged against my records.” 	— Тем не менее, — улыбнулся я, — не смею утверждать, что в моих записках вовсе отсутствует стремление к сенсационности. 	['—', 'Тем', 'не', 'менее', '—', 'улыбнулся', 'я', '—', 'не', 'смею', 'утверждать', 'что', 'в', 'моих', 'записках', 'вовсе', 'отсутствует', 'стремление', 'к', 'сенсационности']	['“And', 'yet,”', 'said', 'I', 'smiling', '“I', 'cannot', 'quite', 'hold', 'myself', 'absolved', 'from', 'the', 'charge', 'of', 'sensationalism', 'which', 'has', 'been', 'urged', 'against', 'my', 'records.”']
4	“You have erred, perhaps,” he observed, taking up a glowing cinder with the tongs and lighting with it the long cherry-wood pipe which was wont to replace his clay when he was in a disputatious rather than a meditative mood—“you have erred perhaps in attempting to put colour and life into each of your statements instead of confining yourself to the task of placing upon record that severe reasoning from cause to effect which is really the only notable feature about the thing.” 	— Возможно, вы и ошибаетесь, — продолжал он, подхватив щипцами тлеющий уголек и раскуривая длинную трубку вишневого дерева, которая заменяла глиняную в те дни, когда он был настроен скорее спорить, нежели размышлять, — возможно, вы и ошибаетесь, стараясь приукрасить и оживить ваши записки вместо того, чтобы ограничиться сухим анализом причин и следствий, который единственно может вызывать интерес в том или ином деле. 	['—', 'Возможно', 'вы', 'и', 'ошибаетесь', '—', 'продолжал', 'он', 'подхватив', 'щипцами', 'тлеющий', 'уголек', 'и', 'раскуривая', 'длинную', 'трубку', 'вишневого', 'дерева', 'которая', 'заменяла', 'глиняную', 'в', 'те', 'дни', 'когда', 'он', 'был', 'настроен', 'скорее', 'спорить', 'нежели', 'размышлять', '—', 'возможно', 'вы', 'и', 'ошибаетесь', 'стараясь', 'приукрасить', 'и', 'оживить', 'ваши', 'записки', 'вместо', 'того', 'чтобы', 'ограничиться', 'сухим', 'анализом', 'причин', 'и', 'следствий', 'который', 'единственно', 'может', 'вызывать', 'интерес', 'в', 'том', 'или', 'ином', 'деле']	['“You', 'have', 'erred', 'perhaps,”', 'he', 'observed', 'taking', 'up', 'a', 'glowing', 'cinder', 'with', 'the', 'tongs', 'and', 'lighting', 'with', 'it', 'the', 'long', 'cherry-wood', 'pipe', 'which', 'was', 'wont', 'to', 'replace', 'his', 'clay', 'when', 'he', 'was', 'in', 'a', 'disputatious', 'rather', 'than', 'a', 'meditative', 'mood—“you', 'have', 'erred', 'perhaps', 'in', 'attempting', 'to', 'put', 'colour', 'and', 'life', 'into', 'each', 'of', 'your', 'statements', 'instead', 'of', 'confining', 'yourself', 'to', 'the', 'task', 'of', 'placing', 'upon', 'record', 'that', 'severe', 'reasoning', 'from', 'cause', 'to', 'effect', 'which', 'is', 'really', 'the', 'only', 'notable', 'feature', 'about', 'the', 'thing.”']
5	“It seems to me that I have done you full justice in the matter,” I remarked with some coldness, for I was repelled by the egotism which I had more than once observed to be a strong factor in my friend’s singular character. 	— Мне кажется, в своих записках я отдаю вам должное, — несколько холодно возразил я, ибо меня раздражало самомнение моего друга, которое, как я неоднократно убеждался, было весьма приметной чертой в его своеобразном характере. 	['—', 'Мне', 'кажется', 'в', 'своих', 'записках', 'я', 'отдаю', 'вам', 'должное', '—', 'несколько', 'холодно', 'возразил', 'я', 'ибо', 'меня', 'раздражало', 'самомнение', 'моего', 'друга', 'которое', 'как', 'я', 'неоднократно', 'убеждался', 'было', 'весьма', 'приметной', 'чертой', 'в', 'его', 'своеобразном', 'характере']	['“It', 'seems', 'to', 'me', 'that', 'I', 'have', 'done', 'you', 'full', 'justice', 'in', 'the', 'matter,”', 'I', 'remarked', 'with', 'some', 'coldness', 'for', 'I', 'was', 'repelled', 'by', 'the', 'egotism', 'which', 'I', 'had', 'more', 'than', 'once', 'observed', 'to', 'be', 'a', 'strong', 'factor', 'in', 'my', 'friend’s', 'singular', 'character']
6	“No, it is not selfishness or conceit,” said he, answering, as was his wont, my thoughts rather than my words. 	— Нет, это не эгоизм и не тщеславие, — сказал он, отвечая по привычке скорее моим мыслям, чем моим словам. 	['—', 'Нет', 'это', 'не', 'эгоизм', 'и', 'не', 'тщеславие', '—', 'сказал', 'он', 'отвечая', 'по', 'привычке', 'скорее', 'моим', 'мыслям', 'чем', 'моим', 'словам']	['“No', 'it', 'is', 'not', 'selfishness', 'or', 'conceit,”', 'said', 'he', 'answering', 'as', 'was', 'his', 'wont', 'my', 'thoughts', 'rather', 'than', 'my', 'words']
7	“If I claim full justice for my art, it is because it is an impersonal thing—a thing beyond myself. 	— Если я прошу отдать должное моему искусству, то это не имеет никакого отношения ко мне лично, оно — вне меня. 	['—', 'Если', 'я', 'прошу', 'отдать', 'должное', 'моему', 'искусству', 'то', 'это', 'не', 'имеет', 'никакого', 'отношения', 'ко', 'мне', 'лично', 'оно', '—', 'вне', 'меня']	['“If', 'I', 'claim', 'full', 'justice', 'for', 'my', 'art', 'it', 'is', 'because', 'it', 'is', 'an', 'impersonal', 'thing—a', 'thing', 'beyond', 'myself']
8	Crime is common. 	Преступление — вещь повседневная. 	['Преступление', '—', 'вещь', 'повседневная']	['Crime', 'is', 'common']
9	Logic is rare. 	Логика — редкая. 	['Логика', '—', 'редкая']	['Logic', 'is', 'rare']
10	Therefore it is upon the logic rather than upon the crime that you should dwell. 	Именно на логике, а не преступлении вам и следовало бы сосредоточиться. 	['Именно', 'на', 'логике', 'а', 'не', 'преступлении', 'вам', 'и', 'следовало', 'бы', 'сосредоточиться']	['Therefore', 'it', 'is', 'upon', 'the', 'logic', 'rather', 'than', 'upon', 'the', 'crime', 'that', 'you', 'should', 'dwell']
11	You have degraded what should have been a course of lectures into a series of tales.” 	А у вас курс серьезных лекций превратился в сборник занимательных рассказов. 	['А', 'у', 'вас', 'курс', 'серьезных', 'лекций', 'превратился', 'в', 'сборник', 'занимательных', 'рассказов']	['You', 'have', 'degraded', 'what', 'should', 'have', 'been', 'a', 'course', 'of', 'lectures', 'into', 'a', 'series', 'of', 'tales.”']
12	It was a cold morning of the early spring, and we sat after breakfast on either side of a cheery fire in the old room at Baker Street. 	Было холодное утро начала весны; покончив с завтраком, мы сидели возле ярко пылавшего камина в нашей квартире на Бейкер-стрит. 	['Было', 'холодное', 'утро', 'начала', 'весны', 'покончив', 'с', 'завтраком', 'мы', 'сидели', 'возле', 'ярко', 'пылавшего', 'камина', 'в', 'нашей', 'квартире', 'на', 'Бейкер-стрит']	['It', 'was', 'a', 'cold', 'morning', 'of', 'the', 'early', 'spring', 'and', 'we', 'sat', 'after', 'breakfast', 'on', 'either', 'side', 'of', 'a', 'cheery', 'fire', 'in', 'the', 'old', 'room', 'at', 'Baker', 'Street']
13	A thick fog rolled down between the lines of dun-coloured houses, and the opposing windows loomed like dark, shapeless blurs through the heavy yellow wreaths. 	Густой туман повис между рядами сумрачных домов, и лишь окна напротив тусклыми, расплывшимися пятнами маячили в темно-желтой мгле. 	['Густой', 'туман', 'повис', 'между', 'рядами', 'сумрачных', 'домов', 'и', 'лишь', 'окна', 'напротив', 'тусклыми', 'расплывшимися', 'пятнами', 'маячили', 'в', 'темно-желтой', 'мгле']	['A', 'thick', 'fog', 'rolled', 'down', 'between', 'the', 'lines', 'of', 'dun-coloured', 'houses', 'and', 'the', 'opposing', 'windows', 'loomed', 'like', 'dark', 'shapeless', 'blurs', 'through', 'the', 'heavy', 'yellow', 'wreaths']
14	Our gas was lit and shone on the white cloth and glimmer of china and metal, for the table had not been cleared yet. 	У нас горел свет, и блики его играли на белой скатерти и на посуде — со стола еще не убирали. 	['У', 'нас', 'горел', 'свет', 'и', 'блики', 'его', 'играли', 'на', 'белой', 'скатерти', 'и', 'на', 'посуде', '—', 'со', 'стола', 'еще', 'не', 'убирали']	['Our', 'gas', 'was', 'lit', 'and', 'shone', 'on', 'the', 'white', 'cloth', 'and', 'glimmer', 'of', 'china', 'and', 'metal', 'for', 'the', 'table', 'had', 'not', 'been', 'cleared', 'yet']
15	Sherlock Holmes had been silent all the morning, dipping continuously into the advertisement columns of a succession of papers until at last, having apparently given up his search, he had emerged in no very sweet temper to lecture me upon my literary shortcomings. 	Все утро Шерлок Холмс молчал, сосредоточенно просматривая газетные объявления, пока наконец, по-видимому, отказавшись от поисков и пребывая не в лучшем из настроений, не принялся читать мне нравоучения по поводу моих литературных занятий. 	['Все', 'утро', 'Шерлок', 'Холмс', 'молчал', 'сосредоточенно', 'просматривая', 'газетные', 'объявления', 'пока', 'наконец', 'по-видимому', 'отказавшись', 'от', 'поисков', 'и', 'пребывая', 'не', 'в', 'лучшем', 'из', 'настроений', 'не', 'принялся', 'читать', 'мне', 'нравоучения', 'по', 'поводу', 'моих', 'литературных', 'занятий']	['Sherlock', 'Holmes', 'had', 'been', 'silent', 'all', 'the', 'morning', 'dipping', 'continuously', 'into', 'the', 'advertisement', 'columns', 'of', 'a', 'succession', 'of', 'papers', 'until', 'at', 'last', 'having', 'apparently', 'given', 'up', 'his', 'search', 'he', 'had', 'emerged', 'in', 'no', 'very', 'sweet', 'temper', 'to', 'lecture', 'me', 'upon', 'my', 'literary', 'shortcomings']
16	“At the same time,” he remarked after a pause, during which he had sat puffing at his long pipe and gazing down into the fire, “you can hardly be open to a charge of sensationalism, for out of these cases which you have been so kind as to interest yourself in, a fair proportion do not treat of crime, in its legal sense, at all. 	— В то же время, — после паузы продолжал он, попыхивая своей длинной трубкой и задумчиво глядя в огонь, — вас вряд ли можно обвинить в стремлении к сенсационности, ибо большинство тех случаев, к которым вы столь любезно проявили интерес, вовсе не представляет собой преступления. 	['—', 'В', 'то', 'же', 'время', '—', 'после', 'паузы', 'продолжал', 'он', 'попыхивая', 'своей', 'длинной', 'трубкой', 'и', 'задумчиво', 'глядя', 'в', 'огонь', '—', 'вас', 'вряд', 'ли', 'можно', 'обвинить', 'в', 'стремлении', 'к', 'сенсационности', 'ибо', 'большинство', 'тех', 'случаев', 'к', 'которым', 'вы', 'столь', 'любезно', 'проявили', 'интерес', 'вовсе', 'не', 'представляет', 'собой', 'преступления']	['“At', 'the', 'same', 'time,”', 'he', 'remarked', 'after', 'a', 'pause', 'during', 'which', 'he', 'had', 'sat', 'puffing', 'at', 'his', 'long', 'pipe', 'and', 'gazing', 'down', 'into', 'the', 'fire', '“you', 'can', 'hardly', 'be', 'open', 'to', 'a', 'charge', 'of', 'sensationalism', 'for', 'out', 'of', 'these', 'cases', 'which', 'you', 'have', 'been', 'so', 'kind', 'as', 'to', 'interest', 'yourself', 'in', 'a', 'fair', 'proportion', 'do', 'not', 'treat', 'of', 'crime', 'in', 'its', 'legal', 'sense', 'at', 'all']
