	en	ru	ru_tokens	en_tokens
0	IX.  THE ADVENTURE OF THE ENGINEER’S THUMB 	Артур Конан-Дойл Палец инженера 	['Артур', 'Конан-Дойл', 'Палец', 'инженера']	['IX', 'THE', 'ADVENTURE', 'OF', 'THE', 'ENGINEER’S', 'THUMB']
1	Of all the problems which have been submitted to my friend, Mr. Sherlock Holmes, for solution during the years of our intimacy, there were only two which I was the means of introducing to his notice—that of Mr. Hatherley’s thumb, and that of Colonel Warburton’s madness. 	Из всех задач, какие приходилось решать моему другу мистеру Шерлоку Холмсу, мною его вниманию было предложено лишь две, а именно: случай, когда мистер Хэдерли лишился большого пальца, и происшествие с обезумевшим полковником Уорбэртоном. 	['Из', 'всех', 'задач', 'какие', 'приходилось', 'решать', 'моему', 'другу', 'мистеру', 'Шерлоку', 'Холмсу', 'мною', 'его', 'вниманию', 'было', 'предложено', 'лишь', 'две', 'а', 'именно', 'случай', 'когда', 'мистер', 'Хэдерли', 'лишился', 'большого', 'пальца', 'и', 'происшествие', 'с', 'обезумевшим', 'полковником', 'Уорбэртоном']	['Of', 'all', 'the', 'problems', 'which', 'have', 'been', 'submitted', 'to', 'my', 'friend', 'Mr', 'Sherlock', 'Holmes', 'for', 'solution', 'during', 'the', 'years', 'of', 'our', 'intimacy', 'there', 'were', 'only', 'two', 'which', 'I', 'was', 'the', 'means', 'of', 'introducing', 'to', 'his', 'notice—that', 'of', 'Mr', 'Hatherley’s', 'thumb', 'and', 'that', 'of', 'Colonel', 'Warburton’s', 'madness']
2	Of these the latter may have afforded a finer field for an acute and original observer, but the other was so strange in its inception and so dramatic in its details that it may be the more worthy of being placed upon record, even if it gave my friend fewer openings for those deductive methods of reasoning by which he achieved such remarkable results. 	Последняя представляла собой обширное поле деятельности для тонкого и самобытного наблюдателя, зато первая оказалась столь своеобразной и столь драматичной по своим подробностям, что скорее заслуживает изложения в моих записках, хотя и не позволила моему приятелю применить те дедуктивные методы мышления, благодаря которым он неоднократно добивался таких примечательных результатов. 	['Последняя', 'представляла', 'собой', 'обширное', 'поле', 'деятельности', 'для', 'тонкого', 'и', 'самобытного', 'наблюдателя', 'зато', 'первая', 'оказалась', 'столь', 'своеобразной', 'и', 'столь', 'драматичной', 'по', 'своим', 'подробностям', 'что', 'скорее', 'заслуживает', 'изложения', 'в', 'моих', 'записках', 'хотя', 'и', 'не', 'позволила', 'моему', 'приятелю', 'применить', 'те', 'дедуктивные', 'методы', 'мышления', 'благодаря', 'которым', 'он', 'неоднократно', 'добивался', 'таких', 'примечательных', 'результатов']	['Of', 'these', 'the', 'latter', 'may', 'have', 'afforded', 'a', 'finer', 'field', 'for', 'an', 'acute', 'and', 'original', 'observer', 'but', 'the', 'other', 'was', 'so', 'strange', 'in', 'its', 'inception', 'and', 'so', 'dramatic', 'in', 'its', 'details', 'that', 'it', 'may', 'be', 'the', 'more', 'worthy', 'of', 'being', 'placed', 'upon', 'record', 'even', 'if', 'it', 'gave', 'my', 'friend', 'fewer', 'openings', 'for', 'those', 'deductive', 'methods', 'of', 'reasoning', 'by', 'which', 'he', 'achieved', 'such', 'remarkable', 'results']
3	The story has, I believe, been told more than once in the newspapers, but, like all such narratives, its effect is much less striking when set forth en bloc in a single half-column of print than when the facts slowly evolve before your own eyes, and the mystery clears gradually away as each new discovery furnishes a step which leads on to the complete truth. 	Об этой истории, мне помнится, не раз писали газеты, но, как и все подобные события, втиснутая в газетный столбец, она казалась значительно менее увлекательной, нежели тогда, когда ее рассказывал участник событий, и действие как бы медленно развертывалось перед нашими глазами, и мы шаг за шагом проникали в тайну и приближались к истине. 	['Об', 'этой', 'истории', 'мне', 'помнится', 'не', 'раз', 'писали', 'газеты', 'но', 'как', 'и', 'все', 'подобные', 'события', 'втиснутая', 'в', 'газетный', 'столбец', 'она', 'казалась', 'значительно', 'менее', 'увлекательной', 'нежели', 'тогда', 'когда', 'ее', 'рассказывал', 'участник', 'событий', 'и', 'действие', 'как', 'бы', 'медленно', 'развертывалось', 'перед', 'нашими', 'глазами', 'и', 'мы', 'шаг', 'за', 'шагом', 'проникали', 'в', 'тайну', 'и', 'приближались', 'к', 'истине']	['The', 'story', 'has', 'I', 'believe', 'been', 'told', 'more', 'than', 'once', 'in', 'the', 'newspapers', 'but', 'like', 'all', 'such', 'narratives', 'its', 'effect', 'is', 'much', 'less', 'striking', 'when', 'set', 'forth', 'en', 'bloc', 'in', 'a', 'single', 'half-column', 'of', 'print', 'than', 'when', 'the', 'facts', 'slowly', 'evolve', 'before', 'your', 'own', 'eyes', 'and', 'the', 'mystery', 'clears', 'gradually', 'away', 'as', 'each', 'new', 'discovery', 'furnishes', 'a', 'step', 'which', 'leads', 'on', 'to', 'the', 'complete', 'truth']
4	At the time the circumstances made a deep impression upon me, and the lapse of two years has hardly served to weaken the effect. 	В свое время обстоятельства этого дела произвели на меня глубокое впечатление, и прошедшие с тех пор два года ничуть не ослабили этот эффект. 	['В', 'свое', 'время', 'обстоятельства', 'этого', 'дела', 'произвели', 'на', 'меня', 'глубокое', 'впечатление', 'и', 'прошедшие', 'с', 'тех', 'пор', 'два', 'года', 'ничуть', 'не', 'ослабили', 'этот', 'эффект']	['At', 'the', 'time', 'the', 'circumstances', 'made', 'a', 'deep', 'impression', 'upon', 'me', 'and', 'the', 'lapse', 'of', 'two', 'years', 'has', 'hardly', 'served', 'to', 'weaken', 'the', 'effect']
5	It was in the summer of ’89, not long after my marriage, that the events occurred which I am now about to summarise. 	События, о которых я хочу рассказать, произошли летом 1889 года, вскоре после моей женитьбы. 	['События', 'о', 'которых', 'я', 'хочу', 'рассказать', 'произошли', 'летом', '1889', 'года', 'вскоре', 'после', 'моей', 'женитьбы']	['It', 'was', 'in', 'the', 'summer', 'of', '’89', 'not', 'long', 'after', 'my', 'marriage', 'that', 'the', 'events', 'occurred', 'which', 'I', 'am', 'now', 'about', 'to', 'summarise']
6	I had returned to civil practice and had finally abandoned Holmes in his Baker Street rooms, although I continually visited him and occasionally even persuaded him to forgo his Bohemian habits so far as to come and visit us. 	Я снова занялся врачебной практикой и навсегда распрощался с квартирой на Бейкер-стрит, хотя часто навещал Холмса и время от времени даже убеждал отказаться от богемных привычек и почаще приходить к нам. 	['Я', 'снова', 'занялся', 'врачебной', 'практикой', 'и', 'навсегда', 'распрощался', 'с', 'квартирой', 'на', 'Бейкер-стрит', 'хотя', 'часто', 'навещал', 'Холмса', 'и', 'время', 'от', 'времени', 'даже', 'убеждал', 'отказаться', 'от', 'богемных', 'привычек', 'и', 'почаще', 'приходить', 'к', 'нам']	['I', 'had', 'returned', 'to', 'civil', 'practice', 'and', 'had', 'finally', 'abandoned', 'Holmes', 'in', 'his', 'Baker', 'Street', 'rooms', 'although', 'I', 'continually', 'visited', 'him', 'and', 'occasionally', 'even', 'persuaded', 'him', 'to', 'forgo', 'his', 'Bohemian', 'habits', 'so', 'far', 'as', 'to', 'come', 'and', 'visit', 'us']
7	My practice had steadily increased, and as I happened to live at no very great distance from Paddington Station, I got a few patients from among the officials. 	Практика моя неуклонно росла, а поскольку я жил неподалеку от Паддингтона, то среди пациентов у меня было несколько служащих этого вокзала. 	['Практика', 'моя', 'неуклонно', 'росла', 'а', 'поскольку', 'я', 'жил', 'неподалеку', 'от', 'Паддингтона', 'то', 'среди', 'пациентов', 'у', 'меня', 'было', 'несколько', 'служащих', 'этого', 'вокзала']	['My', 'practice', 'had', 'steadily', 'increased', 'and', 'as', 'I', 'happened', 'to', 'live', 'at', 'no', 'very', 'great', 'distance', 'from', 'Paddington', 'Station', 'I', 'got', 'a', 'few', 'patients', 'from', 'among', 'the', 'officials']
8	One of these, whom I had cured of a painful and lingering disease, was never weary of advertising my virtues and of endeavouring to send me on every sufferer over whom he might have any influence. 	Один из них, которого мне удалось вылечить от тяжелой, изнурительной болезни, без устали рекламировал мои достоинства и посылал ко мне каждого страждущего, кого он был способен уговорить обратиться к врачу. 	['Один', 'из', 'них', 'которого', 'мне', 'удалось', 'вылечить', 'от', 'тяжелой', 'изнурительной', 'болезни', 'без', 'устали', 'рекламировал', 'мои', 'достоинства', 'и', 'посылал', 'ко', 'мне', 'каждого', 'страждущего', 'кого', 'он', 'был', 'способен', 'уговорить', 'обратиться', 'к', 'врачу']	['One', 'of', 'these', 'whom', 'I', 'had', 'cured', 'of', 'a', 'painful', 'and', 'lingering', 'disease', 'was', 'never', 'weary', 'of', 'advertising', 'my', 'virtues', 'and', 'of', 'endeavouring', 'to', 'send', 'me', 'on', 'every', 'sufferer', 'over', 'whom', 'he', 'might', 'have', 'any', 'influence']
9	One morning, at a little before seven o’clock, I was awakened by the maid tapping at the door to announce that two men had come from Paddington and were waiting in the consulting-room. 	Однажды утром, часов около семи, меня разбудила, постучав в дверь, наша служанка. Она сказала, что с Паддингтона пришли двое мужчин и ждут меня в кабинете. 	['Однажды', 'утром', 'часов', 'около', 'семи', 'меня', 'разбудила', 'постучав', 'в', 'дверь', 'наша', 'служанка', 'Она', 'сказала', 'что', 'с', 'Паддингтона', 'пришли', 'двое', 'мужчин', 'и', 'ждут', 'меня', 'в', 'кабинете']	['One', 'morning', 'at', 'a', 'little', 'before', 'seven', 'o’clock', 'I', 'was', 'awakened', 'by', 'the', 'maid', 'tapping', 'at', 'the', 'door', 'to', 'announce', 'that', 'two', 'men', 'had', 'come', 'from', 'Paddington', 'and', 'were', 'waiting', 'in', 'the', 'consulting-room']
