	en	ru	ru_tokens	en_tokens
0	VIII.  THE ADVENTURE OF THE SPECKLED BAND 	Артур Конан-Дойл Пестрая лента 	['Артур', 'Конан-Дойл', 'Пестрая', 'лента']	['VIII', 'THE', 'ADVENTURE', 'OF', 'THE', 'SPECKLED', 'BAND']
1	On glancing over my notes of the seventy odd cases in which I have during the last eight years studied the methods of my friend Sherlock Holmes, I find many tragic, some comic, a large number merely strange, but none commonplace; for, working as he did rather for the love of his art than for the acquirement of wealth, he refused to associate himself with any investigation which did not tend towards the unusual, and even the fantastic. Of all these varied cases, however, I cannot recall any which presented more singular features than that which was associated with the well-known Surrey family of the Roylotts of Stoke Moran. The events in question occurred in the early days of my association with Holmes, when we were sharing rooms as bachelors in Baker Street. It is possible that I might have placed them upon record before, but a promise of secrecy was made at the time, from which I have only been freed during the last month by the untimely death of the lady to whom the pledge was given. It is perhaps as well that the facts should now come to light, for I have reasons to know that there are widespread rumours as to the death of Dr. Grimesby Roylott which tend to make the matter even more terrible than the truth. 	Просматривая свои записи о приключениях Шерлока Холмса, — а таких записей, которые я вел на протяжении последних восьми лет, у меня больше семидесяти, — я нахожу в них немало трагических случаев, есть среди них и забавные, есть и причудливые, но нет ни одного заурядного: работая из любви к своему искусству, а не ради денег, Холмс никогда не брался за расследование обыкновенных, будничных дел, его всегда привлекали только такие дела, в которых есть что-нибудь необычайное, а порою даже фантастическое. Особенно причудливым кажется мне дело хорошо известной в Суррее семьи Ройлоттов из Сток-Морона. Мы с Холмсом, два холостяка, жили тогда вместе на Бейкер-стрит. Вероятно, я бы и раньше опубликовал свои записи, но я дал слово держать это дело в тайне и освободился от своего слова лишь месяц назад, после безвременной кончины той женщины, которой оно было дано. Пожалуй, будет небесполезно представить это дело в истинном свете, потому что молва приписывала смерть доктора Гримсби Ройлотта еще более ужасным обстоятельствам, чем те, которые были в действительности. 	['Просматривая', 'свои', 'записи', 'о', 'приключениях', 'Шерлока', 'Холмса', '—', 'а', 'таких', 'записей', 'которые', 'я', 'вел', 'на', 'протяжении', 'последних', 'восьми', 'лет', 'у', 'меня', 'больше', 'семидесяти', '—', 'я', 'нахожу', 'в', 'них', 'немало', 'трагических', 'случаев', 'есть', 'среди', 'них', 'и', 'забавные', 'есть', 'и', 'причудливые', 'но', 'нет', 'ни', 'одного', 'заурядного', 'работая', 'из', 'любви', 'к', 'своему', 'искусству', 'а', 'не', 'ради', 'денег', 'Холмс', 'никогда', 'не', 'брался', 'за', 'расследование', 'обыкновенных', 'будничных', 'дел', 'его', 'всегда', 'привлекали', 'только', 'такие', 'дела', 'в', 'которых', 'есть', 'что-нибудь', 'необычайное', 'а', 'порою', 'даже', 'фантастическое', 'Особенно', 'причудливым', 'кажется', 'мне', 'дело', 'хорошо', 'известной', 'в', 'Суррее', 'семьи', 'Ройлоттов', 'из', 'Сток-Морона', 'Мы', 'с', 'Холмсом', 'два', 'холостяка', 'жили', 'тогда', 'вместе', 'на', 'Бейкер-стрит', 'Вероятно', 'я', 'бы', 'и', 'раньше', 'опубликовал', 'свои', 'записи', 'но', 'я', 'дал', 'слово', 'держать', 'это', 'дело', 'в', 'тайне', 'и', 'освободился', 'от', 'своего', 'слова', 'лишь', 'месяц', 'назад', 'после', 'безвременной', 'кончины', 'той', 'женщины', 'которой', 'оно', 'было', 'дано', 'Пожалуй', 'будет', 'небесполезно', 'представить', 'это', 'дело', 'в', 'истинном', 'свете', 'потому', 'что', 'молва', 'приписывала', 'смерть', 'доктора', 'Гримсби', 'Ройлотта', 'еще', 'более', 'ужасным', 'обстоятельствам', 'чем', 'те', 'которые', 'были', 'в', 'действительности']	['On', 'glancing', 'over', 'my', 'notes', 'of', 'the', 'seventy', 'odd', 'cases', 'in', 'which', 'I', 'have', 'during', 'the', 'last', 'eight', 'years', 'studied', 'the', 'methods', 'of', 'my', 'friend', 'Sherlock', 'Holmes', 'I', 'find', 'many', 'tragic', 'some', 'comic', 'a', 'large', 'number', 'merely', 'strange', 'but', 'none', 'commonplace', 'for', 'working', 'as', 'he', 'did', 'rather', 'for', 'the', 'love', 'of', 'his', 'art', 'than', 'for', 'the', 'acquirement', 'of', 'wealth', 'he', 'refused', 'to', 'associate', 'himself', 'with', 'any', 'investigation', 'which', 'did', 'not', 'tend', 'towards', 'the', 'unusual', 'and', 'even', 'the', 'fantastic', 'Of', 'all', 'these', 'varied', 'cases', 'however', 'I', 'cannot', 'recall', 'any', 'which', 'presented', 'more', 'singular', 'features', 'than', 'that', 'which', 'was', 'associated', 'with', 'the', 'well-known', 'Surrey', 'family', 'of', 'the', 'Roylotts', 'of', 'Stoke', 'Moran', 'The', 'events', 'in', 'question', 'occurred', 'in', 'the', 'early', 'days', 'of', 'my', 'association', 'with', 'Holmes', 'when', 'we', 'were', 'sharing', 'rooms', 'as', 'bachelors', 'in', 'Baker', 'Street', 'It', 'is', 'possible', 'that', 'I', 'might', 'have', 'placed', 'them', 'upon', 'record', 'before', 'but', 'a', 'promise', 'of', 'secrecy', 'was', 'made', 'at', 'the', 'time', 'from', 'which', 'I', 'have', 'only', 'been', 'freed', 'during', 'the', 'last', 'month', 'by', 'the', 'untimely', 'death', 'of', 'the', 'lady', 'to', 'whom', 'the', 'pledge', 'was', 'given', 'It', 'is', 'perhaps', 'as', 'well', 'that', 'the', 'facts', 'should', 'now', 'come', 'to', 'light', 'for', 'I', 'have', 'reasons', 'to', 'know', 'that', 'there', 'are', 'widespread', 'rumours', 'as', 'to', 'the', 'death', 'of', 'Dr', 'Grimesby', 'Roylott', 'which', 'tend', 'to', 'make', 'the', 'matter', 'even', 'more', 'terrible', 'than', 'the', 'truth']
2	It was early in April in the year ’83 that I woke one morning to find Sherlock Holmes standing, fully dressed, by the side of my bed. He was a late riser, as a rule, and as the clock on the mantelpiece showed me that it was only a quarter-past seven, I blinked up at him in some surprise, and perhaps just a little resentment, for I was myself regular in my habits. 	Проснувшись в одно апрельское утро 1883 года, я увидел, что Шерлок Холмс стоит у моей кровати. Одет он был не по-домашнему. Обычно он поднимался с постели поздно, но теперь часы на камине показывали лишь четверть восьмого. Я посмотрел на него с удивлением и даже несколько укоризненно. Сам я был верен своим привычкам. 	['Проснувшись', 'в', 'одно', 'апрельское', 'утро', '1883', 'года', 'я', 'увидел', 'что', 'Шерлок', 'Холмс', 'стоит', 'у', 'моей', 'кровати', 'Одет', 'он', 'был', 'не', 'по-домашнему', 'Обычно', 'он', 'поднимался', 'с', 'постели', 'поздно', 'но', 'теперь', 'часы', 'на', 'камине', 'показывали', 'лишь', 'четверть', 'восьмого', 'Я', 'посмотрел', 'на', 'него', 'с', 'удивлением', 'и', 'даже', 'несколько', 'укоризненно', 'Сам', 'я', 'был', 'верен', 'своим', 'привычкам']	['It', 'was', 'early', 'in', 'April', 'in', 'the', 'year', '’83', 'that', 'I', 'woke', 'one', 'morning', 'to', 'find', 'Sherlock', 'Holmes', 'standing', 'fully', 'dressed', 'by', 'the', 'side', 'of', 'my', 'bed', 'He', 'was', 'a', 'late', 'riser', 'as', 'a', 'rule', 'and', 'as', 'the', 'clock', 'on', 'the', 'mantelpiece', 'showed', 'me', 'that', 'it', 'was', 'only', 'a', 'quarter-past', 'seven', 'I', 'blinked', 'up', 'at', 'him', 'in', 'some', 'surprise', 'and', 'perhaps', 'just', 'a', 'little', 'resentment', 'for', 'I', 'was', 'myself', 'regular', 'in', 'my', 'habits']
3	“Very sorry to knock you up, Watson,” said he, “but it’s the common lot this morning. Mrs. Hudson has been knocked up, she retorted upon me, and I on you.” 	— Весьма сожалею, что разбудил вас, Уотсон, — сказал он. — Но такой уж сегодня день. Разбудили миссис Хадсон, она — меня, а я — вас. 	['—', 'Весьма', 'сожалею', 'что', 'разбудил', 'вас', 'Уотсон', '—', 'сказал', 'он', '—', 'Но', 'такой', 'уж', 'сегодня', 'день', 'Разбудили', 'миссис', 'Хадсон', 'она', '—', 'меня', 'а', 'я', '—', 'вас']	['“Very', 'sorry', 'to', 'knock', 'you', 'up', 'Watson,”', 'said', 'he', '“but', 'it’s', 'the', 'common', 'lot', 'this', 'morning', 'Mrs', 'Hudson', 'has', 'been', 'knocked', 'up', 'she', 'retorted', 'upon', 'me', 'and', 'I', 'on', 'you.”']
4	“What is it, then—a fire?” 	— Что же такое? Пожар? 	['—', 'Что', 'же', 'такое', 'Пожар']	['“What', 'is', 'it', 'then—a', 'fire?”']
5	“No; a client. It seems that a young lady has arrived in a considerable state of excitement, who insists upon seeing me. She is waiting now in the sitting-room. Now, when young ladies wander about the metropolis at this hour of the morning, and knock sleepy people up out of their beds, I presume that it is something very pressing which they have to communicate. Should it prove to be an interesting case, you would, I am sure, wish to follow it from the outset. I thought, at any rate, that I should call you and give you the chance.” 	— Нет, клиентка. Приехала какая-то девушка, она ужасно взволнована и непременно желает повидаться со мной. Она ждет в приемной. А уж если молодая дама решается в столь ранний час путешествовать по улицам столицы и поднимать с постели незнакомого человека, я полагаю, она хочет сообщить что-то очень важное. Дело может оказаться интересным, и вам, конечно, хотелось бы услышать эту историю с самого первого слова. Вот я и решил предоставить вам эту возможность. 	['—', 'Нет', 'клиентка', 'Приехала', 'какая-то', 'девушка', 'она', 'ужасно', 'взволнована', 'и', 'непременно', 'желает', 'повидаться', 'со', 'мной', 'Она', 'ждет', 'в', 'приемной', 'А', 'уж', 'если', 'молодая', 'дама', 'решается', 'в', 'столь', 'ранний', 'час', 'путешествовать', 'по', 'улицам', 'столицы', 'и', 'поднимать', 'с', 'постели', 'незнакомого', 'человека', 'я', 'полагаю', 'она', 'хочет', 'сообщить', 'что-то', 'очень', 'важное', 'Дело', 'может', 'оказаться', 'интересным', 'и', 'вам', 'конечно', 'хотелось', 'бы', 'услышать', 'эту', 'историю', 'с', 'самого', 'первого', 'слова', 'Вот', 'я', 'и', 'решил', 'предоставить', 'вам', 'эту', 'возможность']	['“No', 'a', 'client', 'It', 'seems', 'that', 'a', 'young', 'lady', 'has', 'arrived', 'in', 'a', 'considerable', 'state', 'of', 'excitement', 'who', 'insists', 'upon', 'seeing', 'me', 'She', 'is', 'waiting', 'now', 'in', 'the', 'sitting-room', 'Now', 'when', 'young', 'ladies', 'wander', 'about', 'the', 'metropolis', 'at', 'this', 'hour', 'of', 'the', 'morning', 'and', 'knock', 'sleepy', 'people', 'up', 'out', 'of', 'their', 'beds', 'I', 'presume', 'that', 'it', 'is', 'something', 'very', 'pressing', 'which', 'they', 'have', 'to', 'communicate', 'Should', 'it', 'prove', 'to', 'be', 'an', 'interesting', 'case', 'you', 'would', 'I', 'am', 'sure', 'wish', 'to', 'follow', 'it', 'from', 'the', 'outset', 'I', 'thought', 'at', 'any', 'rate', 'that', 'I', 'should', 'call', 'you', 'and', 'give', 'you', 'the', 'chance.”']
6	“My dear fellow, I would not miss it for anything.” 	— Буду счастлив услышать такую историю. 	['—', 'Буду', 'счастлив', 'услышать', 'такую', 'историю']	['“My', 'dear', 'fellow', 'I', 'would', 'not', 'miss', 'it', 'for', 'anything.”']
7	I had no keener pleasure than in following Holmes in his professional investigations, and in admiring the rapid deductions, as swift as intuitions, and yet always founded on a logical basis with which he unravelled the problems which were submitted to him. I rapidly threw on my clothes and was ready in a few minutes to accompany my friend down to the sitting-room. A lady dressed in black and heavily veiled, who had been sitting in the window, rose as we entered. 	Я не хотел большего наслаждения, как следовать за Холмсом во время его профессиональных занятий и любоваться его стремительной мыслью. Порой казалось, что он решает предлагаемые ему загадки не разумом, а каким-то вдохновенным чутьем, но на самом деле все его выводы были основаны на точной и строгой логике. Я быстро оделся, и через несколько минут мы спустились в гостиную. Дама, одетая в черное, с густой вуалью на лице, поднялась при нашем появлении. 	['Я', 'не', 'хотел', 'большего', 'наслаждения', 'как', 'следовать', 'за', 'Холмсом', 'во', 'время', 'его', 'профессиональных', 'занятий', 'и', 'любоваться', 'его', 'стремительной', 'мыслью', 'Порой', 'казалось', 'что', 'он', 'решает', 'предлагаемые', 'ему', 'загадки', 'не', 'разумом', 'а', 'каким-то', 'вдохновенным', 'чутьем', 'но', 'на', 'самом', 'деле', 'все', 'его', 'выводы', 'были', 'основаны', 'на', 'точной', 'и', 'строгой', 'логике', 'Я', 'быстро', 'оделся', 'и', 'через', 'несколько', 'минут', 'мы', 'спустились', 'в', 'гостиную', 'Дама', 'одетая', 'в', 'черное', 'с', 'густой', 'вуалью', 'на', 'лице', 'поднялась', 'при', 'нашем', 'появлении']	['I', 'had', 'no', 'keener', 'pleasure', 'than', 'in', 'following', 'Holmes', 'in', 'his', 'professional', 'investigations', 'and', 'in', 'admiring', 'the', 'rapid', 'deductions', 'as', 'swift', 'as', 'intuitions', 'and', 'yet', 'always', 'founded', 'on', 'a', 'logical', 'basis', 'with', 'which', 'he', 'unravelled', 'the', 'problems', 'which', 'were', 'submitted', 'to', 'him', 'I', 'rapidly', 'threw', 'on', 'my', 'clothes', 'and', 'was', 'ready', 'in', 'a', 'few', 'minutes', 'to', 'accompany', 'my', 'friend', 'down', 'to', 'the', 'sitting-room', 'A', 'lady', 'dressed', 'in', 'black', 'and', 'heavily', 'veiled', 'who', 'had', 'been', 'sitting', 'in', 'the', 'window', 'rose', 'as', 'we', 'entered']
8	“Good-morning, madam,” said Holmes cheerily. “My name is Sherlock Holmes. This is my intimate friend and associate, Dr. Watson, before whom you can speak as freely as before myself. Ha! I am glad to see that Mrs. Hudson has had the good sense to light the fire. Pray draw up to it, and I shall order you a cup of hot coffee, for I observe that you are shivering.” 	— Доброе утро, сударыня, — сказал Холмс приветливо. — Меня зовут Шерлок Холмс. Это мой близкий друг и помощник, доктор Уотсон, с которым вы можете быть столь же откровенны, как и со мной. Ага! Как хорошо, что миссис Хадсон догадалась затопить камин. Я вижу, вы очень продрогли. Присаживайтесь поближе к огню и разрешите предложить вам чашку кофе. 	['—', 'Доброе', 'утро', 'сударыня', '—', 'сказал', 'Холмс', 'приветливо', '—', 'Меня', 'зовут', 'Шерлок', 'Холмс', 'Это', 'мой', 'близкий', 'друг', 'и', 'помощник', 'доктор', 'Уотсон', 'с', 'которым', 'вы', 'можете', 'быть', 'столь', 'же', 'откровенны', 'как', 'и', 'со', 'мной', 'Ага', 'Как', 'хорошо', 'что', 'миссис', 'Хадсон', 'догадалась', 'затопить', 'камин', 'Я', 'вижу', 'вы', 'очень', 'продрогли', 'Присаживайтесь', 'поближе', 'к', 'огню', 'и', 'разрешите', 'предложить', 'вам', 'чашку', 'кофе']	['“Good-morning', 'madam,”', 'said', 'Holmes', 'cheerily', '“My', 'name', 'is', 'Sherlock', 'Holmes', 'This', 'is', 'my', 'intimate', 'friend', 'and', 'associate', 'Dr', 'Watson', 'before', 'whom', 'you', 'can', 'speak', 'as', 'freely', 'as', 'before', 'myself', 'Ha', 'I', 'am', 'glad', 'to', 'see', 'that', 'Mrs', 'Hudson', 'has', 'had', 'the', 'good', 'sense', 'to', 'light', 'the', 'fire', 'Pray', 'draw', 'up', 'to', 'it', 'and', 'I', 'shall', 'order', 'you', 'a', 'cup', 'of', 'hot', 'coffee', 'for', 'I', 'observe', 'that', 'you', 'are', 'shivering.”']
9	“It is not cold which makes me shiver,” said the woman in a low voice, changing her seat as requested. 	— Не холод заставляет меня дрожать, мистер Холмс, — тихо сказала женщина, подсаживаясь к камину. 	['—', 'Не', 'холод', 'заставляет', 'меня', 'дрожать', 'мистер', 'Холмс', '—', 'тихо', 'сказала', 'женщина', 'подсаживаясь', 'к', 'камину']	['“It', 'is', 'not', 'cold', 'which', 'makes', 'me', 'shiver,”', 'said', 'the', 'woman', 'in', 'a', 'low', 'voice', 'changing', 'her', 'seat', 'as', 'requested']
