	en	ru	ru_tokens	en_tokens
0	ADVENTURE  I. 	Артур Конан-Дойл    	['Артур', 'Конан-Дойл']	['ADVENTURE', 'I']
1	  A SCANDAL IN BOHEMIA   	Скандал в Богемии    	['Скандал', 'в', 'Богемии']	['A', 'SCANDAL', 'IN', 'BOHEMIA']
2	I.   	I    	['I']	['I']
3	 To Sherlock Holmes she is always the woman. 	  Для Шерлока Холмса она всегда оставалась  «Этой Женщиной». 	['Для', 'Шерлока', 'Холмса', 'она', 'всегда', 'оставалась', '«Этой', 'Женщиной»']	['To', 'Sherlock', 'Holmes', 'she', 'is', 'always', 'the', 'woman']
4	 I have seldom heard him mention her under any other name. 	 Я редко слышал, чтобы он называл ее каким-либо другим именем. 	['Я', 'редко', 'слышал', 'чтобы', 'он', 'называл', 'ее', 'каким-либо', 'другим', 'именем']	['I', 'have', 'seldom', 'heard', 'him', 'mention', 'her', 'under', 'any', 'other', 'name']
5	 In his eyes she eclipses and predominates the whole of her sex. 	 В его глазах она затмевала всех представительниц своего пола. 	['В', 'его', 'глазах', 'она', 'затмевала', 'всех', 'представительниц', 'своего', 'пола']	['In', 'his', 'eyes', 'she', 'eclipses', 'and', 'predominates', 'the', 'whole', 'of', 'her', 'sex']
6	 It was not that he felt any emotion akin to love for Irene Adler. 	 Не то чтобы он испытывал к Ирэн Адлер какое-либо чувство, близкое к любви. 	['Не', 'то', 'чтобы', 'он', 'испытывал', 'к', 'Ирэн', 'Адлер', 'какое-либо', 'чувство', 'близкое', 'к', 'любви']	['It', 'was', 'not', 'that', 'he', 'felt', 'any', 'emotion', 'akin', 'to', 'love', 'for', 'Irene', 'Adler']
7	 All emotions, and that one particularly, were abhorrent to his cold, precise but admirably balanced mind. 	 Все чувства, и особенно любовь, были ненавистны его холодному, точному, но удивительно уравновешенному уму. 	['Все', 'чувства', 'и', 'особенно', 'любовь', 'были', 'ненавистны', 'его', 'холодному', 'точному', 'но', 'удивительно', 'уравновешенному', 'уму']	['All', 'emotions', 'and', 'that', 'one', 'particularly', 'were', 'abhorrent', 'to', 'his', 'cold', 'precise', 'but', 'admirably', 'balanced', 'mind']
8	 He was, I take it, the most perfect reasoning and observing machine that the world has seen, but as a lover he would have placed himself in a false position. 	 По-моему, он был самой совершенной мыслящей и наблюдающей машиной, какую когда-либо видел мир; но в качестве влюбленного он оказался бы не на своем месте. 	['По-моему', 'он', 'был', 'самой', 'совершенной', 'мыслящей', 'и', 'наблюдающей', 'машиной', 'какую', 'когда-либо', 'видел', 'мир', 'но', 'в', 'качестве', 'влюбленного', 'он', 'оказался', 'бы', 'не', 'на', 'своем', 'месте']	['He', 'was', 'I', 'take', 'it', 'the', 'most', 'perfect', 'reasoning', 'and', 'observing', 'machine', 'that', 'the', 'world', 'has', 'seen', 'but', 'as', 'a', 'lover', 'he', 'would', 'have', 'placed', 'himself', 'in', 'a', 'false', 'position']
9	 He never spoke of the softer passions, save with a gibe and a sneer. 	 Он всегда говорил о нежных чувствах не иначе, как с презрительной насмешкой, с издевкой. 	['Он', 'всегда', 'говорил', 'о', 'нежных', 'чувствах', 'не', 'иначе', 'как', 'с', 'презрительной', 'насмешкой', 'с', 'издевкой']	['He', 'never', 'spoke', 'of', 'the', 'softer', 'passions', 'save', 'with', 'a', 'gibe', 'and', 'a', 'sneer']
10	 They were admirable things for the observer—excellent for drawing the veil from men’s motives and actions. 	 Нежные чувства были в его глазах великолепным объектом для наблюдения, превосходным средством сорвать покров с человеческих побуждений и дел. 	['Нежные', 'чувства', 'были', 'в', 'его', 'глазах', 'великолепным', 'объектом', 'для', 'наблюдения', 'превосходным', 'средством', 'сорвать', 'покров', 'с', 'человеческих', 'побуждений', 'и', 'дел']	['They', 'were', 'admirable', 'things', 'for', 'the', 'observer—excellent', 'for', 'drawing', 'the', 'veil', 'from', 'men’s', 'motives', 'and', 'actions']
