	en	ru	ru_tokens	en_tokens
0	ADVENTURE IV. THE BOSCOMBE VALLEY MYSTERY   	Артур Конан-Дойл   	['Артур', 'Конан-Дойл']	['ADVENTURE', 'IV', 'THE', 'BOSCOMBE', 'VALLEY', 'MYSTERY']
1	 We were seated at breakfast one morning, my wife and I, when the maid brought in a telegram. 	 Тайна Боскомской долины   	['Тайна', 'Боскомской', 'долины']	['We', 'were', 'seated', 'at', 'breakfast', 'one', 'morning', 'my', 'wife', 'and', 'I', 'when', 'the', 'maid', 'brought', 'in', 'a', 'telegram']
2	 It was from Sherlock Holmes and ran in this way:    	 Однажды утром, когда мы с женой завтракали, горничная подала мне телеграмму от Шерлока Холмса:   	['Однажды', 'утром', 'когда', 'мы', 'с', 'женой', 'завтракали', 'горничная', 'подала', 'мне', 'телеграмму', 'от', 'Шерлока', 'Холмса']	['It', 'was', 'from', 'Sherlock', 'Holmes', 'and', 'ran', 'in', 'this', 'way']
3	“Have you a couple of days to spare? 	   «Не можете ли вы освободиться на два дня? 	['«Не', 'можете', 'ли', 'вы', 'освободиться', 'на', 'два', 'дня']	['“Have', 'you', 'a', 'couple', 'of', 'days', 'to', 'spare']
4	 Have just been wired for from the west of England in connection with Boscombe Valley tragedy. 	 Вызван на запад Англии связи трагедией Боскомской долине. 	['Вызван', 'на', 'запад', 'Англии', 'связи', 'трагедией', 'Боскомской', 'долине']	['Have', 'just', 'been', 'wired', 'for', 'from', 'the', 'west', 'of', 'England', 'in', 'connection', 'with', 'Boscombe', 'Valley', 'tragedy']
5	 Shall be glad if you will come with me. 	 Буду рад если присоединитесь ко мне. 	['Буду', 'рад', 'если', 'присоединитесь', 'ко', 'мне']	['Shall', 'be', 'glad', 'if', 'you', 'will', 'come', 'with', 'me']
6	 Air and scenery perfect. 	 Воздух пейзаж великолепны. 	['Воздух', 'пейзаж', 'великолепны']	['Air', 'and', 'scenery', 'perfect']
7	 Leave Paddington by the 11:15.”    	 Выезжайте Паддингтона 11.15».   	['Выезжайте', 'Паддингтона', '11.15»']	['Leave', 'Paddington', 'by', 'the', '11:15.”']
8	“What do you say, dear?” said my wife, looking across at me.  “Will you go?”    	   — Ты поедешь? — ласково взглянув на меня, спросила жена.   	['—', 'Ты', 'поедешь', '—', 'ласково', 'взглянув', 'на', 'меня', 'спросила', 'жена']	['“What', 'do', 'you', 'say', 'dear?”', 'said', 'my', 'wife', 'looking', 'across', 'at', 'me', '“Will', 'you', 'go?”']
9	“I really don’t know what to say. 	 — Право, и сам не знаю. 	['—', 'Право', 'и', 'сам', 'не', 'знаю']	['“I', 'really', 'don’t', 'know', 'what', 'to', 'say']
10	 I have a fairly long list at present.”    	 Сейчас у меня очень много пациентов…   	['Сейчас', 'у', 'меня', 'очень', 'много', 'пациентов…']	['I', 'have', 'a', 'fairly', 'long', 'list', 'at', 'present.”']
11	“Oh, Anstruther would do your work for you. 	 — О, Анструзер всех их примет! 	['—', 'О', 'Анструзер', 'всех', 'их', 'примет']	['“Oh', 'Anstruther', 'would', 'do', 'your', 'work', 'for', 'you']
12	 You have been looking a little pale lately. 	 Последнее время у тебя утомленный вид. 	['Последнее', 'время', 'у', 'тебя', 'утомленный', 'вид']	['You', 'have', 'been', 'looking', 'a', 'little', 'pale', 'lately']
13	 I think that the change would do you good, and you are always so interested in Mr. Sherlock Holmes’ cases.”    “I should be ungrateful if I were not, seeing what I gained through one of them,” I answered.  “But if I am to go, I must pack at once, for I have only half an hour.”    	 Поездка пойдет тебе на пользу.  И ты всегда так интересуешься каждым делом, за которое берется мистер Шерлок Холмс.   	['Поездка', 'пойдет', 'тебе', 'на', 'пользу', 'И', 'ты', 'всегда', 'так', 'интересуешься', 'каждым', 'делом', 'за', 'которое', 'берется', 'мистер', 'Шерлок', 'Холмс']	['I', 'think', 'that', 'the', 'change', 'would', 'do', 'you', 'good', 'and', 'you', 'are', 'always', 'so', 'interested', 'in', 'Mr', 'Sherlock', 'Holmes’', 'cases.”', '“I', 'should', 'be', 'ungrateful', 'if', 'I', 'were', 'not', 'seeing', 'what', 'I', 'gained', 'through', 'one', 'of', 'them,”', 'I', 'answered', '“But', 'if', 'I', 'am', 'to', 'go', 'I', 'must', 'pack', 'at', 'once', 'for', 'I', 'have', 'only', 'half', 'an', 'hour.”']
