	en	ru	ru_tokens	en_tokens
0	ADVENTURE  III.  A CASE OF IDENTITY 	Артур Конан-Дойл Установление личности 	['Артур', 'Конан-Дойл', 'Установление', 'личности']	['ADVENTURE', 'III', 'A', 'CASE', 'OF', 'IDENTITY']
1	“My dear fellow,” said Sherlock Holmes as we sat on either side of the fire in his lodgings at Baker Street, “life is infinitely stranger than anything which the mind of man could invent. We would not dare to conceive the things which are really mere commonplaces of existence. If we could fly out of that window hand in hand, hover over this great city, gently remove the roofs, and peep in at the queer things which are going on, the strange coincidences, the plannings, the cross-purposes, the wonderful chains of events, working through generations, and leading to the most outré results, it would make all fiction with its conventionalities and foreseen conclusions most stale and unprofitable.” 	— Мой дорогой друг, жизнь несравненно причудливее, чем все, что способно создать воображение человеческое, — сказал Шерлок Холмс, когда мы с ним сидели у камина в его квартире на Бейкер-стрит. — Нам и в голову не пришли бы многие вещи, которые в действительности представляют собою нечто совершенно банальное. Если бы мы с вами могли, взявшись за руки, вылететь из окна и, витая над этим огромным городом, приподнять крыши и заглянуть внутрь домов, то по сравнению с открывшимися нам необычайными совпадениями, замыслами, недоразумениями, непостижимыми событиями, которые, прокладывая себе путь сквозь многие поколения, приводят к совершенно невероятным результатам, вся изящная словесность с ее условностями и заранее предрешенными развязками показалась бы нам плоской и тривиальной. 	['—', 'Мой', 'дорогой', 'друг', 'жизнь', 'несравненно', 'причудливее', 'чем', 'все', 'что', 'способно', 'создать', 'воображение', 'человеческое', '—', 'сказал', 'Шерлок', 'Холмс', 'когда', 'мы', 'с', 'ним', 'сидели', 'у', 'камина', 'в', 'его', 'квартире', 'на', 'Бейкер-стрит', '—', 'Нам', 'и', 'в', 'голову', 'не', 'пришли', 'бы', 'многие', 'вещи', 'которые', 'в', 'действительности', 'представляют', 'собою', 'нечто', 'совершенно', 'банальное', 'Если', 'бы', 'мы', 'с', 'вами', 'могли', 'взявшись', 'за', 'руки', 'вылететь', 'из', 'окна', 'и', 'витая', 'над', 'этим', 'огромным', 'городом', 'приподнять', 'крыши', 'и', 'заглянуть', 'внутрь', 'домов', 'то', 'по', 'сравнению', 'с', 'открывшимися', 'нам', 'необычайными', 'совпадениями', 'замыслами', 'недоразумениями', 'непостижимыми', 'событиями', 'которые', 'прокладывая', 'себе', 'путь', 'сквозь', 'многие', 'поколения', 'приводят', 'к', 'совершенно', 'невероятным', 'результатам', 'вся', 'изящная', 'словесность', 'с', 'ее', 'условностями', 'и', 'заранее', 'предрешенными', 'развязками', 'показалась', 'бы', 'нам', 'плоской', 'и', 'тривиальной']	['“My', 'dear', 'fellow,”', 'said', 'Sherlock', 'Holmes', 'as', 'we', 'sat', 'on', 'either', 'side', 'of', 'the', 'fire', 'in', 'his', 'lodgings', 'at', 'Baker', 'Street', '“life', 'is', 'infinitely', 'stranger', 'than', 'anything', 'which', 'the', 'mind', 'of', 'man', 'could', 'invent', 'We', 'would', 'not', 'dare', 'to', 'conceive', 'the', 'things', 'which', 'are', 'really', 'mere', 'commonplaces', 'of', 'existence', 'If', 'we', 'could', 'fly', 'out', 'of', 'that', 'window', 'hand', 'in', 'hand', 'hover', 'over', 'this', 'great', 'city', 'gently', 'remove', 'the', 'roofs', 'and', 'peep', 'in', 'at', 'the', 'queer', 'things', 'which', 'are', 'going', 'on', 'the', 'strange', 'coincidences', 'the', 'plannings', 'the', 'cross-purposes', 'the', 'wonderful', 'chains', 'of', 'events', 'working', 'through', 'generations', 'and', 'leading', 'to', 'the', 'most', 'outré', 'results', 'it', 'would', 'make', 'all', 'fiction', 'with', 'its', 'conventionalities', 'and', 'foreseen', 'conclusions', 'most', 'stale', 'and', 'unprofitable.”']
2	“And yet I am not convinced of it,” I answered. “The cases which come to light in the papers are, as a rule, bald enough, and vulgar enough. We have in our police reports realism pushed to its extreme limits, and yet the result is, it must be confessed, neither fascinating nor artistic.” 	— И все же вы меня не убедили, — отвечал я. — Дела, о которых мы читаем в газетах, как правило, представлены в достаточно откровенном и грубом виде. Натурализм в полицейских отчетах доведен до крайних пределов, но это отнюдь не значит, что они хоть сколько-нибудь привлекательны или художественны. 	['—', 'И', 'все', 'же', 'вы', 'меня', 'не', 'убедили', '—', 'отвечал', 'я', '—', 'Дела', 'о', 'которых', 'мы', 'читаем', 'в', 'газетах', 'как', 'правило', 'представлены', 'в', 'достаточно', 'откровенном', 'и', 'грубом', 'виде', 'Натурализм', 'в', 'полицейских', 'отчетах', 'доведен', 'до', 'крайних', 'пределов', 'но', 'это', 'отнюдь', 'не', 'значит', 'что', 'они', 'хоть', 'сколько-нибудь', 'привлекательны', 'или', 'художественны']	['“And', 'yet', 'I', 'am', 'not', 'convinced', 'of', 'it,”', 'I', 'answered', '“The', 'cases', 'which', 'come', 'to', 'light', 'in', 'the', 'papers', 'are', 'as', 'a', 'rule', 'bald', 'enough', 'and', 'vulgar', 'enough', 'We', 'have', 'in', 'our', 'police', 'reports', 'realism', 'pushed', 'to', 'its', 'extreme', 'limits', 'and', 'yet', 'the', 'result', 'is', 'it', 'must', 'be', 'confessed', 'neither', 'fascinating', 'nor', 'artistic.”']
3	“A certain selection and discretion must be used in producing a realistic effect,” remarked Holmes. “This is wanting in the police report, where more stress is laid, perhaps, upon the platitudes of the magistrate than upon the details, which to an observer contain the vital essence of the whole matter. Depend upon it, there is nothing so unnatural as the commonplace.” 	— Для того, чтобы добиться подлинно реалистического эффекта, необходим тщательный отбор, известная сдержанность, — заметил Холмс. — А этого как раз и не хватает в полицейских отчетах, где гораздо больше места отводится пошлым сентенциям мирового судьи, нежели подробностям, в которых для внимательного наблюдателя и содержится существо дела. Поверьте, нет ничего более неестественного, чем банальность. 	['—', 'Для', 'того', 'чтобы', 'добиться', 'подлинно', 'реалистического', 'эффекта', 'необходим', 'тщательный', 'отбор', 'известная', 'сдержанность', '—', 'заметил', 'Холмс', '—', 'А', 'этого', 'как', 'раз', 'и', 'не', 'хватает', 'в', 'полицейских', 'отчетах', 'где', 'гораздо', 'больше', 'места', 'отводится', 'пошлым', 'сентенциям', 'мирового', 'судьи', 'нежели', 'подробностям', 'в', 'которых', 'для', 'внимательного', 'наблюдателя', 'и', 'содержится', 'существо', 'дела', 'Поверьте', 'нет', 'ничего', 'более', 'неестественного', 'чем', 'банальность']	['“A', 'certain', 'selection', 'and', 'discretion', 'must', 'be', 'used', 'in', 'producing', 'a', 'realistic', 'effect,”', 'remarked', 'Holmes', '“This', 'is', 'wanting', 'in', 'the', 'police', 'report', 'where', 'more', 'stress', 'is', 'laid', 'perhaps', 'upon', 'the', 'platitudes', 'of', 'the', 'magistrate', 'than', 'upon', 'the', 'details', 'which', 'to', 'an', 'observer', 'contain', 'the', 'vital', 'essence', 'of', 'the', 'whole', 'matter', 'Depend', 'upon', 'it', 'there', 'is', 'nothing', 'so', 'unnatural', 'as', 'the', 'commonplace.”']
4	I smiled and shook my head. “I can quite understand your thinking so.” I said. “Of course, in your position of unofficial adviser and helper to everybody who is absolutely puzzled, throughout three continents, you are brought in contact with all that is strange and bizarre. But here”—I picked up the morning paper from the ground—“let us put it to a practical test. Here is the first heading upon which I come. ‘A husband’s cruelty to his wife.’ There is half a column of print, but I know without reading it that it is all perfectly familiar to me. There is, of course, the other woman, the drink, the push, the blow, the bruise, the sympathetic sister or landlady. The crudest of writers could invent nothing more crude.” 	Я улыбнулся и покачал головой. — Понятно, почему вы так думаете. Разумеется, находясь в положении неофициального консультанта и помощника вконец запутавшихся в своих делах обитателей трех континентов, вы постоянно имеете дело со всевозможными странными и фантастическими явлениями. Но давайте устроим практическое испытание, посмотрим, например, что написано здесь, — сказал я, поднимая с полу утреннюю газету. — Возьмем первый попавшийся заголовок: «Жестокое обращение мужа с женой». Далее следует полстолбца текста, но я, и не читая, уверен, что все это хорошо знакомо. Здесь, без сомнения, фигурирует другая женщина, пьянство, колотушки, синяки, полная сочувствия сестра или квартирная хозяйка. Даже бульварный писака не смог бы придумать ничего грубее. 	['Я', 'улыбнулся', 'и', 'покачал', 'головой', '—', 'Понятно', 'почему', 'вы', 'так', 'думаете', 'Разумеется', 'находясь', 'в', 'положении', 'неофициального', 'консультанта', 'и', 'помощника', 'вконец', 'запутавшихся', 'в', 'своих', 'делах', 'обитателей', 'трех', 'континентов', 'вы', 'постоянно', 'имеете', 'дело', 'со', 'всевозможными', 'странными', 'и', 'фантастическими', 'явлениями', 'Но', 'давайте', 'устроим', 'практическое', 'испытание', 'посмотрим', 'например', 'что', 'написано', 'здесь', '—', 'сказал', 'я', 'поднимая', 'с', 'полу', 'утреннюю', 'газету', '—', 'Возьмем', 'первый', 'попавшийся', 'заголовок', '«Жестокое', 'обращение', 'мужа', 'с', 'женой»', 'Далее', 'следует', 'полстолбца', 'текста', 'но', 'я', 'и', 'не', 'читая', 'уверен', 'что', 'все', 'это', 'хорошо', 'знакомо', 'Здесь', 'без', 'сомнения', 'фигурирует', 'другая', 'женщина', 'пьянство', 'колотушки', 'синяки', 'полная', 'сочувствия', 'сестра', 'или', 'квартирная', 'хозяйка', 'Даже', 'бульварный', 'писака', 'не', 'смог', 'бы', 'придумать', 'ничего', 'грубее']	['I', 'smiled', 'and', 'shook', 'my', 'head', '“I', 'can', 'quite', 'understand', 'your', 'thinking', 'so.”', 'I', 'said', '“Of', 'course', 'in', 'your', 'position', 'of', 'unofficial', 'adviser', 'and', 'helper', 'to', 'everybody', 'who', 'is', 'absolutely', 'puzzled', 'throughout', 'three', 'continents', 'you', 'are', 'brought', 'in', 'contact', 'with', 'all', 'that', 'is', 'strange', 'and', 'bizarre', 'But', 'here”—I', 'picked', 'up', 'the', 'morning', 'paper', 'from', 'the', 'ground—“let', 'us', 'put', 'it', 'to', 'a', 'practical', 'test', 'Here', 'is', 'the', 'first', 'heading', 'upon', 'which', 'I', 'come', '‘A', 'husband’s', 'cruelty', 'to', 'his', 'wife.’', 'There', 'is', 'half', 'a', 'column', 'of', 'print', 'but', 'I', 'know', 'without', 'reading', 'it', 'that', 'it', 'is', 'all', 'perfectly', 'familiar', 'to', 'me', 'There', 'is', 'of', 'course', 'the', 'other', 'woman', 'the', 'drink', 'the', 'push', 'the', 'blow', 'the', 'bruise', 'the', 'sympathetic', 'sister', 'or', 'landlady', 'The', 'crudest', 'of', 'writers', 'could', 'invent', 'nothing', 'more', 'crude.”']
5	“Indeed, your example is an unfortunate one for your argument,” said Holmes, taking the paper and glancing his eye down it. “This is the Dundas separation case, and, as it happens, I was engaged in clearing up some small points in connection with it. The husband was a teetotaler, there was no other woman, and the conduct complained of was that he had drifted into the habit of winding up every meal by taking out his false teeth and hurling them at his wife, which, you will allow, is not an action likely to occur to the imagination of the average story-teller. Take a pinch of snuff, Doctor, and acknowledge that I have scored over you in your example.” 	— Боюсь, что ваш пример неудачен, как и вся ваша аргументация, — сказал Холмс, заглядывая в газету. — Это — дело о разводе Дандеса, и случилось так, что я занимался выяснением некоторых мелких обстоятельств, связанных с ним. Муж был трезвенником, никакой другой женщины не было, а жалоба заключалась в том, что он взял привычку после еды вынимать искусственную челюсть и швырять ею в жену, что, согласитесь, едва ли придет в голову среднему новеллисту. Возьмите понюшку табаку, доктор, и признайтесь, что я положил вас на обе лопатки с вашим примером. 	['—', 'Боюсь', 'что', 'ваш', 'пример', 'неудачен', 'как', 'и', 'вся', 'ваша', 'аргументация', '—', 'сказал', 'Холмс', 'заглядывая', 'в', 'газету', '—', 'Это', '—', 'дело', 'о', 'разводе', 'Дандеса', 'и', 'случилось', 'так', 'что', 'я', 'занимался', 'выяснением', 'некоторых', 'мелких', 'обстоятельств', 'связанных', 'с', 'ним', 'Муж', 'был', 'трезвенником', 'никакой', 'другой', 'женщины', 'не', 'было', 'а', 'жалоба', 'заключалась', 'в', 'том', 'что', 'он', 'взял', 'привычку', 'после', 'еды', 'вынимать', 'искусственную', 'челюсть', 'и', 'швырять', 'ею', 'в', 'жену', 'что', 'согласитесь', 'едва', 'ли', 'придет', 'в', 'голову', 'среднему', 'новеллисту', 'Возьмите', 'понюшку', 'табаку', 'доктор', 'и', 'признайтесь', 'что', 'я', 'положил', 'вас', 'на', 'обе', 'лопатки', 'с', 'вашим', 'примером']	['“Indeed', 'your', 'example', 'is', 'an', 'unfortunate', 'one', 'for', 'your', 'argument,”', 'said', 'Holmes', 'taking', 'the', 'paper', 'and', 'glancing', 'his', 'eye', 'down', 'it', '“This', 'is', 'the', 'Dundas', 'separation', 'case', 'and', 'as', 'it', 'happens', 'I', 'was', 'engaged', 'in', 'clearing', 'up', 'some', 'small', 'points', 'in', 'connection', 'with', 'it', 'The', 'husband', 'was', 'a', 'teetotaler', 'there', 'was', 'no', 'other', 'woman', 'and', 'the', 'conduct', 'complained', 'of', 'was', 'that', 'he', 'had', 'drifted', 'into', 'the', 'habit', 'of', 'winding', 'up', 'every', 'meal', 'by', 'taking', 'out', 'his', 'false', 'teeth', 'and', 'hurling', 'them', 'at', 'his', 'wife', 'which', 'you', 'will', 'allow', 'is', 'not', 'an', 'action', 'likely', 'to', 'occur', 'to', 'the', 'imagination', 'of', 'the', 'average', 'story-teller', 'Take', 'a', 'pinch', 'of', 'snuff', 'Doctor', 'and', 'acknowledge', 'that', 'I', 'have', 'scored', 'over', 'you', 'in', 'your', 'example.”']
6	He held out his snuffbox of old gold, with a great amethyst in the centre of the lid. Its splendour was in such contrast to his homely ways and simple life that I could not help commenting upon it. 	Он протянул мне старинную золотую табакерку с большим аметистом на крышке. Великолепие этой вещицы настолько не вязалось с простыми и скромными привычками моего друга, что я не мог удержаться от замечания по этому поводу. 	['Он', 'протянул', 'мне', 'старинную', 'золотую', 'табакерку', 'с', 'большим', 'аметистом', 'на', 'крышке', 'Великолепие', 'этой', 'вещицы', 'настолько', 'не', 'вязалось', 'с', 'простыми', 'и', 'скромными', 'привычками', 'моего', 'друга', 'что', 'я', 'не', 'мог', 'удержаться', 'от', 'замечания', 'по', 'этому', 'поводу']	['He', 'held', 'out', 'his', 'snuffbox', 'of', 'old', 'gold', 'with', 'a', 'great', 'amethyst', 'in', 'the', 'centre', 'of', 'the', 'lid', 'Its', 'splendour', 'was', 'in', 'such', 'contrast', 'to', 'his', 'homely', 'ways', 'and', 'simple', 'life', 'that', 'I', 'could', 'not', 'help', 'commenting', 'upon', 'it']
7	“Ah,” said he, “I forgot that I had not seen you for some weeks. It is a little souvenir from the King of Bohemia in return for my assistance in the case of the Irene Adler papers.” 	— Да, я совсем забыл, что мы с вами уже несколько недель не виделись, — сказал он. — Это небольшой сувенир от короля Богемии в благодарность за мою помощь в деле с письмами Ирен Адлер. 	['—', 'Да', 'я', 'совсем', 'забыл', 'что', 'мы', 'с', 'вами', 'уже', 'несколько', 'недель', 'не', 'виделись', '—', 'сказал', 'он', '—', 'Это', 'небольшой', 'сувенир', 'от', 'короля', 'Богемии', 'в', 'благодарность', 'за', 'мою', 'помощь', 'в', 'деле', 'с', 'письмами', 'Ирен', 'Адлер']	['“Ah,”', 'said', 'he', '“I', 'forgot', 'that', 'I', 'had', 'not', 'seen', 'you', 'for', 'some', 'weeks', 'It', 'is', 'a', 'little', 'souvenir', 'from', 'the', 'King', 'of', 'Bohemia', 'in', 'return', 'for', 'my', 'assistance', 'in', 'the', 'case', 'of', 'the', 'Irene', 'Adler', 'papers.”']
8	“And the ring?” I asked, glancing at a remarkable brilliant which sparkled upon his finger. 	— А кольцо? — спросил я, взглянув на великолепный бриллиант, блестевший у него на пальце. 	['—', 'А', 'кольцо', '—', 'спросил', 'я', 'взглянув', 'на', 'великолепный', 'бриллиант', 'блестевший', 'у', 'него', 'на', 'пальце']	['“And', 'the', 'ring?”', 'I', 'asked', 'glancing', 'at', 'a', 'remarkable', 'brilliant', 'which', 'sparkled', 'upon', 'his', 'finger']
9	“It was from the reigning family of Holland, though the matter in which I served them was of such delicacy that I cannot confide it even to you, who have been good enough to chronicle one or two of my little problems.” 	— Подарок голландской королевской фамилии; но это дело настолько деликатное, что я не имею права довериться даже вам, хотя вы любезно взяли на себя труд описать некоторые из моих скромных достижений. 	['—', 'Подарок', 'голландской', 'королевской', 'фамилии', 'но', 'это', 'дело', 'настолько', 'деликатное', 'что', 'я', 'не', 'имею', 'права', 'довериться', 'даже', 'вам', 'хотя', 'вы', 'любезно', 'взяли', 'на', 'себя', 'труд', 'описать', 'некоторые', 'из', 'моих', 'скромных', 'достижений']	['“It', 'was', 'from', 'the', 'reigning', 'family', 'of', 'Holland', 'though', 'the', 'matter', 'in', 'which', 'I', 'served', 'them', 'was', 'of', 'such', 'delicacy', 'that', 'I', 'cannot', 'confide', 'it', 'even', 'to', 'you', 'who', 'have', 'been', 'good', 'enough', 'to', 'chronicle', 'one', 'or', 'two', 'of', 'my', 'little', 'problems.”']
