	en	ru	ru_tokens	en_tokens
0	A Farewell To Arms Ernest Hemingway 	Эрнест Хемингуэй «Прощай, оружие!» 	['Эрнест', 'Хемингуэй', '«Прощай', 'оружие!»']	['A', 'Farewell', 'To', 'Arms', 'Ernest', 'Hemingway']
1	BOOK ONE 	КНИГА ПЕРВАЯ 	['КНИГА', 'ПЕРВАЯ']	['BOOK', 'ONE']
2	1 	Глава первая 	['Глава', 'первая']	['1']
3	In the late summer of that year we lived in a house in a village that looked across the river and the plain to the mountains. 	В тот год поздним летом мы стояли в деревне, в домике, откуда видны были река и равнина, а за ними горы. 	['В', 'тот', 'год', 'поздним', 'летом', 'мы', 'стояли', 'в', 'деревне', 'в', 'домике', 'откуда', 'видны', 'были', 'река', 'и', 'равнина', 'а', 'за', 'ними', 'горы']	['In', 'the', 'late', 'summer', 'of', 'that', 'year', 'we', 'lived', 'in', 'a', 'house', 'in', 'a', 'village', 'that', 'looked', 'across', 'the', 'river', 'and', 'the', 'plain', 'to', 'the', 'mountains']
4	In the bed of the river there were pebbles and boulders, dry and white in the sun, and the water was clear and swiftly moving and blue in the channels. 	Русло реки устилали голыш и галька, сухие и белые на солнце, а вода была прозрачная и быстрая и совсем голубая в протоках. 	['Русло', 'реки', 'устилали', 'голыш', 'и', 'галька', 'сухие', 'и', 'белые', 'на', 'солнце', 'а', 'вода', 'была', 'прозрачная', 'и', 'быстрая', 'и', 'совсем', 'голубая', 'в', 'протоках']	['In', 'the', 'bed', 'of', 'the', 'river', 'there', 'were', 'pebbles', 'and', 'boulders', 'dry', 'and', 'white', 'in', 'the', 'sun', 'and', 'the', 'water', 'was', 'clear', 'and', 'swiftly', 'moving', 'and', 'blue', 'in', 'the', 'channels']
5	Troops went by the house and down the road and the dust they raised powdered the leaves of the trees. 	По дороге мимо домика шли войска, и пыль, которую они поднимали, садилась на листья деревьев. 	['По', 'дороге', 'мимо', 'домика', 'шли', 'войска', 'и', 'пыль', 'которую', 'они', 'поднимали', 'садилась', 'на', 'листья', 'деревьев']	['Troops', 'went', 'by', 'the', 'house', 'and', 'down', 'the', 'road', 'and', 'the', 'dust', 'they', 'raised', 'powdered', 'the', 'leaves', 'of', 'the', 'trees']
6	The trunks of the trees too were dusty and the leaves fell early that year and we saw the troops marching along the road and the dust rising and leaves, stirred by the breeze, falling and the soldiers marching and afterward the road bare and white except for the leaves. 	Стволы деревьев тоже были покрыты пылью, и листья рано начали опадать в тот год, и мы смотрели, как идут по дороге войска, и клубится пыль, и падают листья, подхваченные ветром, и шагают солдаты, а потом только листья остаются лежать на дороге, пустой и белой. 	['Стволы', 'деревьев', 'тоже', 'были', 'покрыты', 'пылью', 'и', 'листья', 'рано', 'начали', 'опадать', 'в', 'тот', 'год', 'и', 'мы', 'смотрели', 'как', 'идут', 'по', 'дороге', 'войска', 'и', 'клубится', 'пыль', 'и', 'падают', 'листья', 'подхваченные', 'ветром', 'и', 'шагают', 'солдаты', 'а', 'потом', 'только', 'листья', 'остаются', 'лежать', 'на', 'дороге', 'пустой', 'и', 'белой']	['The', 'trunks', 'of', 'the', 'trees', 'too', 'were', 'dusty', 'and', 'the', 'leaves', 'fell', 'early', 'that', 'year', 'and', 'we', 'saw', 'the', 'troops', 'marching', 'along', 'the', 'road', 'and', 'the', 'dust', 'rising', 'and', 'leaves', 'stirred', 'by', 'the', 'breeze', 'falling', 'and', 'the', 'soldiers', 'marching', 'and', 'afterward', 'the', 'road', 'bare', 'and', 'white', 'except', 'for', 'the', 'leaves']
7	The plain was rich with crops; there were many orchards of fruit trees and beyond the plain the mountains were brown and bare. 	Равнина была плодородна, на ней было много фруктовых садов, а горы за равниной были бурые и голые. 	['Равнина', 'была', 'плодородна', 'на', 'ней', 'было', 'много', 'фруктовых', 'садов', 'а', 'горы', 'за', 'равниной', 'были', 'бурые', 'и', 'голые']	['The', 'plain', 'was', 'rich', 'with', 'crops', 'there', 'were', 'many', 'orchards', 'of', 'fruit', 'trees', 'and', 'beyond', 'the', 'plain', 'the', 'mountains', 'were', 'brown', 'and', 'bare']
8	There was fighting in the mountains and at night we could see the flashes from the artillery. 	В горах шли бои, и по ночам видны были вспышки разрывов. 	['В', 'горах', 'шли', 'бои', 'и', 'по', 'ночам', 'видны', 'были', 'вспышки', 'разрывов']	['There', 'was', 'fighting', 'in', 'the', 'mountains', 'and', 'at', 'night', 'we', 'could', 'see', 'the', 'flashes', 'from', 'the', 'artillery']
9	In the dark it was like summer lightning, but the nights were cool and there was not the feeling of a storm coming. 	В темноте это напоминало зарницы; только ночи были прохладные, и в воздухе не чувствовалось приближения грозы. 	['В', 'темноте', 'это', 'напоминало', 'зарницы', 'только', 'ночи', 'были', 'прохладные', 'и', 'в', 'воздухе', 'не', 'чувствовалось', 'приближения', 'грозы']	['In', 'the', 'dark', 'it', 'was', 'like', 'summer', 'lightning', 'but', 'the', 'nights', 'were', 'cool', 'and', 'there', 'was', 'not', 'the', 'feeling', 'of', 'a', 'storm', 'coming']
