	en	ru	ru_tokens	en_tokens
0	The Project Gutenberg eBook, Gulliver's Travels, by Jonathan Swift 	Джонатан Свифт. Путешествия Гулливера 	['Джонатан', 'Свифт', 'Путешествия', 'Гулливера']	"['The', 'Project', 'Gutenberg', 'eBook', ""Gulliver's"", 'Travels', 'by', 'Jonathan', 'Swift']"
1	THE PUBLISHER TO THE READER. 	ИЗДАТЕЛЬ К ЧИТАТЕЛЮ 	['ИЗДАТЕЛЬ', 'К', 'ЧИТАТЕЛЮ']	['THE', 'PUBLISHER', 'TO', 'THE', 'READER']
2	The author of these Travels, Mr. Lemuel Gulliver, is my ancient and intimate friend; there is likewise some relation between us on the mother’s side. 	Автор  этих  путешествий  мистер  Лемюэль Гулливер  -  мой старинный и близкий  друг; он  приходится мне также сродни по материнской линии. 	['Автор', 'этих', 'путешествий', 'мистер', 'Лемюэль', 'Гулливер', 'мой', 'старинный', 'и', 'близкий', 'друг', 'он', 'приходится', 'мне', 'также', 'сродни', 'по', 'материнской', 'линии']	['The', 'author', 'of', 'these', 'Travels', 'Mr', 'Lemuel', 'Gulliver', 'is', 'my', 'ancient', 'and', 'intimate', 'friend', 'there', 'is', 'likewise', 'some', 'relation', 'between', 'us', 'on', 'the', 'mother’s', 'side']
3	About three years ago, Mr. Gulliver growing weary of the concourse of curious people coming to him at his house in Redriff, made a small purchase of land, with a convenient house, near Newark, in Nottinghamshire, his native country; where he now lives retired, yet in good esteem among his neighbours. 	Около трех лет тому назад мистер Гулливер, которому надоело стечение любопытных к нему  в  Редриф, купил небольшой клочок земли с удобным домом близ Ньюарка в Ноттингемшире, на  своей  родине,  где  и  проживает сейчас в уединении, но уважаемый своими соседями. 	['Около', 'трех', 'лет', 'тому', 'назад', 'мистер', 'Гулливер', 'которому', 'надоело', 'стечение', 'любопытных', 'к', 'нему', 'в', 'Редриф', 'купил', 'небольшой', 'клочок', 'земли', 'с', 'удобным', 'домом', 'близ', 'Ньюарка', 'в', 'Ноттингемшире', 'на', 'своей', 'родине', 'где', 'и', 'проживает', 'сейчас', 'в', 'уединении', 'но', 'уважаемый', 'своими', 'соседями']	['About', 'three', 'years', 'ago', 'Mr', 'Gulliver', 'growing', 'weary', 'of', 'the', 'concourse', 'of', 'curious', 'people', 'coming', 'to', 'him', 'at', 'his', 'house', 'in', 'Redriff', 'made', 'a', 'small', 'purchase', 'of', 'land', 'with', 'a', 'convenient', 'house', 'near', 'Newark', 'in', 'Nottinghamshire', 'his', 'native', 'country', 'where', 'he', 'now', 'lives', 'retired', 'yet', 'in', 'good', 'esteem', 'among', 'his', 'neighbours']
4	Although Mr. Gulliver was born in Nottinghamshire, where his father dwelt, yet I have heard him say his family came from Oxfordshire; to confirm which, I have observed in the churchyard at Banbury in that county, several tombs and monuments of the Gullivers. 	Хотя  мистер Гулливер родился в Ноттингемшире, где жил его отец, однако я  слышал  от  него, что предки его были выходцами из Оксфордского графства. Чтобы удостовериться в этом, я осмотрел кладбище в Банбери в этом графстве и нашел в нем несколько могил и памятников Гулливеров. 	['Хотя', 'мистер', 'Гулливер', 'родился', 'в', 'Ноттингемшире', 'где', 'жил', 'его', 'отец', 'однако', 'я', 'слышал', 'от', 'него', 'что', 'предки', 'его', 'были', 'выходцами', 'из', 'Оксфордского', 'графства', 'Чтобы', 'удостовериться', 'в', 'этом', 'я', 'осмотрел', 'кладбище', 'в', 'Банбери', 'в', 'этом', 'графстве', 'и', 'нашел', 'в', 'нем', 'несколько', 'могил', 'и', 'памятников', 'Гулливеров']	['Although', 'Mr', 'Gulliver', 'was', 'born', 'in', 'Nottinghamshire', 'where', 'his', 'father', 'dwelt', 'yet', 'I', 'have', 'heard', 'him', 'say', 'his', 'family', 'came', 'from', 'Oxfordshire', 'to', 'confirm', 'which', 'I', 'have', 'observed', 'in', 'the', 'churchyard', 'at', 'Banbury', 'in', 'that', 'county', 'several', 'tombs', 'and', 'monuments', 'of', 'the', 'Gullivers']
5	Before he quitted Redriff, he left the custody of the following papers in my hands, with the liberty to dispose of them as I should think fit. 	Перед  отъездом  из  Редрифа  мистер  Гулливер  дал  мне  на сохранение нижеследующую рукопись, предоставив распорядиться ею по своему усмотрению. 	['Перед', 'отъездом', 'из', 'Редрифа', 'мистер', 'Гулливер', 'дал', 'мне', 'на', 'сохранение', 'нижеследующую', 'рукопись', 'предоставив', 'распорядиться', 'ею', 'по', 'своему', 'усмотрению']	['Before', 'he', 'quitted', 'Redriff', 'he', 'left', 'the', 'custody', 'of', 'the', 'following', 'papers', 'in', 'my', 'hands', 'with', 'the', 'liberty', 'to', 'dispose', 'of', 'them', 'as', 'I', 'should', 'think', 'fit']
6	I have carefully perused them three times. 	Я три  раза  внимательно прочел ее. 	['Я', 'три', 'раза', 'внимательно', 'прочел', 'ее']	['I', 'have', 'carefully', 'perused', 'them', 'three', 'times']
7	The style is very plain and simple; and the only fault I find is, that the author, after the manner of travellers, is a little too circumstantial. 	Слог оказался очень гладким и простым, я нашел в   нем   только  один недостаток:  автор,  следуя  обычной  манере путешественников,  слишком  уж обстоятелен. 	['Слог', 'оказался', 'очень', 'гладким', 'и', 'простым', 'я', 'нашел', 'в', 'нем', 'только', 'один', 'недостаток', 'автор', 'следуя', 'обычной', 'манере', 'путешественников', 'слишком', 'уж', 'обстоятелен']	['The', 'style', 'is', 'very', 'plain', 'and', 'simple', 'and', 'the', 'only', 'fault', 'I', 'find', 'is', 'that', 'the', 'author', 'after', 'the', 'manner', 'of', 'travellers', 'is', 'a', 'little', 'too', 'circumstantial']
8	There is an air of truth apparent through the whole; and indeed the author was so distinguished for his veracity, that it became a sort of proverb among his neighbours at Redriff, when any one affirmed a thing, to say, it was as true as if Mr. Gulliver had spoken it. 	Все  произведение, несомненно, дышит  правдой, да и как могло быть иначе, если сам автор известен был такой правдивостью,  что  среди  его соседей  в Редрифе сложилась даже поговорка, когда  случалось  утверждать  что-нибудь:  это так же верно, как если бы это сказал мистер Гулливер. 	['Все', 'произведение', 'несомненно', 'дышит', 'правдой', 'да', 'и', 'как', 'могло', 'быть', 'иначе', 'если', 'сам', 'автор', 'известен', 'был', 'такой', 'правдивостью', 'что', 'среди', 'его', 'соседей', 'в', 'Редрифе', 'сложилась', 'даже', 'поговорка', 'когда', 'случалось', 'утверждать', 'что-нибудь', 'это', 'так', 'же', 'верно', 'как', 'если', 'бы', 'это', 'сказал', 'мистер', 'Гулливер']	['There', 'is', 'an', 'air', 'of', 'truth', 'apparent', 'through', 'the', 'whole', 'and', 'indeed', 'the', 'author', 'was', 'so', 'distinguished', 'for', 'his', 'veracity', 'that', 'it', 'became', 'a', 'sort', 'of', 'proverb', 'among', 'his', 'neighbours', 'at', 'Redriff', 'when', 'any', 'one', 'affirmed', 'a', 'thing', 'to', 'say', 'it', 'was', 'as', 'true', 'as', 'if', 'Mr', 'Gulliver', 'had', 'spoken', 'it']
9	By the advice of several worthy persons, to whom, with the author’s permission, I communicated these papers, I now venture to send them into the world, hoping they may be, at least for some time, a better entertainment to our young noblemen, than the common scribbles of politics and party. 	По совету нескольких уважаемых лиц, которым я, с согласия автора, давал на  просмотр  эту  рукопись,  я  решаюсь опубликовать ее, в надежде, что, по крайней  мере, в продолжение некоторого времени, она будет служить для наших молодых  дворян  более занимательным развлечением, чем обычное бумагомарание политиков и партийных писак. 	['По', 'совету', 'нескольких', 'уважаемых', 'лиц', 'которым', 'я', 'с', 'согласия', 'автора', 'давал', 'на', 'просмотр', 'эту', 'рукопись', 'я', 'решаюсь', 'опубликовать', 'ее', 'в', 'надежде', 'что', 'по', 'крайней', 'мере', 'в', 'продолжение', 'некоторого', 'времени', 'она', 'будет', 'служить', 'для', 'наших', 'молодых', 'дворян', 'более', 'занимательным', 'развлечением', 'чем', 'обычное', 'бумагомарание', 'политиков', 'и', 'партийных', 'писак']	['By', 'the', 'advice', 'of', 'several', 'worthy', 'persons', 'to', 'whom', 'with', 'the', 'author’s', 'permission', 'I', 'communicated', 'these', 'papers', 'I', 'now', 'venture', 'to', 'send', 'them', 'into', 'the', 'world', 'hoping', 'they', 'may', 'be', 'at', 'least', 'for', 'some', 'time', 'a', 'better', 'entertainment', 'to', 'our', 'young', 'noblemen', 'than', 'the', 'common', 'scribbles', 'of', 'politics', 'and', 'party']
