	en	ru	ru_tokens	en_tokens
0	Hans Andersen's Fairy Tales. Second Series. 	Ганс Христиан Андерсен. Сказки. 	['Ганс', 'Христиан', 'Андерсен', 'Сказки']	"['Hans', ""Andersen's"", 'Fairy', 'Tales', 'Second', 'Series']"
1	THE LITTLE MERMAID. 	Русалочка. 	['Русалочка']	['THE', 'LITTLE', 'MERMAID']
2	FAR out in the ocean, where the water is as blue as the prettiest cornflower and as clear as crystal, it is very, very deep; so deep, indeed, that no cable could sound it, and many church steeples, piled one upon another, would not reach from the ground beneath to the surface of the water above. 	В  открытом  море  вода  совсем  синяя,  как  лепестки  самых  красивых васильков, и прозрачная, как чистое стекло, - но зато и глубоко там! Ни один якорь не достанет до дна; на дно моря  пришлось бы поставить  одну на другую много-много колоколен, только тогда бы они могли высунуться из воды. 	['В', 'открытом', 'море', 'вода', 'совсем', 'синяя', 'как', 'лепестки', 'самых', 'красивых', 'васильков', 'и', 'прозрачная', 'как', 'чистое', 'стекло', 'но', 'зато', 'и', 'глубоко', 'там', 'Ни', 'один', 'якорь', 'не', 'достанет', 'до', 'дна', 'на', 'дно', 'моря', 'пришлось', 'бы', 'поставить', 'одну', 'на', 'другую', 'много-много', 'колоколен', 'только', 'тогда', 'бы', 'они', 'могли', 'высунуться', 'из', 'воды']	['FAR', 'out', 'in', 'the', 'ocean', 'where', 'the', 'water', 'is', 'as', 'blue', 'as', 'the', 'prettiest', 'cornflower', 'and', 'as', 'clear', 'as', 'crystal', 'it', 'is', 'very', 'very', 'deep', 'so', 'deep', 'indeed', 'that', 'no', 'cable', 'could', 'sound', 'it', 'and', 'many', 'church', 'steeples', 'piled', 'one', 'upon', 'another', 'would', 'not', 'reach', 'from', 'the', 'ground', 'beneath', 'to', 'the', 'surface', 'of', 'the', 'water', 'above']
3	There dwell the Sea King and his subjects. 	На самом дне живут морской владыка и подданные его королевства. 	['На', 'самом', 'дне', 'живут', 'морской', 'владыка', 'и', 'подданные', 'его', 'королевства']	['There', 'dwell', 'the', 'Sea', 'King', 'and', 'his', 'subjects']
4	We must not imagine that there is nothing at the bottom of the sea but bare yellow sand. No, indeed, for on this sand grow the strangest flowers and plants, the leaves and stems of which are so pliant that the slightest agitation of the water causes them to stir as if they had life. 	Не подумайте, что там, на дне, один  голый белый песок; нет, там растут невиданные  деревья и цветы с такими  гибкими стеблями и  листьями,  что они шевелятся, как живые, при малейшем движении воды. 	['Не', 'подумайте', 'что', 'там', 'на', 'дне', 'один', 'голый', 'белый', 'песок', 'нет', 'там', 'растут', 'невиданные', 'деревья', 'и', 'цветы', 'с', 'такими', 'гибкими', 'стеблями', 'и', 'листьями', 'что', 'они', 'шевелятся', 'как', 'живые', 'при', 'малейшем', 'движении', 'воды']	['We', 'must', 'not', 'imagine', 'that', 'there', 'is', 'nothing', 'at', 'the', 'bottom', 'of', 'the', 'sea', 'but', 'bare', 'yellow', 'sand', 'No', 'indeed', 'for', 'on', 'this', 'sand', 'grow', 'the', 'strangest', 'flowers', 'and', 'plants', 'the', 'leaves', 'and', 'stems', 'of', 'which', 'are', 'so', 'pliant', 'that', 'the', 'slightest', 'agitation', 'of', 'the', 'water', 'causes', 'them', 'to', 'stir', 'as', 'if', 'they', 'had', 'life']
5	Fishes, both large and small, glide between the branches as birds fly among the trees here upon land. 	Между ветвями шныряют рыбы большие  и  маленькие - точь-в-точь  как у нас птицы. 	['Между', 'ветвями', 'шныряют', 'рыбы', 'большие', 'и', 'маленькие', 'точь-в-точь', 'как', 'у', 'нас', 'птицы']	['Fishes', 'both', 'large', 'and', 'small', 'glide', 'between', 'the', 'branches', 'as', 'birds', 'fly', 'among', 'the', 'trees', 'here', 'upon', 'land']
6	In the deepest spot of all stands the castle of the Sea King. Its walls are built of coral, and the long Gothic windows are of the clearest amber. The roof is formed of shells that open and close as the water flows over them. Their appearance is very beautiful, for in each lies a glittering pearl which would be fit for the diadem of a queen. 	В самом глубоком месте стоит  коралловый  дворец  морского царя с  высокими стрельчатыми  окнами из чистейшего  янтаря  и  с  крышей  из  раковин,  которые то открываются,  то закрываются, смотря  по  тому, прилив или отлив, это очень  красиво:  ведь в каждой раковине лежит по жемчужине такой красоты, что любая из них  украсила бы корону любой королевы. 	['В', 'самом', 'глубоком', 'месте', 'стоит', 'коралловый', 'дворец', 'морского', 'царя', 'с', 'высокими', 'стрельчатыми', 'окнами', 'из', 'чистейшего', 'янтаря', 'и', 'с', 'крышей', 'из', 'раковин', 'которые', 'то', 'открываются', 'то', 'закрываются', 'смотря', 'по', 'тому', 'прилив', 'или', 'отлив', 'это', 'очень', 'красиво', 'ведь', 'в', 'каждой', 'раковине', 'лежит', 'по', 'жемчужине', 'такой', 'красоты', 'что', 'любая', 'из', 'них', 'украсила', 'бы', 'корону', 'любой', 'королевы']	['In', 'the', 'deepest', 'spot', 'of', 'all', 'stands', 'the', 'castle', 'of', 'the', 'Sea', 'King', 'Its', 'walls', 'are', 'built', 'of', 'coral', 'and', 'the', 'long', 'Gothic', 'windows', 'are', 'of', 'the', 'clearest', 'amber', 'The', 'roof', 'is', 'formed', 'of', 'shells', 'that', 'open', 'and', 'close', 'as', 'the', 'water', 'flows', 'over', 'them', 'Their', 'appearance', 'is', 'very', 'beautiful', 'for', 'in', 'each', 'lies', 'a', 'glittering', 'pearl', 'which', 'would', 'be', 'fit', 'for', 'the', 'diadem', 'of', 'a', 'queen']
7	The Sea King had been a widower for many years, and his aged mother kept house for him. She was a very sensible woman, but exceedingly proud of her high birth, and on that account wore twelve oysters on her tail, while others of high rank were only allowed to wear six. 	Морской  царь  давным-давно  овдовел,  и хозяйством  у него  заправляла старуха мать,  женщина  умная,  но очень  гордая своим родом:  она носила на хвосте  целую   дюжину   устриц,  тогда  как  вельможи  имели  право  носить всего-навсего шесть. 	['Морской', 'царь', 'давным-давно', 'овдовел', 'и', 'хозяйством', 'у', 'него', 'заправляла', 'старуха', 'мать', 'женщина', 'умная', 'но', 'очень', 'гордая', 'своим', 'родом', 'она', 'носила', 'на', 'хвосте', 'целую', 'дюжину', 'устриц', 'тогда', 'как', 'вельможи', 'имели', 'право', 'носить', 'всего-навсего', 'шесть']	['The', 'Sea', 'King', 'had', 'been', 'a', 'widower', 'for', 'many', 'years', 'and', 'his', 'aged', 'mother', 'kept', 'house', 'for', 'him', 'She', 'was', 'a', 'very', 'sensible', 'woman', 'but', 'exceedingly', 'proud', 'of', 'her', 'high', 'birth', 'and', 'on', 'that', 'account', 'wore', 'twelve', 'oysters', 'on', 'her', 'tail', 'while', 'others', 'of', 'high', 'rank', 'were', 'only', 'allowed', 'to', 'wear', 'six']
8	She was, however, deserving of very great praise, especially for her care of the little sea princesses, her six granddaughters. 	Вообще  же она  была особа, достойная всяческих похвал, особенно  потому,  что очень  любила  своих маленьких  внучек. 	['Вообще', 'же', 'она', 'была', 'особа', 'достойная', 'всяческих', 'похвал', 'особенно', 'потому', 'что', 'очень', 'любила', 'своих', 'маленьких', 'внучек']	['She', 'was', 'however', 'deserving', 'of', 'very', 'great', 'praise', 'especially', 'for', 'her', 'care', 'of', 'the', 'little', 'sea', 'princesses', 'her', 'six', 'granddaughters']
9	They were beautiful children, but the youngest was the prettiest of them all. Her skin was as clear and delicate as a rose leaf, and her eyes as blue as the deepest sea; but, like all the others, she had no feet and her body ended in a fish's tail. 	Все  шестеро принцесс были прехорошенькими русалочками, но лучше всех была самая младшая, нежная  и  прозрачная,  как  лепесток розы, с  глубокими  синими,  как море, глазами. Но и у нее,  как у других русалок,  не было  ножек, а только  рыбий хвост. 	['Все', 'шестеро', 'принцесс', 'были', 'прехорошенькими', 'русалочками', 'но', 'лучше', 'всех', 'была', 'самая', 'младшая', 'нежная', 'и', 'прозрачная', 'как', 'лепесток', 'розы', 'с', 'глубокими', 'синими', 'как', 'море', 'глазами', 'Но', 'и', 'у', 'нее', 'как', 'у', 'других', 'русалок', 'не', 'было', 'ножек', 'а', 'только', 'рыбий', 'хвост']	"['They', 'were', 'beautiful', 'children', 'but', 'the', 'youngest', 'was', 'the', 'prettiest', 'of', 'them', 'all', 'Her', 'skin', 'was', 'as', 'clear', 'and', 'delicate', 'as', 'a', 'rose', 'leaf', 'and', 'her', 'eyes', 'as', 'blue', 'as', 'the', 'deepest', 'sea', 'but', 'like', 'all', 'the', 'others', 'she', 'had', 'no', 'feet', 'and', 'her', 'body', 'ended', 'in', 'a', ""fish's"", 'tail']"
