	en	ru	ru_tokens	en_tokens
0	Orson Scott Card 	Орсон Скотт Кард. 	['Орсон', 'Скотт', 'Кард']	['Orson', 'Scott', 'Card']
1	SEVENTH SON 	Седьмой сын Посвящается Эмили Джен, вся необходимая магия уже ведома ей 	['Седьмой', 'сын', 'Посвящается', 'Эмили', 'Джен', 'вся', 'необходимая', 'магия', 'уже', 'ведома', 'ей']	['SEVENTH', 'SON']
2	Chapter One—Bloody Mary 	1. Злюка Мэри 	['1', 'Злюка', 'Мэри']	['Chapter', 'One—Bloody', 'Mary']
3	Little Peggy was very careful with the eggs. 	Малышка Пэгги была очень осторожна и внимательна, когда собирала яйца. 	['Малышка', 'Пэгги', 'была', 'очень', 'осторожна', 'и', 'внимательна', 'когда', 'собирала', 'яйца']	['Little', 'Peggy', 'was', 'very', 'careful', 'with', 'the', 'eggs']
4	She rooted her hand through the straw till her fingers bumped something hard and heavy. 	Вот и сейчас, запустив руку в солому, она потихоньку двигала ее вперед, пока пальцы не уткнулись во что-то твердое и тяжелое. 	['Вот', 'и', 'сейчас', 'запустив', 'руку', 'в', 'солому', 'она', 'потихоньку', 'двигала', 'ее', 'вперед', 'пока', 'пальцы', 'не', 'уткнулись', 'во', 'что-то', 'твердое', 'и', 'тяжелое']	['She', 'rooted', 'her', 'hand', 'through', 'the', 'straw', 'till', 'her', 'fingers', 'bumped', 'something', 'hard', 'and', 'heavy']
5	She gave no never mind to the chicken drips. 	На следы куриной деятельности она просто не обращала внимания. 	['На', 'следы', 'куриной', 'деятельности', 'она', 'просто', 'не', 'обращала', 'внимания']	['She', 'gave', 'no', 'never', 'mind', 'to', 'the', 'chicken', 'drips']
6	After all, when folk with babies stayed at the roadhouse, Mama never even crinkled her face at their most spetackler diapers. 	В их гостинице частенько останавливались семьи с маленькими детьми, и мама малышки Пэгги никогда не кривилась при виде самых замызганных пеленок, а Пэгги старалась походить на нее. 	['В', 'их', 'гостинице', 'частенько', 'останавливались', 'семьи', 'с', 'маленькими', 'детьми', 'и', 'мама', 'малышки', 'Пэгги', 'никогда', 'не', 'кривилась', 'при', 'виде', 'самых', 'замызганных', 'пеленок', 'а', 'Пэгги', 'старалась', 'походить', 'на', 'нее']	['After', 'all', 'when', 'folk', 'with', 'babies', 'stayed', 'at', 'the', 'roadhouse', 'Mama', 'never', 'even', 'crinkled', 'her', 'face', 'at', 'their', 'most', 'spetackler', 'diapers']
7	Even when the chicken drips were wet and stringy and made her fingers stick together, little Peggy gave no never mind. 	Пусть даже куриный помет был липким и неприятным на ощупь, склеивал пальцы, малышка не замечала этого. 	['Пусть', 'даже', 'куриный', 'помет', 'был', 'липким', 'и', 'неприятным', 'на', 'ощупь', 'склеивал', 'пальцы', 'малышка', 'не', 'замечала', 'этого']	['Even', 'when', 'the', 'chicken', 'drips', 'were', 'wet', 'and', 'stringy', 'and', 'made', 'her', 'fingers', 'stick', 'together', 'little', 'Peggy', 'gave', 'no', 'never', 'mind']
8	She just pushed the straw apart, wrapped her hand around the egg, and lifted it out of the brood box. 	Она раздвинула солому, нежно ухватила яйцо и достала из коробки, где сидела наседка. 	['Она', 'раздвинула', 'солому', 'нежно', 'ухватила', 'яйцо', 'и', 'достала', 'из', 'коробки', 'где', 'сидела', 'наседка']	['She', 'just', 'pushed', 'the', 'straw', 'apart', 'wrapped', 'her', 'hand', 'around', 'the', 'egg', 'and', 'lifted', 'it', 'out', 'of', 'the', 'brood', 'box']
9	All this while standing tiptoe on a wobbly stool, reaching high above her head. 	Все это приходилось проделывать, стоя на цыпочках на качающейся скамеечке, пока рука шарила в гнезде. 	['Все', 'это', 'приходилось', 'проделывать', 'стоя', 'на', 'цыпочках', 'на', 'качающейся', 'скамеечке', 'пока', 'рука', 'шарила', 'в', 'гнезде']	['All', 'this', 'while', 'standing', 'tiptoe', 'on', 'a', 'wobbly', 'stool', 'reaching', 'high', 'above', 'her', 'head']
