	en	ru	ru_tokens	en_tokens
0	The Project Gutenberg EBook of Siddhartha, by Herman Hesse Translator: Gunther Olesch, Anke Dreher, Amy Coulter, Stefan Langer and Semyon Chaichenets Produced by Michael Pullen,  Chandra Yenco, Isaac Jones 	Герман Гессе Сиддхартха OCR – Окатьева Анна; Доп. вычитка – Niche (проект вычитки книг на Альдебаране) http://www.lib.ru/ Оригинал: Hermann Hesse, “Siddhartha” Перевод: Б. Д. Прозоровская Герман Гессе 	['Герман', 'Гессе', 'Сиддхартха', 'OCR', '–', 'Окатьева', 'Анна', 'Доп', 'вычитка', '–', 'Niche', 'проект', 'вычитки', 'книг', 'на', 'Альдебаране', 'http://www.lib.ru', 'Оригинал', 'Hermann', 'Hesse', '“Siddhartha”', 'Перевод', 'Б', 'Д', 'Прозоровская', 'Герман', 'Гессе']	['The', 'Project', 'Gutenberg', 'EBook', 'of', 'Siddhartha', 'by', 'Herman', 'Hesse', 'Translator', 'Gunther', 'Olesch', 'Anke', 'Dreher', 'Amy', 'Coulter', 'Stefan', 'Langer', 'and', 'Semyon', 'Chaichenets', 'Produced', 'by', 'Michael', 'Pullen', 'Chandra', 'Yenco', 'Isaac', 'Jones']
1	SIDDHARTHA An Indian Tale by Hermann Hesse FIRST PART To Romain Rolland, my dear friend 	Сиддхартха Часть первая. 	['Сиддхартха', 'Часть', 'первая']	['SIDDHARTHA', 'An', 'Indian', 'Tale', 'by', 'Hermann', 'Hesse', 'FIRST', 'PART', 'To', 'Romain', 'Rolland', 'my', 'dear', 'friend']
2	THE SON OF THE BRAHMAN 	СЫН БРАХМАНА 	['СЫН', 'БРАХМАНА']	['THE', 'SON', 'OF', 'THE', 'BRAHMAN']
3	In the shade of the house, in the sunshine of the riverbank near the boats, in the shade of the Sal-wood forest, in the shade of the fig tree is where Siddhartha grew up, the handsome son of the Brahman, the young falcon, together with his friend Govinda, son of a Brahman. 	Под сенью родительского дома, на солнце речного берега у лодок, в тени салового леса, в тени смоковниц вырос прекрасный сын брахмана, юный сокол Сиддхартха, вместе с Говиндой, своим другом, сыном брахмана. 	['Под', 'сенью', 'родительского', 'дома', 'на', 'солнце', 'речного', 'берега', 'у', 'лодок', 'в', 'тени', 'салового', 'леса', 'в', 'тени', 'смоковниц', 'вырос', 'прекрасный', 'сын', 'брахмана', 'юный', 'сокол', 'Сиддхартха', 'вместе', 'с', 'Говиндой', 'своим', 'другом', 'сыном', 'брахмана']	['In', 'the', 'shade', 'of', 'the', 'house', 'in', 'the', 'sunshine', 'of', 'the', 'riverbank', 'near', 'the', 'boats', 'in', 'the', 'shade', 'of', 'the', 'Sal-wood', 'forest', 'in', 'the', 'shade', 'of', 'the', 'fig', 'tree', 'is', 'where', 'Siddhartha', 'grew', 'up', 'the', 'handsome', 'son', 'of', 'the', 'Brahman', 'the', 'young', 'falcon', 'together', 'with', 'his', 'friend', 'Govinda', 'son', 'of', 'a', 'Brahman']
4	The sun tanned his light shoulders by the banks of the river when bathing, performing the sacred ablutions, the sacred offerings. 	Солнце покрывало загаром его белые плечи на берегу реки, при купании, при священных омовениях, при жертвенных обрядах. 	['Солнце', 'покрывало', 'загаром', 'его', 'белые', 'плечи', 'на', 'берегу', 'реки', 'при', 'купании', 'при', 'священных', 'омовениях', 'при', 'жертвенных', 'обрядах']	['The', 'sun', 'tanned', 'his', 'light', 'shoulders', 'by', 'the', 'banks', 'of', 'the', 'river', 'when', 'bathing', 'performing', 'the', 'sacred', 'ablutions', 'the', 'sacred', 'offerings']
5	In the mango grove, shade poured into his black eyes, when playing as a boy, when his mother sang, when the sacred offerings were made, when his father, the scholar, taught him, when the wise men talked. 	Тень вливалась в его черные очи – в манговой роще, при играх мальчиков, при песнях матери, при священных жертвоприношениях, при поучениях ученого отца и беседах мудрецов. 	['Тень', 'вливалась', 'в', 'его', 'черные', 'очи', '–', 'в', 'манговой', 'роще', 'при', 'играх', 'мальчиков', 'при', 'песнях', 'матери', 'при', 'священных', 'жертвоприношениях', 'при', 'поучениях', 'ученого', 'отца', 'и', 'беседах', 'мудрецов']	['In', 'the', 'mango', 'grove', 'shade', 'poured', 'into', 'his', 'black', 'eyes', 'when', 'playing', 'as', 'a', 'boy', 'when', 'his', 'mother', 'sang', 'when', 'the', 'sacred', 'offerings', 'were', 'made', 'when', 'his', 'father', 'the', 'scholar', 'taught', 'him', 'when', 'the', 'wise', 'men', 'talked']
6	For a long time, Siddhartha had been partaking in the discussions of the wise men, practising debate with Govinda, practising with Govinda the art of reflection, the service of meditation. 	Давно уже Сиддхартха принимал участие в этих беседах; вместе с Говиндой упражнялся он в словесных состязаниях, в искусстве созерцания, с целью самоуглубления. 	['Давно', 'уже', 'Сиддхартха', 'принимал', 'участие', 'в', 'этих', 'беседах', 'вместе', 'с', 'Говиндой', 'упражнялся', 'он', 'в', 'словесных', 'состязаниях', 'в', 'искусстве', 'созерцания', 'с', 'целью', 'самоуглубления']	['For', 'a', 'long', 'time', 'Siddhartha', 'had', 'been', 'partaking', 'in', 'the', 'discussions', 'of', 'the', 'wise', 'men', 'practising', 'debate', 'with', 'Govinda', 'practising', 'with', 'Govinda', 'the', 'art', 'of', 'reflection', 'the', 'service', 'of', 'meditation']
7	He already knew how to speak the Om silently, the word of words, to speak it silently into himself while inhaling, to speak it silently out of himself while exhaling, with all the concentration of his soul, the forehead surrounded by the glow of the clear-thinking spirit. 	Уже он в состоянии был беззвучно произносить слово «Ом», это слово слов, – беззвучно выговаривать его при дыхании и выдыхании, с сосредоточенной душой, с челом, озаренным сиянием ясной мысли. 	['Уже', 'он', 'в', 'состоянии', 'был', 'беззвучно', 'произносить', 'слово', '«Ом»', 'это', 'слово', 'слов', '–', 'беззвучно', 'выговаривать', 'его', 'при', 'дыхании', 'и', 'выдыхании', 'с', 'сосредоточенной', 'душой', 'с', 'челом', 'озаренным', 'сиянием', 'ясной', 'мысли']	['He', 'already', 'knew', 'how', 'to', 'speak', 'the', 'Om', 'silently', 'the', 'word', 'of', 'words', 'to', 'speak', 'it', 'silently', 'into', 'himself', 'while', 'inhaling', 'to', 'speak', 'it', 'silently', 'out', 'of', 'himself', 'while', 'exhaling', 'with', 'all', 'the', 'concentration', 'of', 'his', 'soul', 'the', 'forehead', 'surrounded', 'by', 'the', 'glow', 'of', 'the', 'clear-thinking', 'spirit']
8	He already knew to feel Atman in the depths of his being, indestructible, one with the universe. 	Уже в глубине своего существа он познавал Атмана, непреходящего, со вселенной единого. 	['Уже', 'в', 'глубине', 'своего', 'существа', 'он', 'познавал', 'Атмана', 'непреходящего', 'со', 'вселенной', 'единого']	['He', 'already', 'knew', 'to', 'feel', 'Atman', 'in', 'the', 'depths', 'of', 'his', 'being', 'indestructible', 'one', 'with', 'the', 'universe']
9	Joy leapt in his father's heart for his son who was quick to learn, thirsty for knowledge; he saw him growing up to become great wise man and priest, a prince among the Brahmans. 	Радость наполняла сердце отца при виде сына, столь одаренного, жаждущего знания: великого мудреца и священно служителя провидел он в нем, князя среди брахманов. 	['Радость', 'наполняла', 'сердце', 'отца', 'при', 'виде', 'сына', 'столь', 'одаренного', 'жаждущего', 'знания', 'великого', 'мудреца', 'и', 'священно', 'служителя', 'провидел', 'он', 'в', 'нем', 'князя', 'среди', 'брахманов']	"['Joy', 'leapt', 'in', 'his', ""father's"", 'heart', 'for', 'his', 'son', 'who', 'was', 'quick', 'to', 'learn', 'thirsty', 'for', 'knowledge', 'he', 'saw', 'him', 'growing', 'up', 'to', 'become', 'great', 'wise', 'man', 'and', 'priest', 'a', 'prince', 'among', 'the', 'Brahmans']"
