	en	ru	ru_tokens	en_tokens
0	Anton Chekhov 	Чехов А. П. 	['Чехов', 'А', 'П']	['Anton', 'Chekhov']
1	Malingerers. 	СИМУЛЯНТЫ. 	['СИМУЛЯНТЫ']	['Malingerers']
2	MARFA PETROVNA PETCHONKIN, the General's widow, who has been practising for ten years as a homeopathic doctor, is seeing patients in her study on one of the Tuesdays in May. 	Генеральша Марфа Петровна Печонкина, или, как ее зовут мужики, Печончиха, десять лет уже практикующая на поприще гомеопатии, в один из майских вторников принимает у себя в кабинете больных. 	['Генеральша', 'Марфа', 'Петровна', 'Печонкина', 'или', 'как', 'ее', 'зовут', 'мужики', 'Печончиха', 'десять', 'лет', 'уже', 'практикующая', 'на', 'поприще', 'гомеопатии', 'в', 'один', 'из', 'майских', 'вторников', 'принимает', 'у', 'себя', 'в', 'кабинете', 'больных']	"['MARFA', 'PETROVNA', 'PETCHONKIN', 'the', ""General's"", 'widow', 'who', 'has', 'been', 'practising', 'for', 'ten', 'years', 'as', 'a', 'homeopathic', 'doctor', 'is', 'seeing', 'patients', 'in', 'her', 'study', 'on', 'one', 'of', 'the', 'Tuesdays', 'in', 'May']"
3	On the table before her lie a chest of homeopathic drugs, a book on homeopathy, and bills from a homeopathic chemist. 	Перед ней на столе гомеопатическая аптечка, лечебник и счета гомеопатической аптеки. 	['Перед', 'ней', 'на', 'столе', 'гомеопатическая', 'аптечка', 'лечебник', 'и', 'счета', 'гомеопатической', 'аптеки']	['On', 'the', 'table', 'before', 'her', 'lie', 'a', 'chest', 'of', 'homeopathic', 'drugs', 'a', 'book', 'on', 'homeopathy', 'and', 'bills', 'from', 'a', 'homeopathic', 'chemist']
4	On the wall the letters from some Petersburg homeopath, in Marfa Petrovna's opinion a very celebrated and great man, hang under glass in a gilt frame, and there also is a portrait of Father Aristark, to whom the lady owes her salvation -- that is, the renunciation of pernicious allopathy and the knowledge of the truth. 	На стене в золотых рамках под стеклом висят письма какого-то петербургского гомеопата, по мнению Марфы Петровны, очень знаменитого и даже великого, и висит портрет отца Аристарха, которому генеральша обязана своим спасением: отречением от зловредной аллопатии и знанием истины. 	['На', 'стене', 'в', 'золотых', 'рамках', 'под', 'стеклом', 'висят', 'письма', 'какого-то', 'петербургского', 'гомеопата', 'по', 'мнению', 'Марфы', 'Петровны', 'очень', 'знаменитого', 'и', 'даже', 'великого', 'и', 'висит', 'портрет', 'отца', 'Аристарха', 'которому', 'генеральша', 'обязана', 'своим', 'спасением', 'отречением', 'от', 'зловредной', 'аллопатии', 'и', 'знанием', 'истины']	"['On', 'the', 'wall', 'the', 'letters', 'from', 'some', 'Petersburg', 'homeopath', 'in', 'Marfa', ""Petrovna's"", 'opinion', 'a', 'very', 'celebrated', 'and', 'great', 'man', 'hang', 'under', 'glass', 'in', 'a', 'gilt', 'frame', 'and', 'there', 'also', 'is', 'a', 'portrait', 'of', 'Father', 'Aristark', 'to', 'whom', 'the', 'lady', 'owes', 'her', 'salvation', 'that', 'is', 'the', 'renunciation', 'of', 'pernicious', 'allopathy', 'and', 'the', 'knowledge', 'of', 'the', 'truth']"
5	In the vestibule patients are sitting waiting, for the most part peasants. 	В передней сидят и ждут пациенты, всё больше мужики. 	['В', 'передней', 'сидят', 'и', 'ждут', 'пациенты', 'всё', 'больше', 'мужики']	['In', 'the', 'vestibule', 'patients', 'are', 'sitting', 'waiting', 'for', 'the', 'most', 'part', 'peasants']
6	All but two or three of them are barefoot, as the lady has given orders that their ill-smelling boots are to be left in the yard. 	Все они, кроме двух-трех, босы, так как генеральша велит оставлять вонючие сапоги на дворе. 	['Все', 'они', 'кроме', 'двух-трех', 'босы', 'так', 'как', 'генеральша', 'велит', 'оставлять', 'вонючие', 'сапоги', 'на', 'дворе']	['All', 'but', 'two', 'or', 'three', 'of', 'them', 'are', 'barefoot', 'as', 'the', 'lady', 'has', 'given', 'orders', 'that', 'their', 'ill-smelling', 'boots', 'are', 'to', 'be', 'left', 'in', 'the', 'yard']
7	"Marfa Petrovna has already seen ten patients when she calls the eleventh: ""Gavrila Gruzd!"" "	Марфа Петровна приняла уже десять человек и вызывает одиннадцатого:     -- Гаврила Груздь! 	['Марфа', 'Петровна', 'приняла', 'уже', 'десять', 'человек', 'и', 'вызывает', 'одиннадцатого', 'Гаврила', 'Груздь']	['Marfa', 'Petrovna', 'has', 'already', 'seen', 'ten', 'patients', 'when', 'she', 'calls', 'the', 'eleventh', 'Gavrila', 'Gruzd']
8	The door opens and instead of Gavrila Gruzd, Zamuhrishen, a neighbouring landowner who has sunk into poverty, a little old man with sour eyes, and with a gentleman's cap under his arm, walks into the room. 	Дверь отворяется и, вместо Гаврилы Груздя, в кабинет входит Замухришин, генеральшин сосед, помещик из оскудевших, маленький старичок с кислыми глазками и с дворянской фуражкой под мышкой. 	['Дверь', 'отворяется', 'и', 'вместо', 'Гаврилы', 'Груздя', 'в', 'кабинет', 'входит', 'Замухришин', 'генеральшин', 'сосед', 'помещик', 'из', 'оскудевших', 'маленький', 'старичок', 'с', 'кислыми', 'глазками', 'и', 'с', 'дворянской', 'фуражкой', 'под', 'мышкой']	"['The', 'door', 'opens', 'and', 'instead', 'of', 'Gavrila', 'Gruzd', 'Zamuhrishen', 'a', 'neighbouring', 'landowner', 'who', 'has', 'sunk', 'into', 'poverty', 'a', 'little', 'old', 'man', 'with', 'sour', 'eyes', 'and', 'with', 'a', ""gentleman's"", 'cap', 'under', 'his', 'arm', 'walks', 'into', 'the', 'room']"
9	He puts down his stick in the corner, goes up to the lady, and without a word drops on one knee before her. 	Он ставит палку в угол, подходит к генеральше и молча становится перед ней на одно колено. 	['Он', 'ставит', 'палку', 'в', 'угол', 'подходит', 'к', 'генеральше', 'и', 'молча', 'становится', 'перед', 'ней', 'на', 'одно', 'колено']	['He', 'puts', 'down', 'his', 'stick', 'in', 'the', 'corner', 'goes', 'up', 'to', 'the', 'lady', 'and', 'without', 'a', 'word', 'drops', 'on', 'one', 'knee', 'before', 'her']
