	en	ru	ru_tokens	en_tokens
0	'Tis the opinion of myself, Sanderson Pratt, who sets this down, that the educational system of the United States should be in the hands of the weather bureau. 	Я, Сандерсон Пратт, пишущий эти строки, полагаю, что системе образования в Соединенных Штатах следовало бы находиться в ведении бюро погоды. 	['Я', 'Сандерсон', 'Пратт', 'пишущий', 'эти', 'строки', 'полагаю', 'что', 'системе', 'образования', 'в', 'Соединенных', 'Штатах', 'следовало', 'бы', 'находиться', 'в', 'ведении', 'бюро', 'погоды']	"[""'Tis"", 'the', 'opinion', 'of', 'myself', 'Sanderson', 'Pratt', 'who', 'sets', 'this', 'down', 'that', 'the', 'educational', 'system', 'of', 'the', 'United', 'States', 'should', 'be', 'in', 'the', 'hands', 'of', 'the', 'weather', 'bureau']"
1	I can give you good reasons for it; and you can't tell me why our college professors shouldn't be transferred to the meteorological department. 	В пользу этого я могу привести веские доводы. Ну, скажите, почему бы наших профессоров не передать метеорологическому департаменту? 	['В', 'пользу', 'этого', 'я', 'могу', 'привести', 'веские', 'доводы', 'Ну', 'скажите', 'почему', 'бы', 'наших', 'профессоров', 'не', 'передать', 'метеорологическому', 'департаменту']	"['I', 'can', 'give', 'you', 'good', 'reasons', 'for', 'it', 'and', 'you', ""can't"", 'tell', 'me', 'why', 'our', 'college', 'professors', ""shouldn't"", 'be', 'transferred', 'to', 'the', 'meteorological', 'department']"
2	They have been learned to read; and they could very easily glance at the morning papers and then wire in to the main office what kind of weather to expect. 	Их учили читать, и они легко могли бы пробегать утренние газеты и потом телеграфировать в главную контору, какой ожидать погоды. 	['Их', 'учили', 'читать', 'и', 'они', 'легко', 'могли', 'бы', 'пробегать', 'утренние', 'газеты', 'и', 'потом', 'телеграфировать', 'в', 'главную', 'контору', 'какой', 'ожидать', 'погоды']	['They', 'have', 'been', 'learned', 'to', 'read', 'and', 'they', 'could', 'very', 'easily', 'glance', 'at', 'the', 'morning', 'papers', 'and', 'then', 'wire', 'in', 'to', 'the', 'main', 'office', 'what', 'kind', 'of', 'weather', 'to', 'expect']
3	But there's the other side of the proposition. 	Но этот вопрос интересен и с другой стороны. 	['Но', 'этот', 'вопрос', 'интересен', 'и', 'с', 'другой', 'стороны']	"['But', ""there's"", 'the', 'other', 'side', 'of', 'the', 'proposition']"
4	I am going on to tell you how the weather furnished me and Idaho Green with an elegant education. 	Сейчас я собираюсь вам рассказать, как погода снабдила меня и Айдахо Грина светским образованием. 	['Сейчас', 'я', 'собираюсь', 'вам', 'рассказать', 'как', 'погода', 'снабдила', 'меня', 'и', 'Айдахо', 'Грина', 'светским', 'образованием']	['I', 'am', 'going', 'on', 'to', 'tell', 'you', 'how', 'the', 'weather', 'furnished', 'me', 'and', 'Idaho', 'Green', 'with', 'an', 'elegant', 'education']
5	We was up in the Bitter Root Mountains over the Montana line prospecting for gold. 	Мы находились и горах Биттер-Рут, за хребтом Монтана, искали золота. 	['Мы', 'находились', 'и', 'горах', 'Биттер-Рут', 'за', 'хребтом', 'Монтана', 'искали', 'золота']	['We', 'was', 'up', 'in', 'the', 'Bitter', 'Root', 'Mountains', 'over', 'the', 'Montana', 'line', 'prospecting', 'for', 'gold']
6	A chin-whiskered man in Walla-Walla, carrying a line of hope as excess baggage, had grubstaked us; and there we was in the foothills pecking away, with enough grub on hand to last an army through a peace conference. 	В местечке Уолла-Уолла один бородатый малый, надеясь неизвестно на что, выдал нам аванс. И вот мы торчали в горах, ковыряя их понемножку и располагая запасом еды, которого хватило бы на прокорм целой армии на все время мирной конференции. 	['В', 'местечке', 'Уолла-Уолла', 'один', 'бородатый', 'малый', 'надеясь', 'неизвестно', 'на', 'что', 'выдал', 'нам', 'аванс', 'И', 'вот', 'мы', 'торчали', 'в', 'горах', 'ковыряя', 'их', 'понемножку', 'и', 'располагая', 'запасом', 'еды', 'которого', 'хватило', 'бы', 'на', 'прокорм', 'целой', 'армии', 'на', 'все', 'время', 'мирной', 'конференции']	['A', 'chin-whiskered', 'man', 'in', 'Walla-Walla', 'carrying', 'a', 'line', 'of', 'hope', 'as', 'excess', 'baggage', 'had', 'grubstaked', 'us', 'and', 'there', 'we', 'was', 'in', 'the', 'foothills', 'pecking', 'away', 'with', 'enough', 'grub', 'on', 'hand', 'to', 'last', 'an', 'army', 'through', 'a', 'peace', 'conference']
7	Along one day comes a mail-rider over the mountains from Carlos, and stops to eat three cans of greengages, and leave us a newspaper of modern date. 	В один прекрасный день приезжает из Карлоса почтальон, делает у нас привал, съедает три банки сливовых консервов и оставляет нам свежую газету. 	['В', 'один', 'прекрасный', 'день', 'приезжает', 'из', 'Карлоса', 'почтальон', 'делает', 'у', 'нас', 'привал', 'съедает', 'три', 'банки', 'сливовых', 'консервов', 'и', 'оставляет', 'нам', 'свежую', 'газету']	['Along', 'one', 'day', 'comes', 'a', 'mail-rider', 'over', 'the', 'mountains', 'from', 'Carlos', 'and', 'stops', 'to', 'eat', 'three', 'cans', 'of', 'greengages', 'and', 'leave', 'us', 'a', 'newspaper', 'of', 'modern', 'date']
8	"This paper prints a system of premonitions of the weather, and the card it dealt Bitter Root Mountains from the bottom of the deck was ""warmer and fair, with light westerly breezes."" "	Эта газета печатала сводки предчувствий погоды, и карта, которую она сдала горам Биттер-Рут с самого низа колоды, означала: «Тепло и ясно, ветер западный, слабый». 	['Эта', 'газета', 'печатала', 'сводки', 'предчувствий', 'погоды', 'и', 'карта', 'которую', 'она', 'сдала', 'горам', 'Биттер-Рут', 'с', 'самого', 'низа', 'колоды', 'означала', '«Тепло', 'и', 'ясно', 'ветер', 'западный', 'слабый»']	['This', 'paper', 'prints', 'a', 'system', 'of', 'premonitions', 'of', 'the', 'weather', 'and', 'the', 'card', 'it', 'dealt', 'Bitter', 'Root', 'Mountains', 'from', 'the', 'bottom', 'of', 'the', 'deck', 'was', 'warmer', 'and', 'fair', 'with', 'light', 'westerly', 'breezes']
9	That evening it began to snow, with the wind strong in the east. 	В тот же день вечером пошел снег и подул сильный восточный ветер. 	['В', 'тот', 'же', 'день', 'вечером', 'пошел', 'снег', 'и', 'подул', 'сильный', 'восточный', 'ветер']	['That', 'evening', 'it', 'began', 'to', 'snow', 'with', 'the', 'wind', 'strong', 'in', 'the', 'east']
