	en	ru	ru_tokens	en_tokens
0	Project Gutenberg,Produced by Charles Keller THE MYSTERIOUS AFFAIR AT STYLES By Agatha Christie 	Агата Кристи ТАИНСТВЕННОЕ ПРОИСШЕСТВИЕ В СТАЙЛЗ 	['Агата', 'Кристи', 'ТАИНСТВЕННОЕ', 'ПРОИСШЕСТВИЕ', 'В', 'СТАЙЛЗ']	['Project', 'Gutenberg,Produced', 'by', 'Charles', 'Keller', 'THE', 'MYSTERIOUS', 'AFFAIR', 'AT', 'STYLES', 'By', 'Agatha', 'Christie']
1	CHAPTER I. 	1. 	['1']	['CHAPTER', 'I']
2	I GO TO STYLES 	 Я приезжаю в Стайлз 	['Я', 'приезжаю', 'в', 'Стайлз']	['I', 'GO', 'TO', 'STYLES']
3	"The intense interest aroused in the public by what was known at the time as ""The Styles Case"" has now somewhat subsided. "	Необычайный интерес, вызванный нашумевшим в свое время «убийством в Стайлз», сегодня уже заметно поутих. 	['Необычайный', 'интерес', 'вызванный', 'нашумевшим', 'в', 'свое', 'время', '«убийством', 'в', 'Стайлз»', 'сегодня', 'уже', 'заметно', 'поутих']	['The', 'intense', 'interest', 'aroused', 'in', 'the', 'public', 'by', 'what', 'was', 'known', 'at', 'the', 'time', 'as', 'The', 'Styles', 'Case', 'has', 'now', 'somewhat', 'subsided']
4	Nevertheless, in view of the world-wide notoriety which attended it, I have been asked, both by my friend Poirot and the family themselves, to write an account of the whole story. 	Однако вся история получила в те дни такую широкую огласку, что мой друг Пуаро и сами участники драмы попросили меня подробно изложить обстоятельства этого дела. 	['Однако', 'вся', 'история', 'получила', 'в', 'те', 'дни', 'такую', 'широкую', 'огласку', 'что', 'мой', 'друг', 'Пуаро', 'и', 'сами', 'участники', 'драмы', 'попросили', 'меня', 'подробно', 'изложить', 'обстоятельства', 'этого', 'дела']	['Nevertheless', 'in', 'view', 'of', 'the', 'world-wide', 'notoriety', 'which', 'attended', 'it', 'I', 'have', 'been', 'asked', 'both', 'by', 'my', 'friend', 'Poirot', 'and', 'the', 'family', 'themselves', 'to', 'write', 'an', 'account', 'of', 'the', 'whole', 'story']
5	This, we trust, will effectually silence the sensational rumours which still persist. 	Надеемся, что это положит конец скандальным слухам, до сих пор витающим вокруг этой истории. 	['Надеемся', 'что', 'это', 'положит', 'конец', 'скандальным', 'слухам', 'до', 'сих', 'пор', 'витающим', 'вокруг', 'этой', 'истории']	['This', 'we', 'trust', 'will', 'effectually', 'silence', 'the', 'sensational', 'rumours', 'which', 'still', 'persist']
6	I will therefore briefly set down the circumstances which led to my being connected with the affair. 	Постараюсь коротко изложить обстоятельства, благодаря которым я стал свидетелем тех событий. 	['Постараюсь', 'коротко', 'изложить', 'обстоятельства', 'благодаря', 'которым', 'я', 'стал', 'свидетелем', 'тех', 'событий']	['I', 'will', 'therefore', 'briefly', 'set', 'down', 'the', 'circumstances', 'which', 'led', 'to', 'my', 'being', 'connected', 'with', 'the', 'affair']
7	I had been invalided home from the Front; and, after spending some months in a rather depressing Convalescent Home, was given a month's sick leave. 	Я был ранен на фронте и отправлен в тыл, где провел несколько месяцев в довольно неприглядном госпитале, после чего получил месячный отпуск. 	['Я', 'был', 'ранен', 'на', 'фронте', 'и', 'отправлен', 'в', 'тыл', 'где', 'провел', 'несколько', 'месяцев', 'в', 'довольно', 'неприглядном', 'госпитале', 'после', 'чего', 'получил', 'месячный', 'отпуск']	"['I', 'had', 'been', 'invalided', 'home', 'from', 'the', 'Front', 'and', 'after', 'spending', 'some', 'months', 'in', 'a', 'rather', 'depressing', 'Convalescent', 'Home', 'was', 'given', 'a', ""month's"", 'sick', 'leave']"
8	Having no near relations or friends, I was trying to make up my mind what to do, when I ran across John Cavendish. 	И вот, когда я раздумывал, где его провести (поскольку не имел ни друзей, ни близких знакомых), случай свел меня с Джоном Кавендишем. 	['И', 'вот', 'когда', 'я', 'раздумывал', 'где', 'его', 'провести', 'поскольку', 'не', 'имел', 'ни', 'друзей', 'ни', 'близких', 'знакомых', 'случай', 'свел', 'меня', 'с', 'Джоном', 'Кавендишем']	['Having', 'no', 'near', 'relations', 'or', 'friends', 'I', 'was', 'trying', 'to', 'make', 'up', 'my', 'mind', 'what', 'to', 'do', 'when', 'I', 'ran', 'across', 'John', 'Cavendish']
9	I had seen very little of him for some years. Indeed, I had never known him particularly well. 	Виделся я с ним крайне редко, да мы никогда не были особыми друзьями. 	['Виделся', 'я', 'с', 'ним', 'крайне', 'редко', 'да', 'мы', 'никогда', 'не', 'были', 'особыми', 'друзьями']	['I', 'had', 'seen', 'very', 'little', 'of', 'him', 'for', 'some', 'years', 'Indeed', 'I', 'had', 'never', 'known', 'him', 'particularly', 'well']
