	en	ru	ru_tokens	en_tokens
0	Tarzan of the Apes By Edgar Rice Burroughs 	Эдгар Берроуз. Тарзан приемыш обезьяны I 	['Эдгар', 'Берроуз', 'Тарзан', 'приемыш', 'обезьяны', 'I']	['Tarzan', 'of', 'the', 'Apes', 'By', 'Edgar', 'Rice', 'Burroughs']
1	Chapter I Out to Sea 	В МОРЕ 	['В', 'МОРЕ']	['Chapter', 'I', 'Out', 'to', 'Sea']
2	I had this story from one who had no business to tell it to me, or to any other. 	Я был в гостях у одного приятеля и слышал от него эту историю. Он  рассказал мне  ее  просто  так, безо  всякого повода. Мог бы  и не рассказывать. 	['Я', 'был', 'в', 'гостях', 'у', 'одного', 'приятеля', 'и', 'слышал', 'от', 'него', 'эту', 'историю', 'Он', 'рассказал', 'мне', 'ее', 'просто', 'так', 'безо', 'всякого', 'повода', 'Мог', 'бы', 'и', 'не', 'рассказывать']	['I', 'had', 'this', 'story', 'from', 'one', 'who', 'had', 'no', 'business', 'to', 'tell', 'it', 'to', 'me', 'or', 'to', 'any', 'other']
3	I may credit the seductive influence of an old vintage upon the narrator for the beginning of it, and my own skeptical incredulity during the days that followed for the balance of the strange tale. 	Начал  он  ее  под  влиянием винных  паров, а  потом,  когда я сказал,  что  не  верю  ни  одному  его  слову,   это  удивило  его,  и  он, подстрекаемый  моим  недоверием,  счел  себя  вынужденным  рассказать все до конца. Человек он был  радушный, но гордый и  обидчивый  до нелепости. 	['Начал', 'он', 'ее', 'под', 'влиянием', 'винных', 'паров', 'а', 'потом', 'когда', 'я', 'сказал', 'что', 'не', 'верю', 'ни', 'одному', 'его', 'слову', 'это', 'удивило', 'его', 'и', 'он', 'подстрекаемый', 'моим', 'недоверием', 'счел', 'себя', 'вынужденным', 'рассказать', 'все', 'до', 'конца', 'Человек', 'он', 'был', 'радушный', 'но', 'гордый', 'и', 'обидчивый', 'до', 'нелепости']	['I', 'may', 'credit', 'the', 'seductive', 'influence', 'of', 'an', 'old', 'vintage', 'upon', 'the', 'narrator', 'for', 'the', 'beginning', 'of', 'it', 'and', 'my', 'own', 'skeptical', 'incredulity', 'during', 'the', 'days', 'that', 'followed', 'for', 'the', 'balance', 'of', 'the', 'strange', 'tale']
4	When my convivial host discovered that he had told me so much, and that I was prone to doubtfulness, his foolish pride assumed the task the old vintage had commenced, and so he unearthed written evidence in the form of musty manuscript, and dry official records of the British Colonial Office to support many of the salient features of his remarkable narrative. 	Задетый моим скептицизмом, он, для подкрепления  своих слов, представил мне какую-то засаленную  рукопись и кипу старых  сухих  отчетов Британского  Министерства Колоний. 	['Задетый', 'моим', 'скептицизмом', 'он', 'для', 'подкрепления', 'своих', 'слов', 'представил', 'мне', 'какую-то', 'засаленную', 'рукопись', 'и', 'кипу', 'старых', 'сухих', 'отчетов', 'Британского', 'Министерства', 'Колоний']	['When', 'my', 'convivial', 'host', 'discovered', 'that', 'he', 'had', 'told', 'me', 'so', 'much', 'and', 'that', 'I', 'was', 'prone', 'to', 'doubtfulness', 'his', 'foolish', 'pride', 'assumed', 'the', 'task', 'the', 'old', 'vintage', 'had', 'commenced', 'and', 'so', 'he', 'unearthed', 'written', 'evidence', 'in', 'the', 'form', 'of', 'musty', 'manuscript', 'and', 'dry', 'official', 'records', 'of', 'the', 'British', 'Colonial', 'Office', 'to', 'support', 'many', 'of', 'the', 'salient', 'features', 'of', 'his', 'remarkable', 'narrative']
5	I do not say the story is true, for I did not witness the happenings which it portrays, but the fact that in the telling of it to you I have taken fictitious names for the principal characters quite sufficiently evidences the sincerity of my own belief that it MAY be true. 	Однако, я  и теперь  не  решусь  утверждать, что  все  в  этом рассказе достоверно. Ведь событий, изображаемых здесь,  я  не видел своими глазами. А может быть  это и правда, кто знает! Я, по крайней мере,  счел благоразумным дать главным героям рассказа вымышленные имена и фамилии. 	['Однако', 'я', 'и', 'теперь', 'не', 'решусь', 'утверждать', 'что', 'все', 'в', 'этом', 'рассказе', 'достоверно', 'Ведь', 'событий', 'изображаемых', 'здесь', 'я', 'не', 'видел', 'своими', 'глазами', 'А', 'может', 'быть', 'это', 'и', 'правда', 'кто', 'знает', 'Я', 'по', 'крайней', 'мере', 'счел', 'благоразумным', 'дать', 'главным', 'героям', 'рассказа', 'вымышленные', 'имена', 'и', 'фамилии']	['I', 'do', 'not', 'say', 'the', 'story', 'is', 'true', 'for', 'I', 'did', 'not', 'witness', 'the', 'happenings', 'which', 'it', 'portrays', 'but', 'the', 'fact', 'that', 'in', 'the', 'telling', 'of', 'it', 'to', 'you', 'I', 'have', 'taken', 'fictitious', 'names', 'for', 'the', 'principal', 'characters', 'quite', 'sufficiently', 'evidences', 'the', 'sincerity', 'of', 'my', 'own', 'belief', 'that', 'it', 'MAY', 'be', 'true']
6	The yellow, mildewed pages of the diary of a man long dead, and the records of the Colonial Office dovetail perfectly with the narrative of my convivial host, and so I give you the story as I painstakingly pieced it out from these several various agencies. 	Засаленная  рукопись,  с  заплесневелыми   и   пожелтевшими   листьями, оказалась дневником одного человека, которого давно уже нет в живых. Когда я прочитал этот дневник,  и  познакомился с  отчетами Министерства  Колоний, я увидел, что эти документы  вполне подтверждают рассказ  моего гостеприимного хозяина. Таким образом, то, что вы  прочтете на  дальнейших страницах, тщательно проверено мною и заимствовано из разных источников. 	['Засаленная', 'рукопись', 'с', 'заплесневелыми', 'и', 'пожелтевшими', 'листьями', 'оказалась', 'дневником', 'одного', 'человека', 'которого', 'давно', 'уже', 'нет', 'в', 'живых', 'Когда', 'я', 'прочитал', 'этот', 'дневник', 'и', 'познакомился', 'с', 'отчетами', 'Министерства', 'Колоний', 'я', 'увидел', 'что', 'эти', 'документы', 'вполне', 'подтверждают', 'рассказ', 'моего', 'гостеприимного', 'хозяина', 'Таким', 'образом', 'то', 'что', 'вы', 'прочтете', 'на', 'дальнейших', 'страницах', 'тщательно', 'проверено', 'мною', 'и', 'заимствовано', 'из', 'разных', 'источников']	['The', 'yellow', 'mildewed', 'pages', 'of', 'the', 'diary', 'of', 'a', 'man', 'long', 'dead', 'and', 'the', 'records', 'of', 'the', 'Colonial', 'Office', 'dovetail', 'perfectly', 'with', 'the', 'narrative', 'of', 'my', 'convivial', 'host', 'and', 'so', 'I', 'give', 'you', 'the', 'story', 'as', 'I', 'painstakingly', 'pieced', 'it', 'out', 'from', 'these', 'several', 'various', 'agencies']
7	If you do not find it credible you will at least be as one with me in acknowledging that it is unique, remarkable, and interesting. 	Если  же  этот рассказ  не внушит  вам  большого  доверия,  вы  все  же согласитесь со мною, что он -- изумительный, интересный, диковинный. 	['Если', 'же', 'этот', 'рассказ', 'не', 'внушит', 'вам', 'большого', 'доверия', 'вы', 'все', 'же', 'согласитесь', 'со', 'мною', 'что', 'он', 'изумительный', 'интересный', 'диковинный']	['If', 'you', 'do', 'not', 'find', 'it', 'credible', 'you', 'will', 'at', 'least', 'be', 'as', 'one', 'with', 'me', 'in', 'acknowledging', 'that', 'it', 'is', 'unique', 'remarkable', 'and', 'interesting']
8	From the records of the Colonial Office and from the dead man's diary we learn that a certain young English nobleman, whom we shall call John Clayton, Lord Greystoke, was commissioned to make a peculiarly delicate investigation of conditions in a British West Coast African Colony from whose simple native inhabitants another European power was known to be recruiting soldiers for its native army, which it used solely for the forcible collection of rubber and ivory from the savage tribes along the Congo and the Aruwimi. 	Из  записок человека, которого давно  нет в живых, а  также  из отчетов Министерства Колоний мы  узнаем,  что  один  молодой  английский  офицер (мы назовем  его  Джоном  Клейтоном,  лордом  Грейстоком) был  послан в Западную Африку, в одну из британских прибрежных колоний, произвести там исследование весьма деликатного свойства. Дело в том,  что жители этой  колонии были народ простодушный;  и  вот, одна из европейских держав, пользуясь их  наивностью, стала  вербовать  их в солдаты для своей колониальной армии, причем эта  армия только и делала, что отнимала резину и  слоновую  кость у  дикарей,  живущих по берегам Арувими и Конго. 	['Из', 'записок', 'человека', 'которого', 'давно', 'нет', 'в', 'живых', 'а', 'также', 'из', 'отчетов', 'Министерства', 'Колоний', 'мы', 'узнаем', 'что', 'один', 'молодой', 'английский', 'офицер', 'мы', 'назовем', 'его', 'Джоном', 'Клейтоном', 'лордом', 'Грейстоком', 'был', 'послан', 'в', 'Западную', 'Африку', 'в', 'одну', 'из', 'британских', 'прибрежных', 'колоний', 'произвести', 'там', 'исследование', 'весьма', 'деликатного', 'свойства', 'Дело', 'в', 'том', 'что', 'жители', 'этой', 'колонии', 'были', 'народ', 'простодушный', 'и', 'вот', 'одна', 'из', 'европейских', 'держав', 'пользуясь', 'их', 'наивностью', 'стала', 'вербовать', 'их', 'в', 'солдаты', 'для', 'своей', 'колониальной', 'армии', 'причем', 'эта', 'армия', 'только', 'и', 'делала', 'что', 'отнимала', 'резину', 'и', 'слоновую', 'кость', 'у', 'дикарей', 'живущих', 'по', 'берегам', 'Арувими', 'и', 'Конго']	"['From', 'the', 'records', 'of', 'the', 'Colonial', 'Office', 'and', 'from', 'the', 'dead', ""man's"", 'diary', 'we', 'learn', 'that', 'a', 'certain', 'young', 'English', 'nobleman', 'whom', 'we', 'shall', 'call', 'John', 'Clayton', 'Lord', 'Greystoke', 'was', 'commissioned', 'to', 'make', 'a', 'peculiarly', 'delicate', 'investigation', 'of', 'conditions', 'in', 'a', 'British', 'West', 'Coast', 'African', 'Colony', 'from', 'whose', 'simple', 'native', 'inhabitants', 'another', 'European', 'power', 'was', 'known', 'to', 'be', 'recruiting', 'soldiers', 'for', 'its', 'native', 'army', 'which', 'it', 'used', 'solely', 'for', 'the', 'forcible', 'collection', 'of', 'rubber', 'and', 'ivory', 'from', 'the', 'savage', 'tribes', 'along', 'the', 'Congo', 'and', 'the', 'Aruwimi']"
9	The natives of the British Colony complained that many of their young men were enticed away through the medium of fair and glowing promises, but that few if any ever returned to their families. 	Несчастные  жители  британской  колонии  жаловались,   что  вербовщики, соблазняя тамошнюю молодежь идти в  солдаты, сулили ей золотые горы, а между тем немногие из этих доверчивых рекрутов вернулись назад. 	['Несчастные', 'жители', 'британской', 'колонии', 'жаловались', 'что', 'вербовщики', 'соблазняя', 'тамошнюю', 'молодежь', 'идти', 'в', 'солдаты', 'сулили', 'ей', 'золотые', 'горы', 'а', 'между', 'тем', 'немногие', 'из', 'этих', 'доверчивых', 'рекрутов', 'вернулись', 'назад']	['The', 'natives', 'of', 'the', 'British', 'Colony', 'complained', 'that', 'many', 'of', 'their', 'young', 'men', 'were', 'enticed', 'away', 'through', 'the', 'medium', 'of', 'fair', 'and', 'glowing', 'promises', 'but', 'that', 'few', 'if', 'any', 'ever', 'returned', 'to', 'their', 'families']
