	en	ru	ru_tokens	en_tokens
0	William Somerset Maugham. 	Сомерсет Моэм. 	['Сомерсет', 'Моэм']	['William', 'Somerset', 'Maugham']
1	The Theatre. 	Театр. Пер. - Г.Островская. 	['Театр', 'Пер', 'Г.Островская']	['The', 'Theatre']
2	1. 	1. 	['1']	['1']
3	THE door opened and Michael Gosselyn looked up. 	Дверь отворилась, Майкл Госселин поднял глаза. 	['Дверь', 'отворилась', 'Майкл', 'Госселин', 'поднял', 'глаза']	['THE', 'door', 'opened', 'and', 'Michael', 'Gosselyn', 'looked', 'up']
4	Julia came in. 	В комнату вошла Джулия. 	['В', 'комнату', 'вошла', 'Джулия']	['Julia', 'came', 'in']
5	"""Hulloa! "	- Это ты? 	['Это', 'ты']	['Hulloa']
6	I won't keep you a minute. 	Я тебя не задержу. Всего  одну  минутку. 	['Я', 'тебя', 'не', 'задержу', 'Всего', 'одну', 'минутку']	"['I', ""won't"", 'keep', 'you', 'a', 'minute']"
7	"I was just signing some letters."" "	Только  покончу  с письмами. 	['Только', 'покончу', 'с', 'письмами']	['I', 'was', 'just', 'signing', 'some', 'letters']
8	"""No hurry. "	-  Я  не  спешу. 	['Я', 'не', 'спешу']	['No', 'hurry']
9	I only came to see what seats had been sent to the Dennorants. 	Просто  зашла  посмотреть,   какие   билеты   послали Деннорантам. 	['Просто', 'зашла', 'посмотреть', 'какие', 'билеты', 'послали', 'Деннорантам']	['I', 'only', 'came', 'to', 'see', 'what', 'seats', 'had', 'been', 'sent', 'to', 'the', 'Dennorants']
10	"What's that young man doing here?"" "	Что тут делает этот молодой человек? 	['Что', 'тут', 'делает', 'этот', 'молодой', 'человек']	"[""What's"", 'that', 'young', 'man', 'doing', 'here']"
11	With the experienced actress's instinct to fit the gesture to the word, by a movement of her neat head she indicated the room through which she had just passed. 	С безошибочным чутьем опытной актрисы приурочивая  жест  к  слову,  она указала движением изящной головки на комнату,  через  которую  только  что прошла. 	['С', 'безошибочным', 'чутьем', 'опытной', 'актрисы', 'приурочивая', 'жест', 'к', 'слову', 'она', 'указала', 'движением', 'изящной', 'головки', 'на', 'комнату', 'через', 'которую', 'только', 'что', 'прошла']	"['With', 'the', 'experienced', ""actress's"", 'instinct', 'to', 'fit', 'the', 'gesture', 'to', 'the', 'word', 'by', 'a', 'movement', 'of', 'her', 'neat', 'head', 'she', 'indicated', 'the', 'room', 'through', 'which', 'she', 'had', 'just', 'passed']"
12	"""He's the accountant. "	- Это бухгалтер. 	['Это', 'бухгалтер']	"[""He's"", 'the', 'accountant']"
13	He comes from Lawrence and Hamphreys. 	Из конторы Лоренса и Хэмфри. 	['Из', 'конторы', 'Лоренса', 'и', 'Хэмфри']	['He', 'comes', 'from', 'Lawrence', 'and', 'Hamphreys']
14	"He's been here three days."" "	Он здесь уже три дня. 	['Он', 'здесь', 'уже', 'три', 'дня']	"[""He's"", 'been', 'here', 'three', 'days']"
15	"""He looks very young."" "	- Выглядит очень юным. 	['Выглядит', 'очень', 'юным']	['He', 'looks', 'very', 'young']
16	"""He's an articled clerk. "	- Он у них в учениках  по  контракту. 	['Он', 'у', 'них', 'в', 'учениках', 'по', 'контракту']	"[""He's"", 'an', 'articled', 'clerk']"
17	He seems to know his job. 	Похоже,  что  дело  свое  знает. 	['Похоже', 'что', 'дело', 'свое', 'знает']	['He', 'seems', 'to', 'know', 'his', 'job']
18	He can't get over the way our accounts are kept. 	Поражен тем, как ведутся у нас  бухгалтерские  книги. 	['Поражен', 'тем', 'как', 'ведутся', 'у', 'нас', 'бухгалтерские', 'книги']	"['He', ""can't"", 'get', 'over', 'the', 'way', 'our', 'accounts', 'are', 'kept']"
19	He told me he never expected a theatre to be run on such businesslike lines. 	Он  не  представлял себе, что можно поставить театр на деловые рельсы. 	['Он', 'не', 'представлял', 'себе', 'что', 'можно', 'поставить', 'театр', 'на', 'деловые', 'рельсы']	['He', 'told', 'me', 'he', 'never', 'expected', 'a', 'theatre', 'to', 'be', 'run', 'on', 'such', 'businesslike', 'lines']
