	en	ru	ru_tokens	en_tokens
0	THE ONE THOUSAND DOZEN 	Джек Лондон Тысяча дюжин 	['Джек', 'Лондон', 'Тысяча', 'дюжин']	['THE', 'ONE', 'THOUSAND', 'DOZEN']
1	David Rasmunsen was a hustler, and, like many a greater man, a man of the one idea. 	Дэвид Расмунсен отличался предприимчивостью и, как многие, даже менее заурядные люди, был одержим одной идеей. 	['Дэвид', 'Расмунсен', 'отличался', 'предприимчивостью', 'и', 'как', 'многие', 'даже', 'менее', 'заурядные', 'люди', 'был', 'одержим', 'одной', 'идеей']	['David', 'Rasmunsen', 'was', 'a', 'hustler', 'and', 'like', 'many', 'a', 'greater', 'man', 'a', 'man', 'of', 'the', 'one', 'idea']
2	Wherefore, when the clarion call of the North rang on his ear, he conceived an adventure in eggs and bent all his energy to its achievement. 	Вот почему, когда трубный глас Севера коснулся его ушей, он решил спекулировать яйцами и все свои силы посвятил этому предприятию. 	['Вот', 'почему', 'когда', 'трубный', 'глас', 'Севера', 'коснулся', 'его', 'ушей', 'он', 'решил', 'спекулировать', 'яйцами', 'и', 'все', 'свои', 'силы', 'посвятил', 'этому', 'предприятию']	['Wherefore', 'when', 'the', 'clarion', 'call', 'of', 'the', 'North', 'rang', 'on', 'his', 'ear', 'he', 'conceived', 'an', 'adventure', 'in', 'eggs', 'and', 'bent', 'all', 'his', 'energy', 'to', 'its', 'achievement']
3	He figured briefly and to the point, and the adventure became iridescent-hued, splendid. 	Он произвел краткий и точный подсчет, и будущее заискрилось и засверкало перед ним всеми цветами радуги. 	['Он', 'произвел', 'краткий', 'и', 'точный', 'подсчет', 'и', 'будущее', 'заискрилось', 'и', 'засверкало', 'перед', 'ним', 'всеми', 'цветами', 'радуги']	['He', 'figured', 'briefly', 'and', 'to', 'the', 'point', 'and', 'the', 'adventure', 'became', 'iridescent-hued', 'splendid']
4	That eggs would sell at Dawson for five dollars a dozen was a safe working premise. 	В качестве рабочей гипотезы можно было допустить, что яйца в Доусоне будут стоить не дешевле пяти долларов за дюжину. 	['В', 'качестве', 'рабочей', 'гипотезы', 'можно', 'было', 'допустить', 'что', 'яйца', 'в', 'Доусоне', 'будут', 'стоить', 'не', 'дешевле', 'пяти', 'долларов', 'за', 'дюжину']	['That', 'eggs', 'would', 'sell', 'at', 'Dawson', 'for', 'five', 'dollars', 'a', 'dozen', 'was', 'a', 'safe', 'working', 'premise']
5	Whence it was incontrovertible that one thousand dozen would bring, in the Golden Metropolis, five thousand dollars. 	Отсюда следовало, что на одной тысяче дюжин в Столице Золота можно будет заработать пять тысяч долларов. 	['Отсюда', 'следовало', 'что', 'на', 'одной', 'тысяче', 'дюжин', 'в', 'Столице', 'Золота', 'можно', 'будет', 'заработать', 'пять', 'тысяч', 'долларов']	['Whence', 'it', 'was', 'incontrovertible', 'that', 'one', 'thousand', 'dozen', 'would', 'bring', 'in', 'the', 'Golden', 'Metropolis', 'five', 'thousand', 'dollars']
6	On the other hand, expense was to be considered, and he considered it well, for he was a careful man, keenly practical, with a hard head and a heart that imagination never warmed. 	С другой стороны, следовало учесть расходы, и он их учел, как человек осторожный, весьма практический и трезвый, неспособный увлекаться и действовать очертя голову. 	['С', 'другой', 'стороны', 'следовало', 'учесть', 'расходы', 'и', 'он', 'их', 'учел', 'как', 'человек', 'осторожный', 'весьма', 'практический', 'и', 'трезвый', 'неспособный', 'увлекаться', 'и', 'действовать', 'очертя', 'голову']	['On', 'the', 'other', 'hand', 'expense', 'was', 'to', 'be', 'considered', 'and', 'he', 'considered', 'it', 'well', 'for', 'he', 'was', 'a', 'careful', 'man', 'keenly', 'practical', 'with', 'a', 'hard', 'head', 'and', 'a', 'heart', 'that', 'imagination', 'never', 'warmed']
7	At fifteen cents a dozen, the initial cost of his thousand dozen would be one hundred and fifty dollars, a mere bagatelle in face of the enormous profit. 	При цене пятнадцать центов за дюжину тысяча дюжин яиц обойдется в сто пятьдесят долларов — сущие пустяки по сравнению с громадной прибылью. 	['При', 'цене', 'пятнадцать', 'центов', 'за', 'дюжину', 'тысяча', 'дюжин', 'яиц', 'обойдется', 'в', 'сто', 'пятьдесят', 'долларов', '—', 'сущие', 'пустяки', 'по', 'сравнению', 'с', 'громадной', 'прибылью']	['At', 'fifteen', 'cents', 'a', 'dozen', 'the', 'initial', 'cost', 'of', 'his', 'thousand', 'dozen', 'would', 'be', 'one', 'hundred', 'and', 'fifty', 'dollars', 'a', 'mere', 'bagatelle', 'in', 'face', 'of', 'the', 'enormous', 'profit']
8	And suppose, just suppose, to be wildly extravagant for once, that transportation for himself and eggs should run up eight hundred and fifty more; he would still have four thousand clear cash and clean when the last egg was disposed of and the last dust had rippled into his sack. 	А если предположить — только предположить — такую баснословную дороговизну, что на дорогу и провоз яиц уйдет восемьсот пятьдесят долларов, все же, после того как он продаст последнее яйцо и ссыплет в мешок последнюю щепотку золотого песка, на руках у него останется чистых четыре тысячи. 	['А', 'если', 'предположить', '—', 'только', 'предположить', '—', 'такую', 'баснословную', 'дороговизну', 'что', 'на', 'дорогу', 'и', 'провоз', 'яиц', 'уйдет', 'восемьсот', 'пятьдесят', 'долларов', 'все', 'же', 'после', 'того', 'как', 'он', 'продаст', 'последнее', 'яйцо', 'и', 'ссыплет', 'в', 'мешок', 'последнюю', 'щепотку', 'золотого', 'песка', 'на', 'руках', 'у', 'него', 'останется', 'чистых', 'четыре', 'тысячи']	['And', 'suppose', 'just', 'suppose', 'to', 'be', 'wildly', 'extravagant', 'for', 'once', 'that', 'transportation', 'for', 'himself', 'and', 'eggs', 'should', 'run', 'up', 'eight', 'hundred', 'and', 'fifty', 'more', 'he', 'would', 'still', 'have', 'four', 'thousand', 'clear', 'cash', 'and', 'clean', 'when', 'the', 'last', 'egg', 'was', 'disposed', 'of', 'and', 'the', 'last', 'dust', 'had', 'rippled', 'into', 'his', 'sack']
9	“You see, Alma,”—he figured it over with his wife, the cosy dining-room submerged in a sea of maps, government surveys, guide-books, and Alaskan itineraries,—“you see, expenses don’t really begin till you make Dyea—fifty dollars’ll cover it with a first-class passage thrown in. 	— Понимаешь, Альма, — высчитывал он вслух, сидя с женой в уютной столовой, заваленной картами, правительственными отчетами и путеводителями по Аляске, — понимаешь ли, расходы по-настоящему начинаются только с Дайи, а на дорогу до Дайи за глаза хватит пятидесяти долларов, даже если ехать первым классом. 	['—', 'Понимаешь', 'Альма', '—', 'высчитывал', 'он', 'вслух', 'сидя', 'с', 'женой', 'в', 'уютной', 'столовой', 'заваленной', 'картами', 'правительственными', 'отчетами', 'и', 'путеводителями', 'по', 'Аляске', '—', 'понимаешь', 'ли', 'расходы', 'по-настоящему', 'начинаются', 'только', 'с', 'Дайи', 'а', 'на', 'дорогу', 'до', 'Дайи', 'за', 'глаза', 'хватит', 'пятидесяти', 'долларов', 'даже', 'если', 'ехать', 'первым', 'классом']	['“You', 'see', 'Alma,”—he', 'figured', 'it', 'over', 'with', 'his', 'wife', 'the', 'cosy', 'dining-room', 'submerged', 'in', 'a', 'sea', 'of', 'maps', 'government', 'surveys', 'guide-books', 'and', 'Alaskan', 'itineraries,—“you', 'see', 'expenses', 'don’t', 'really', 'begin', 'till', 'you', 'make', 'Dyea—fifty', 'dollars’ll', 'cover', 'it', 'with', 'a', 'first-class', 'passage', 'thrown', 'in']
