	en	ru	ru_tokens	en_tokens
0	PART I: January 1976 	ЧАСТЬ ПЕРВАЯ. ЯНВАРЬ 1976 	['ЧАСТЬ', 'ПЕРВАЯ', 'ЯНВАРЬ', '1976']	['PART', 'I', 'January', '1976']
1	Chapter One 	1 	['1']	['Chapter', 'One']
2	ON THOSE CLOUDY DAYS, Robert Neville was never sure when sunset came, and sometimes they were in the streets before he could get back. 	В пасмурную погоду Роберт Нэвилль никогда не  мог  угадать  приближения темноты, и случалось, что  _они_  появлялись  на  улицах  прежде,  чем  он успевал скрыться. 	['В', 'пасмурную', 'погоду', 'Роберт', 'Нэвилль', 'никогда', 'не', 'мог', 'угадать', 'приближения', 'темноты', 'и', 'случалось', 'что', 'они', 'появлялись', 'на', 'улицах', 'прежде', 'чем', 'он', 'успевал', 'скрыться']	['ON', 'THOSE', 'CLOUDY', 'DAYS', 'Robert', 'Neville', 'was', 'never', 'sure', 'when', 'sunset', 'came', 'and', 'sometimes', 'they', 'were', 'in', 'the', 'streets', 'before', 'he', 'could', 'get', 'back']
3	If he had been more analytical, he might have calculated the approximate time of their arrival; but he still used the lifetime habit of judging nightfall by the sky, and on cloudy days that method didn’t work. 	Задайся он такой целью, он, конечно, вычислил бы примерное  время  _их_ появления. Но он привык отмечать приближение темноты по солнцу и не  хотел отказываться от этой старой привычки даже в пасмурные дни,  когда  от  нее было мало проку. 	['Задайся', 'он', 'такой', 'целью', 'он', 'конечно', 'вычислил', 'бы', 'примерное', 'время', 'их', 'появления', 'Но', 'он', 'привык', 'отмечать', 'приближение', 'темноты', 'по', 'солнцу', 'и', 'не', 'хотел', 'отказываться', 'от', 'этой', 'старой', 'привычки', 'даже', 'в', 'пасмурные', 'дни', 'когда', 'от', 'нее', 'было', 'мало', 'проку']	['If', 'he', 'had', 'been', 'more', 'analytical', 'he', 'might', 'have', 'calculated', 'the', 'approximate', 'time', 'of', 'their', 'arrival', 'but', 'he', 'still', 'used', 'the', 'lifetime', 'habit', 'of', 'judging', 'nightfall', 'by', 'the', 'sky', 'and', 'on', 'cloudy', 'days', 'that', 'method', 'didn’t', 'work']
4	That was why he chose to stay near the house on those days. 	В такие дни он старался держаться поближе к дому. 	['В', 'такие', 'дни', 'он', 'старался', 'держаться', 'поближе', 'к', 'дому']	['That', 'was', 'why', 'he', 'chose', 'to', 'stay', 'near', 'the', 'house', 'on', 'those', 'days']
5	He walked around the house in the dull gray of afternoon, a cigarette dangling from the corner of his mouth, trailing threadlike smoke over his shoulder. 	Он не торопясь закурил и, отправив сигарету в уголок рта,  как  обычно, обошел  вокруг  дома. 	['Он', 'не', 'торопясь', 'закурил', 'и', 'отправив', 'сигарету', 'в', 'уголок', 'рта', 'как', 'обычно', 'обошел', 'вокруг', 'дома']	['He', 'walked', 'around', 'the', 'house', 'in', 'the', 'dull', 'gray', 'of', 'afternoon', 'a', 'cigarette', 'dangling', 'from', 'the', 'corner', 'of', 'his', 'mouth', 'trailing', 'threadlike', 'smoke', 'over', 'his', 'shoulder']
6	He checked each window to see if any of the boards had been loosened. 	Надо  было  проверить  все  окна:  не  ослабли   ли какие-нибудь доски. 	['Надо', 'было', 'проверить', 'все', 'окна', 'не', 'ослабли', 'ли', 'какие-нибудь', 'доски']	['He', 'checked', 'each', 'window', 'to', 'see', 'if', 'any', 'of', 'the', 'boards', 'had', 'been', 'loosened']
7	After violent attacks, the planks were often split or partially pried off, and he had to replace them completely; a job he hated. Today only one plank was loose. 	Часто после налетов доски бывали расщеплены и частично оторваны. Тогда их приходилось заменять. Он ненавидел это занятие. 	['Часто', 'после', 'налетов', 'доски', 'бывали', 'расщеплены', 'и', 'частично', 'оторваны', 'Тогда', 'их', 'приходилось', 'заменять', 'Он', 'ненавидел', 'это', 'занятие']	['After', 'violent', 'attacks', 'the', 'planks', 'were', 'often', 'split', 'or', 'partially', 'pried', 'off', 'and', 'he', 'had', 'to', 'replace', 'them', 'completely', 'a', 'job', 'he', 'hated', 'Today', 'only', 'one', 'plank', 'was', 'loose']
8	Isn’t that amazing? he thought. 	На этот раз только одна, не странно ли, - подумал он. 	['На', 'этот', 'раз', 'только', 'одна', 'не', 'странно', 'ли', 'подумал', 'он']	['Isn’t', 'that', 'amazing', 'he', 'thought']
9	In the back yard he checked the hothouse and the water tank. 	Он вышел на двор, проверил теплицу и  накопитель  воды. 	['Он', 'вышел', 'на', 'двор', 'проверил', 'теплицу', 'и', 'накопитель', 'воды']	['In', 'the', 'back', 'yard', 'he', 'checked', 'the', 'hothouse', 'and', 'the', 'water', 'tank']
