	en	ru	ru_tokens	en_tokens
0	Get out of my way! 	Давай, двигай! 	['Давай', 'двигай']	['Get', 'out', 'of', 'my', 'way']
1	Ok, here they are. 	Ага, вот и они. 	['Ага', 'вот', 'и', 'они']	['Ok', 'here', 'they', 'are']
2	Philippe, wake up now. I bet you 100 euros that I'll lose them. Philippe? Deal. Let's do this! Gosh, you're having a good night. Fuck. 	Филип, хочу малость подзаработать. Я оторвусь от них за 100 евро. - Филип? - Принято. Ставки сделаны! А Вы в форме, да? О, черт! Блин! 	['Филип', 'хочу', 'малость', 'подзаработать', 'Я', 'оторвусь', 'от', 'них', 'за', '100', 'евро', 'Филип', 'Принято', 'Ставки', 'сделаны', 'А', 'Вы', 'в', 'форме', 'да', 'О', 'черт', 'Блин']	"['Philippe', 'wake', 'up', 'now', 'I', 'bet', 'you', '100', 'euros', 'that', ""I'll"", 'lose', 'them', 'Philippe', 'Deal', ""Let's"", 'do', 'this', 'Gosh', ""you're"", 'having', 'a', 'good', 'night', 'Fuck']"
3	You lost them alright. 	Здорово Вы от них оторвались. 	['Здорово', 'Вы', 'от', 'них', 'оторвались']	['You', 'lost', 'them', 'alright']
4	Get out of the car! Hands on the hood! 	Выйти из машины! Руки на капот! 	['Выйти', 'из', 'машины', 'Руки', 'на', 'капот']	['Get', 'out', 'of', 'the', 'car', 'Hands', 'on', 'the', 'hood']
5	- I double. - 200 euros that they're gonna escort us. 	- Выходите! - Удваиваю. 200 евро, и у нас будет эскорт. 	['Выходите', 'Удваиваю', '200', 'евро', 'и', 'у', 'нас', 'будет', 'эскорт']	"['I', 'double', '200', 'euros', 'that', ""they're"", 'gonna', 'escort', 'us']"
6	You're gonna lose again. 	Вы снова проиграете. 	['Вы', 'снова', 'проиграете']	"[""You're"", 'gonna', 'lose', 'again']"
7	-200 euros! 	- 200 евро за эскорт! - Принято. 	['200', 'евро', 'за', 'эскорт', 'Принято']	['200', 'euros']
8	-Come on! Show me your hands! 	Давай! Покажи руки! 	['Давай', 'Покажи', 'руки']	['Come', 'on', 'Show', 'me', 'your', 'hands']
9	Your hands goddammit! 	Покажи руки, ублюдок! 	['Покажи', 'руки', 'ублюдок']	['Your', 'hands', 'goddammit']
10	- Wait. I'm gonna explain. - Shut up. Hands on the hood. 	- Подождите. Я все объясню. - Заткнись. Положи руки на капот. 	['Подождите', 'Я', 'все', 'объясню', 'Заткнись', 'Положи', 'руки', 'на', 'капот']	"['Wait', ""I'm"", 'gonna', 'explain', 'Shut', 'up', 'Hands', 'on', 'the', 'hood']"
11	- Wait. - Get out of the car. Now! 	- Подождите. - Пассажир, выходите из машины! Быстрее! 	['Подождите', 'Пассажир', 'выходите', 'из', 'машины', 'Быстрее']	['Wait', 'Get', 'out', 'of', 'the', 'car', 'Now']
12	Take it easy! 	Полегче! 	['Полегче']	['Take', 'it', 'easy']
13	He can't get out. He can't even open the door. 	Он не может выйти. Он не может даже дверцу открыть. 	['Он', 'не', 'может', 'выйти', 'Он', 'не', 'может', 'даже', 'дверцу', 'открыть']	"['He', ""can't"", 'get', 'out', 'He', ""can't"", 'even', 'open', 'the', 'door']"
14	Look at him for god's sake! 	- Что ты несешь? - Да посмотрите же вы на него! 	['Что', 'ты', 'несешь', 'Да', 'посмотрите', 'же', 'вы', 'на', 'него']	"['Look', 'at', 'him', 'for', ""god's"", 'sake']"
15	There's a wheel chair in the trunk. He's disabled. Go check! 	В багажнике инвалидная коляска. Он парализован. Проверьте! 	['В', 'багажнике', 'инвалидная', 'коляска', 'Он', 'парализован', 'Проверьте']	"[""There's"", 'a', 'wheel', 'chair', 'in', 'the', 'trunk', ""He's"", 'disabled', 'Go', 'check']"
16	Get off me! 	Потише. Пусти меня, пусти! 	['Потише', 'Пусти', 'меня', 'пусти']	['Get', 'off', 'me']
17	- He's telling the truth. - SO! 	- Да. - Что я здесь делаю? 	['Да', 'Что', 'я', 'здесь', 'делаю']	"[""He's"", 'telling', 'the', 'truth', 'SO']"
18	What did you think? 	- Что? - Как вы думаете? 	['Что', 'Как', 'вы', 'думаете']	['What', 'did', 'you', 'think']
19	You think I'm driving that fast, for the fun of it? 	Вы думаете, я так гнал по той дороге ради забавы? 	['Вы', 'думаете', 'я', 'так', 'гнал', 'по', 'той', 'дороге', 'ради', 'забавы']	"['You', 'think', ""I'm"", 'driving', 'that', 'fast', 'for', 'the', 'fun', 'of', 'it']"
20	I was going to the hospital. I work for him. He's having a stroke! 	Это дорога в больницу. Я на него работаю. У него приступ! 	['Это', 'дорога', 'в', 'больницу', 'Я', 'на', 'него', 'работаю', 'У', 'него', 'приступ']	"['I', 'was', 'going', 'to', 'the', 'hospital', 'I', 'work', 'for', 'him', ""He's"", 'having', 'a', 'stroke']"
21	The more we wait, the worse it gets. He can't move, he can't do anything. That's why I'm here. 	Нельзя терять время, ему срочно нужен врач. Он не может двигаться, он совсем беспомощный. Вот зачем я здесь. 	['Нельзя', 'терять', 'время', 'ему', 'срочно', 'нужен', 'врач', 'Он', 'не', 'может', 'двигаться', 'он', 'совсем', 'беспомощный', 'Вот', 'зачем', 'я', 'здесь']	"['The', 'more', 'we', 'wait', 'the', 'worse', 'it', 'gets', 'He', ""can't"", 'move', 'he', ""can't"", 'do', 'anything', ""That's"", 'why', ""I'm"", 'here']"
22	I think we have a problem here. 	Похоже, у нас проблема. 	['Похоже', 'у', 'нас', 'проблема']	['I', 'think', 'we', 'have', 'a', 'problem', 'here']
23	Come see this. 	Посмотри на это. 	['Посмотри', 'на', 'это']	['Come', 'see', 'this']
24	-  What the fuck do we do now? - That's right, think about it. Take your time. 	- И что нам делать? - Что тут такое? Ты поразмысли. Не спеши. 	['И', 'что', 'нам', 'делать', 'Что', 'тут', 'такое', 'Ты', 'поразмысли', 'Не', 'спеши']	"['What', 'the', 'fuck', 'do', 'we', 'do', 'now', ""That's"", 'right', 'think', 'about', 'it', 'Take', 'your', 'time']"
25	But meanwhile call his 15 years old daughter and tell her, her father is dead because of you! 	Можешь позвонить его 15-летней дочери и сказать, что ее отец умер из-за тебя. 	['Можешь', 'позвонить', 'его', '15-летней', 'дочери', 'и', 'сказать', 'что', 'ее', 'отец', 'умер', 'из-за', 'тебя']	['But', 'meanwhile', 'call', 'his', '15', 'years', 'old', 'daughter', 'and', 'tell', 'her', 'her', 'father', 'is', 'dead', 'because', 'of', 'you']
26	Because if he's not taken care of within 5 minutes, it's over. 	Если ничего не делать, то через 5 минут это закончится эклампсией. 	['Если', 'ничего', 'не', 'делать', 'то', 'через', '5', 'минут', 'это', 'закончится', 'эклампсией']	"['Because', 'if', ""he's"", 'not', 'taken', 'care', 'of', 'within', '5', 'minutes', ""it's"", 'over']"
27	But take your time. 	Но ты не спеши. 	['Но', 'ты', 'не', 'спеши']	['But', 'take', 'your', 'time']
28	Think. Think fast. He's dying! 	Давай, давай. Размышляй. Эклампсия начинается! 	['Давай', 'давай', 'Размышляй', 'Эклампсия', 'начинается']	"['Think', 'Think', 'fast', ""He's"", 'dying']"
29	Alright, don't lose any more time. Go. 	Ладно, поезжайте, не теряйте времени. 	['Ладно', 'поезжайте', 'не', 'теряйте', 'времени']	"['Alright', ""don't"", 'lose', 'any', 'more', 'time', 'Go']"
30	- Where are you going? - ER. 	- Куда вы едете? - В скорую. 	['Куда', 'вы', 'едете', 'В', 'скорую']	['Where', 'are', 'you', 'going', 'ER']
31	We're gonna escort you, it's safer. Let's go, we're escorting them! 	Мы будем вашим эскортом, так безопаснее. Поехали, мы - эскорт! 	['Мы', 'будем', 'вашим', 'эскортом', 'так', 'безопаснее', 'Поехали', 'мы', 'эскорт']	"[""We're"", 'gonna', 'escort', 'you', ""it's"", 'safer', ""Let's"", 'go', ""we're"", 'escorting', 'them']"
32	They're gone. They're leaving. 	Они ушли. Садятся по машинам. 	['Они', 'ушли', 'Садятся', 'по', 'машинам']	"[""They're"", 'gone', ""They're"", 'leaving']"
33	Good. 	Хорошо. 	['Хорошо']	['Good']
34	Philippe, this is so gross. 	Филип, это отвратительно. 	['Филип', 'это', 'отвратительно']	['Philippe', 'this', 'is', 'so', 'gross']
35	I can't deal with that, how do you produce this... yuck. 	Меня чуть не вывернуло, когда Вы стали это делать. Брр... 	['Меня', 'чуть', 'не', 'вывернуло', 'когда', 'Вы', 'стали', 'это', 'делать', 'Брр']	"['I', ""can't"", 'deal', 'with', 'that', 'how', 'do', 'you', 'produce', 'this', 'yuck']"
