	en	ru	ru_tokens	en_tokens
0	You did a wonderful job. Wonderful. 	Прекрасная работа. Прекрасная. 	['Прекрасная', 'работа', 'Прекрасная']	['You', 'did', 'a', 'wonderful', 'job', 'Wonderful']
1	You did it. You did it! 	Вы молодец. Молодец. 	['Вы', 'молодец', 'Молодец']	['You', 'did', 'it', 'You', 'did', 'it']
2	To continue, you've listened to a long and complex case, murder in the first degree. 	Вам предстоит вынести решение по делу об убийстве первой степени. 	['Вам', 'предстоит', 'вынести', 'решение', 'по', 'делу', 'об', 'убийстве', 'первой', 'степени']	"['To', 'continue', ""you've"", 'listened', 'to', 'a', 'long', 'and', 'complex', 'case', 'murder', 'in', 'the', 'first', 'degree']"
3	Premeditated murder is the most serious charge tried in our criminal courts. 	Умышленное убийство - самое серьезное обвинение в уголовном суде. 	['Умышленное', 'убийство', 'самое', 'серьезное', 'обвинение', 'в', 'уголовном', 'суде']	['Premeditated', 'murder', 'is', 'the', 'most', 'serious', 'charge', 'tried', 'in', 'our', 'criminal', 'courts']
4	You've listened to the testimony, had the law interpreted as it applies in this case. 	Вы слушали свидетелей и узнали, что говорит по этому делу закон. 	['Вы', 'слушали', 'свидетелей', 'и', 'узнали', 'что', 'говорит', 'по', 'этому', 'делу', 'закон']	"[""You've"", 'listened', 'to', 'the', 'testimony', 'had', 'the', 'law', 'interpreted', 'as', 'it', 'applies', 'in', 'this', 'case']"
5	It's now your duty to sit down and try and separate the facts from the fancy. 	Теперь ваша задача - беспристрастно рассмотреть факты. 	['Теперь', 'ваша', 'задача', 'беспристрастно', 'рассмотреть', 'факты']	"[""It's"", 'now', 'your', 'duty', 'to', 'sit', 'down', 'and', 'try', 'and', 'separate', 'the', 'facts', 'from', 'the', 'fancy']"
6	One man is dead. Another man's life is at stake. 	Один человек мертв. На карте жизнь другого. 	['Один', 'человек', 'мертв', 'На', 'карте', 'жизнь', 'другого']	"['One', 'man', 'is', 'dead', 'Another', ""man's"", 'life', 'is', 'at', 'stake']"
7	If there's a reasonable doubt in your minds as to the guilt of the accused - 	Если у вас возникнет сомнение в виновности обвиняемого, 	['Если', 'у', 'вас', 'возникнет', 'сомнение', 'в', 'виновности', 'обвиняемого']	"['If', ""there's"", 'a', 'reasonable', 'doubt', 'in', 'your', 'minds', 'as', 'to', 'the', 'guilt', 'of', 'the', 'accused']"
8	a reasonable doubt-then you must bring me a verdict of not guilty. 	то вы должны вынести вердикт невиновен. 	['то', 'вы', 'должны', 'вынести', 'вердикт', 'невиновен']	['a', 'reasonable', 'doubt-then', 'you', 'must', 'bring', 'me', 'a', 'verdict', 'of', 'not', 'guilty']
9	If there's no reasonable doubt, then you must, in good conscience, 	Если сомнений нет, тогда вы с чистой совестью 	['Если', 'сомнений', 'нет', 'тогда', 'вы', 'с', 'чистой', 'совестью']	"['If', ""there's"", 'no', 'reasonable', 'doubt', 'then', 'you', 'must', 'in', 'good', 'conscience']"
10	find the accused guilty. 	признаете его виновным. 	['признаете', 'его', 'виновным']	['find', 'the', 'accused', 'guilty']
