	en	ru	ru_tokens	en_tokens
0	Gran? 	Бабушка? 	['Бабушка']	['Gran']
1	Edward, don't! She'll see you. 	Эдвард, не надо! Она же тебя увидит. 	['Эдвард', 'не', 'надо', 'Она', 'же', 'тебя', 'увидит']	"['Edward', ""don't"", ""She'll"", 'see', 'you']"
2	Okay. 	Хорошо... 	['Хорошо']	['Okay']
3	Gran, I'd like you to meet... 	Ба, я хочу познакомить тебя с... 	['Ба', 'я', 'хочу', 'познакомить', 'тебя', 'с']	"['Gran', ""I'd"", 'like', 'you', 'to', 'meet']"
4	Happy birthday, Bella. 	С днем рождения, Белла. 	['С', 'днем', 'рождения', 'Белла']	['Happy', 'birthday', 'Bella']
5	I thought we agreed, no presents. 	Мне казалось, мы пришли к  соглашению. Никаких подарков. 	['Мне', 'казалось', 'мы', 'пришли', 'к', 'соглашению', 'Никаких', 'подарков']	['I', 'thought', 'we', 'agreed', 'no', 'presents']
6	Well, the one from me's not wrapped, so it doesn't count. 	Ну, тот, который от меня, не обернут. Так что не считается. 	['Ну', 'тот', 'который', 'от', 'меня', 'не', 'обернут', 'Так', 'что', 'не', 'считается']	"['Well', 'the', 'one', 'from', ""me's"", 'not', 'wrapped', 'so', 'it', ""doesn't"", 'count']"
7	That's actually great. Thanks, Dad. 	Просто замечательный. Спасибо, пап. 	['Просто', 'замечательный', 'Спасибо', 'пап']	"[""That's"", 'actually', 'great', 'Thanks', 'Dad']"
8	It goes with this one from your mom. We coordinated. 	Да, и этот от твоей мамы. Мы скооперировались. 	['Да', 'и', 'этот', 'от', 'твоей', 'мамы', 'Мы', 'скооперировались']	['It', 'goes', 'with', 'this', 'one', 'from', 'your', 'mom', 'We', 'coordinated']
9	Well, she coordinated me. 	То есть она скооперировалась со мной. 	['То', 'есть', 'она', 'скооперировалась', 'со', 'мной']	['Well', 'she', 'coordinated', 'me']
10	It's to put your pictures in from senior year. 	Сюда можешь вклеивать свои фото,  выпускного класса. 	['Сюда', 'можешь', 'вклеивать', 'свои', 'фото', 'выпускного', 'класса']	"[""It's"", 'to', 'put', 'your', 'pictures', 'in', 'from', 'senior', 'year']"
11	Senior year. -How'd you get so old so fast? -l didn't. It's not that old. I don't know. Is that a gray hair? No. No way. Happy birthday. That's really funny. ANNOUNCER ON RADIO: Another missing hiker brings the total to three presumed dead. Rangers are searching for the killer animal... 	Выпускной класс. И когда ты успела так постареть? - Неправда. Я вовсе не старая. - Ну не знаю. Это не седой волос случаем? Нет! Не может быть! С днем рождения. Очень смешно. После пропажи очредного туриста, число  предположительных жертв достигло трех. Лесники продолжают поиск зверя-убийцы... 	['Выпускной', 'класс', 'И', 'когда', 'ты', 'успела', 'так', 'постареть', 'Неправда', 'Я', 'вовсе', 'не', 'старая', 'Ну', 'не', 'знаю', 'Это', 'не', 'седой', 'волос', 'случаем', 'Нет', 'Не', 'может', 'быть', 'С', 'днем', 'рождения', 'Очень', 'смешно', 'После', 'пропажи', 'очредного', 'туриста', 'число', 'предположительных', 'жертв', 'достигло', 'трех', 'Лесники', 'продолжают', 'поиск', 'зверя-убийцы']	"['Senior', 'year', ""How'd"", 'you', 'get', 'so', 'old', 'so', 'fast', 'l', ""didn't"", ""It's"", 'not', 'that', 'old', 'I', ""don't"", 'know', 'Is', 'that', 'a', 'gray', 'hair', 'No', 'No', 'way', 'Happy', 'birthday', ""That's"", 'really', 'funny', 'ANNOUNCER', 'ON', 'RADIO', 'Another', 'missing', 'hiker', 'brings', 'the', 'total', 'to', 'three', 'presumed', 'dead', 'Rangers', 'are', 'searching', 'for', 'the', 'killer', 'animal']"
